iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
0,100,5.54751,0.36030,4.14403,0.32318,3.47425,0.30040,2.84192,0.28508
1,200,2.15008,0.25220,1.97701,0.24493,1.86558,0.24024,1.58304,0.23470
2,300,1.90356,0.24275,1.70492,0.23796,1.75652,0.23598,1.61561,0.23254
3,400,1.82258,0.23976,1.73688,0.23659,1.81077,0.23710,1.68110,0.23156
4,500,1.74192,0.23771,1.81795,0.23596,1.77782,0.23287,1.60295,0.23104
5,600,1.86635,0.23587,1.84301,0.23621,1.75278,0.23236,1.70938,0.23118
6,700,1.83693,0.23501,1.78011,0.23415,1.76798,0.23514,1.69941,0.23151
7,800,1.79848,0.23597,1.81794,0.23457,1.67126,0.23321,1.63686,0.23265
8,900,1.75959,0.23703,1.87687,0.23479,1.82217,0.23380,1.61409,0.23373
9,1000,1.86425,0.23759,1.72750,0.23434,1.75223,0.23181,1.57732,0.23389
10,1100,1.72208,0.23601,1.74756,0.23422,1.79711,0.23400,1.59218,0.23250
11,1200,1.80991,0.23447,1.82976,0.23508,1.80869,0.23474,1.61515,0.23484
12,1300,1.75368,0.23627,1.80023,0.23529,1.75258,0.23414,1.63308,0.23573
13,1400,1.85170,0.23462,1.72113,0.23519,1.74232,0.23316,1.54775,0.23226
14,1500,1.78700,0.23638,1.75470,0.23364,1.78637,0.23357,1.57984,0.23554
15,1600,1.79206,0.23569,1.72543,0.23437,1.87526,0.23484,1.64641,0.23456
16,1700,1.83003,0.23592,1.81231,0.23547,1.83933,0.23523,1.60956,0.23406
17,1800,1.76523,0.23352,1.78281,0.23475,1.74460,0.23399,1.70856,0.23343
18,1900,1.82828,0.23412,1.69932,0.23387,1.80553,0.23680,1.61818,0.23524
19,2000,1.82322,0.23481,1.70399,0.23374,1.77390,0.23438,1.62769,0.23438
20,2100,1.80328,0.23518,1.74853,0.23441,1.70014,0.23554,1.56647,0.23629
21,2200,1.82608,0.23447,1.70614,0.23494,1.73152,0.23405,1.64591,0.23642
22,2300,1.84109,0.23407,1.81942,0.23577,1.80624,0.23401,1.57604,0.23451
23,2400,1.84816,0.23421,1.83809,0.23443,1.83344,0.23486,1.68961,0.23359
24,2500,1.78759,0.23480,1.88047,0.23558,1.79196,0.23302,1.63067,0.23373
25,2600,1.76208,0.23353,1.85315,0.23651,1.71456,0.23486,1.71810,0.23526
26,2700,1.89541,0.23858,1.76399,0.23666,1.68661,0.23404,1.69985,0.23291
27,2800,1.73837,0.23461,1.83389,0.23446,1.83066,0.23566,1.68999,0.23538
28,2900,1.86070,0.23472,1.72486,0.23544,1.78487,0.23517,1.64557,0.23438
29,3000,1.80569,0.23316,1.82259,0.23573,1.82157,0.23709,1.76596,0.23444
30,3100,1.96107,0.23582,1.85193,0.23363,1.74924,0.23451,1.63132,0.23426
31,3200,1.89653,0.23710,1.86569,0.23583,1.88472,0.23716,1.64500,0.23299
32,3300,1.88275,0.23490,1.73810,0.23741,1.90003,0.23497,1.59280,0.23304
33,3400,1.83870,0.23331,1.88134,0.23493,1.84802,0.23467,1.67706,0.23517
34,3500,1.83435,0.23611,1.84202,0.23669,1.82983,0.23360,1.71831,0.23547
35,3600,1.96536,0.23472,1.85693,0.23419,1.77365,0.23399,1.66913,0.23461
36,3700,1.83625,0.23476,1.86544,0.23363,1.81557,0.23381,1.67961,0.23426
37,3800,1.81854,0.23355,1.86181,0.23550,1.83620,0.23474,1.62909,0.23319
38,3900,1.89509,0.23378,1.82990,0.23630,1.85491,0.23489,1.62872,0.23491
39,4000,1.90247,0.23721,1.83277,0.23363,1.80823,0.23501,1.67077,0.23550
40,4100,1.93677,0.23174,1.86159,0.23372,1.81745,0.23449,1.63391,0.23445
41,4200,1.84815,0.23455,1.81494,0.23717,1.73569,0.23325,1.65469,0.23607
42,4300,1.77783,0.23570,1.86341,0.23536,1.76887,0.23532,1.66915,0.23348
