iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss,4_iql_loss,4_icm_forward_loss,4_icm_inverse_loss
0,100,5.10740,0.43674,2.96443,5.08600,0.43674,2.96453,5.09564,0.43659,2.96415,4.67202,0.43672,2.96462
1,200,2.03571,0.42386,2.96421,2.13723,0.42340,2.96397,2.02938,0.42423,2.96429,1.83949,0.42364,2.96364
2,300,1.23186,0.40915,2.96375,1.25420,0.40892,2.96318,1.27749,0.40880,2.96362,1.29264,0.40893,2.96291
3,400,1.08249,0.39483,2.96182,1.01891,0.39407,2.96186,1.16576,0.39447,2.96186,1.06572,0.39399,2.96090
4,500,1.01212,0.37997,2.96091,1.06605,0.38045,2.96102,1.05441,0.37943,2.96079,0.87776,0.37905,2.96004
5,600,1.02260,0.36654,2.95845,1.05794,0.36636,2.95912,1.01122,0.36583,2.95941,0.85516,0.36596,2.95954
6,700,1.02629,0.35289,2.95822,1.07163,0.35291,2.95777,0.99172,0.35230,2.95818,0.78969,0.35287,2.95804
7,800,1.05429,0.34001,2.95613,1.06627,0.33939,2.95682,1.04937,0.33933,2.95685,0.81155,0.33929,2.95713
8,900,1.00486,0.32705,2.95505,1.10957,0.32662,2.95501,1.08863,0.32636,2.95543,0.77814,0.32649,2.95527
9,1000,1.01311,0.31472,2.95373,0.97821,0.31491,2.95409,1.06640,0.31474,2.95434,0.83583,0.31437,2.95353
10,1100,1.03105,0.30338,2.95236,1.04061,0.30297,2.95242,1.03672,0.30252,2.95199,0.84558,0.30258,2.95169
11,1200,0.99515,0.29208,2.95076,0.97848,0.29169,2.95084,1.11073,0.29153,2.95023,0.79843,0.29116,2.95023
12,1300,1.00088,0.28060,2.94879,1.04893,0.28019,2.94854,1.05318,0.28033,2.94853,0.77848,0.28048,2.94842
13,1400,1.07033,0.26979,2.94619,0.96046,0.26966,2.94670,1.03836,0.26973,2.94693,0.79670,0.26978,2.94638
14,1500,1.03782,0.25890,2.94452,0.94973,0.25903,2.94559,1.04173,0.25895,2.94492,0.79126,0.25877,2.94434
15,1600,1.07454,0.24905,2.94293,1.02120,0.24910,2.94325,1.08105,0.24868,2.94347,0.93084,0.24904,2.94324
16,1700,1.01871,0.23905,2.94179,1.03970,0.23888,2.94073,1.05157,0.23904,2.94042,0.82740,0.23918,2.94130
17,1800,1.07196,0.22940,2.93824,1.01112,0.22943,2.93829,1.07878,0.22939,2.93991,0.86284,0.22970,2.93952
18,1900,1.09387,0.22039,2.93642,1.03887,0.22019,2.93730,1.04787,0.22002,2.93804,0.82274,0.21985,2.93678
19,2000,0.99704,0.21136,2.93403,1.02453,0.21148,2.93511,0.99643,0.21129,2.93484,0.87879,0.21147,2.93522
20,2100,1.04669,0.20255,2.93289,1.03027,0.20295,2.93322,1.04907,0.20267,2.93351,0.87390,0.20254,2.93283
21,2200,1.00583,0.19443,2.93183,1.06802,0.19428,2.93102,1.10263,0.19447,2.93095,0.90191,0.19416,2.93088
22,2300,1.10291,0.18668,2.92805,1.03836,0.18623,2.92896,1.02428,0.18606,2.92959,0.82790,0.18608,2.92902
23,2400,1.05641,0.17871,2.92679,1.10301,0.17878,2.92615,1.09256,0.17853,2.92646,0.88677,0.17862,2.92620
24,2500,1.09600,0.17122,2.92473,0.99650,0.17134,2.92415,1.00826,0.17103,2.92321,0.89875,0.17092,2.92497
25,2600,1.03516,0.16390,2.92219,1.05378,0.16403,2.92175,1.03951,0.16392,2.92275,0.88221,0.16380,2.92173
26,2700,1.09282,0.15731,2.91979,1.06576,0.15695,2.91936,1.07062,0.15713,2.91928,0.98185,0.15702,2.91958
27,2800,1.01251,0.15027,2.91579,1.07314,0.15041,2.91725,1.17527,0.15045,2.91684,1.00804,0.15013,2.91649
28,2900,1.06526,0.14427,2.91465,1.01421,0.14425,2.91472,1.09648,0.14389,2.91394,0.91510,0.14366,2.91414
29,3000,0.96017,0.13804,2.91131,1.02661,0.13828,2.91223,1.04486,0.13789,2.91106,0.90620,0.13785,2.91099
30,3100,1.05609,0.13231,2.90818,0.98898,0.13242,2.90927,1.05303,0.13235,2.90836,0.91882,0.13190,2.90796
