number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -0.95295],[0.00000 0.00000 0.00000 0.47518],0.9988953697090716
100,[0.08000 0.08000 0.08000 -1.70826],[0.02560 0.02560 0.02560 4.96538],0.9797606658876263
200,[0.16000 0.16000 0.16000 -0.89426],[0.10240 0.10240 0.10240 0.85238],0.9609925038496699
300,[0.08000 0.08000 0.08000 -0.66726],[0.02560 0.02560 0.02560 0.55175],0.9425838621706605
400,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.9245278539275122
500,[0.16000 0.16000 0.16000 -0.39303],[0.03840 0.03840 0.03840 0.10770],0.9068177241220878
600,[0.16000 0.16000 0.16000 -0.21729],[0.03840 0.03840 0.03840 0.03369],0.889446847154093
700,[0.00000 0.00000 0.00000 -0.22832],[0.00000 0.00000 0.00000 0.09864],0.8724087243423219
800,[0.16000 0.16000 0.16000 -0.16058],[0.10240 0.10240 0.10240 0.10315],0.8556969814934174
900,[0.00000 0.00000 0.00000 -0.02681],[0.00000 0.00000 0.00000 0.00188],0.8393053665172148
1000,[0.00000 0.00000 0.00000 -0.00260],[0.00000 0.00000 0.00000 0.00003],0.8232277470877281
1100,[0.40000 0.40000 0.40000 -0.41858],[0.25600 0.25600 0.25600 0.27271],0.8074581083489812
1200,[0.16000 0.16000 0.16000 -0.32190],[0.10240 0.10240 0.10240 0.32070],0.7919905506647517
1300,[0.16000 0.16000 0.16000 -0.16302],[0.10240 0.10240 0.10240 0.10631],0.7768192874114557
1400,[0.16000 0.16000 0.16000 -0.34570],[0.10240 0.10240 0.10240 0.17551],0.7619386428132808
1500,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.7473430498187978
1600,[0.32000 0.32000 0.32000 -0.32127],[0.15360 0.15360 0.15360 0.15428],0.7330270480182665
1700,[0.24000 0.24000 0.24000 -0.44274],[0.10240 0.10240 0.10240 0.16950],0.7189852816008054
1800,[0.08000 0.08000 0.08000 -0.12126],[0.02560 0.02560 0.02560 0.02166],0.705212497350724
