iteration,episode,1_iql_loss,2_iql_loss,3_iql_loss,4_iql_loss
0,100,1.04235,0.99562,0.98111,0.92840
1,200,1.02337,0.97966,0.95494,0.90796
2,300,0.95081,0.87319,1.00206,0.82897
3,400,0.93243,0.91054,1.02228,0.84078
4,500,0.89382,1.01924,0.96142,0.73591
5,600,1.02177,0.99199,0.96633,0.79949
6,700,0.96829,1.02780,0.89888,0.77975
7,800,1.00420,0.88812,0.96172,0.74431
8,900,0.94779,1.00036,1.03140,0.77506
9,1000,0.99841,0.97505,0.96556,0.75525
10,1100,0.94371,0.96699,0.95622,0.80031
11,1200,1.01080,1.01551,1.01281,0.76621
12,1300,0.92400,0.91404,1.02763,0.73375
13,1400,1.02173,0.98105,0.94651,0.74166
14,1500,0.97904,0.98255,0.96831,0.79438
15,1600,0.96692,0.92195,0.94799,0.82892
16,1700,0.96788,1.04516,0.99340,0.87905
17,1800,1.08827,0.98019,1.02719,0.87902
18,1900,1.04226,0.97877,1.02810,0.81340
19,2000,0.98311,0.95082,0.92820,0.85918
20,2100,0.98339,1.00733,0.97272,0.87277
21,2200,1.02774,0.90849,1.08124,0.82531
22,2300,0.99690,0.98482,0.98222,0.83589
23,2400,0.98679,1.07403,0.95343,0.86533
24,2500,1.06023,1.00321,1.05979,0.81693
25,2600,1.02725,0.98001,0.94954,0.90784
26,2700,0.99925,0.95810,0.98483,0.91130
27,2800,0.95974,1.04731,1.04577,0.88301
28,2900,1.06524,0.99686,1.08585,0.91686
29,3000,1.04147,1.04360,1.00638,0.90100
30,3100,1.02912,1.09961,0.94274,0.93727
31,3200,0.98333,1.04105,1.17511,0.90123
32,3300,1.01065,1.02368,1.10033,0.96959
33,3400,0.91590,1.06505,1.04086,0.95796
34,3500,1.09716,1.01386,1.02676,0.93523
35,3600,1.05408,1.05875,1.08694,0.92677
36,3700,1.00499,1.04858,1.07754,0.95644
37,3800,1.04783,1.06146,0.98222,0.91213
38,3900,0.99992,1.00774,1.07886,0.92344
39,4000,1.07366,1.01442,0.99177,0.98321
40,4100,1.06432,1.00445,1.06885,0.89596
41,4200,0.98844,1.05470,1.03666,0.89862
42,4300,1.08317,1.06638,1.04482,0.94922
43,4400,1.11190,1.15047,1.06367,0.93745
44,4500,1.01286,1.06560,1.07859,0.93159
45,4600,1.02724,1.04388,1.05549,0.96294
46,4700,1.06766,1.05138,1.12466,0.97544
47,4800,1.02897,1.06740,1.04658,0.90454
48,4900,0.98010,1.04936,1.09766,0.91545
49,5000,1.05686,1.09484,1.05680,1.00008
50,5100,1.07253,1.11875,1.08643,0.99697
51,5200,1.03878,1.09817,1.11982,0.98740
52,5300,1.06742,1.13672,0.99491,0.97163
53,5400,1.09496,1.04063,1.00129,0.95321
54,5500,1.12288,1.12748,1.08374,1.02654
55,5600,1.09458,1.05887,1.08527,0.96881
56,5700,1.04265,1.15017,0.98612,1.03606
57,5800,1.11680,1.13139,1.06249,0.97133
58,5900,1.05258,1.01199,1.05170,1.00665
59,6000,1.06437,1.02206,1.07787,0.96911
60,6100,1.03637,1.07025,1.07230,0.97195
61,6200,1.12730,1.10969,1.08797,1.03577
62,6300,1.13373,1.10032,1.09999,1.00678
63,6400,1.07792,1.06170,1.05981,0.97487
64,6500,1.04966,1.05629,1.09707,1.00581
65,6600,1.08932,1.09765,1.03127,0.96702
66,6700,1.06804,1.09704,1.09944,1.05154
67,6800,1.13237,1.10420,1.07515,0.97758
68,6900,1.06925,1.10686,1.05526,0.97306
69,7000,1.15308,1.04523,1.08047,0.96614
70,7100,1.12843,1.14409,1.18335,1.01963
71,7200,1.11895,1.08786,1.12824,0.95959
72,7300,1.00241,1.11432,1.08098,0.95874
73,7400,1.06410,1.05409,1.07408,0.99129
74,7500,1.02034,1.15196,1.08641,1.06157
75,7600,1.04957,1.17648,1.16080,0.93830
76,7700,1.12354,1.05355,1.05210,1.01169
77,7800,1.06355,1.11201,1.13360,0.95296
78,7900,1.08480,1.12442,1.10594,0.96004
79,8000,1.06817,1.05461,1.09528,0.99111
80,8100,1.13526,1.07321,1.05683,1.01170
81,8200,1.11273,1.10496,1.04094,0.98790
