iteration,episode,1_iql_loss,1_rnd_forward_loss,2_iql_loss,2_rnd_forward_loss,3_iql_loss,3_rnd_forward_loss,4_iql_loss,4_rnd_forward_loss
0,100,31.87937,1.14731,32.77070,1.16359,32.22410,1.15177,22.51893,0.98398
1,200,16.13770,1.15376,17.01963,1.15716,16.53995,1.15358,9.27942,0.98105
2,300,5.10379,1.15428,5.58032,1.14834,4.97682,1.15097,3.53828,0.97860
3,400,2.57734,1.14919,2.66605,1.14396,2.58246,1.14501,2.22516,0.97383
4,500,1.63308,1.14578,1.72036,1.14081,1.67154,1.14044,1.51891,0.96893
5,600,1.42483,1.14027,1.40172,1.13670,1.37467,1.13614,1.16292,0.96737
6,700,1.28275,1.13734,1.26879,1.13480,1.23033,1.13244,1.02158,0.96238
7,800,1.26870,1.13350,1.26801,1.12943,1.24516,1.13031,0.94463,0.95622
8,900,1.24476,1.13109,1.32010,1.12543,1.28886,1.12825,0.91125,0.95124
9,1000,1.20284,1.12728,1.16578,1.12188,1.25135,1.12264,0.99227,0.94625
10,1100,1.21737,1.12281,1.24686,1.11807,1.22695,1.11952,0.96563,0.94107
11,1200,1.29637,1.11949,1.22945,1.11590,1.24168,1.11796,0.97812,0.93645
12,1300,1.16553,1.11458,1.22970,1.11216,1.24519,1.11527,0.93093,0.93187
13,1400,1.37322,1.11029,1.19976,1.10877,1.16371,1.11096,0.95947,0.92640
14,1500,1.15593,1.10754,1.23610,1.10484,1.19073,1.10785,0.92626,0.92268
15,1600,1.28457,1.10324,1.21005,1.10164,1.33506,1.10368,0.97276,0.91738
16,1700,1.23211,1.09941,1.33427,1.09804,1.26625,1.10089,0.96037,0.91211
17,1800,1.24016,1.09639,1.20272,1.09472,1.27432,1.09821,1.03117,0.90719
18,1900,1.21557,1.09398,1.12967,1.09047,1.28362,1.09555,0.95919,0.90231
19,2000,1.16687,1.08962,1.13178,1.08696,1.15995,1.09126,0.94320,0.89716
20,2100,1.24796,1.08584,1.22626,1.08345,1.21884,1.08732,1.00264,0.89299
21,2200,1.17276,1.08177,1.27773,1.07982,1.23632,1.08421,1.03519,0.88856
22,2300,1.34593,1.07807,1.27188,1.07778,1.28213,1.08139,0.95783,0.88421
