iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value,4_iql_loss,4_count_value
0,100,7.00144,0.49034,7.29719,0.50201,6.82790,0.47665,7.10820,0.49777
1,200,2.44322,0.38631,2.47255,0.39091,2.47648,0.37905,2.51198,0.39399
2,300,2.13924,0.36629,2.25105,0.37410,2.31606,0.36877,2.36496,0.37506
3,400,2.13517,0.36497,2.20367,0.36772,2.25125,0.36598,2.41924,0.37269
4,500,2.19531,0.35865,2.33181,0.36731,2.23364,0.36486,2.26695,0.36980
5,600,2.32130,0.35374,2.26940,0.36245,2.41556,0.36070,2.24454,0.36697
6,700,2.20148,0.35556,2.23130,0.35178,2.32301,0.35652,2.20332,0.36208
7,800,2.33096,0.36137,2.15364,0.35554,2.25895,0.35373,2.27893,0.36393
8,900,2.40906,0.35702,2.25131,0.35658,2.26690,0.35130,2.22061,0.35838
9,1000,2.35987,0.35793,2.34388,0.35478,2.37423,0.35437,2.15455,0.35710
10,1100,2.36375,0.35371,2.37614,0.35732,2.29411,0.35288,2.13696,0.35583
11,1200,2.30526,0.35291,2.40115,0.35501,2.36266,0.35167,2.10417,0.35438
12,1300,2.30811,0.35144,2.30866,0.35382,2.38961,0.34886,2.11941,0.35452
13,1400,2.26930,0.35043,2.30700,0.35214,2.46299,0.35321,2.05614,0.35339
14,1500,2.40105,0.34946,2.39150,0.35286,2.46843,0.35218,2.13389,0.35425
15,1600,2.27945,0.34876,2.34952,0.35084,2.40440,0.35094,2.17663,0.35128
16,1700,2.49304,0.34963,2.34207,0.35313,2.41219,0.35048,2.10912,0.35024
17,1800,2.37399,0.34369,2.39661,0.35119,2.51054,0.34919,2.14999,0.35043
18,1900,2.43668,0.34084,2.49311,0.34685,2.47293,0.34977,2.19216,0.35337
19,2000,2.45372,0.34417,2.54194,0.34634,2.52212,0.34785,2.21947,0.35407
20,2100,2.62956,0.34059,2.53885,0.34765,2.52335,0.34784,2.18383,0.35037
21,2200,2.54009,0.34436,2.49177,0.34889,2.57056,0.34772,2.26486,0.35189
22,2300,2.44676,0.34166,2.61436,0.34753,2.62209,0.35268,2.28105,0.35732
23,2400,2.56277,0.34377,2.53360,0.34602,2.58209,0.34907,2.23526,0.35311
24,2500,2.52161,0.34299,2.54278,0.34606,2.70737,0.35097,2.26461,0.35307
25,2600,2.58647,0.34151,2.55324,0.34710,2.55442,0.34875,2.26778,0.35434
26,2700,2.60546,0.34180,2.59810,0.34731,2.62796,0.35015,2.33809,0.35445
27,2800,2.59570,0.34426,2.70294,0.34906,2.63684,0.35075,2.31078,0.35625
28,2900,2.57786,0.34459,2.73448,0.34927,2.60454,0.35231,2.30846,0.35401
29,3000,2.62804,0.34401,2.68196,0.34810,2.67641,0.35189,2.32096,0.35592
30,3100,2.74477,0.34324,2.70220,0.34858,2.62993,0.35365,2.34051,0.35721
31,3200,2.57085,0.34401,2.67886,0.34751,2.68317,0.35197,2.32684,0.35578
32,3300,2.69246,0.34398,2.61226,0.34860,2.65161,0.35343,2.36236,0.35977
33,3400,2.77302,0.34579,2.73068,0.35188,2.68318,0.35626,2.31796,0.35859
34,3500,2.57882,0.34396,2.76047,0.35131,2.71893,0.35232,2.27260,0.36037
35,3600,2.73303,0.34873,2.68144,0.35060,2.76683,0.35710,2.27485,0.35759
36,3700,2.78242,0.34900,2.74174,0.35103,2.65275,0.35331,2.36819,0.36038
37,3800,2.79723,0.34859,2.74614,0.35477,2.74610,0.35347,2.33243,0.35999
38,3900,2.82944,0.34928,2.74204,0.35149,2.74793,0.35620,2.41468,0.35995
39,4000,2.85328,0.34913,2.70562,0.35470,2.83587,0.35863,2.31993,0.35836
40,4100,2.82315,0.35138,2.82190,0.35590,2.74256,0.35737,2.29582,0.35893
41,4200,2.87982,0.35280,2.77980,0.35585,2.78427,0.36172,2.26307,0.36320
42,4300,2.77632,0.35209,2.81120,0.35628,2.78496,0.35901,2.34537,0.36626
43,4400,2.94341,0.35293,2.90863,0.35619,2.80618,0.35862,2.33137,0.36262
44,4500,2.79655,0.35098,2.87204,0.35664,2.81622,0.35897,2.32299,0.36222
45,4600,2.91343,0.35614,2.87588,0.36027,2.87270,0.36226,2.29371,0.36355
46,4700,2.93064,0.35476,2.86798,0.36164,2.84897,0.36128,2.33631,0.36350
47,4800,2.90553,0.35743,2.88730,0.36155,2.90013,0.36132,2.27622,0.36411
48,4900,2.89107,0.35810,2.93007,0.36216,2.86924,0.36096,2.30784,0.36565
49,5000,2.91590,0.35778,2.94755,0.36387,2.84854,0.36689,2.29304,0.36769
50,5100,2.88648,0.35685,2.97143,0.36328,2.90756,0.36437,2.28819,0.36848
51,5200,2.96077,0.35859,2.90752,0.36421,2.89974,0.36463,2.30802,0.36617
52,5300,2.93640,0.35993,2.84132,0.36240,2.90610,0.36242,2.33848,0.36578
53,5400,2.90928,0.36139,2.90550,0.36532,2.85686,0.36168,2.29915,0.36535
54,5500,2.98216,0.36077,2.91880,0.36597,2.87729,0.36690,2.28065,0.36729
55,5600,3.02606,0.36020,2.79463,0.36943,2.84548,0.36495,2.22705,0.36629
56,5700,2.98130,0.36068,2.89464,0.36676,2.87731,0.36466,2.30323,0.36661
57,5800,2.94258,0.36539,2.85241,0.36725,2.98438,0.36714,2.21118,0.36693
58,5900,2.98058,0.36470,2.93519,0.36824,2.91900,0.36440,2.29059,0.36751
59,6000,2.96492,0.36346,2.87972,0.36978,2.97751,0.36621,2.19617,0.36673
60,6100,2.99100,0.36671,2.82768,0.36852,2.91265,0.36755,2.27502,0.36658
61,6200,2.94709,0.36387,2.84011,0.37007,2.83890,0.36502,2.22692,0.36659
62,6300,2.97160,0.36704,2.87768,0.36549,2.93905,0.36913,2.30676,0.36862
63,6400,2.95712,0.36279,2.87168,0.37282,2.95864,0.36440,2.29940,0.36681
64,6500,2.97260,0.36245,2.83196,0.36842,2.83474,0.36770,2.27846,0.36843
65,6600,2.89447,0.36618,2.85894,0.36716,2.96943,0.36860,2.31236,0.36869
66,6700,2.88162,0.36601,2.86565,0.37134,2.90179,0.36857,2.24980,0.36909
67,6800,2.86482,0.36608,2.80740,0.36825,2.87141,0.36623,2.28707,0.36850
68,6900,2.86970,0.36626,2.79669,0.37230,2.90657,0.37096,2.23503,0.36380
69,7000,2.88706,0.36594,2.76884,0.36917,2.90616,0.36717,2.24522,0.36846
70,7100,2.91256,0.36712,2.81315,0.36753,2.83090,0.36706,2.22182,0.36958
71,7200,2.84869,0.36521,2.77174,0.37156,2.85111,0.36785,2.22225,0.36951
72,7300,2.93616,0.36921,2.88203,0.37129,2.71449,0.36889,2.28883,0.36927
73,7400,2.89537,0.36807,2.74545,0.36940,2.88529,0.37131,2.21904,0.36637
74,7500,2.88347,0.36861,2.69577,0.36949,2.92521,0.36776,2.29824,0.36630
75,7600,2.83980,0.36496,2.76095,0.37032,2.77358,0.36735,2.24115,0.36615
76,7700,2.88460,0.36935,2.75414,0.37293,2.87434,0.36858,2.25764,0.36402
77,7800,2.83980,0.36780,2.62413,0.37164,2.87314,0.37221,2.27865,0.36706
78,7900,2.88696,0.36733,2.75120,0.37061,2.86939,0.37091,2.24773,0.36399
79,8000,2.83511,0.36686,2.68707,0.37067,2.77588,0.36922,2.26657,0.36609
80,8100,2.88159,0.36942,2.75498,0.37107,2.76875,0.36816,2.34291,0.36320
81,8200,2.82553,0.36964,2.74060,0.37102,2.83698,0.36827,2.33770,0.36573
82,8300,2.81330,0.36892,2.71703,0.36592,2.81549,0.37227,2.28996,0.36350
83,8400,2.76971,0.36676,2.70404,0.36539,2.77174,0.36809,2.31513,0.36493
84,8500,2.84478,0.36710,2.67975,0.36874,2.79257,0.37087,2.31556,0.36289
85,8600,2.78409,0.36676,2.66795,0.37119,2.71861,0.36927,2.23722,0.36145
86,8700,2.78414,0.36738,2.73858,0.36889,2.74107,0.37195,2.35339,0.36112
87,8800,2.78200,0.36703,2.77845,0.36885,2.70265,0.37291,2.28029,0.36130
88,8900,2.74566,0.36404,2.71208,0.36753,2.70878,0.37019,2.26487,0.35968
89,9000,2.74750,0.36666,2.73803,0.36826,2.73645,0.37017,2.26211,0.35676
90,9100,2.76396,0.36451,2.70856,0.37012,2.68592,0.36770,2.36860,0.35752
91,9200,2.73603,0.36510,2.73279,0.36626,2.63811,0.36876,2.33586,0.35652
92,9300,2.78966,0.36521,2.67052,0.36609,2.76153,0.36781,2.31226,0.35737
93,9400,2.73377,0.36535,2.70432,0.36624,2.71451,0.36966,2.34724,0.36007
94,9500,2.71376,0.36546,2.69095,0.36674,2.67421,0.36910,2.37173,0.35654
95,9600,2.73103,0.36480,2.58269,0.36651,2.67979,0.37016,2.30494,0.35190
96,9700,2.70653,0.36174,2.66849,0.36733,2.70149,0.36854,2.30784,0.35318
97,9800,2.66992,0.36559,2.75353,0.36956,2.61961,0.36837,2.28852,0.35181
98,9900,2.63352,0.36119,2.69836,0.36906,2.78108,0.36802,2.27104,0.35153
99,10000,2.69180,0.36310,2.67508,0.37092,2.63076,0.36592,2.36691,0.35025
100,10100,2.75048,0.36449,2.62877,0.36850,2.66518,0.36619,2.31852,0.34890
101,10200,2.62322,0.36103,2.72067,0.36802,2.66797,0.36987,2.28196,0.35074
102,10300,2.60794,0.36214,2.68919,0.36871,2.65324,0.36500,2.31657,0.34944
103,10400,2.69171,0.36333,2.64613,0.36664,2.65743,0.36513,2.33419,0.34751
104,10500,2.69694,0.36313,2.63372,0.36594,2.66531,0.36656,2.26884,0.34416
105,10600,2.61551,0.36150,2.63449,0.36562,2.68102,0.36676,2.32699,0.34497
106,10700,2.69509,0.36179,2.65490,0.36732,2.62153,0.36532,2.32957,0.34308
107,10800,2.58012,0.35823,2.67113,0.36726,2.70827,0.36805,2.30185,0.34333
108,10900,2.59065,0.36030,2.61621,0.36492,2.59961,0.36471,2.37723,0.34396
109,11000,2.61298,0.35843,2.67958,0.36719,2.65342,0.36554,2.33202,0.34134
110,11100,2.61343,0.35910,2.59602,0.36439,2.70175,0.36478,2.30094,0.33933
111,11200,2.65203,0.35951,2.62209,0.36624,2.67612,0.36568,2.31095,0.33980
112,11300,2.62043,0.35847,2.66916,0.36440,2.63873,0.36095,2.30580,0.33645
113,11400,2.58386,0.35808,2.61684,0.36200,2.67519,0.35962,2.27648,0.33909
114,11500,2.61170,0.35543,2.60624,0.36426,2.65874,0.36222,2.24762,0.33375
115,11600,2.53259,0.35598,2.66893,0.36608,2.70808,0.36384,2.26752,0.33233
116,11700,2.59177,0.35589,2.55180,0.36356,2.68646,0.36359,2.25060,0.33459
117,11800,2.55438,0.35433,2.63116,0.36464,2.67711,0.36312,2.22273,0.33337
118,11900,2.60002,0.35568,2.61917,0.36001,2.65030,0.36191,2.28609,0.33173
119,12000,2.59680,0.35237,2.69009,0.36436,2.63955,0.35932,2.24162,0.32814
120,12100,2.59799,0.35550,2.72451,0.36246,2.63331,0.36048,2.24697,0.32801
121,12200,2.47442,0.35309,2.54430,0.35933,2.62674,0.36057,2.20862,0.32642
122,12300,2.49707,0.35187,2.60551,0.36356,2.59569,0.36006,2.23386,0.32908
123,12400,2.53393,0.35148,2.60622,0.36053,2.63119,0.35927,2.30161,0.32601
124,12500,2.51461,0.35273,2.64246,0.36054,2.58277,0.35882,2.27186,0.32732
125,12600,2.56072,0.35179,2.58298,0.36084,2.58166,0.36037,2.25118,0.32568
126,12700,2.57642,0.35343,2.58433,0.35942,2.61718,0.35936,2.29563,0.32454
127,12800,2.51697,0.35017,2.55449,0.36267,2.62911,0.36028,2.31744,0.32445
128,12900,2.54311,0.35287,2.54898,0.35801,2.63850,0.35856,2.20281,0.32036
129,13000,2.50566,0.35078,2.57425,0.35840,2.58330,0.35691,2.27277,0.32414
130,13100,2.45716,0.35177,2.61039,0.35873,2.65802,0.35763,2.22635,0.32485
131,13200,2.51106,0.35146,2.56305,0.35831,2.63448,0.35849,2.24991,0.32071
132,13300,2.43801,0.34959,2.45135,0.35833,2.56735,0.35639,2.21659,0.32075
133,13400,2.54064,0.35190,2.56303,0.35480,2.64874,0.35726,2.19907,0.31932
134,13500,2.50214,0.35000,2.61086,0.35843,2.57956,0.35398,2.22572,0.32072
135,13600,2.50551,0.34739,2.63676,0.35768,2.62191,0.35597,2.19476,0.31697
136,13700,2.46810,0.34932,2.62709,0.35628,2.55533,0.35452,2.18778,0.31659
137,13800,2.40328,0.34773,2.57448,0.35496,2.59051,0.35498,2.22630,0.31518
138,13900,2.52997,0.34908,2.63480,0.35481,2.70728,0.35653,2.22940,0.31663
139,14000,2.43844,0.34633,2.59535,0.35331,2.53987,0.35455,2.35172,0.31666
140,14100,2.42068,0.34854,2.48606,0.35491,2.64716,0.35360,2.24005,0.31566
141,14200,2.50670,0.34927,2.56670,0.35316,2.57902,0.35332,2.25630,0.31560
142,14300,2.46869,0.34957,2.54002,0.35204,2.58896,0.35227,2.24757,0.31566
143,14400,2.44774,0.34554,2.51617,0.34965,2.60462,0.35222,2.19904,0.31257
