iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss,4_iql_loss,4_icm_forward_loss,4_icm_inverse_loss
0,100,4.67923,0.44642,1.61133,4.72809,0.44590,1.61003,4.82920,0.44905,1.61195,2.74357,0.32910,1.61205
1,200,1.80974,0.44492,1.61120,1.78499,0.44351,1.61019,1.87035,0.44642,1.61129,1.36552,0.32657,1.61254
2,300,1.20156,0.44242,1.61030,1.21645,0.44163,1.60974,1.37325,0.44296,1.61072,1.16291,0.32569,1.61230
3,400,1.05338,0.43946,1.61061,1.03407,0.43828,1.61029,1.09186,0.43855,1.61085,1.02644,0.32245,1.61223
4,500,0.95158,0.43620,1.61071,1.02976,0.43522,1.61067,1.05597,0.43513,1.61092,0.88872,0.31901,1.61172
5,600,1.02546,0.43249,1.61100,1.18489,0.43179,1.61110,1.12322,0.43201,1.61044,0.78585,0.31579,1.61083
6,700,0.97175,0.42932,1.61091,0.98299,0.42878,1.61108,1.07530,0.42912,1.61059,0.75756,0.31298,1.61162
7,800,0.97186,0.42581,1.61111,1.03418,0.42531,1.61064,1.04873,0.42600,1.61056,0.78716,0.31043,1.61153
8,900,1.11969,0.42265,1.61142,0.99871,0.42178,1.61093,0.94228,0.42251,1.61093,0.79867,0.30804,1.61188
9,1000,1.12092,0.41957,1.61159,1.07811,0.41918,1.61065,1.00531,0.41938,1.61095,0.76595,0.30532,1.61082
10,1100,1.06062,0.41604,1.61188,1.04959,0.41583,1.61089,0.99628,0.41619,1.61098,0.89053,0.30291,1.61133
11,1200,1.07453,0.41283,1.61198,1.14195,0.41240,1.61131,1.00380,0.41318,1.61140,0.82122,0.30064,1.61042
12,1300,1.03322,0.40975,1.61194,1.05111,0.40930,1.61156,1.05590,0.40994,1.61100,0.87434,0.29840,1.61108
13,1400,1.02721,0.40637,1.61215,1.05541,0.40582,1.61189,1.09978,0.40681,1.61131,0.80440,0.29592,1.61123
