number,rewards,variances,exploration_value
0,[0.08000 0.08000 0.08000 -4.56245],[0.02560 0.02560 0.02560 1.06129],0.9988953697090716
100,[0.00000 0.00000 0.00000 -0.26374],[0.00000 0.00000 0.00000 0.26897],0.9797606658876263
200,[0.32000 0.32000 0.32000 -0.44438],[0.15360 0.15360 0.15360 0.09720],0.9609925038496699
300,[0.32000 0.32000 0.32000 -1.73957],[0.15360 0.15360 0.15360 4.07213],0.9425838621706605
400,[0.08000 0.08000 0.08000 -0.31601],[0.02560 0.02560 0.02560 0.06955],0.9245278539275122
500,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.9068177241220878
600,[0.48000 0.48000 0.48000 -0.48167],[0.15360 0.15360 0.15360 0.15468],0.889446847154093
700,[0.00000 0.00000 0.00000 -0.04891],[0.00000 0.00000 0.00000 0.00909],0.8724087243423219
800,[0.00000 0.00000 0.00000 -0.08511],[0.00000 0.00000 0.00000 0.01097],0.8556969814934174
900,[0.08000 0.08000 0.08000 -0.08233],[0.02560 0.02560 0.02560 0.02525],0.8393053665172148
1000,[0.08000 0.08000 0.08000 -0.08378],[0.02560 0.02560 0.02560 0.02505],0.8232277470877281
1100,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.8074581083489812
1200,[0.16000 0.16000 0.16000 -0.25030],[0.10240 0.10240 0.10240 0.10513],0.7919905506647517
1300,[0.08000 0.08000 0.08000 -0.08154],[0.02560 0.02560 0.02560 0.02536],0.7768192874114557
1400,[0.24000 0.24000 0.24000 -0.24000],[0.23040 0.23040 0.23040 0.23040],0.7619386428132808
1500,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.7473430498187978
1600,[0.00000 0.00000 0.00000 -0.00325],[0.00000 0.00000 0.00000 0.00004],0.7330270480182665
1700,[0.16000 0.16000 0.16000 -0.16741],[0.10240 0.10240 0.10240 0.10027],0.7189852816008054
1800,[0.56000 0.56000 0.56000 -0.56000],[0.16640 0.16640 0.16640 0.16640],0.705212497350724
1900,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.6917035426822101
2000,[0.24000 0.24000 0.24000 -0.24139],[0.23040 0.23040 0.23040 0.22974],0.6784533637116886
2100,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.6654570033670938
2200,[0.16000 0.16000 0.16000 -0.16000],[0.03840 0.03840 0.03840 0.03840],0.6527095995333525
2300,[0.72000 0.72000 0.72000 -0.72416],[0.53760 0.53760 0.53760 0.53167],0.6402063832334086
2400,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.6279426768440843
2500,[0.08000 0.08000 0.08000 -0.13665],[0.02560 0.02560 0.02560 0.02937],0.6159138923461105
2600,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.6041155296076918
2700,[0.00000 0.00000 0.00000 -0.00596],[0.00000 0.00000 0.00000 0.00007],0.5925431747009424
2800,[0.40000 0.40000 0.40000 -0.40237],[0.06400 0.06400 0.06400 0.06402],0.5811924982505915
2900,[0.72000 0.72000 0.72000 -0.72000],[1.17760 1.17760 1.17760 1.17760],0.5700592538142826
3000,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.5591392762939287
3100,[0.32000 0.32000 0.32000 -0.32000],[0.15360 0.15360 0.15360 0.15360],0.5484284803774964
3200,[0.64000 0.64000 0.64000 -0.64000],[1.19040 1.19040 1.19040 1.19040],0.5379228590106419
3300,[0.40000 0.40000 0.40000 -0.43710],[0.64000 0.64000 0.64000 0.75619],0.5276184818975981
3400,[0.32000 0.32000 0.32000 -0.32000],[0.08960 0.08960 0.08960 0.08960],0.5175114940308205
3500,[0.16000 0.16000 0.16000 -0.18691],[0.10240 0.10240 0.10240 0.09669],0.5075981142487541
3600,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.4978746338212661
3700,[0.00000 0.00000 0.00000 -0.00086],[0.00000 0.00000 0.00000 0.00000],0.48833741506215295
3800,[0.00000 0.00000 0.00000 -0.01252],[0.00000 0.00000 0.00000 0.00063],0.47898288996823385
3900,[0.32000 0.32000 0.32000 -0.32000],[0.08960 0.08960 0.08960 0.08960],0.46980755888450715
4000,[1.20000 1.20000 1.20000 -1.22399],[3.45600 3.45600 3.45600 3.45830],0.4608079891948918
4100,[0.24000 0.24000 0.24000 -0.24369],[0.10240 0.10240 0.10240 0.10065],0.45198081403803075
4200,[0.00000 0.00000 0.00000 -0.00148],[0.00000 0.00000 0.00000 0.00001],0.4433227310477052
4300,[0.32000 0.32000 0.32000 -0.32465],[0.15360 0.15360 0.15360 0.15071],0.43483050111737453
4400,[0.08000 0.08000 0.08000 -0.08257],[0.02560 0.02560 0.02560 0.02521],0.42650094718838294
4500,[0.48000 0.48000 0.48000 -0.48000],[0.60160 0.60160 0.60160 0.60160],0.4183309530613763
4600,[0.48000 0.48000 0.48000 -0.48000],[0.34560 0.34560 0.34560 0.34560],0.41031746223049576
4700,[0.56000 0.56000 0.56000 -0.56475],[0.23040 0.23040 0.23040 0.22517],0.4024574767398885
4800,[0.16000 0.16000 0.16000 -0.16341],[0.10240 0.10240 0.10240 0.10133],0.39474805606213775
