number,rewards,variances,exploration_value
0,[0.32000 0.32000 0.32000 -4.01101],[0.08960 0.08960 0.08960 5.98669],0.9988953697090716
100,[0.16000 0.16000 0.16000 -2.04270],[0.10240 0.10240 0.10240 3.75952],0.9797606658876263
200,[0.00000 0.00000 0.00000 -0.20884],[0.00000 0.00000 0.00000 0.17445],0.9609925038496699
300,[0.00000 0.00000 0.00000 -0.57123],[0.00000 0.00000 0.00000 0.24327],0.9425838621706605
400,[0.24000 0.24000 0.24000 -0.93620],[0.23040 0.23040 0.23040 0.12808],0.9245278539275122
500,[0.00000 0.00000 0.00000 -0.97874],[0.00000 0.00000 0.00000 2.41359],0.9068177241220878
600,[0.16000 0.16000 0.16000 -1.18185],[0.03840 0.03840 0.03840 1.08553],0.889446847154093
700,[0.24000 0.24000 0.24000 -1.12164],[0.10240 0.10240 0.10240 1.24901],0.8724087243423219
800,[0.32000 0.32000 0.32000 -1.68425],[0.21760 0.21760 0.21760 0.52114],0.8556969814934174
900,[0.00000 0.00000 0.00000 -1.00503],[0.00000 0.00000 0.00000 0.52122],0.8393053665172148
1000,[0.08000 0.08000 0.08000 -0.87313],[0.02560 0.02560 0.02560 0.86322],0.8232277470877281
1100,[0.00000 0.00000 0.00000 -0.32607],[0.00000 0.00000 0.00000 0.08130],0.8074581083489812
1200,[0.24000 0.24000 0.24000 -0.54807],[0.10240 0.10240 0.10240 0.18007],0.7919905506647517
1300,[0.48000 0.48000 0.48000 -1.04416],[0.40960 0.40960 0.40960 0.59199],0.7768192874114557
1400,[0.08000 0.08000 0.08000 -0.26196],[0.02560 0.02560 0.02560 0.05814],0.7619386428132808
1500,[0.64000 0.64000 0.64000 -0.74410],[0.35840 0.35840 0.35840 0.44347],0.7473430498187978
1600,[0.00000 0.00000 0.00000 -0.10451],[0.00000 0.00000 0.00000 0.03449],0.7330270480182665
1700,[0.08000 0.08000 0.08000 -0.15441],[0.02560 0.02560 0.02560 0.03584],0.7189852816008054
1800,[0.00000 0.00000 0.00000 -0.00432],[0.00000 0.00000 0.00000 0.00006],0.705212497350724
1900,[0.16000 0.16000 0.16000 -0.20403],[0.10240 0.10240 0.10240 0.09557],0.6917035426822101
2000,[0.08000 0.08000 0.08000 -0.09335],[0.02560 0.02560 0.02560 0.02418],0.6784533637116886
2100,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.6654570033670938
2200,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.6527095995333525
2300,[0.08000 0.08000 0.08000 -0.08090],[0.02560 0.02560 0.02560 0.02546],0.6402063832334086
2400,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.6279426768440843
2500,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.6159138923461105
2600,[0.08000 0.08000 0.08000 -0.20760],[0.02560 0.02560 0.02560 0.07031],0.6041155296076918
2700,[0.08000 0.08000 0.08000 -0.12584],[0.02560 0.02560 0.02560 0.02667],0.5925431747009424
2800,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.5811924982505915
2900,[0.16000 0.16000 0.16000 -0.16242],[0.10240 0.10240 0.10240 0.10165],0.5700592538142826
3000,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.5591392762939287
3100,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.5484284803774964
3200,[0.32000 0.32000 0.32000 -0.32000],[0.08960 0.08960 0.08960 0.08960],0.5379228590106419
3300,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.5276184818975981
3400,[0.16000 0.16000 0.16000 -0.16196],[0.03840 0.03840 0.03840 0.03779],0.5175114940308205
3500,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.5075981142487541
3600,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.4978746338212661
3700,[0.48000 0.48000 0.48000 -0.50519],[0.60160 0.60160 0.60160 0.68071],0.48833741506215295
3800,[0.32000 0.32000 0.32000 -0.32338],[0.21760 0.21760 0.21760 0.22360],0.47898288996823385
3900,[0.24000 0.24000 0.24000 -0.24000],[0.03840 0.03840 0.03840 0.03840],0.46980755888450715
4000,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.4608079891948918
4100,[0.16000 0.16000 0.16000 -0.16000],[0.03840 0.03840 0.03840 0.03840],0.45198081403803075
4200,[0.56000 0.56000 0.56000 -0.58852],[0.55040 0.55040 0.55040 0.54442],0.4433227310477052
4300,[0.08000 0.08000 0.08000 -0.08467],[0.02560 0.02560 0.02560 0.02742],0.43483050111737453
4400,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.42650094718838294
4500,[0.64000 0.64000 0.64000 -0.64595],[0.67840 0.67840 0.67840 0.67629],0.4183309530613763
4600,[0.00000 0.00000 0.00000 -0.00273],[0.00000 0.00000 0.00000 0.00003],0.41031746223049576
4700,[0.16000 0.16000 0.16000 -0.16183],[0.10240 0.10240 0.10240 0.10193],0.4024574767398885
4800,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.39474805606213775
4900,[0.40000 0.40000 0.40000 -0.40000],[0.25600 0.25600 0.25600 0.25600],0.3871863159981707
5000,[0.08000 0.08000 0.08000 -0.10859],[0.02560 0.02560 0.02560 0.02392],0.37976942759823823
5100,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.37249461610356654
5200,[0.00000 0.00000 0.00000 -0.00441],[0.00000 0.00000 0.00000 0.00008],0.36535915990828843
5300,[0.16000 0.16000 0.16000 -0.16000],[0.10240 0.10240 0.10240 0.10240],0.3583603895412437
5400,[0.32000 0.32000 0.32000 -0.32027],[0.40960 0.40960 0.40960 0.40943],0.35149568666730197
5500,[0.08000 0.08000 0.08000 -0.08021],[0.02560 0.02560 0.02560 0.02557],0.34476248310780105
5600,[0.32000 0.32000 0.32000 -0.32309],[0.21760 0.21760 0.21760 0.22308],0.33815825987976045
5700,[0.24000 0.24000 0.24000 -0.24238],[0.23040 0.23040 0.23040 0.22928],0.33168054625349885
5800,[0.16000 0.16000 0.16000 -0.16014],[0.10240 0.10240 0.10240 0.10236],0.32532691882829134
