number,rewards,variances,exploration_value
0,[-7.89126 1.37685 1.37685],[26.23761 0.78452 0.78452],0.3
100,[-1.43556 0.41874 0.41874],[0.94239 0.27071 0.27071],0.2988
200,[-3.34768 0.31166 0.31166],[33.85190 1.69039 1.69039],0.2976
300,[-2.89916 0.41834 0.41834],[5.33163 0.19156 0.19156],0.2964
400,[-2.52456 0.47715 0.47715],[4.12516 0.94860 0.94860],0.29519999999999996
500,[-1.37120 0.63973 0.63973],[0.89765 0.19889 0.19889],0.294
600,[-0.37351 -0.54881 -0.54881],[0.07278 0.45890 0.45890],0.2928
700,[-0.97742 0.14588 0.14588],[1.00525 0.10362 0.10362],0.29159999999999997
800,[-1.20138 -0.14286 -0.14286],[2.34105 0.32253 0.32253],0.2904
900,[-2.05059 0.45156 0.45156],[2.05261 1.02491 1.02491],0.28919999999999996
1000,[-1.37743 0.11166 0.11166],[0.51583 0.29507 0.29507],0.288
1100,[-1.78215 0.23964 0.23964],[1.73636 0.62417 0.62417],0.2868
1200,[-1.31362 0.35047 0.35047],[3.00351 0.71515 0.71515],0.28559999999999997
1300,[-2.23676 0.95169 0.95169],[0.97309 0.14201 0.14201],0.2844
1400,[-1.70047 0.31797 0.31797],[1.91288 0.34198 0.34198],0.28319999999999995
1500,[-0.62283 -0.16833 -0.16833],[0.38886 0.05599 0.05599],0.282
1600,[-1.31044 -0.14971 -0.14971],[1.11907 0.92788 0.92788],0.2808
1700,[-1.96444 0.70041 0.70041],[1.68041 0.54793 0.54793],0.2796
1800,[-1.70489 0.68883 0.68883],[2.75461 0.45290 0.45290],0.2784
1900,[-1.39455 -0.43586 -0.43586],[1.82822 0.58809 0.58809],0.2772
2000,[-0.42204 -0.27202 -0.27202],[0.23631 1.21649 1.21649],0.276
2100,[-0.71005 0.29781 0.29781],[0.29307 0.06306 0.06306],0.2748
2200,[-1.29935 0.27045 0.27045],[1.25591 0.20377 0.20377],0.2736
2300,[-1.18453 0.31537 0.31537],[1.63890 0.81690 0.81690],0.2724
2400,[-1.14658 -0.10433 -0.10433],[1.40981 1.37433 1.37433],0.2712
2500,[-2.17506 1.03312 1.03312],[2.59432 0.29213 0.29213],0.27
2600,[-1.18758 0.67386 0.67386],[0.62405 0.14164 0.14164],0.2688
2700,[-1.92018 0.77746 0.77746],[1.90031 0.34544 0.34544],0.2676
2800,[-0.35327 0.01572 0.01572],[0.09524 0.19986 0.19986],0.26639999999999997
