iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
0,100,-1.83006,3.47185,0.29804,-1.86699,2.93891,0.33220,-1.78815,2.90374,0.30540
1,200,-1.67803,1.91031,0.23498,-1.65830,1.55753,0.22506,-1.58241,1.58087,0.21419
2,300,-1.78084,1.88815,0.21639,-1.81114,1.60354,0.20832,-1.61348,1.43757,0.18156
3,400,-2.04466,1.94839,0.21706,-2.05694,1.67026,0.21976,-1.70363,1.31674,0.16874
4,500,-2.27778,1.90851,0.22190,-2.28952,1.61358,0.22890,-1.83238,1.36047,0.16918
5,600,-2.31929,1.69236,0.20770,-2.52361,1.58280,0.22731,-1.92102,1.32249,0.16059
6,700,-2.48155,1.61791,0.20024,-2.79925,1.62305,0.23152,-2.04855,1.29666,0.15778
7,800,-2.64784,1.60426,0.19774,-3.07177,1.49364,0.22732,-2.28523,1.43512,0.16500
8,900,-2.87814,1.61621,0.19812,-3.26582,1.46547,0.22643,-2.50473,1.53119,0.16766
9,1000,-3.10713,1.75053,0.20109,-3.44545,1.44927,0.22031,-2.67613,1.38969,0.16776
10,1100,-3.27357,1.74618,0.19656,-3.65266,1.48777,0.21779,-2.86924,1.60431,0.17507
11,1200,-3.47416,1.74541,0.19286,-3.86932,1.46871,0.21223,-3.14536,1.67010,0.18085
12,1300,-3.58895,1.78397,0.18781,-4.07424,1.56081,0.20859,-3.31365,1.73109,0.18030
13,1400,-3.79408,1.83745,0.18886,-4.26869,1.59814,0.20651,-3.54698,1.75244,0.18398
14,1500,-3.99748,1.90538,0.18655,-4.41402,1.70703,0.20351,-3.80535,1.79256,0.18560
15,1600,-4.14626,2.01794,0.18889,-4.66908,1.74505,0.20538,-4.05049,1.87288,0.19184
16,1700,-4.33822,2.08218,0.18369,-4.76795,1.77789,0.19985,-4.32565,2.08302,0.19172
17,1800,-4.56026,2.16518,0.18513,-5.00267,1.87276,0.20222,-4.50486,2.07363,0.19676
18,1900,-4.64942,2.36940,0.18224,-5.14932,1.96674,0.20174,-4.76424,2.06867,0.19884
19,2000,-4.88965,2.28711,0.18480,-5.35965,1.94714,0.20322,-4.97484,2.23117,0.20070
20,2100,-5.15960,2.34067,0.18752,-5.51875,2.07704,0.20354,-5.21605,2.24398,0.20320
21,2200,-5.25137,2.39106,0.18564,-5.65549,2.19080,0.20170,-5.33014,2.36621,0.19955
22,2300,-5.46800,2.45060,0.18587,-5.89152,2.18504,0.20638,-5.54604,2.29567,0.20146
23,2400,-5.75298,2.60594,0.19197,-6.18652,2.25201,0.20810,-5.77684,2.39381,0.20421
24,2500,-5.97862,2.68967,0.19098,-6.33924,2.39658,0.20989,-6.03751,2.37706,0.20626
25,2600,-6.12043,2.56790,0.19254,-6.58647,2.41952,0.20999,-6.22378,2.53900,0.20905
26,2700,-6.34205,2.71864,0.19670,-6.71178,2.55287,0.21143,-6.46980,2.43475,0.21085
27,2800,-6.57669,2.80080,0.19651,-6.89223,2.55161,0.21151,-6.63326,2.66341,0.21148
28,2900,-6.69599,2.80195,0.19760,-7.13142,2.69047,0.21455,-6.89242,2.75257,0.21315
29,3000,-6.89569,2.90230,0.19801,-7.29590,2.83255,0.21091,-7.10061,2.88338,0.21496
30,3100,-7.12156,3.02561,0.19892,-7.50189,2.74310,0.21406,-7.36402,2.87484,0.21610
31,3200,-7.26809,3.11572,0.19904,-7.64614,2.84316,0.21338,-7.47834,2.84703,0.21468
32,3300,-7.48817,3.13453,0.20024,-7.88096,3.02796,0.21314,-7.72995,2.87941,0.21703
33,3400,-7.73587,3.12562,0.20065,-8.01052,3.00078,0.21359,-7.85309,3.09622,0.21693
34,3500,-7.89073,3.24783,0.19964,-8.21197,3.00771,0.21142,-8.10188,3.13932,0.21801
35,3600,-8.00028,3.25517,0.19932,-8.41254,3.14355,0.21333,-8.30758,3.32585,0.22058
36,3700,-8.11223,3.24843,0.19479,-8.59740,3.13398,0.21228,-8.46340,3.41694,0.21852
37,3800,-8.37826,3.21788,0.19736,-8.70108,3.33592,0.21498,-8.49279,3.24219,0.21485
38,3900,-8.60353,3.44789,0.19911,-8.88363,3.36006,0.21547,-8.76759,3.39815,0.21511
39,4000,-8.72841,3.58873,0.19801,-9.05405,3.34882,0.21302,-8.90715,3.44173,0.21636
40,4100,-8.85028,3.37846,0.19610,-9.24118,3.37588,0.21416,-9.10184,3.49428,0.21566
41,4200,-9.01992,3.77588,0.19639,-9.46147,3.49546,0.21907,-9.31617,3.52533,0.21685
42,4300,-9.04281,3.39018,0.19355,-9.63756,3.41841,0.21789,-9.49128,3.64378,0.21633
43,4400,-9.32036,3.52446,0.19688,-9.81404,3.55334,0.21900,-9.73379,3.48459,0.21699
44,4500,-9.33683,3.65724,0.19223,-9.95173,3.62094,0.21736,-9.91923,3.60357,0.21559
45,4600,-9.47808,3.64909,0.19096,-10.20742,3.86413,0.21515,-9.99106,3.84763,0.21796
46,4700,-9.54050,3.70665,0.19110,-10.22672,3.64064,0.21348,-10.13898,3.73715,0.21413
47,4800,-9.61891,3.79665,0.18944,-10.23181,3.60103,0.21312,-10.30259,3.85985,0.21376
48,4900,-9.72868,3.76749,0.19110,-10.63113,3.69602,0.21359,-10.40086,3.78411,0.21318
49,5000,-10.02813,3.78942,0.19095,-10.57882,3.71430,0.21161,-10.61037,3.76689,0.21234
50,5100,-10.02652,3.68848,0.18785,-10.72329,3.75245,0.21079,-10.58898,4.01484,0.21066
51,5200,-9.97028,3.83885,0.18595,-10.77714,3.79818,0.21118,-10.68931,3.86792,0.21037
52,5300,-10.19972,4.02887,0.18857,-10.83178,4.03817,0.21116,-10.77736,4.08849,0.20970
53,5400,-10.24892,4.16548,0.18554,-11.00041,3.89227,0.20992,-10.87892,3.90366,0.20983
54,5500,-10.36284,4.15415,0.18634,-11.14887,4.01798,0.21192,-11.01096,4.07613,0.20714
55,5600,-10.56923,4.17865,0.18691,-11.04579,3.94636,0.20871,-11.14711,3.92372,0.20855
56,5700,-10.67758,4.12488,0.18778,-11.17389,4.15226,0.20749,-11.24970,4.22287,0.21008
57,5800,-10.70804,4.20554,0.18501,-11.36350,4.06116,0.20945,-11.21397,3.99914,0.20710
58,5900,-10.69942,4.10597,0.18071,-11.39696,3.93485,0.20679,-11.49302,4.06882,0.20973
59,6000,-10.81553,4.04542,0.17952,-11.46381,3.96858,0.20588,-11.51680,4.02610,0.20959
60,6100,-10.86201,4.29718,0.17908,-11.58731,3.93301,0.20736,-11.67284,4.15564,0.20826
61,6200,-10.89389,4.10685,0.18096,-11.73132,3.99505,0.20551,-11.70947,4.34270,0.20613
62,6300,-10.90112,4.24685,0.17789,-11.75536,4.04882,0.20443,-11.76885,4.22383,0.20575
63,6400,-10.94185,4.30804,0.18074,-11.79357,4.23783,0.20505,-11.90450,4.24847,0.20614
64,6500,-11.26944,4.10595,0.18033,-11.86097,3.93995,0.20228,-11.90129,4.35497,0.20374
65,6600,-11.35871,4.15850,0.17892,-11.92822,4.27015,0.20593,-12.04179,4.29410,0.20483
66,6700,-11.25808,4.24356,0.17565,-12.09565,4.18491,0.20489,-12.07161,4.60543,0.20332
67,6800,-11.35894,4.35385,0.17635,-12.19322,4.33218,0.20558,-12.04863,4.27651,0.20191
68,6900,-11.41414,4.54058,0.17554,-12.20749,4.40401,0.20409,-12.28345,4.15906,0.20379
69,7000,-11.45971,4.45526,0.17606,-12.19775,4.30080,0.20259,-12.32166,4.20667,0.20183
70,7100,-11.54604,4.31873,0.17748,-12.28687,4.22982,0.20077,-12.38991,4.25291,0.20098
