iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,-2.48859,1.85028,0.52568,2.69092,-2.45366,1.76990,0.52540,2.69133,-2.56903,1.88333,0.52512,2.69119
1,200,-2.93489,0.95638,0.51807,2.68677,-2.97572,0.86569,0.51808,2.68690,-2.91817,0.98290,0.51721,2.68725
2,300,-3.32275,1.03586,0.50669,2.68620,-3.36129,0.86175,0.50636,2.68655,-3.31657,0.88670,0.50604,2.68608
3,400,-3.78103,1.07684,0.49525,2.68462,-3.72111,0.86531,0.49536,2.68522,-3.68492,0.87216,0.49514,2.68453
4,500,-4.06591,1.11101,0.48406,2.68333,-4.06867,0.98758,0.48383,2.68355,-3.99086,0.94125,0.48357,2.68359
5,600,-4.42578,1.16890,0.47340,2.68114,-4.43746,1.04035,0.47340,2.68108,-4.34165,0.97032,0.47335,2.68102
6,700,-4.73197,1.31513,0.46396,2.67897,-4.69725,1.05700,0.46393,2.67908,-4.67791,1.00674,0.46412,2.67841
7,800,-5.09318,1.32148,0.45440,2.67701,-5.11494,1.04218,0.45420,2.67779,-5.09777,1.05505,0.45405,2.67793
8,900,-5.43662,1.35822,0.44497,2.67626,-5.44295,1.10139,0.44456,2.67620,-5.42529,1.09373,0.44474,2.67636
9,1000,-5.77359,1.48929,0.43482,2.67440,-5.69639,1.25509,0.43470,2.67427,-5.68612,1.11223,0.43457,2.67399
10,1100,-5.97059,1.77902,0.42479,2.67245,-5.99597,1.15145,0.42503,2.67238,-5.99847,1.19588,0.42502,2.67265
11,1200,-6.27096,1.63197,0.41573,2.67053,-6.27805,1.18596,0.41552,2.67100,-6.32033,1.31707,0.41560,2.67109
12,1300,-6.49255,1.73979,0.40633,2.66946,-6.56343,1.22015,0.40655,2.66975,-6.56278,1.31673,0.40611,2.66912
13,1400,-6.72092,1.71482,0.39734,2.66782,-6.87126,1.30350,0.39736,2.66774,-6.81014,1.42123,0.39692,2.66759
14,1500,-6.97403,1.82580,0.38805,2.66542,-7.07705,1.29325,0.38783,2.66560,-7.09949,1.36327,0.38802,2.66613
15,1600,-7.19037,1.97088,0.37937,2.66414,-7.38986,1.39232,0.37986,2.66399,-7.27524,1.46087,0.37897,2.66409
16,1700,-7.42134,1.96098,0.37063,2.66210,-7.60385,1.40534,0.37086,2.66222,-7.53365,1.48054,0.37083,2.66191
17,1800,-7.69607,1.93988,0.36231,2.66047,-7.79443,1.48568,0.36196,2.66062,-7.74148,1.43780,0.36149,2.66095
18,1900,-7.77064,2.04532,0.35334,2.65917,-7.99024,1.47454,0.35352,2.65893,-7.97976,1.43216,0.35359,2.65931
19,2000,-7.98406,2.20695,0.34535,2.65773,-8.22465,1.55546,0.34530,2.65721,-8.15399,1.49750,0.34500,2.65748
20,2100,-8.13676,2.23256,0.33709,2.65587,-8.35693,1.59818,0.33701,2.65565,-8.34556,1.52388,0.33703,2.65586
21,2200,-8.24864,2.37358,0.32886,2.65340,-8.47538,1.68591,0.32909,2.65337,-8.47162,1.49756,0.32870,2.65364
22,2300,-8.55215,2.38104,0.32110,2.65260,-8.66119,1.67256,0.32073,2.65314,-8.64160,1.67888,0.32090,2.65319
23,2400,-8.53467,2.37731,0.31277,2.65183,-8.82193,1.89200,0.31301,2.65116,-8.87565,1.70363,0.31258,2.65111
24,2500,-8.66111,2.39539,0.30544,2.64892,-8.95652,1.62530,0.30531,2.64942,-8.90111,1.72748,0.30512,2.64882
25,2600,-8.70459,2.61204,0.29769,2.64743,-9.00593,1.66498,0.29767,2.64796,-8.96376,1.75534,0.29737,2.64762
26,2700,-8.81233,2.55435,0.29023,2.64501,-9.13341,1.68991,0.29012,2.64600,-9.19421,1.74262,0.29001,2.64559
27,2800,-8.86754,2.47030,0.28300,2.64431,-9.21740,1.77611,0.28275,2.64492,-9.18137,1.90481,0.28256,2.64457
28,2900,-8.97248,2.48837,0.27537,2.64253,-9.32356,1.94129,0.27551,2.64291,-9.32632,1.83985,0.27538,2.64204
29,3000,-9.03376,2.59043,0.26836,2.64105,-9.46797,2.11113,0.26823,2.64043,-9.30987,1.91678,0.26837,2.64025
30,3100,-9.18688,2.63438,0.26174,2.63889,-9.34990,2.00738,0.26150,2.63942,-9.36078,2.01287,0.26157,2.63904
31,3200,-9.13686,2.72464,0.25442,2.63685,-9.45085,1.97761,0.25465,2.63708,-9.35833,2.15221,0.25463,2.63721
32,3300,-9.19425,2.80105,0.24799,2.63547,-9.59422,2.12346,0.24791,2.63540,-9.46474,2.03724,0.24780,2.63564
33,3400,-9.25790,2.95032,0.24132,2.63426,-9.52890,2.03772,0.24130,2.63395,-9.47014,2.25187,0.24141,2.63412
34,3500,-9.26170,2.89857,0.23510,2.63173,-9.69889,2.10432,0.23478,2.63158,-9.55326,2.09885,0.23476,2.63250
35,3600,-9.31821,2.90251,0.22849,2.63050,-9.69439,2.22620,0.22846,2.63074,-9.58333,2.10154,0.22814,2.63002
36,3700,-9.27785,2.96601,0.22243,2.62898,-9.76463,2.11021,0.22230,2.62876,-9.63309,1.99773,0.22226,2.62935
37,3800,-9.31063,2.80324,0.21622,2.62687,-9.61002,2.10806,0.21611,2.62777,-9.66334,2.22361,0.21607,2.62784
38,3900,-9.29252,2.80887,0.21012,2.62527,-9.74961,2.26689,0.21007,2.62584,-9.75496,2.18395,0.21030,2.62620
39,4000,-9.16624,2.62110,0.20437,2.62460,-9.72220,2.21784,0.20414,2.62437,-9.68014,2.45722,0.20413,2.62323
40,4100,-9.19933,2.81875,0.19852,2.62304,-9.88188,2.31765,0.19835,2.62235,-9.72190,2.16445,0.19826,2.62258
41,4200,-9.13336,2.96949,0.19255,2.62086,-9.61461,2.17630,0.19254,2.62125,-9.71880,2.47422,0.19271,2.62085
42,4300,-9.13254,2.78473,0.18727,2.61904,-9.76303,2.39523,0.18718,2.61922,-9.78155,2.50873,0.18700,2.61941
43,4400,-9.09563,2.84413,0.18191,2.61692,-9.67355,2.36614,0.18179,2.61737,-9.60308,2.51593,0.18154,2.61688
44,4500,-9.08227,2.75067,0.17645,2.61573,-9.52377,2.35182,0.17627,2.61469,-9.64992,2.62692,0.17644,2.61611
45,4600,-9.03477,2.85463,0.17113,2.61351,-9.54611,2.26467,0.17129,2.61322,-9.62916,2.51397,0.17108,2.61396
46,4700,-8.98278,2.73027,0.16609,2.61172,-9.52958,2.40954,0.16593,2.61210,-9.54779,2.50730,0.16568,2.61124
47,4800,-8.88289,2.71298,0.16098,2.60902,-9.51885,2.50206,0.16085,2.60919,-9.44000,2.43055,0.16067,2.60975
48,4900,-8.90372,2.83091,0.15564,2.60769,-9.42043,2.30019,0.15574,2.60729,-9.35751,2.70327,0.15577,2.60685
49,5000,-8.92058,2.63821,0.15094,2.60461,-9.29869,2.36022,0.15085,2.60542,-9.35576,2.58781,0.15093,2.60429
50,5100,-8.75765,2.61741,0.14625,2.60322,-9.33499,2.45943,0.14631,2.60326,-9.25995,2.56572,0.14598,2.60284
51,5200,-8.70305,2.68325,0.14161,2.60137,-9.26513,2.44736,0.14155,2.60169,-9.26462,2.74591,0.14125,2.60009
52,5300,-8.55358,2.67955,0.13703,2.59850,-9.12219,2.47095,0.13676,2.59754,-9.06992,2.54998,0.13672,2.59852
53,5400,-8.44993,2.66590,0.13263,2.59677,-9.07244,2.56520,0.13243,2.59630,-8.98850,2.52571,0.13264,2.59561
54,5500,-8.43174,2.72358,0.12814,2.59348,-8.96512,2.51781,0.12824,2.59346,-9.04821,2.65888,0.12830,2.59356
55,5600,-8.36727,2.66514,0.12392,2.59243,-8.92056,2.53144,0.12405,2.59180,-8.91865,2.68894,0.12399,2.59178
56,5700,-8.21989,2.58917,0.11993,2.59038,-8.73590,2.57475,0.11983,2.59084,-8.83538,2.57549,0.11984,2.59016
57,5800,-8.16662,2.57680,0.11605,2.58957,-8.65712,2.59590,0.11588,2.58853,-8.65122,2.67605,0.11585,2.58872
58,5900,-8.06706,2.60176,0.11221,2.58787,-8.57025,2.57330,0.11192,2.58668,-8.55954,2.64861,0.11191,2.58652
59,6000,-8.01666,2.51548,0.10818,2.58486,-8.44370,2.70334,0.10799,2.58428,-8.43721,2.59706,0.10836,2.58466
60,6100,-7.88825,2.73515,0.10468,2.58203,-8.40249,2.61104,0.10450,2.58241,-8.43771,2.56851,0.10446,2.58124
61,6200,-7.78395,2.65220,0.10118,2.58054,-8.33098,2.53528,0.10077,2.57976,-8.37483,2.67298,0.10103,2.58100
62,6300,-7.73500,2.66453,0.09747,2.57861,-8.23314,2.70669,0.09753,2.57896,-8.29408,2.80554,0.09742,2.57872
63,6400,-7.62560,2.68217,0.09399,2.57442,-8.09051,2.78401,0.09404,2.57488,-7.96606,3.01201,0.09403,2.57583
64,6500,-7.47927,2.53976,0.09084,2.57265,-7.99718,2.66256,0.09066,2.57211,-8.01572,2.75374,0.09057,2.57366
65,6600,-7.37269,2.56732,0.08762,2.57155,-7.96362,2.86340,0.08740,2.56974,-7.94365,2.71246,0.08749,2.57042
66,6700,-7.28940,2.38529,0.08452,2.56877,-7.80871,2.62176,0.08433,2.56975,-7.81030,2.64736,0.08436,2.56910
67,6800,-7.28621,2.57098,0.08145,2.56577,-7.67243,2.63393,0.08143,2.56616,-7.68248,2.68825,0.08131,2.56529
68,6900,-7.11503,2.60154,0.07870,2.56440,-7.60114,2.71927,0.07863,2.56419,-7.59911,2.68017,0.07859,2.56400
69,7000,-7.05835,2.59318,0.07599,2.56211,-7.43121,2.71154,0.07582,2.56051,-7.45882,2.68110,0.07582,2.56136
70,7100,-6.97395,2.62040,0.07314,2.55902,-7.42475,2.79894,0.07301,2.55888,-7.33698,2.66085,0.07303,2.55931
71,7200,-6.88781,2.51072,0.07069,2.55648,-7.29374,2.72775,0.07065,2.55669,-7.28893,2.83407,0.07069,2.55476
72,7300,-6.64655,2.57465,0.06834,2.55331,-7.15813,2.69588,0.06822,2.55241,-7.16653,2.70934,0.06826,2.55342
73,7400,-6.69314,2.53983,0.06578,2.54725,-7.05906,2.65331,0.06590,2.54942,-7.07332,2.81895,0.06592,2.54865
74,7500,-6.57127,2.55405,0.06372,2.54542,-6.93853,2.72806,0.06375,2.54615,-6.93618,2.72710,0.06372,2.54580
75,7600,-6.58567,2.53618,0.06176,2.54217,-6.83945,2.77175,0.06172,2.54419,-6.85142,2.74457,0.06158,2.54226
76,7700,-6.42699,2.57327,0.05975,2.53862,-6.78854,2.80284,0.05962,2.53929,-6.70821,2.73720,0.05959,2.53951
77,7800,-6.34746,2.52034,0.05777,2.53547,-6.58940,2.80236,0.05782,2.53492,-6.59064,2.76383,0.05771,2.53473
78,7900,-6.20448,2.48410,0.05613,2.53375,-6.48225,2.83369,0.05591,2.53192,-6.56187,2.67419,0.05595,2.53116
79,8000,-6.06281,2.51527,0.05434,2.52824,-6.44510,2.90098,0.05447,2.52958,-6.48082,2.79515,0.05429,2.52771
80,8100,-6.04001,2.43704,0.05286,2.52584,-6.23856,2.93584,0.05286,2.52522,-6.41038,2.84431,0.05274,2.52549
81,8200,-5.91832,2.49895,0.05138,2.51923,-6.27053,2.89873,0.05136,2.52155,-6.11308,2.71032,0.05131,2.52192
82,8300,-5.80698,2.39187,0.04999,2.51834,-6.08540,2.84681,0.04991,2.51512,-6.15587,2.81513,0.04993,2.51793
83,8400,-5.74184,2.40636,0.04872,2.51401,-6.01455,2.97122,0.04865,2.51197,-6.03705,2.78872,0.04890,2.51514
84,8500,-5.70049,2.50811,0.04763,2.50913,-6.01476,2.89687,0.04747,2.50887,-5.92570,2.76866,0.04759,2.51015
85,8600,-5.54718,2.51389,0.04648,2.50650,-5.93242,3.00696,0.04638,2.50575,-5.98618,2.93841,0.04631,2.50438
86,8700,-5.52225,2.43758,0.04540,2.50154,-5.81688,3.07270,0.04538,2.49990,-5.90238,2.83850,0.04536,2.50108
87,8800,-5.60285,2.49875,0.04466,2.49754,-5.69663,2.81699,0.04433,2.49578,-5.81016,2.88522,0.04431,2.49537
88,8900,-5.52656,2.27598,0.04362,2.49308,-5.67910,3.03340,0.04347,2.49220,-5.80378,3.05548,0.04365,2.49517
89,9000,-5.38712,2.27542,0.04261,2.48805,-5.56588,2.98962,0.04253,2.48719,-5.68945,2.97679,0.04273,2.48829
90,9100,-5.16612,2.34412,0.04175,2.48189,-5.51388,3.00350,0.04185,2.48485,-5.66761,3.08223,0.04189,2.48456
91,9200,-5.15278,2.31244,0.04118,2.48055,-5.47145,3.05761,0.04114,2.47870,-5.50541,2.96506,0.04129,2.48066
92,9300,-5.04471,2.28980,0.04040,2.47525,-5.30097,2.96976,0.04031,2.47365,-5.44697,3.02171,0.04036,2.47326
93,9400,-4.97095,2.25742,0.03971,2.46916,-5.31894,3.01679,0.03981,2.46969,-5.33762,3.15232,0.03975,2.46944
94,9500,-4.86496,2.17646,0.03913,2.46435,-5.17918,3.09126,0.03922,2.46697,-5.24456,3.17506,0.03923,2.46507
95,9600,-4.89125,2.17767,0.03859,2.46020,-5.10853,3.26122,0.03852,2.46078,-5.14078,3.02031,0.03859,2.45956
96,9700,-4.83368,2.15982,0.03794,2.45629,-5.05183,3.18054,0.03812,2.45778,-5.09239,3.25331,0.03774,2.45297
97,9800,-4.85152,2.05830,0.03748,2.45135,-4.89362,3.05935,0.03748,2.44990,-5.09006,3.03436,0.03753,2.45278
98,9900,-4.91021,2.10118,0.03692,2.44597,-4.83568,3.12083,0.03706,2.44760,-5.02525,3.00346,0.03706,2.44675
99,10000,-4.85726,2.00049,0.03663,2.44349,-4.81425,3.15775,0.03669,2.44492,-4.88484,3.13613,0.03650,2.44121
100,10100,-4.82742,2.01926,0.03615,2.44050,-4.66868,3.05782,0.03605,2.43638,-4.83654,3.06584,0.03622,2.43714
101,10200,-4.80577,1.88794,0.03569,2.43263,-4.60801,3.20105,0.03573,2.43352,-4.68677,3.09763,0.03572,2.43030
102,10300,-4.70128,1.93565,0.03530,2.42851,-4.51854,2.97564,0.03511,2.42391,-4.70455,3.13232,0.03524,2.42556
103,10400,-4.68903,1.84218,0.03489,2.42162,-4.45450,3.02597,0.03491,2.42107,-4.54850,3.09409,0.03487,2.41883
104,10500,-4.67676,1.88931,0.03456,2.41704,-4.41053,3.03353,0.03459,2.41899,-4.52942,3.05774,0.03448,2.41597
105,10600,-4.71831,1.87791,0.03421,2.41186,-4.23462,3.04381,0.03439,2.41170,-4.46078,3.03251,0.03425,2.41059
106,10700,-4.71152,1.78220,0.03392,2.40371,-4.26644,3.02531,0.03397,2.40746,-4.38870,3.06813,0.03379,2.40388
107,10800,-4.63121,1.87029,0.03351,2.40127,-4.09179,3.07901,0.03379,2.40131,-4.30281,3.02081,0.03374,2.40207
108,10900,-4.61486,1.87857,0.03337,2.39503,-4.10652,2.89980,0.03343,2.39320,-4.18956,3.18489,0.03340,2.39533
109,11000,-4.57775,1.78407,0.03304,2.38838,-3.95251,3.00656,0.03312,2.38776,-4.15015,3.13108,0.03308,2.38714
110,11100,-4.55386,1.75948,0.03281,2.38478,-3.83035,2.97851,0.03280,2.38469,-4.04508,3.01183,0.03287,2.38272
111,11200,-4.55052,1.69474,0.03248,2.37509,-3.92775,3.03754,0.03255,2.37494,-3.95380,3.14755,0.03260,2.37661
112,11300,-4.47462,1.72286,0.03230,2.36995,-3.84202,3.08106,0.03211,2.36951,-3.93167,3.09075,0.03240,2.37097
113,11400,-4.55886,1.67242,0.03211,2.36404,-3.75733,2.96233,0.03211,2.36577,-3.79924,3.16250,0.03201,2.36314
114,11500,-4.44514,1.71801,0.03193,2.35971,-3.71498,2.99470,0.03173,2.35850,-3.85331,3.09636,0.03194,2.35902
115,11600,-4.48015,1.69328,0.03154,2.34972,-3.61205,2.98003,0.03167,2.35296,-3.82541,3.13162,0.03154,2.35090
116,11700,-4.41252,1.64993,0.03139,2.34700,-3.57322,2.86171,0.03157,2.34911,-3.66482,3.12560,0.03136,2.34544
117,11800,-4.41896,1.62070,0.03137,2.34503,-3.35790,2.94071,0.03114,2.33812,-3.64407,3.00024,0.03106,2.33856
118,11900,-4.38684,1.54792,0.03110,2.33566,-3.46591,3.13723,0.03092,2.33205,-3.57797,3.09205,0.03098,2.33353
119,12000,-4.39375,1.70938,0.03078,2.32585,-3.42371,2.88049,0.03085,2.32699,-3.42443,3.06561,0.03073,2.32577
120,12100,-4.36773,1.55975,0.03045,2.32186,-3.34527,2.86764,0.03049,2.32111,-3.43066,3.10961,0.03064,2.32073
121,12200,-4.31921,1.53686,0.03058,2.31599,-3.17248,2.83089,0.03034,2.31109,-3.41664,3.01671,0.03043,2.31243
122,12300,-4.33514,1.54149,0.03030,2.31133,-3.16410,2.95131,0.03022,2.30859,-3.40946,2.93957,0.03032,2.30811
123,12400,-4.28079,1.58073,0.03005,2.30182,-3.15156,2.84563,0.03002,2.29953,-3.25957,3.03771,0.02994,2.29902
124,12500,-4.18447,1.54367,0.02980,2.29525,-3.17264,2.99538,0.02979,2.29250,-3.29631,3.07618,0.02994,2.29248
125,12600,-4.23362,1.50534,0.02962,2.28864,-3.09085,2.95674,0.02951,2.28621,-3.19284,2.88687,0.02957,2.28776
126,12700,-4.22299,1.53132,0.02949,2.28312,-3.07822,2.80448,0.02948,2.27998,-3.23475,3.24096,0.02942,2.28025
127,12800,-4.12345,1.52735,0.02923,2.27238,-3.02611,2.79330,0.02917,2.26891,-3.13715,3.07068,0.02934,2.27471
128,12900,-4.09528,1.43737,0.02901,2.26389,-2.91289,2.97693,0.02899,2.26343,-3.10626,3.03543,0.02905,2.25994
129,13000,-4.07834,1.46194,0.02884,2.25654,-2.91110,2.83449,0.02887,2.25843,-2.99720,3.09165,0.02878,2.25499
130,13100,-4.08074,1.51863,0.02887,2.25615,-2.85716,2.88682,0.02882,2.24982,-3.01511,3.03127,0.02875,2.24900
131,13200,-3.99112,1.53986,0.02855,2.24239,-2.88000,2.92732,0.02852,2.23842,-2.98095,2.93551,0.02848,2.23951
132,13300,-3.99429,1.52096,0.02828,2.23198,-2.86674,2.90271,0.02841,2.23688,-2.85895,2.95907,0.02833,2.22999
133,13400,-4.00519,1.46482,0.02822,2.22899,-2.82341,2.82358,0.02828,2.22733,-2.87249,2.97851,0.02839,2.22984
134,13500,-3.97205,1.50430,0.02801,2.22026,-2.69908,2.97250,0.02806,2.21954,-2.84414,3.01933,0.02787,2.21892
135,13600,-3.92846,1.52889,0.02790,2.21387,-2.71079,2.82332,0.02789,2.21028,-2.79310,3.08811,0.02795,2.20840
