number,rewards,variances,exploration_value
0,[-2.60158 -0.40800 -0.40800],[1.53093 0.17872 0.17872],0.3
100,[-1.37764 -0.15874 -0.15874],[0.11929 0.19696 0.19696],0.2988
200,[-0.84125 0.25523 0.25523],[0.45500 0.12102 0.12102],0.2976
300,[-0.64688 -0.03834 -0.03834],[0.06951 0.01524 0.01524],0.2964
400,[-0.65026 0.28133 0.28133],[0.31428 0.18939 0.18939],0.29519999999999996
500,[-0.55183 0.37124 0.37124],[0.15654 0.07604 0.07604],0.294
600,[-0.30527 0.18594 0.18594],[0.01899 0.02443 0.02443],0.2928
700,[-0.54700 0.39802 0.39802],[0.15665 0.02789 0.02789],0.29159999999999997
800,[-0.35627 0.24518 0.24518],[0.03868 0.06459 0.06459],0.2904
900,[-0.69571 0.51593 0.51593],[0.06226 0.01164 0.01164],0.28919999999999996
1000,[-0.64735 0.39241 0.39241],[0.30385 0.10657 0.10657],0.288
1100,[-0.49135 0.34390 0.34390],[0.01677 0.04222 0.04222],0.2868
1200,[-0.64766 0.55979 0.55979],[0.18700 0.04511 0.04511],0.28559999999999997
1300,[-0.38321 0.28852 0.28852],[0.01960 0.02797 0.02797],0.2844
1400,[-0.42866 0.27230 0.27230],[0.07387 0.05392 0.05392],0.28319999999999995
1500,[-0.24758 0.08140 0.08140],[0.02965 0.00587 0.00587],0.282
1600,[-0.43345 0.22257 0.22257],[0.03632 0.02102 0.02102],0.2808
1700,[-0.67837 0.47109 0.47109],[0.12412 0.05456 0.05456],0.2796
1800,[-0.45119 0.36236 0.36236],[0.10598 0.03133 0.03133],0.2784
1900,[-0.34703 0.18327 0.18327],[0.05066 0.01752 0.01752],0.2772
2000,[-0.30584 0.27574 0.27574],[0.06695 0.02683 0.02683],0.276
2100,[-0.22166 0.24362 0.24362],[0.01263 0.00526 0.00526],0.2748
2200,[-0.52362 0.40539 0.40539],[0.11490 0.00431 0.00431],0.2736
2300,[-0.46747 0.29919 0.29919],[0.12924 0.02423 0.02423],0.2724
2400,[-0.65426 0.30542 0.30542],[0.55987 0.03679 0.03679],0.2712
2500,[-0.84841 0.52824 0.52824],[0.73855 0.14089 0.14089],0.27
2600,[-0.29062 0.27066 0.27066],[0.01992 0.01500 0.01500],0.2688
2700,[-0.33060 0.26142 0.26142],[0.04271 0.01775 0.01775],0.2676
2800,[-0.42686 0.36643 0.36643],[0.04586 0.05253 0.05253],0.26639999999999997
2900,[-0.72169 0.46482 0.46482],[0.39479 0.07763 0.07763],0.2652
