iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss
0,100,-4.45345,5.06912,0.96090,-4.42501,5.06137,0.96065,-4.47195,5.12403,0.96059
1,200,-5.17938,1.27767,0.95256,-5.26460,1.16293,0.95237,-5.10877,1.17568,0.95243
2,300,-5.77520,1.30509,0.94472,-5.87938,1.14829,0.94460,-5.70807,1.15145,0.94463
3,400,-6.43271,1.30917,0.93699,-6.51899,1.16805,0.93670,-6.31877,1.16588,0.93674
4,500,-7.13674,1.37709,0.92845,-7.15628,1.32148,0.92862,-7.00509,1.27864,0.92824
5,600,-7.88823,1.62400,0.91953,-7.76260,1.56018,0.91942,-7.65634,1.44418,0.91876
6,700,-8.49297,2.08025,0.91094,-8.39398,1.66289,0.91083,-8.21154,1.80101,0.91069
7,800,-9.14026,2.37789,0.90227,-9.19233,2.05605,0.90214,-9.05609,2.17955,0.90193
8,900,-9.92359,2.36551,0.89343,-9.96102,2.40340,0.89340,-9.74159,2.27812,0.89328
9,1000,-10.60207,2.30136,0.88502,-10.65556,2.26897,0.88509,-10.48618,2.31751,0.88465
10,1100,-11.27743,2.30768,0.87688,-11.30965,2.38124,0.87664,-11.19496,2.14745,0.87659
11,1200,-11.92147,2.30038,0.86892,-11.91133,2.29743,0.86846,-11.79917,2.38489,0.86852
12,1300,-12.58189,2.62228,0.86015,-12.61984,2.67863,0.86045,-12.38293,2.62068,0.86002
13,1400,-13.17485,2.80544,0.85203,-13.15018,3.05624,0.85219,-13.06065,3.01426,0.85188
14,1500,-13.84450,3.07549,0.84422,-13.78606,3.36082,0.84375,-13.64340,3.17547,0.84384
15,1600,-14.27693,3.51778,0.83591,-14.49117,3.74987,0.83559,-14.26474,3.60470,0.83561
16,1700,-14.71346,3.69141,0.82717,-14.93607,4.18204,0.82727,-14.85877,4.13360,0.82696
17,1800,-15.42210,4.08896,0.81908,-15.31684,4.56667,0.81932,-15.36045,4.42282,0.81883
18,1900,-15.71704,4.66874,0.81093,-16.07095,5.55381,0.81101,-15.76552,5.69611,0.81106
19,2000,-16.18477,4.99348,0.80291,-16.31015,5.40512,0.80288,-16.14207,5.79605,0.80266
20,2100,-16.72006,5.55102,0.79479,-16.82397,6.00421,0.79444,-16.64009,5.83378,0.79456
21,2200,-17.14224,5.37229,0.78643,-17.04895,6.37279,0.78651,-16.89446,6.16499,0.78623
22,2300,-17.72761,6.02796,0.77851,-17.48691,6.57235,0.77865,-17.50767,6.25082,0.77824
23,2400,-18.10551,5.86217,0.77046,-17.97759,6.77420,0.77016,-17.92509,6.39146,0.77021
24,2500,-18.60017,5.84396,0.76237,-18.47983,6.79603,0.76234,-18.32861,7.09809,0.76209
25,2600,-18.85777,5.96957,0.75432,-18.69072,6.59726,0.75440,-18.63618,7.33779,0.75433
26,2700,-19.04017,5.99602,0.74632,-19.15894,6.70516,0.74640,-19.20365,6.71309,0.74617
27,2800,-19.62936,6.62423,0.73841,-19.42146,6.97740,0.73851,-19.56518,7.01149,0.73837
28,2900,-19.89653,6.36422,0.73095,-19.82753,7.89670,0.73056,-19.82199,7.69366,0.73050
29,3000,-20.13671,7.28583,0.72295,-20.25073,7.66747,0.72266,-20.28145,8.75588,0.72275
30,3100,-20.51037,7.00948,0.71500,-20.27617,7.61618,0.71496,-20.63960,7.45879,0.71494
31,3200,-20.76029,7.12003,0.70697,-20.78256,7.44013,0.70703,-20.88163,7.59918,0.70646
32,3300,-20.90395,8.04681,0.69894,-20.83146,9.62484,0.69854,-20.96496,9.57629,0.69876
33,3400,-21.17771,8.28923,0.69085,-20.94150,10.86011,0.69089,-21.46249,11.15785,0.69061
34,3500,-21.44390,8.93631,0.68275,-21.19800,10.52126,0.68252,-21.50596,10.50300,0.68250
35,3600,-21.69597,8.58776,0.67470,-21.41977,9.84373,0.67435,-21.87369,10.44207,0.67462
36,3700,-22.07678,8.85492,0.66672,-21.80502,10.25289,0.66671,-22.35203,10.94828,0.66663
37,3800,-22.40674,9.65124,0.65889,-22.13561,10.57353,0.65870,-22.31151,10.11429,0.65864
38,3900,-22.46684,10.14922,0.65105,-22.03349,11.77900,0.65093,-22.44916,10.56119,0.65065
39,4000,-22.50817,10.24542,0.64322,-22.25996,12.23305,0.64299,-22.49691,11.55664,0.64315
40,4100,-22.53140,10.18492,0.63518,-22.42468,11.95221,0.63550,-22.63092,12.01835,0.63544
41,4200,-22.45399,9.60654,0.62765,-22.51682,10.98703,0.62757,-22.66359,10.71650,0.62736
42,4300,-22.57598,9.85465,0.61988,-22.45824,10.84171,0.61984,-22.67882,10.49848,0.61968
43,4400,-22.69746,10.75127,0.61194,-22.60896,10.96598,0.61207,-22.67933,11.08617,0.61195
44,4500,-22.68405,10.64496,0.60448,-22.84599,11.45298,0.60449,-22.86987,10.79666,0.60417
45,4600,-22.87594,10.52455,0.59679,-22.82878,12.74514,0.59657,-23.13708,10.81402,0.59634
46,4700,-22.92959,10.46992,0.58898,-22.78674,11.97711,0.58880,-23.28291,11.97033,0.58871
47,4800,-22.97963,10.37726,0.58133,-22.82794,13.12314,0.58101,-23.30651,11.15430,0.58119
48,4900,-23.30121,10.46300,0.57339,-23.02797,12.13181,0.57350,-23.52538,11.51334,0.57327
49,5000,-23.31594,10.53430,0.56565,-23.27351,12.10283,0.56559,-23.45510,11.71152,0.56574
50,5100,-23.58947,10.52011,0.55778,-23.22785,11.87364,0.55790,-23.64641,11.22725,0.55767
51,5200,-23.63523,10.42764,0.54983,-23.10364,11.43974,0.54979,-23.83297,11.01883,0.54979
52,5300,-23.75600,10.61066,0.54219,-23.39742,11.74231,0.54211,-23.95257,11.35830,0.54212
53,5400,-23.79370,11.39280,0.53444,-23.63432,12.10346,0.53432,-24.27531,11.18220,0.53413
54,5500,-24.25076,11.38498,0.52669,-23.74466,12.49984,0.52667,-24.38150,11.02250,0.52631
55,5600,-24.08910,10.17634,0.51907,-24.01656,11.68571,0.51887,-24.60633,10.96111,0.51861
56,5700,-24.04238,9.74645,0.51108,-24.03656,12.06033,0.51111,-24.49950,10.51767,0.51114
57,5800,-24.44228,9.50192,0.50357,-24.10936,11.51051,0.50351,-24.60563,9.88941,0.50333
58,5900,-24.12008,9.03160,0.49594,-24.15576,10.71931,0.49571,-24.85791,10.05205,0.49555
59,6000,-24.26981,9.22363,0.48819,-24.21457,11.53747,0.48833,-24.91676,9.93512,0.48794
60,6100,-24.18940,9.44783,0.48057,-23.86955,12.31682,0.48059,-24.93261,10.01346,0.48030
61,6200,-24.25347,8.82812,0.47314,-24.04588,11.14317,0.47301,-24.88389,10.02306,0.47277
62,6300,-24.16822,8.43645,0.46536,-24.00652,11.46013,0.46524,-24.82278,11.73070,0.46531
