iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
0,100,-1.75990,3.17466,0.32899,-1.62489,2.73224,0.29446,-1.56973,2.36337,0.27240
1,200,-1.61701,1.44509,0.22970,-1.60116,1.44181,0.22437,-1.55088,1.34715,0.21832
2,300,-1.79975,1.49971,0.21564,-1.79268,1.30444,0.21285,-1.75270,1.26465,0.20978
3,400,-2.05937,1.53882,0.21380,-1.96647,1.28911,0.20999,-1.94605,1.29642,0.20887
4,500,-2.36062,1.53628,0.21556,-2.27115,1.45383,0.21257,-2.22080,1.40045,0.21278
5,600,-2.63158,1.57246,0.21738,-2.49632,1.41653,0.21566,-2.48012,1.31935,0.21276
6,700,-2.91181,1.54448,0.21551,-2.68519,1.40452,0.21543,-2.70735,1.29592,0.21307
7,800,-3.20409,1.53683,0.21472,-2.93359,1.32649,0.21350,-2.89365,1.26870,0.21494
8,900,-3.40157,1.56451,0.21413,-3.13893,1.29595,0.21187,-3.07627,1.22603,0.21160
9,1000,-3.60135,1.56364,0.21294,-3.39961,1.26885,0.21102,-3.28054,1.23544,0.20988
10,1100,-3.86011,1.66988,0.21076,-3.56057,1.25519,0.21125,-3.52037,1.20537,0.21085
11,1200,-4.07029,1.64578,0.21059,-3.76502,1.31991,0.21088,-3.70916,1.25274,0.21376
12,1300,-4.22409,1.70497,0.21053,-3.91565,1.44332,0.20999,-3.84432,1.27364,0.20886
13,1400,-4.41674,1.68912,0.20886,-4.08668,1.40709,0.20628,-4.09539,1.34046,0.20777
14,1500,-4.60317,1.68368,0.20894,-4.29200,1.44847,0.20519,-4.26190,1.38807,0.20726
15,1600,-4.76191,1.76664,0.20495,-4.47624,1.52484,0.20597,-4.44387,1.40266,0.20516
16,1700,-4.99019,1.74761,0.20981,-4.64044,1.54309,0.20579,-4.63008,1.44863,0.20562
17,1800,-5.14933,1.77388,0.20713,-4.83630,1.55184,0.20421,-4.81282,1.47427,0.20472
18,1900,-5.33377,1.97663,0.20523,-5.06533,1.68984,0.20422,-5.01290,1.59184,0.20363
19,2000,-5.41963,1.99104,0.20144,-5.17778,1.69824,0.20159,-5.13266,1.63004,0.20209
20,2100,-5.62980,2.02626,0.20235,-5.39294,1.73327,0.20114,-5.26108,1.74544,0.20105
21,2200,-5.72204,2.20949,0.20352,-5.61400,1.87494,0.20327,-5.41985,1.78802,0.20055
22,2300,-5.88222,2.18109,0.19955,-5.76227,1.83770,0.20063,-5.62207,1.82905,0.19914
23,2400,-5.98540,2.28952,0.19972,-5.90950,1.98617,0.20019,-5.81580,1.99763,0.20010
24,2500,-6.19794,2.28090,0.20066,-6.00256,1.97682,0.19967,-5.91177,2.09149,0.19895
25,2600,-6.32518,2.33305,0.19962,-6.15595,2.16867,0.19976,-6.05745,1.99410,0.19801
26,2700,-6.44884,2.49636,0.19874,-6.35312,2.12908,0.19809,-6.18570,2.06900,0.19601
27,2800,-6.61551,2.40140,0.20086,-6.52899,2.30770,0.19909,-6.34427,2.12593,0.19759
28,2900,-6.66353,2.51271,0.19944,-6.65604,2.30439,0.19830,-6.52131,2.22476,0.19863
29,3000,-6.91652,2.38582,0.19998,-6.80606,2.39320,0.20107,-6.65074,2.23858,0.19747
30,3100,-7.10431,2.43026,0.19980,-7.01263,2.39875,0.20013,-6.77782,2.31506,0.19807
31,3200,-7.16780,2.57722,0.19891,-7.11553,2.39241,0.19903,-7.00340,2.33937,0.19881
32,3300,-7.33356,2.76126,0.20056,-7.21981,2.60447,0.20020,-7.08113,2.48112,0.20151
33,3400,-7.52510,2.77278,0.20041,-7.42721,2.60644,0.20044,-7.27321,2.48547,0.19892
34,3500,-7.55800,2.77276,0.20208,-7.59711,2.57618,0.20152,-7.35731,2.67784,0.19993
35,3600,-7.71005,2.72092,0.20006,-7.76616,2.69214,0.19988,-7.55600,2.62080,0.20176
36,3700,-7.74956,2.86639,0.19871,-7.90299,2.76344,0.19938,-7.80789,2.70948,0.20024
37,3800,-7.83924,2.96427,0.20329,-8.11554,2.78640,0.20006,-7.87524,2.60838,0.19940
38,3900,-7.84618,2.92719,0.19937,-8.24079,2.92292,0.20022,-8.09048,2.77160,0.20043
39,4000,-7.97249,2.89822,0.20035,-8.43148,2.80709,0.19917,-8.24026,2.83905,0.19844
40,4100,-8.02364,2.89187,0.19717,-8.57054,2.89671,0.19960,-8.42685,2.76421,0.19902
41,4200,-8.08614,2.82343,0.20059,-8.73337,2.96674,0.19738,-8.62630,2.81807,0.19845
42,4300,-8.08324,2.93194,0.19831,-8.94051,3.17264,0.19764,-8.79856,2.82302,0.19658
43,4400,-8.09494,2.94399,0.19751,-9.00770,3.02152,0.19865,-8.87785,3.36686,0.19705
44,4500,-8.31329,2.89846,0.19824,-9.15894,3.16701,0.19746,-9.05062,3.03124,0.19711
45,4600,-8.31284,2.98213,0.19670,-9.30892,3.37983,0.19715,-9.15571,3.12405,0.19405
46,4700,-8.32308,2.96968,0.19842,-9.51853,3.19395,0.19722,-9.31023,3.06075,0.19573
47,4800,-8.44812,2.86610,0.19738,-9.64099,3.26856,0.19850,-9.48966,3.15781,0.19661
48,4900,-8.55273,2.82811,0.19697,-9.81619,3.29113,0.19761,-9.70832,3.19776,0.19790
49,5000,-8.54161,2.81429,0.19626,-9.85509,3.24783,0.19547,-9.76934,3.20380,0.19645
50,5100,-8.70128,2.80163,0.19652,-10.04241,3.38104,0.19738,-9.89041,3.21864,0.19619
51,5200,-8.68219,2.88240,0.19695,-10.22146,3.28907,0.19736,-10.11016,3.43486,0.19611
52,5300,-8.75822,2.93707,0.19429,-10.37103,3.34578,0.19660,-10.11427,3.32955,0.19440
53,5400,-8.78646,2.80913,0.19554,-10.35760,3.58380,0.19780,-10.18776,3.51327,0.19459
54,5500,-8.92453,2.92348,0.19667,-10.46800,3.65662,0.19677,-10.35522,3.35505,0.19644
55,5600,-9.06536,2.81046,0.19851,-10.51310,3.64774,0.19593,-10.48133,3.38035,0.19487
56,5700,-9.09444,2.86519,0.19540,-10.66527,3.44442,0.19698,-10.57189,3.30424,0.19826
57,5800,-9.21775,2.86269,0.19752,-10.70243,3.60715,0.19768,-10.74219,3.46848,0.19525
58,5900,-9.34859,2.80114,0.19699,-10.75663,3.42450,0.19543,-10.82391,4.07621,0.19595
59,6000,-9.46350,2.99056,0.19549,-10.98026,3.45936,0.19636,-11.05886,3.33705,0.19777
60,6100,-9.58431,3.03599,0.19694,-11.06768,3.32596,0.19840,-11.13161,3.40916,0.19760
61,6200,-9.60064,3.00421,0.19549,-11.12802,3.52461,0.19436,-11.26594,3.56028,0.19673
62,6300,-9.73458,3.16587,0.19713,-11.18856,3.55260,0.19575,-11.20650,3.36936,0.19456
63,6400,-9.84695,2.99690,0.19679,-11.35780,3.44627,0.19772,-11.39421,3.50660,0.19652
64,6500,-9.92132,3.13721,0.19476,-11.44246,3.60060,0.19683,-11.55108,3.52222,0.19573
65,6600,-10.02340,3.02353,0.19608,-11.34144,3.67642,0.19536,-11.58475,3.45749,0.19514
66,6700,-10.14074,2.86862,0.19580,-11.49951,3.49763,0.19515,-11.73641,3.38125,0.19652
67,6800,-10.17250,2.86979,0.19623,-11.66073,3.81779,0.19769,-11.78116,3.48648,0.19563
68,6900,-10.37514,2.98916,0.19472,-11.82665,3.61245,0.19651,-11.85356,3.56480,0.19683
69,7000,-10.56836,2.94607,0.19702,-11.72682,3.61936,0.19646,-11.86692,3.67732,0.19676
70,7100,-10.45070,2.97551,0.19338,-11.79526,3.59080,0.19519,-12.05487,3.52178,0.19606
71,7200,-10.67767,2.71528,0.19551,-11.84285,3.80745,0.19627,-12.12833,3.44170,0.19535
72,7300,-10.71718,2.89514,0.19345,-12.06713,3.63298,0.19626,-12.19648,3.74665,0.19531
73,7400,-10.80655,2.90523,0.19529,-12.09394,3.60316,0.19737,-12.22776,3.32075,0.19526
74,7500,-10.83710,2.98666,0.19422,-12.15465,3.68805,0.19620,-12.38940,3.60202,0.19557
75,7600,-10.90682,2.89258,0.19472,-12.21786,3.77830,0.19472,-12.40056,3.50948,0.19518
76,7700,-11.05519,2.95901,0.19549,-12.27222,3.83121,0.19487,-12.52566,3.81457,0.19418
77,7800,-11.17848,3.06564,0.19506,-12.28927,3.83925,0.19425,-12.57095,3.74716,0.19526
78,7900,-11.15778,2.80047,0.19469,-12.47232,3.94068,0.19592,-12.64828,3.79007,0.19295
79,8000,-11.33084,2.80402,0.19488,-12.54464,3.89428,0.19648,-12.51043,3.94242,0.19398
80,8100,-11.33735,2.91746,0.19444,-12.52240,4.17110,0.19384,-12.59047,3.80353,0.19446
81,8200,-11.36972,2.96605,0.19385,-12.66510,4.11963,0.19678,-12.76039,4.01927,0.19444
82,8300,-11.49313,2.77815,0.19487,-12.64472,4.19479,0.19413,-12.82414,4.00093,0.19520
83,8400,-11.55578,2.88953,0.19478,-12.75727,4.24942,0.19515,-12.89250,3.95475,0.19400
