number,rewards,variances,exploration_value
0,[-1.16387 -1.16136 -1.16136],[0.36315 0.17359 0.17359],0.3
100,[-5.02973 -0.06411 -0.06411],[26.57254 2.40541 2.40541],0.2988
200,[-5.39949 0.96328 0.96328],[16.67108 0.76487 0.76487],0.2976
300,[-6.41742 0.39129 0.39129],[20.55483 1.07239 1.07239],0.2964
400,[-7.43378 0.65897 0.65897],[23.87752 0.66828 0.66828],0.29519999999999996
500,[-5.19091 1.24896 1.24896],[13.32358 0.99921 0.99921],0.294
600,[-4.03325 0.14074 0.14074],[11.29478 0.34709 0.34709],0.2928
700,[-4.40612 0.16263 0.16263],[17.92628 0.99260 0.99260],0.29159999999999997
800,[-4.02040 -0.70224 -0.70224],[11.63043 2.17387 2.17387],0.2904
900,[-7.81087 0.84789 0.84789],[6.95470 1.85003 1.85003],0.28919999999999996
1000,[-5.61975 0.74637 0.74637],[36.66680 0.10058 0.10058],0.288
1100,[-6.89378 1.06074 1.06074],[12.51524 1.21729 1.21729],0.2868
1200,[-5.30080 0.85607 0.85607],[11.31464 1.77063 1.77063],0.28559999999999997
1300,[-6.37254 0.05856 0.05856],[26.87756 1.57610 1.57610],0.2844
1400,[-5.56425 0.56688 0.56688],[16.78569 0.32211 0.32211],0.28319999999999995
1500,[-5.12871 0.86975 0.86975],[32.24914 3.11237 3.11237],0.282
1600,[-4.95606 0.87040 0.87040],[8.95598 1.08705 1.08705],0.2808
1700,[-4.14025 0.33237 0.33237],[12.94274 2.98498 2.98498],0.2796
1800,[-2.41642 -0.44636 -0.44636],[14.63949 1.48704 1.48704],0.2784
1900,[-5.94494 0.73090 0.73090],[28.45713 1.88958 1.88958],0.2772
2000,[-2.75497 -0.03315 -0.03315],[1.78037 0.52669 0.52669],0.276
2100,[-3.15108 0.53521 0.53521],[14.37038 1.18777 1.18777],0.2748
2200,[-8.13966 0.18654 0.18654],[24.21691 0.84458 0.84458],0.2736
2300,[-4.86849 0.71448 0.71448],[10.43442 0.49897 0.49897],0.2724
2400,[-7.96758 0.28898 0.28898],[22.14862 3.88441 3.88441],0.2712
