iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,-2.23717,1.58620,0.45438,1.61712,-2.42081,1.66560,0.50066,1.61285,-2.40750,1.69157,0.50484,1.61295
1,200,-2.50887,0.97712,0.45341,1.63881,-2.63601,0.87116,0.48539,1.61481,-2.72103,0.89271,0.50212,1.61027
2,300,-2.81024,1.03282,0.45087,1.64831,-2.94056,0.92626,0.48326,1.61604,-3.01872,0.90161,0.49330,1.60934
3,400,-3.12169,1.08997,0.44734,1.64367,-3.36291,0.92950,0.48093,1.61443,-3.38883,0.91544,0.48717,1.61181
4,500,-3.61561,1.18420,0.44388,1.64385,-3.81046,0.97397,0.47966,1.61445,-3.87596,0.99677,0.48251,1.61285
5,600,-3.96073,1.22045,0.44061,1.64082,-4.10766,1.05322,0.47583,1.61355,-4.23388,1.01109,0.47732,1.61281
6,700,-4.25938,1.31552,0.43724,1.63920,-4.46994,1.12365,0.47155,1.61297,-4.64859,1.19108,0.47348,1.61127
7,800,-4.60296,1.45235,0.43356,1.63914,-4.82001,1.18827,0.46780,1.61314,-4.88639,1.28750,0.46823,1.61088
8,900,-4.92354,1.61080,0.43036,1.63729,-5.06814,1.35985,0.46310,1.61251,-5.23106,1.37175,0.46282,1.61017
9,1000,-5.25819,1.62289,0.42732,1.63626,-5.54464,1.40433,0.45944,1.61235,-5.60334,1.57891,0.45913,1.61009
10,1100,-5.53553,1.66131,0.42399,1.63757,-5.88345,1.39252,0.45608,1.61191,-6.06699,1.61855,0.45468,1.60959
11,1200,-5.85471,1.73069,0.42101,1.64020,-6.17393,1.44439,0.45264,1.61134,-6.40318,1.54755,0.45016,1.60995
12,1300,-6.21771,1.81081,0.41796,1.64085,-6.51656,1.38096,0.44989,1.61120,-6.81449,1.54203,0.44612,1.60907
13,1400,-6.49973,1.89183,0.41506,1.64051,-6.78597,1.41305,0.44685,1.61078,-6.95935,1.64836,0.44270,1.60916
14,1500,-6.74996,2.13895,0.41195,1.64009,-7.11733,1.48069,0.44239,1.61117,-7.34429,1.64105,0.43921,1.60924
15,1600,-6.92265,2.13961,0.40883,1.64087,-7.46788,1.68099,0.43919,1.61091,-7.80527,1.70992,0.43579,1.60881
16,1700,-7.22919,2.36251,0.40589,1.64103,-7.79586,1.62462,0.43593,1.61066,-8.02454,1.64273,0.43118,1.60938
17,1800,-7.48031,2.42023,0.40303,1.64236,-8.03272,1.73851,0.43288,1.60929,-8.30247,1.84876,0.42669,1.60906
18,1900,-7.66084,2.53592,0.40019,1.64220,-8.35590,1.82770,0.42845,1.60948,-8.61530,1.94010,0.42217,1.60864
19,2000,-7.93557,2.70857,0.39713,1.64178,-8.64665,1.80433,0.42423,1.60886,-8.76659,2.06924,0.41818,1.60796
20,2100,-8.18120,2.66377,0.39409,1.64301,-9.03152,1.89663,0.42071,1.60860,-9.02811,1.99484,0.41404,1.60774
21,2200,-8.35375,2.86508,0.39117,1.64189,-9.31502,1.86040,0.41695,1.60827,-9.37085,2.09577,0.41041,1.60684
22,2300,-8.57671,3.00951,0.38829,1.64239,-9.48087,2.07125,0.41340,1.60804,-9.53039,2.16018,0.40615,1.60688
23,2400,-8.75717,3.18227,0.38540,1.64263,-9.69877,1.98452,0.40988,1.60786,-9.77160,2.21589,0.40296,1.60631
24,2500,-9.01519,3.23303,0.38247,1.64314,-9.95271,2.15472,0.40624,1.60731,-9.97971,2.17217,0.39914,1.60543
25,2600,-9.17888,3.26575,0.37957,1.64398,-10.06056,2.00350,0.40289,1.60680,-10.27063,2.22473,0.39610,1.60466
26,2700,-9.37933,3.30371,0.37671,1.64449,-10.37267,2.01383,0.39907,1.60725,-10.41086,2.33751,0.39201,1.60440
27,2800,-9.66207,3.58605,0.37381,1.64452,-10.57735,1.91741,0.39619,1.60677,-10.66806,2.42977,0.38857,1.60372
28,2900,-9.78642,3.73288,0.37104,1.64367,-10.82923,1.98024,0.39252,1.60670,-10.83971,2.25379,0.38555,1.60292
29,3000,-10.02722,3.67289,0.36801,1.64191,-10.87950,2.51103,0.38933,1.60658,-11.11150,2.26902,0.38191,1.60206
30,3100,-10.14358,3.97050,0.36539,1.64173,-11.22861,2.25748,0.38609,1.60644,-11.33206,2.40988,0.37813,1.60171
31,3200,-10.23286,3.71667,0.36244,1.64109,-11.36598,2.37185,0.38291,1.60615,-11.48509,2.38734,0.37519,1.60115
32,3300,-10.49690,3.88248,0.35957,1.63979,-11.67167,2.34169,0.38017,1.60536,-11.70831,2.53682,0.37210,1.60033
33,3400,-10.78406,4.29299,0.35698,1.64074,-11.74330,2.49037,0.37690,1.60573,-11.99090,2.67850,0.36870,1.59997
34,3500,-10.71017,4.27056,0.35418,1.64027,-11.93886,2.42012,0.37376,1.60511,-12.07105,2.62158,0.36556,1.59945
35,3600,-11.01113,4.27823,0.35117,1.63985,-12.05865,2.42039,0.37043,1.60485,-12.22856,2.61616,0.36190,1.59812
36,3700,-11.30089,3.94864,0.34840,1.63897,-12.16429,2.47395,0.36738,1.60460,-12.43251,2.60902,0.35883,1.59808
37,3800,-11.32006,3.84578,0.34555,1.63835,-12.27746,2.44253,0.36424,1.60489,-12.43944,2.66357,0.35518,1.59725
38,3900,-11.47736,4.04727,0.34269,1.63772,-12.45546,2.42667,0.36128,1.60507,-12.58008,2.63063,0.35281,1.59701
39,4000,-11.71826,4.23713,0.33996,1.63826,-12.69881,2.98025,0.35784,1.60470,-12.77918,2.71298,0.34914,1.59585
40,4100,-11.82788,3.83696,0.33704,1.63693,-12.68843,2.66846,0.35480,1.60453,-12.96980,2.75531,0.34554,1.59479
41,4200,-12.02137,3.87244,0.33416,1.63667,-12.80844,2.86843,0.35173,1.60420,-13.04197,2.84791,0.34290,1.59482
42,4300,-11.89252,4.19599,0.33149,1.63630,-13.09142,2.48912,0.34880,1.60413,-13.21822,2.98823,0.33958,1.59417
43,4400,-12.06487,4.43086,0.32885,1.63613,-13.16358,2.74259,0.34546,1.60349,-13.30192,2.83462,0.33642,1.59344
44,4500,-12.22760,4.41349,0.32604,1.63533,-13.25071,2.74371,0.34264,1.60339,-13.45558,3.18495,0.33284,1.59251
45,4600,-12.41812,4.59876,0.32327,1.63513,-13.35058,2.90697,0.33922,1.60285,-13.47212,3.46473,0.32969,1.59134
46,4700,-12.39445,4.75476,0.32058,1.63489,-13.50746,3.00808,0.33612,1.60265,-13.60681,3.15094,0.32649,1.59088
47,4800,-12.59056,4.68636,0.31793,1.63464,-13.46887,2.76202,0.33306,1.60271,-13.71074,3.22669,0.32376,1.59096
48,4900,-12.68388,4.89078,0.31531,1.63409,-13.73326,2.92370,0.33018,1.60211,-13.84244,3.24543,0.32051,1.58996
49,5000,-12.69332,4.58338,0.31268,1.63349,-13.73810,2.99474,0.32695,1.60218,-13.86563,3.06471,0.31773,1.58982
50,5100,-12.79590,4.56009,0.31000,1.63351,-13.66468,3.46683,0.32435,1.60180,-13.99001,3.15337,0.31459,1.58829
51,5200,-12.92509,4.62289,0.30736,1.63190,-13.81870,3.24096,0.32102,1.60223,-13.95506,3.14202,0.31113,1.58763
52,5300,-13.00538,4.68333,0.30477,1.63226,-13.95828,3.50337,0.31798,1.60178,-14.00822,3.16029,0.30852,1.58703
53,5400,-13.14438,4.80799,0.30209,1.63175,-14.03447,2.99717,0.31523,1.60126,-14.14592,3.62245,0.30537,1.58613
54,5500,-13.21377,4.83850,0.29956,1.63052,-13.99292,2.98192,0.31243,1.60143,-14.16654,3.34587,0.30215,1.58554
55,5600,-13.27023,4.97996,0.29693,1.63058,-13.93454,3.38481,0.30933,1.60110,-14.14439,3.40240,0.29953,1.58526
56,5700,-13.37019,4.95479,0.29433,1.62995,-14.18937,3.31531,0.30642,1.60087,-14.23833,3.67229,0.29691,1.58403
57,5800,-13.43117,4.66427,0.29177,1.62969,-14.15129,3.44386,0.30336,1.60093,-14.18403,3.79870,0.29401,1.58364
58,5900,-13.49365,5.07551,0.28930,1.62920,-14.17920,3.23485,0.30051,1.60057,-14.27425,3.22806,0.29138,1.58346
59,6000,-13.56810,5.27833,0.28671,1.62869,-14.19372,3.21439,0.29762,1.60056,-14.32986,3.58031,0.28838,1.58274
60,6100,-13.51279,4.97945,0.28413,1.62784,-14.28104,3.12143,0.29498,1.60003,-14.43120,3.57115,0.28568,1.58222
61,6200,-13.62288,4.77299,0.28166,1.62832,-14.24502,3.03126,0.29174,1.59966,-14.20877,3.52139,0.28220,1.58079
62,6300,-13.70935,5.14068,0.27922,1.62804,-14.26858,3.31035,0.28931,1.59986,-14.29339,3.73210,0.27998,1.58019
63,6400,-13.73519,5.00874,0.27664,1.62720,-14.25770,3.44255,0.28609,1.60024,-14.35115,3.59829,0.27716,1.57936
64,6500,-13.75703,4.95921,0.27415,1.62674,-14.29717,3.34159,0.28349,1.60011,-14.38117,3.52478,0.27450,1.57981
65,6600,-13.85799,5.08289,0.27167,1.62615,-14.35359,3.19838,0.28036,1.59904,-14.33045,3.55091,0.27199,1.57868
66,6700,-13.89569,5.16008,0.26917,1.62556,-14.30900,3.43115,0.27757,1.59901,-14.40763,3.40518,0.26945,1.57934
67,6800,-13.84907,4.55017,0.26660,1.62539,-14.23956,3.37858,0.27528,1.59857,-14.48430,3.37878,0.26639,1.57706
68,6900,-14.01953,4.99478,0.26416,1.62378,-14.32103,3.48923,0.27205,1.59852,-14.39101,3.71060,0.26396,1.57716
69,7000,-14.10187,4.53852,0.26167,1.62376,-14.24560,3.16251,0.26942,1.59844,-14.40104,3.30425,0.26174,1.57675
70,7100,-14.14821,4.33545,0.25902,1.62290,-14.41232,3.59188,0.26672,1.59862,-14.38490,3.39369,0.25879,1.57601
71,7200,-13.94469,4.38057,0.25660,1.62246,-14.44047,3.27275,0.26415,1.59788,-14.38436,3.48024,0.25614,1.57501
72,7300,-13.94433,4.35097,0.25414,1.62184,-14.15458,3.32114,0.26143,1.59796,-14.39639,3.67380,0.25369,1.57489
73,7400,-14.17366,4.57460,0.25170,1.62196,-14.18988,3.23439,0.25861,1.59731,-14.25107,3.68583,0.25096,1.57405
74,7500,-14.07507,4.32865,0.24916,1.62111,-14.26600,3.34681,0.25582,1.59749,-14.25934,3.49773,0.24855,1.57335
75,7600,-13.98470,4.22692,0.24673,1.62065,-14.25005,3.09099,0.25320,1.59768,-14.16670,3.64277,0.24577,1.57197
76,7700,-14.13237,4.20244,0.24443,1.62015,-14.13060,3.52828,0.25050,1.59677,-14.39504,3.92036,0.24372,1.57253
77,7800,-14.06477,4.04145,0.24188,1.61965,-14.04408,3.48896,0.24783,1.59663,-14.33793,3.36385,0.24094,1.57114
78,7900,-13.92616,4.07142,0.23944,1.61914,-14.15180,3.84982,0.24563,1.59699,-14.18996,3.52289,0.23848,1.57098
79,8000,-13.98589,4.59179,0.23704,1.61864,-13.99923,3.16466,0.24277,1.59727,-14.20777,3.42456,0.23579,1.57071
80,8100,-13.82739,4.55920,0.23460,1.61856,-14.19285,3.63831,0.24020,1.59647,-14.17340,3.71369,0.23325,1.56881
81,8200,-13.92129,3.99727,0.23203,1.61812,-14.00920,3.47266,0.23771,1.59607,-14.03719,3.68163,0.23105,1.56805
82,8300,-13.78667,3.87952,0.22951,1.61742,-14.02666,3.58593,0.23496,1.59578,-14.04156,3.47111,0.22848,1.56774
83,8400,-13.68309,4.08871,0.22691,1.61699,-13.98380,3.34310,0.23232,1.59614,-14.05571,3.31783,0.22627,1.56644
84,8500,-13.79809,4.10674,0.22453,1.61636,-13.91739,3.25218,0.22968,1.59603,-13.90598,3.54677,0.22390,1.56658
85,8600,-13.62896,3.71381,0.22201,1.61602,-13.79647,3.29217,0.22713,1.59556,-13.87343,3.33884,0.22149,1.56511
86,8700,-13.48513,3.83447,0.21956,1.61633,-13.82776,3.44538,0.22461,1.59598,-13.74998,3.44217,0.21908,1.56476
87,8800,-13.41276,3.68416,0.21716,1.61549,-13.74391,3.60383,0.22232,1.59556,-13.86022,3.30587,0.21649,1.56395
88,8900,-13.55921,3.61513,0.21484,1.61537,-13.60225,3.27993,0.21957,1.59451,-13.81037,3.36945,0.21423,1.56387
89,9000,-13.35029,3.71369,0.21240,1.61506,-13.63699,3.17992,0.21690,1.59501,-13.75108,3.35336,0.21185,1.56318
90,9100,-13.29659,3.55504,0.21005,1.61422,-13.52066,3.25025,0.21438,1.59504,-13.43798,3.80869,0.20902,1.56101
91,9200,-13.30858,3.64383,0.20773,1.61420,-13.40910,3.43771,0.21208,1.59487,-13.60057,3.41619,0.20690,1.56154
92,9300,-13.19684,3.50352,0.20534,1.61383,-13.43096,3.47330,0.20995,1.59547,-13.36708,3.55822,0.20419,1.55901
93,9400,-13.20565,3.53697,0.20299,1.61342,-13.41612,3.39172,0.20758,1.59515,-13.43302,3.51611,0.20214,1.55911
