iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
0,100,0.01463,0.73205,0.01902,0.74846,0.02230,0.73413
1,200,0.04813,0.57530,0.03173,0.48705,0.02783,0.48604
2,300,0.07250,0.45214,-0.01208,0.42573,-0.01540,0.43003
3,400,0.06050,0.41890,-0.01582,0.39446,-0.01336,0.39605
4,500,0.07924,0.44167,-0.06798,0.37003,-0.06395,0.37438
5,600,0.06973,0.45926,-0.05478,0.39406,-0.05761,0.37325
6,700,0.06116,0.47235,-0.07229,0.40083,-0.05311,0.39000
7,800,0.03669,0.45219,-0.06287,0.40140,-0.04988,0.39865
8,900,-0.02592,0.48315,-0.04946,0.42278,-0.04034,0.40199
9,1000,-0.07075,0.49816,-0.07682,0.44312,-0.02124,0.43295
10,1100,-0.09439,0.52263,-0.07291,0.47667,-0.01983,0.46091
11,1200,-0.13716,0.52301,-0.06024,0.49953,-0.03272,0.50081
12,1300,-0.18070,0.56055,-0.08398,0.51846,-0.06077,0.51582
13,1400,-0.17163,0.61971,-0.11645,0.55493,-0.05561,0.54960
14,1500,-0.20177,0.64682,-0.10561,0.60847,-0.05964,0.58208
15,1600,-0.21975,0.66751,-0.12003,0.63297,-0.04640,0.61363
16,1700,-0.21186,0.70221,-0.12882,0.67459,-0.06635,0.65583
17,1800,-0.27003,0.74142,-0.14642,0.69791,-0.11594,0.68694
18,1900,-0.24205,0.75388,-0.17446,0.74410,-0.16100,0.70579
19,2000,-0.29133,0.81641,-0.16803,0.78623,-0.11470,0.73233
20,2100,-0.27646,0.79519,-0.21142,0.80069,-0.17396,0.76642
21,2200,-0.25601,0.88994,-0.20315,0.84006,-0.16490,0.81576
22,2300,-0.34576,0.85181,-0.18038,0.87705,-0.16171,0.87056
23,2400,-0.30751,0.92862,-0.20589,0.85812,-0.22052,0.89620
24,2500,-0.38102,0.91471,-0.23865,0.93290,-0.17682,0.96278
25,2600,-0.34131,0.95611,-0.21387,0.95159,-0.20815,0.95531
26,2700,-0.37704,0.98932,-0.26141,1.01334,-0.19899,1.02703
27,2800,-0.43005,0.96157,-0.28550,1.03320,-0.23383,1.05379
28,2900,-0.43315,1.02371,-0.25772,1.07662,-0.24804,1.06893
29,3000,-0.47764,1.05751,-0.28363,1.12231,-0.25116,1.13298
