number,rewards,variances,exploration_value
0,[-6.07274 1.39724 1.39724],[7.28789 0.29691 0.29691],0.3
100,[-6.97159 0.74742 0.74742],[26.76689 1.35299 1.35299],0.2988
200,[-1.44842 -0.01265 -0.01265],[0.40262 0.43365 0.43365],0.2976
300,[-2.50132 0.16870 0.16870],[3.22890 1.26621 1.26621],0.2964
400,[-1.81833 0.13682 0.13682],[0.99750 0.55896 0.55896],0.29519999999999996
500,[-2.16981 -0.32124 -0.32124],[9.00464 2.30706 2.30706],0.294
600,[-2.16296 0.54909 0.54909],[2.10647 0.48954 0.48954],0.2928
700,[-1.20882 -0.37978 -0.37978],[0.34119 0.39244 0.39244],0.29159999999999997
800,[-1.48493 0.20023 0.20023],[1.65453 0.83404 0.83404],0.2904
900,[-3.25765 0.96626 0.96626],[4.03239 0.21660 0.21660],0.28919999999999996
1000,[-4.06145 0.95057 0.95057],[20.00538 0.60544 0.60544],0.288
1100,[-3.69601 0.96836 0.96836],[12.20002 1.04292 1.04292],0.2868
1200,[-5.80684 0.94679 0.94679],[38.61609 1.43790 1.43790],0.28559999999999997
1300,[-1.17372 -0.11545 -0.11545],[1.90696 0.44607 0.44607],0.2844
1400,[-2.77140 0.47853 0.47853],[16.40922 1.37293 1.37293],0.28319999999999995
1500,[-2.94835 0.45693 0.45693],[3.00284 0.25157 0.25157],0.282
1600,[-2.06326 -0.49533 -0.49533],[3.73464 1.06400 1.06400],0.2808
1700,[-1.97497 -0.47715 -0.47715],[3.65610 1.35337 1.35337],0.2796
1800,[-2.01372 0.29371 0.29371],[0.79108 0.50451 0.50451],0.2784
1900,[-2.06153 0.15242 0.15242],[2.54252 1.30994 1.30994],0.2772
2000,[-5.18205 0.40339 0.40339],[23.18371 1.11022 1.11022],0.276
2100,[-1.56631 -0.42772 -0.42772],[2.26308 0.75784 0.75784],0.2748
2200,[-0.99961 -0.17651 -0.17651],[0.94549 0.22957 0.22957],0.2736
2300,[-1.83851 -0.24855 -0.24855],[0.38340 0.19415 0.19415],0.2724
2400,[-0.58964 -0.55574 -0.55574],[0.07731 0.43413 0.43413],0.2712
2500,[-1.06268 0.14516 0.14516],[0.29716 0.39343 0.39343],0.27
2600,[-0.92990 -0.11803 -0.11803],[0.36605 0.44315 0.44315],0.2688
2700,[-5.20875 1.09841 1.09841],[25.39344 1.78879 1.78879],0.2676
2800,[-1.35795 0.08755 0.08755],[1.51107 0.37296 0.37296],0.26639999999999997
2900,[-2.41737 0.66114 0.66114],[6.57061 1.20369 1.20369],0.2652
3000,[-7.23560 0.87961 0.87961],[16.41777 0.22806 0.22806],0.264
3100,[-1.04038 0.49402 0.49402],[0.20948 0.15108 0.15108],0.2628
3200,[-1.25530 -0.38268 -0.38268],[2.05830 0.73475 0.73475],0.2616
3300,[-1.59814 -0.12671 -0.12671],[1.17553 0.59330 0.59330],0.26039999999999996
3400,[-0.48439 -0.29345 -0.29345],[0.09585 0.86104 0.86104],0.2592
3500,[-1.57696 0.06987 0.06987],[0.85313 0.14366 0.14366],0.258
3600,[-1.11340 -0.41339 -0.41339],[1.46679 1.12105 1.12105],0.2568
3700,[-0.86996 -0.45633 -0.45633],[0.30179 0.61091 0.61091],0.2556
3800,[-0.65133 -0.46758 -0.46758],[0.16038 0.66449 0.66449],0.25439999999999996
3900,[-1.54638 0.18274 0.18274],[0.72143 0.50855 0.50855],0.2532
4000,[-2.78910 0.65327 0.65327],[15.70602 0.29341 0.29341],0.252
4100,[-0.72849 -0.45507 -0.45507],[0.72936 0.61165 0.61165],0.25079999999999997
4200,[-7.34934 1.57979 1.57979],[5.25248 0.67214 0.67214],0.2496
4300,[-0.77918 0.09982 0.09982],[0.25893 0.23784 0.23784],0.24839999999999998
4400,[-2.57127 0.16295 0.16295],[7.35250 0.69486 0.69486],0.24719999999999998
4500,[-5.05362 0.55402 0.55402],[20.20990 2.13538 2.13538],0.24599999999999997
4600,[-2.08922 -0.04858 -0.04858],[5.02073 0.62073 0.62073],0.24479999999999996
4700,[-4.83312 0.01607 0.01607],[14.13207 2.11720 2.11720],0.2436
4800,[-6.45693 0.89934 0.89934],[30.55385 2.42012 2.42012],0.2424
4900,[-2.19621 0.00061 0.00061],[1.13007 1.32880 1.32880],0.2412
5000,[-1.56141 -0.05640 -0.05640],[0.77009 0.21113 0.21113],0.24
5100,[-0.95355 0.48595 0.48595],[0.30294 0.18285 0.18285],0.2388
5200,[-1.15642 -0.04303 -0.04303],[0.72714 0.65302 0.65302],0.2376
5300,[-0.61564 0.35510 0.35510],[0.15080 0.11409 0.11409],0.2364
5400,[-3.88376 0.23181 0.23181],[5.34596 0.73151 0.73151],0.2352
5500,[-4.68535 -0.04090 -0.04090],[17.54704 2.27727 2.27727],0.23399999999999999
5600,[-3.07235 0.74614 0.74614],[14.31286 0.89182 0.89182],0.2328
5700,[-5.27126 1.07124 1.07124],[31.25753 0.80816 0.80816],0.2316
5800,[-1.46473 0.09560 0.09560],[1.54568 1.11755 1.11755],0.2304
5900,[-6.44927 1.00322 1.00322],[25.70931 1.64520 1.64520],0.2292
6000,[-3.53462 0.18745 0.18745],[7.43879 0.55171 0.55171],0.22799999999999998
6100,[-4.64611 0.55725 0.55725],[8.86632 1.20017 1.20017],0.2268
6200,[-3.85619 0.45130 0.45130],[9.08165 2.52395 2.52395],0.2256
6300,[-3.91601 0.17978 0.17978],[19.11317 2.40904 2.40904],0.2244
6400,[-6.47615 1.23031 1.23031],[39.87929 1.96218 1.96218],0.22319999999999998
6500,[-2.32324 -0.35357 -0.35357],[7.47711 0.69468 0.69468],0.222
6600,[-2.57180 0.07956 0.07956],[4.26643 1.37583 1.37583],0.2208
6700,[-3.49295 0.13422 0.13422],[7.76209 2.76470 2.76470],0.2196
6800,[-6.68390 1.59936 1.59936],[44.11138 1.53563 1.53563],0.21839999999999998
6900,[-5.18092 0.72522 0.72522],[9.80696 1.00712 1.00712],0.21719999999999998
7000,[-9.88949 1.79206 1.79206],[20.44031 0.66218 0.66218],0.216
7100,[-1.19835 0.66302 0.66302],[0.95617 0.33209 0.33209],0.2148
7200,[-3.18623 -0.22875 -0.22875],[5.58085 2.29586 2.29586],0.21359999999999998
7300,[-2.87452 0.69367 0.69367],[17.94704 0.36039 0.36039],0.21239999999999998
7400,[-1.65996 -0.12697 -0.12697],[4.26142 1.46247 1.46247],0.21119999999999997
7500,[-2.12284 0.92800 0.92800],[1.65846 0.33635 0.33635],0.21
7600,[-0.91266 0.40542 0.40542],[0.51136 0.26263 0.26263],0.20879999999999999
7700,[-1.81199 -0.65928 -0.65928],[1.58136 1.84291 1.84291],0.20759999999999998
7800,[-1.05014 0.15329 0.15329],[0.28332 0.32267 0.32267],0.20639999999999997
7900,[-1.50742 0.46118 0.46118],[0.83739 0.43918 0.43918],0.20520000000000002
8000,[-1.60621 0.78774 0.78774],[2.25818 0.41187 0.41187],0.20400000000000001
8100,[-0.99390 0.06094 0.06094],[0.39736 0.54774 0.54774],0.2028
8200,[-0.84071 -0.78482 -0.78482],[0.20698 1.49134 1.49134],0.2016
8300,[-1.78987 0.15145 0.15145],[2.75643 1.64694 1.64694],0.2004
8400,[-1.26066 -0.24128 -0.24128],[1.01091 1.19464 1.19464],0.19920000000000002
8500,[-2.78435 0.77626 0.77626],[1.87889 0.36305 0.36305],0.198
8600,[-2.27211 0.76368 0.76368],[2.81009 0.39489 0.39489],0.1968
8700,[-2.84243 0.12163 0.12163],[8.67447 0.03997 0.03997],0.1956
8800,[-1.84828 -0.84263 -0.84263],[0.77975 1.29391 1.29391],0.1944
8900,[-1.41188 -0.29489 -0.29489],[0.52745 1.04782 1.04782],0.1932
9000,[-1.26624 0.22277 0.22277],[0.36902 1.06970 1.06970],0.192
9100,[-1.19009 -0.10037 -0.10037],[0.68525 1.90209 1.90209],0.1908
9200,[-1.30194 -0.29112 -0.29112],[0.92680 0.22684 0.22684],0.1896
9300,[-1.28527 0.37678 0.37678],[0.50822 0.49558 0.49558],0.18839999999999998
9400,[-2.15033 0.57827 0.57827],[1.23868 0.04520 0.04520],0.1872
9500,[-8.52151 1.63483 1.63483],[22.11640 0.68637 0.68637],0.186
9600,[-1.35479 -0.34953 -0.34953],[1.06208 0.47706 0.47706],0.1848
9700,[-0.71769 0.05370 0.05370],[0.48872 0.27883 0.27883],0.18359999999999999
9800,[-0.52688 -0.16164 -0.16164],[0.08918 0.73412 0.73412],0.18239999999999998
9900,[-9.56643 1.16357 1.16357],[21.27997 0.64869 0.64869],0.1812
10000,[-1.66995 -0.45523 -0.45523],[2.94475 2.01438 2.01438],0.18
10100,[-1.70810 -0.15393 -0.15393],[2.52603 1.39800 1.39800],0.1788
10200,[-1.62773 -0.59862 -0.59862],[1.94697 1.58065 1.58065],0.17759999999999998
10300,[-2.34398 0.51938 0.51938],[2.61343 0.59412 0.59412],0.17639999999999997
10400,[-2.93939 0.66570 0.66570],[5.25195 0.33829 0.33829],0.1752
10500,[-1.16520 0.23883 0.23883],[0.30037 0.58731 0.58731],0.174
10600,[-2.05898 -0.09588 -0.09588],[3.98222 0.58583 0.58583],0.17279999999999998
10700,[-2.56587 -0.49551 -0.49551],[15.24259 1.59073 1.59073],0.17159999999999997
10800,[-0.81241 0.13772 0.13772],[0.93078 0.12316 0.12316],0.17039999999999997
10900,[-1.81980 0.78169 0.78169],[1.05108 0.26672 0.26672],0.1692
11000,[-1.62892 -0.47949 -0.47949],[2.18126 0.56370 0.56370],0.168
11100,[-1.92844 0.88657 0.88657],[0.64661 0.31704 0.31704],0.1668
11200,[-3.56022 0.90208 0.90208],[22.51876 1.44731 1.44731],0.1656
11300,[-1.98216 0.30177 0.30177],[5.39632 0.26528 0.26528],0.16440000000000002
