number,rewards,variances,exploration_value
0,[-6.07274 1.39724 1.39724],[7.28789 0.29691 0.29691],0.3
100,[-6.99968 1.12941 1.12941],[26.08470 1.63059 1.63059],0.2988
200,[-2.58369 -0.06438 -0.06438],[4.15545 1.08238 1.08238],0.2976
300,[-7.14720 1.19922 1.19922],[8.76279 1.83667 1.83667],0.2964
400,[-8.82079 1.84269 1.84269],[28.31718 1.72242 1.72242],0.29519999999999996
500,[-1.26224 -0.68523 -0.68523],[1.87516 1.66500 1.66500],0.294
600,[-2.41326 0.84216 0.84216],[1.65758 0.25238 0.25238],0.2928
700,[-1.06132 -0.28212 -0.28212],[0.62268 0.55665 0.55665],0.29159999999999997
800,[-1.67865 -0.31486 -0.31486],[1.50859 1.21847 1.21847],0.2904
900,[-2.32553 0.95178 0.95178],[1.40793 0.29840 0.29840],0.28919999999999996
1000,[-1.22764 0.23344 0.23344],[0.31267 0.31177 0.31177],0.288
1100,[-1.55980 0.70714 0.70714],[0.57206 0.38624 0.38624],0.2868
1200,[-3.88679 0.80568 0.80568],[14.17321 1.19285 1.19285],0.28559999999999997
1300,[-1.43850 -0.07456 -0.07456],[3.49250 1.28764 1.28764],0.2844
1400,[-1.45689 0.02569 0.02569],[0.73147 0.90391 0.90391],0.28319999999999995
1500,[-1.74009 0.22973 0.22973],[3.94116 0.91507 0.91507],0.282
1600,[-1.33699 -0.12597 -0.12597],[0.63549 0.52820 0.52820],0.2808
1700,[-1.74328 -0.44767 -0.44767],[1.82312 1.13625 1.13625],0.2796
1800,[-2.81500 0.38293 0.38293],[6.42941 1.03305 1.03305],0.2784
1900,[-1.83136 0.48997 0.48997],[2.78628 0.65216 0.65216],0.2772
2000,[-2.80056 0.45631 0.45631],[2.15762 1.26807 1.26807],0.276
2100,[-2.31096 -0.18254 -0.18254],[2.86960 0.94441 0.94441],0.2748
2200,[-0.99484 -0.10529 -0.10529],[0.88173 0.60147 0.60147],0.2736
2300,[-1.77641 -0.42137 -0.42137],[0.46885 0.45398 0.45398],0.2724
2400,[-0.75247 -0.31991 -0.31991],[0.12364 0.76356 0.76356],0.2712
2500,[-1.67556 0.45507 0.45507],[1.02486 0.27158 0.27158],0.27
2600,[-1.32240 -0.17134 -0.17134],[0.99053 1.05976 1.05976],0.2688
2700,[-0.96478 0.20617 0.20617],[0.60436 0.02111 0.02111],0.2676
2800,[-1.24324 0.10500 0.10500],[0.98805 0.29514 0.29514],0.26639999999999997
2900,[-1.76558 0.14871 0.14871],[3.09903 1.13182 1.13182],0.2652
3000,[-1.62079 -0.02752 -0.02752],[2.05058 1.42060 1.42060],0.264
3100,[-1.05479 0.14230 0.14230],[0.35454 0.83147 0.83147],0.2628
3200,[-0.58378 -0.91484 -0.91484],[0.36675 1.36892 1.36892],0.2616
3300,[-1.92192 -0.35821 -0.35821],[2.24656 0.46932 0.46932],0.26039999999999996
3400,[-0.39276 -0.85300 -0.85300],[0.08164 0.72369 0.72369],0.2592
3500,[-1.36071 -0.37448 -0.37448],[0.25677 0.79167 0.79167],0.258
3600,[-1.25075 -0.62806 -0.62806],[1.36083 0.79119 0.79119],0.2568
3700,[-0.70748 -1.10046 -1.10046],[0.35893 0.39894 0.39894],0.2556
3800,[-0.79023 -0.66664 -0.66664],[0.11786 0.51734 0.51734],0.25439999999999996
3900,[-1.95257 0.16332 0.16332],[0.51180 0.35641 0.35641],0.2532
4000,[-1.08181 -0.47610 -0.47610],[0.46373 0.30625 0.30625],0.252
4100,[-1.16998 -0.79561 -0.79561],[0.74129 0.80461 0.80461],0.25079999999999997
4200,[-2.35020 -0.27996 -0.27996],[6.24069 0.96523 0.96523],0.2496
4300,[-1.11865 0.40161 0.40161],[0.95466 0.31939 0.31939],0.24839999999999998
4400,[-1.10245 -0.62723 -0.62723],[0.25191 1.65692 1.65692],0.24719999999999998
