iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss
0,100,-3.96511,4.13044,0.82304,-4.17181,4.49198,0.87558,-4.18541,4.48638,0.87343
1,200,-4.38240,0.98289,0.82162,-4.73433,1.00608,0.87519,-4.78062,1.08882,0.87143
2,300,-5.03300,1.07938,0.81569,-5.42189,1.01089,0.87122,-5.34708,1.09901,0.86778
3,400,-5.53505,1.23330,0.81161,-5.79406,1.15091,0.86832,-5.77481,1.22694,0.86503
4,500,-6.26823,1.37107,0.80882,-6.46414,1.29484,0.86520,-6.60763,1.34067,0.86239
5,600,-6.90936,1.53354,0.80503,-7.35649,1.49284,0.86207,-7.42122,1.48525,0.85978
6,700,-7.59366,1.51897,0.80166,-8.08499,1.51867,0.85890,-8.04729,1.58650,0.85740
7,800,-8.14251,1.61323,0.79868,-8.83055,1.63501,0.85579,-8.85048,1.69184,0.85429
8,900,-8.70605,1.62019,0.79494,-9.45002,1.67880,0.85275,-9.57218,1.84818,0.85111
9,1000,-9.31322,1.73438,0.79197,-10.17986,1.80644,0.84936,-10.19386,1.97741,0.84828
10,1100,-9.94527,1.85787,0.78894,-10.87796,1.98004,0.84638,-10.90895,1.95715,0.84510
11,1200,-10.56703,2.10989,0.78578,-11.37813,2.09951,0.84314,-11.61909,2.00240,0.84206
12,1300,-11.14393,2.25537,0.78263,-12.14689,2.20715,0.83980,-12.28160,2.03484,0.83896
13,1400,-11.72439,2.50778,0.77916,-12.78151,2.44164,0.83669,-12.92687,2.33209,0.83599
14,1500,-12.13433,2.63287,0.77596,-13.37903,2.74707,0.83340,-13.47814,3.14709,0.83305
15,1600,-12.71298,2.84551,0.77293,-13.92704,3.00556,0.83001,-14.22920,3.39961,0.82969
16,1700,-13.19695,3.09564,0.76946,-14.47725,3.62324,0.82701,-14.64425,3.41565,0.82681
17,1800,-13.61287,3.53136,0.76619,-15.07496,4.05607,0.82382,-15.18837,3.83610,0.82385
18,1900,-14.27518,3.76143,0.76320,-15.71946,4.23025,0.82077,-15.87533,4.17896,0.82080
19,2000,-14.72319,4.33647,0.75979,-16.42950,4.59065,0.81759,-16.36244,4.61555,0.81794
20,2100,-15.29689,4.18138,0.75649,-16.94538,4.93495,0.81436,-16.86878,4.12724,0.81488
21,2200,-15.68075,4.56354,0.75323,-17.44803,4.61017,0.81086,-17.45263,4.26343,0.81193
22,2300,-16.13818,4.50421,0.75043,-17.78112,5.10455,0.80782,-17.78492,5.38834,0.80891
23,2400,-16.57705,4.39299,0.74695,-18.37753,5.82454,0.80447,-18.44424,5.66481,0.80561
24,2500,-17.11318,5.21737,0.74358,-18.88826,6.28084,0.80164,-18.79808,5.78282,0.80260
25,2600,-17.39731,5.11364,0.74028,-19.36951,6.17579,0.79869,-19.46769,5.85768,0.79969
26,2700,-17.71640,5.62566,0.73728,-19.76705,6.79813,0.79553,-19.87003,6.09502,0.79666
27,2800,-18.24953,5.74112,0.73392,-20.22422,7.21944,0.79268,-20.37820,6.55612,0.79377
28,2900,-18.59388,5.59721,0.73104,-20.69381,7.56853,0.78907,-20.75125,6.78649,0.79060
29,3000,-18.87692,6.21354,0.72745,-21.28524,7.55998,0.78619,-21.25673,6.89830,0.78763
30,3100,-19.37851,6.83451,0.72447,-21.70518,8.75702,0.78320,-21.79013,6.92105,0.78454
31,3200,-19.58155,6.17326,0.72093,-22.09394,8.47459,0.77981,-22.09788,7.10109,0.78155
32,3300,-19.85526,6.34989,0.71789,-22.38659,8.89518,0.77686,-22.57254,8.07471,0.77862
33,3400,-20.14472,6.45655,0.71435,-22.81457,9.99580,0.77368,-22.51309,8.74028,0.77518
34,3500,-20.14518,7.22249,0.71123,-22.92171,12.00632,0.77048,-22.62007,9.43710,0.77216
35,3600,-20.40097,7.72825,0.70844,-23.06123,12.36697,0.76726,-23.04642,11.20572,0.76899
36,3700,-20.50970,8.03517,0.70506,-23.55213,13.30419,0.76407,-23.05069,11.00836,0.76583
37,3800,-20.91369,8.69071,0.70200,-23.74569,13.82539,0.76099,-23.54482,11.42123,0.76297
38,3900,-21.11349,9.14114,0.69840,-23.77431,13.67401,0.75816,-23.70962,11.16452,0.75972
39,4000,-21.29550,9.31396,0.69551,-23.96265,14.91112,0.75494,-23.90147,11.92778,0.75710
40,4100,-21.47911,10.07544,0.69214,-24.27034,15.25291,0.75174,-24.31583,13.20776,0.75377
41,4200,-21.63759,10.28942,0.68949,-24.76349,15.09524,0.74870,-24.55202,11.95253,0.75067
42,4300,-22.02044,10.33156,0.68644,-25.04745,15.52243,0.74549,-24.59669,12.04005,0.74755
43,4400,-22.32135,9.52374,0.68297,-25.62658,14.85807,0.74255,-25.43068,12.25664,0.74445
44,4500,-22.49032,9.08728,0.68022,-25.80039,15.33322,0.73929,-25.62553,13.04995,0.74157
45,4600,-22.91067,9.52734,0.67694,-26.11666,15.51487,0.73637,-25.76548,12.86400,0.73839
46,4700,-22.93615,10.11518,0.67415,-26.20042,16.77777,0.73305,-26.05896,13.57440,0.73530
