number,rewards,variances,exploration_value
0,[-3.24940 -3.24940],[2.43222 2.43222],0.3
100,[-6.64822 -6.64822],[21.80671 21.80671],0.2988
200,[-5.62943 -5.62943],[2.50562 2.50562],0.2976
300,[-2.84181 -2.84181],[5.79856 5.79856],0.2964
400,[-3.48265 -3.48265],[11.63768 11.63768],0.29519999999999996
500,[-2.35981 -2.35981],[3.01794 3.01794],0.294
600,[-3.16366 -3.16366],[7.68393 7.68393],0.2928
700,[-6.96558 -6.96558],[27.54193 27.54193],0.29159999999999997
800,[-6.79122 -6.79122],[36.71049 36.71049],0.2904
900,[-4.11701 -4.11701],[3.41291 3.41291],0.28919999999999996
1000,[-2.19974 -2.19974],[4.48144 4.48144],0.288
1100,[-2.95781 -2.95781],[6.44235 6.44235],0.2868
1200,[-2.40593 -2.40593],[0.80529 0.80529],0.28559999999999997
1300,[-5.18775 -5.18775],[24.33394 24.33394],0.2844
1400,[-3.86240 -3.86240],[16.36048 16.36048],0.28319999999999995
1500,[-3.40944 -3.40944],[7.13650 7.13650],0.282
1600,[-2.41423 -2.41423],[3.34016 3.34016],0.2808
1700,[-2.78651 -2.78651],[10.13580 10.13580],0.2796
1800,[-0.43628 -0.43628],[0.02689 0.02689],0.2784
1900,[-2.93362 -2.93362],[5.31162 5.31162],0.2772
2000,[-1.52490 -1.52490],[0.38627 0.38627],0.276
2100,[-0.88975 -0.88975],[0.17572 0.17572],0.2748
2200,[-3.29898 -3.29898],[5.65179 5.65179],0.2736
2300,[-1.71724 -1.71724],[1.57250 1.57250],0.2724
2400,[-3.71806 -3.71806],[9.67819 9.67819],0.2712
2500,[-6.29975 -6.29975],[75.60644 75.60644],0.27
2600,[-3.14403 -3.14403],[1.99350 1.99350],0.2688
2700,[-6.37786 -6.37786],[17.68669 17.68669],0.2676
2800,[-2.52805 -2.52805],[1.62628 1.62628],0.26639999999999997
2900,[-3.40305 -3.40305],[29.82303 29.82303],0.2652
3000,[-1.84392 -1.84392],[1.66849 1.66849],0.264
3100,[-3.36277 -3.36277],[13.90270 13.90270],0.2628
3200,[-1.04781 -1.04781],[1.92186 1.92186],0.2616
3300,[-2.83515 -2.83515],[7.66947 7.66947],0.26039999999999996
3400,[-1.07444 -1.07444],[0.10356 0.10356],0.2592
3500,[-2.31666 -2.31666],[9.51562 9.51562],0.258
3600,[-2.22528 -2.22528],[1.90556 1.90556],0.2568
3700,[-1.10944 -1.10944],[0.47169 0.47169],0.2556
3800,[-3.40802 -3.40802],[8.87370 8.87370],0.25439999999999996
3900,[-3.10910 -3.10910],[11.51125 11.51125],0.2532
4000,[-1.34617 -1.34617],[0.55254 0.55254],0.252
4100,[-1.73362 -1.73362],[4.31508 4.31508],0.25079999999999997
4200,[-4.43171 -4.43171],[8.16230 8.16230],0.2496
4300,[-0.69857 -0.69857],[0.30186 0.30186],0.24839999999999998
