iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss
0,100,-2.22809,1.52370,0.39439,2.07982,-2.25572,1.52667,0.39450,2.07922
1,200,-2.60771,0.79120,0.39470,2.07862,-2.60260,0.85432,0.39447,2.07854
2,300,-3.08094,0.76663,0.38498,2.07964,-3.01339,0.74169,0.38471,2.08012
3,400,-3.38515,0.74457,0.37793,2.07449,-3.35684,0.69072,0.37753,2.07495
4,500,-3.64575,0.71761,0.37104,2.06932,-3.57096,0.71153,0.37123,2.06893
5,600,-3.91164,0.73485,0.36386,2.06557,-3.87977,0.73497,0.36316,2.06674
6,700,-4.21217,0.78939,0.35692,2.06437,-4.07662,0.77406,0.35646,2.06430
7,800,-4.49239,0.77955,0.35060,2.06281,-4.40788,0.74859,0.35050,2.06288
8,900,-4.61223,0.80932,0.34494,2.06111,-4.51917,0.83441,0.34465,2.06074
9,1000,-4.74619,0.90798,0.34008,2.05685,-4.64428,0.85838,0.33975,2.05739
10,1100,-4.95076,0.89517,0.33482,2.05275,-4.80012,0.88053,0.33463,2.05288
11,1200,-5.10679,0.88977,0.32980,2.04814,-5.04850,0.89930,0.32933,2.04918
12,1300,-5.40882,0.96666,0.32220,2.04599,-5.37832,0.91268,0.32244,2.04499
13,1400,-5.57088,0.93752,0.31594,2.04308,-5.52698,0.91716,0.31585,2.04316
14,1500,-5.88448,0.89825,0.30893,2.04115,-5.90635,0.89815,0.30905,2.04091
15,1600,-6.10123,0.94605,0.30275,2.03898,-6.07232,0.94255,0.30295,2.03862
16,1700,-6.35333,0.96108,0.29676,2.03695,-6.32872,0.95839,0.29637,2.03735
17,1800,-6.51096,0.88765,0.29048,2.03569,-6.46826,0.95880,0.29039,2.03603
18,1900,-6.67499,0.94909,0.28494,2.03410,-6.60717,0.91823,0.28464,2.03389
19,2000,-6.83437,1.00925,0.27965,2.03227,-6.81013,0.96208,0.27887,2.03296
20,2100,-6.93399,1.06333,0.27394,2.03018,-6.93609,0.93959,0.27345,2.03076
21,2200,-7.05694,0.97856,0.26823,2.02900,-7.10597,0.98775,0.26792,2.02902
22,2300,-7.20554,0.97822,0.26254,2.02817,-7.21464,0.95748,0.26318,2.02634
23,2400,-7.30515,0.97649,0.25754,2.02584,-7.26302,1.06176,0.25745,2.02601
24,2500,-7.47640,0.97293,0.25243,2.02339,-7.38865,1.06084,0.25202,2.02474
25,2600,-7.59305,0.97572,0.24728,2.02132,-7.57580,1.02222,0.24617,2.02351
26,2700,-7.64701,1.00752,0.24142,2.02141,-7.68487,1.00658,0.24148,2.02063
27,2800,-7.80725,1.01364,0.23613,2.02016,-7.75769,1.04061,0.23632,2.01940
28,2900,-7.90902,1.03057,0.23130,2.01784,-7.88799,1.05783,0.23108,2.01869
29,3000,-7.91178,1.05455,0.22611,2.01658,-8.02744,1.04896,0.22594,2.01683
30,3100,-8.05126,1.06787,0.22177,2.01464,-8.06017,1.02572,0.22137,2.01431
31,3200,-8.09123,1.08353,0.21611,2.01435,-8.14316,1.06241,0.21631,2.01394
32,3300,-8.15731,1.07043,0.21142,2.01183,-8.23245,1.05082,0.21117,2.01257
33,3400,-8.18984,1.06475,0.20689,2.01068,-8.29144,1.02478,0.20641,2.01153
34,3500,-8.23601,1.03034,0.20252,2.00843,-8.33107,1.14104,0.20207,2.00907
35,3600,-8.29581,0.99051,0.19767,2.00768,-8.43894,1.11507,0.19747,2.00823
36,3700,-8.35880,1.08194,0.19283,2.00736,-8.43160,1.06785,0.19278,2.00729
37,3800,-8.42641,1.06264,0.18904,2.00396,-8.51798,1.03648,0.18864,2.00548
38,3900,-8.43054,1.07461,0.18467,2.00267,-8.52664,1.02296,0.18435,2.00352
39,4000,-8.45223,1.10066,0.17985,2.00279,-8.57492,1.03279,0.17975,2.00328
40,4100,-8.43538,1.06023,0.17553,2.00104,-8.58974,1.08313,0.17543,2.00217
41,4200,-8.45946,1.10981,0.17166,1.99951,-8.66004,1.04158,0.17164,2.00009
42,4300,-8.48706,1.07323,0.16765,1.99787,-8.67322,1.08516,0.16785,1.99748
43,4400,-8.44223,1.13625,0.16378,1.99652,-8.69678,1.05511,0.16337,1.99684
44,4500,-8.39712,1.07528,0.15975,1.99487,-8.69650,1.14472,0.15977,1.99458
45,4600,-8.41763,1.08708,0.15534,1.99481,-8.60609,1.41592,0.15576,1.99402
46,4700,-8.38698,1.09899,0.15179,1.99277,-8.66683,1.17595,0.15187,1.99229
47,4800,-8.36197,1.07664,0.14815,1.99147,-8.60252,1.13728,0.14783,1.99200
48,4900,-8.32022,1.10942,0.14399,1.99051,-8.63499,1.11804,0.14449,1.98958
49,5000,-8.29534,1.17235,0.14047,1.98877,-8.54986,1.10193,0.14054,1.98884
50,5100,-8.24865,1.11551,0.13703,1.98673,-8.47235,1.21075,0.13695,1.98665
51,5200,-8.24437,1.07257,0.13363,1.98492,-8.46563,1.14206,0.13314,1.98561
52,5300,-8.18213,1.07846,0.12982,1.98412,-8.43969,1.21768,0.13012,1.98285
53,5400,-8.12478,1.14227,0.12649,1.98284,-8.39229,1.19100,0.12631,1.98265
54,5500,-8.12783,1.09385,0.12296,1.98129,-8.37535,1.20970,0.12289,1.98109
55,5600,-8.03585,1.14005,0.11956,1.98033,-8.30617,1.17138,0.11943,1.97993
56,5700,-8.01762,1.15777,0.11617,1.97866,-8.25546,1.14928,0.11639,1.97878
57,5800,-7.95007,1.14370,0.11311,1.97726,-8.19894,1.12986,0.11273,1.97812
58,5900,-7.86348,1.18192,0.10978,1.97615,-8.15772,1.30733,0.10976,1.97607
59,6000,-7.82642,1.18251,0.10690,1.97413,-8.11725,1.18256,0.10690,1.97326
60,6100,-7.76023,1.22676,0.10383,1.97261,-8.08823,1.14433,0.10339,1.97377
61,6200,-7.66927,1.17238,0.10095,1.97097,-7.98646,1.20229,0.10091,1.97119
62,6300,-7.60679,1.22990,0.09787,1.97041,-7.92861,1.14415,0.09800,1.96915
