iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss
0,100,-2.90764,2.16148,0.54268,1.09547,-3.74261,4.03537,0.69096,1.61514
1,200,-3.39609,0.91671,0.53483,1.08815,-4.39821,1.09794,0.70776,1.62568
2,300,-4.05563,0.80307,0.52890,1.08279,-5.09275,0.81695,0.69891,1.62743
3,400,-4.42387,0.74188,0.52366,1.08161,-5.58076,0.80664,0.68697,1.62401
4,500,-4.80132,0.84808,0.51904,1.08340,-6.15248,0.90708,0.67820,1.62215
5,600,-5.21524,0.90646,0.51511,1.08758,-6.55423,0.98787,0.67192,1.62109
6,700,-5.56500,0.97575,0.50944,1.08788,-7.03004,1.16110,0.66716,1.62100
7,800,-6.01288,0.91671,0.50433,1.08618,-7.55716,1.07654,0.66338,1.61910
8,900,-6.29215,0.88400,0.49951,1.08523,-8.13652,0.94719,0.65884,1.61575
9,1000,-6.80640,0.91867,0.49552,1.08811,-8.64227,1.07229,0.65185,1.61569
10,1100,-7.23859,0.90537,0.49149,1.08930,-9.19731,1.16576,0.64516,1.61599
11,1200,-7.62426,0.95287,0.48637,1.08839,-9.59109,1.20266,0.63734,1.61637
12,1300,-7.78079,1.09237,0.48119,1.08831,-9.90895,1.36754,0.63129,1.61526
13,1400,-8.08709,1.09804,0.47648,1.08862,-10.28212,1.38266,0.62699,1.61567
14,1500,-8.46611,0.99481,0.47112,1.08890,-10.87587,1.22380,0.62227,1.61637
15,1600,-8.82067,1.08446,0.46679,1.08977,-11.38736,1.23010,0.61629,1.61506
16,1700,-9.12759,1.12862,0.46295,1.09109,-11.89873,1.37278,0.61189,1.61433
17,1800,-9.45993,1.08958,0.45857,1.09290,-12.06267,1.33500,0.60736,1.61343
18,1900,-9.68557,1.14609,0.45401,1.09344,-12.33296,1.30607,0.60190,1.61325
19,2000,-10.24351,1.13017,0.44958,1.09448,-12.90853,1.61781,0.59542,1.61275
20,2100,-10.55339,1.11569,0.44551,1.09533,-13.39218,1.31001,0.59063,1.61321
21,2200,-10.73300,1.10791,0.44112,1.09591,-13.73706,1.25571,0.58524,1.61292
22,2300,-10.82750,1.22091,0.43623,1.09438,-14.05440,1.42459,0.58153,1.61198
23,2400,-11.36291,1.05821,0.43199,1.09501,-14.58680,1.32302,0.57715,1.61160
24,2500,-11.55287,1.16701,0.42733,1.09548,-14.95035,1.26964,0.57237,1.61095
25,2600,-11.80791,1.04469,0.42317,1.09621,-15.07446,1.19522,0.56688,1.61043
26,2700,-12.05118,0.97562,0.41951,1.09818,-15.41449,1.10375,0.56198,1.61050
27,2800,-12.33373,1.13675,0.41548,1.09984,-15.65740,1.08683,0.55705,1.60992
28,2900,-12.35047,1.18030,0.41092,1.10033,-16.01307,1.15467,0.55194,1.60905
29,3000,-12.71527,1.17227,0.40739,1.10225,-16.22372,1.37205,0.54671,1.60876
30,3100,-12.82460,1.17180,0.40285,1.10200,-16.46012,1.26224,0.54196,1.60916
31,3200,-12.98166,1.17975,0.39947,1.10419,-16.66096,1.12100,0.53728,1.60833
32,3300,-13.07677,1.14439,0.39519,1.10457,-16.95133,1.01389,0.53200,1.60809
33,3400,-13.38251,1.12774,0.39125,1.10503,-17.18491,1.06081,0.52802,1.60814
34,3500,-13.52682,1.10805,0.38728,1.10561,-17.44740,1.08324,0.52408,1.60803
35,3600,-13.54421,1.14410,0.38346,1.10613,-17.63494,1.13790,0.51972,1.60707
36,3700,-13.87160,1.09691,0.37990,1.10631,-17.67680,1.14055,0.51517,1.60766
37,3800,-13.84483,1.17479,0.37551,1.10613,-17.74037,1.22278,0.51202,1.60663
38,3900,-14.01005,1.34476,0.37185,1.10659,-18.04202,1.20412,0.50821,1.60529
39,4000,-14.17002,1.26011,0.36820,1.10639,-18.23262,1.29578,0.50518,1.60561
40,4100,-14.12285,1.24892,0.36431,1.10600,-18.26094,1.30004,0.50253,1.60548
41,4200,-14.26795,1.44044,0.36073,1.10618,-18.27636,1.26827,0.49931,1.60465
42,4300,-14.39620,1.43819,0.35682,1.10561,-18.54297,1.78183,0.49495,1.60441
43,4400,-14.41834,1.41641,0.35321,1.10551,-18.47192,1.83971,0.49232,1.60411
44,4500,-14.41278,1.22626,0.34928,1.10523,-18.78833,1.67789,0.48935,1.60303
45,4600,-14.48005,1.33659,0.34594,1.10538,-18.70140,1.67085,0.48612,1.60246
46,4700,-14.47426,1.47916,0.34227,1.10528,-18.81870,1.91277,0.48341,1.60182
47,4800,-14.54071,1.30311,0.33891,1.10530,-18.81662,1.55643,0.47986,1.60111
48,4900,-14.58567,1.20540,0.33536,1.10498,-18.82735,1.46158,0.47609,1.60071
49,5000,-14.68392,1.15864,0.33174,1.10431,-18.89963,1.52520,0.47291,1.60028
50,5100,-14.66845,1.20533,0.32813,1.10470,-19.12357,1.47884,0.46993,1.60029
51,5200,-14.81614,1.20760,0.32448,1.10389,-19.23590,1.46128,0.46608,1.59919
