iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
0,100,-0.05623,0.50416,-0.02214,0.47244
1,200,-0.11964,0.17922,-0.13672,0.19275
2,300,-0.18371,0.09756,-0.16610,0.07137
3,400,-0.25940,0.09528,-0.26347,0.10391
4,500,-0.30662,0.06293,-0.29723,0.06772
5,600,-0.35221,0.06364,-0.33525,0.07049
6,700,-0.40183,0.04850,-0.37591,0.04898
7,800,-0.40560,0.04201,-0.41867,0.05157
8,900,-0.43888,0.07561,-0.42030,0.04964
9,1000,-0.48577,0.04485,-0.46330,0.04251
10,1100,-0.51942,0.05326,-0.49431,0.05381
11,1200,-0.56265,0.03518,-0.53743,0.04495
12,1300,-0.58099,0.05796,-0.59456,0.04230
13,1400,-0.58799,0.08754,-0.62444,0.04918
14,1500,-0.61988,0.07066,-0.62570,0.04927
15,1600,-0.64550,0.14662,-0.65514,0.05205
16,1700,-0.71102,0.04519,-0.70808,0.05714
17,1800,-0.75046,0.03599,-0.70840,0.05575
18,1900,-0.75592,0.04990,-0.78632,0.05504
19,2000,-0.83031,0.05791,-0.79517,0.06195
20,2100,-0.83038,0.06876,-0.82724,0.06227
21,2200,-0.84958,0.06522,-0.84532,0.06739
22,2300,-0.90471,0.06107,-0.89510,0.06884
23,2400,-0.91737,0.08205,-0.93502,0.08329
24,2500,-0.96829,0.07731,-0.95979,0.07463
25,2600,-1.01275,0.07621,-0.99175,0.07488
26,2700,-1.03663,0.07511,-0.99801,0.08131
27,2800,-1.09075,0.07056,-1.06304,0.06329
28,2900,-1.08674,0.08644,-1.04549,0.06914
29,3000,-1.13460,0.07205,-1.09496,0.07676
30,3100,-1.13681,0.07235,-1.12707,0.07129
31,3200,-1.21037,0.08597,-1.15740,0.09461
32,3300,-1.24369,0.09363,-1.25232,0.08109
33,3400,-1.27364,0.09207,-1.23054,0.08758
34,3500,-1.28074,0.08275,-1.24457,0.08258
35,3600,-1.33883,0.07699,-1.29060,0.10654
36,3700,-1.36870,0.10371,-1.38426,0.08235
37,3800,-1.34866,0.14902,-1.34741,0.10796
38,3900,-1.39033,0.14259,-1.39366,0.09683
39,4000,-1.48703,0.11488,-1.48410,0.08286
40,4100,-1.49876,0.11260,-1.47222,0.10887
41,4200,-1.51317,0.12208,-1.47734,0.11825
42,4300,-1.52296,0.13375,-1.52220,0.08170
43,4400,-1.56253,0.13995,-1.48157,0.10059
44,4500,-1.61170,0.10502,-1.59309,0.08978
45,4600,-1.58472,0.09692,-1.61055,0.14154
46,4700,-1.62214,0.10417,-1.64415,0.11914
47,4800,-1.65415,0.09381,-1.64048,0.11453
48,4900,-1.64748,0.12467,-1.66825,0.09031
49,5000,-1.68562,0.13274,-1.74272,0.12153
50,5100,-1.67090,0.12931,-1.74715,0.13196
51,5200,-1.71974,0.16203,-1.75989,0.14892
52,5300,-1.77268,0.10170,-1.74892,0.16796
53,5400,-1.77354,0.14600,-1.86313,0.15820
54,5500,-1.83157,0.16824,-1.84326,0.19921
55,5600,-1.85886,0.21516,-1.86728,0.18463
56,5700,-1.94242,0.12379,-1.83682,0.13759
57,5800,-1.92771,0.09756,-1.96566,0.14557
58,5900,-1.97040,0.15353,-1.97402,0.18457
59,6000,-1.98467,0.17293,-2.00771,0.16008
60,6100,-1.99407,0.14713,-2.06006,0.13946
61,6200,-2.06728,0.15747,-2.05552,0.13666
62,6300,-2.06785,0.14748,-2.08697,0.14184
63,6400,-2.14867,0.18696,-2.08662,0.24748
64,6500,-2.14048,0.18525,-2.23188,0.18783
65,6600,-2.10749,0.15976,-2.16699,0.18303
66,6700,-2.20413,0.18141,-2.25548,0.15951
67,6800,-2.21083,0.12749,-2.27756,0.16258
68,6900,-2.23882,0.15967,-2.32795,0.14998
69,7000,-2.31803,0.21417,-2.31165,0.19525
70,7100,-2.27110,0.21885,-2.39326,0.16501
71,7200,-2.27916,0.17062,-2.37758,0.23812
72,7300,-2.36935,0.15178,-2.36816,0.17850
73,7400,-2.36524,0.12697,-2.42120,0.20563
74,7500,-2.46870,0.15398,-2.44299,0.19191
75,7600,-2.44790,0.14711,-2.49902,0.17754
76,7700,-2.48323,0.14845,-2.48876,0.16500
77,7800,-2.51549,0.14608,-2.44325,0.15868
78,7900,-2.53098,0.17213,-2.57377,0.12611
79,8000,-2.57172,0.17198,-2.65220,0.17054
80,8100,-2.60180,0.15450,-2.59339,0.19397
81,8200,-2.63837,0.14260,-2.59231,0.18499
82,8300,-2.63264,0.20064,-2.64970,0.15099
83,8400,-2.67425,0.24091,-2.65823,0.25218
84,8500,-2.60738,0.20024,-2.68445,0.22778
85,8600,-2.68122,0.15323,-2.67032,0.17334
86,8700,-2.72981,0.18296,-2.73720,0.18771
87,8800,-2.76504,0.14456,-2.69110,0.22401
88,8900,-2.82465,0.21577,-2.79635,0.20971
89,9000,-2.75931,0.19571,-2.81425,0.17028
90,9100,-2.79911,0.21320,-2.79803,0.14712
91,9200,-2.81485,0.21413,-2.81955,0.17995
92,9300,-2.83025,0.20100,-2.86781,0.22744
93,9400,-2.81800,0.33379,-2.83587,0.19057
94,9500,-2.91997,0.17074,-2.87463,0.21062
95,9600,-2.88283,0.16449,-2.92329,0.19128
96,9700,-2.85658,0.37432,-2.90193,0.28015
97,9800,-2.85145,0.35531,-2.86080,0.23789
98,9900,-2.92282,0.20716,-2.94194,0.17944
99,10000,-2.86822,0.25425,-2.90219,0.22589
100,10100,-2.93236,0.15182,-2.96609,0.20855
101,10200,-2.92440,0.26119,-2.99771,0.18902
102,10300,-3.07128,0.22789,-2.97462,0.24911
103,10400,-2.99532,0.22719,-3.03633,0.24579
104,10500,-2.95579,0.33981,-3.06087,0.20916
105,10600,-3.04283,0.29805,-3.02628,0.28111
106,10700,-3.00996,0.19783,-3.12226,0.23649
107,10800,-3.01474,0.16700,-3.05118,0.23134
108,10900,-3.05307,0.20978,-3.17225,0.22000
109,11000,-3.07824,0.20449,-3.08434,0.21005
110,11100,-3.06600,0.24005,-3.04948,0.20718
111,11200,-3.08981,0.18992,-3.08121,0.28932
112,11300,-3.07744,0.12738,-3.06426,0.21404
113,11400,-3.11334,0.16512,-3.11776,0.16226
114,11500,-3.14811,0.17670,-3.13387,0.21388
115,11600,-3.05479,0.15040,-3.11131,0.23404
116,11700,-3.11484,0.21557,-3.09583,0.31550
117,11800,-3.10988,0.21997,-3.06151,0.25249
118,11900,-3.09066,0.17768,-3.18475,0.34038
119,12000,-3.08918,0.22550,-3.13309,0.26727
120,12100,-3.18867,0.15403,-3.21439,0.24773
121,12200,-3.15163,0.27382,-3.16215,0.26185
122,12300,-3.12422,0.25498,-3.20665,0.19100
123,12400,-3.06994,0.16398,-3.18167,0.17919
124,12500,-3.15380,0.16574,-3.20290,0.25969
125,12600,-3.10324,0.16358,-3.20707,0.14633
126,12700,-3.08982,0.33990,-3.21147,0.17702
127,12800,-3.10166,0.25313,-3.21316,0.27670
128,12900,-3.08303,0.26447,-3.23541,0.25241
129,13000,-3.19718,0.17480,-3.16794,0.24166
130,13100,-3.13981,0.20131,-3.25554,0.17300
131,13200,-3.12076,0.24800,-3.20877,0.16999
132,13300,-3.13251,0.13670,-3.22976,0.20136
133,13400,-3.14097,0.23352,-3.22432,0.26289
134,13500,-3.25029,0.19234,-3.19129,0.17793
135,13600,-3.19048,0.22656,-3.24031,0.18055
136,13700,-3.17621,0.16911,-3.22783,0.24274
137,13800,-3.15320,0.14979,-3.27257,0.28032
138,13900,-3.18868,0.22946,-3.27047,0.18650
139,14000,-3.20519,0.16602,-3.19515,0.36546
140,14100,-3.27262,0.12670,-3.27757,0.16570
141,14200,-3.24332,0.16303,-3.26945,0.21891
142,14300,-3.27768,0.18264,-3.33635,0.30954
143,14400,-3.16320,0.20579,-3.29036,0.37877
144,14500,-3.21895,0.20784,-3.24088,0.21132
