number,rewards,variances,exploration_value
0,[-3.24940 -3.24940],[2.43222 2.43222],0.3
100,[-3.79463 -3.79463],[10.52538 10.52538],0.2988
200,[-3.08965 -3.08965],[2.77350 2.77350],0.2976
300,[-3.02604 -3.02604],[5.07736 5.07736],0.2964
400,[-2.04787 -2.04787],[2.32146 2.32146],0.29519999999999996
500,[-2.15123 -2.15123],[1.13227 1.13227],0.294
600,[-3.64325 -3.64325],[3.95347 3.95347],0.2928
700,[-1.33837 -1.33837],[0.55711 0.55711],0.29159999999999997
800,[-3.11135 -3.11135],[9.06292 9.06292],0.2904
900,[-1.98190 -1.98190],[1.64475 1.64475],0.28919999999999996
1000,[-1.03280 -1.03280],[1.05096 1.05096],0.288
1100,[-3.16439 -3.16439],[3.47207 3.47207],0.2868
1200,[-1.67204 -1.67204],[1.30331 1.30331],0.28559999999999997
1300,[-2.77875 -2.77875],[6.03123 6.03123],0.2844
1400,[-4.26890 -4.26890],[17.88658 17.88658],0.28319999999999995
1500,[-3.47662 -3.47662],[3.56410 3.56410],0.282
1600,[-1.85181 -1.85181],[2.13221 2.13221],0.2808
1700,[-1.86409 -1.86409],[3.12967 3.12967],0.2796
1800,[-0.40509 -0.40509],[0.03025 0.03025],0.2784
1900,[-2.99223 -2.99223],[1.54297 1.54297],0.2772
2000,[-2.08245 -2.08245],[5.89987 5.89987],0.276
2100,[-1.52286 -1.52286],[1.61174 1.61174],0.2748
2200,[-4.10054 -4.10054],[6.52308 6.52308],0.2736
2300,[-0.67745 -0.67745],[0.19825 0.19825],0.2724
2400,[-2.46292 -2.46292],[2.80414 2.80414],0.2712
2500,[-3.43028 -3.43028],[12.77475 12.77475],0.27
2600,[-2.75980 -2.75980],[1.59010 1.59010],0.2688
2700,[-4.18518 -4.18518],[6.96115 6.96115],0.2676
2800,[-1.02473 -1.02473],[0.30531 0.30531],0.26639999999999997
2900,[-2.54347 -2.54347],[14.68849 14.68849],0.2652
3000,[-0.92578 -0.92578],[0.86949 0.86949],0.264
3100,[-1.70664 -1.70664],[3.95003 3.95003],0.2628
3200,[-1.56331 -1.56331],[3.10355 3.10355],0.2616
3300,[-2.91970 -2.91970],[6.66460 6.66460],0.26039999999999996
3400,[-0.87831 -0.87831],[0.10767 0.10767],0.2592
3500,[-1.70671 -1.70671],[3.29281 3.29281],0.258
3600,[-3.12480 -3.12480],[2.38537 2.38537],0.2568
3700,[-1.17138 -1.17138],[0.40134 0.40134],0.2556
3800,[-2.58356 -2.58356],[2.61589 2.61589],0.25439999999999996
3900,[-3.40484 -3.40484],[7.63261 7.63261],0.2532
4000,[-1.06057 -1.06057],[0.69032 0.69032],0.252
4100,[-1.20166 -1.20166],[2.78364 2.78364],0.25079999999999997
4200,[-5.24050 -5.24050],[12.11563 12.11563],0.2496
4300,[-1.58854 -1.58854],[3.34421 3.34421],0.24839999999999998
4400,[-2.87392 -2.87392],[9.90305 9.90305],0.24719999999999998
4500,[-1.96044 -1.96044],[1.67695 1.67695],0.24599999999999997
4600,[-3.05091 -3.05091],[9.64651 9.64651],0.24479999999999996
4700,[-2.39431 -2.39431],[4.21469 4.21469],0.2436
4800,[-2.59521 -2.59521],[2.57881 2.57881],0.2424
4900,[-2.46999 -2.46999],[3.66634 3.66634],0.2412
5000,[-2.42110 -2.42110],[6.87498 6.87498],0.24
5100,[-4.04886 -4.04886],[4.30501 4.30501],0.2388
5200,[-1.63140 -1.63140],[1.68102 1.68102],0.2376
5300,[-3.97654 -3.97654],[2.22994 2.22994],0.2364
5400,[-1.66884 -1.66884],[2.17974 2.17974],0.2352
5500,[-3.99901 -3.99901],[5.44828 5.44828],0.23399999999999999
5600,[-2.74842 -2.74842],[1.67733 1.67733],0.2328
5700,[-1.51917 -1.51917],[3.05538 3.05538],0.2316
5800,[-1.41310 -1.41310],[1.06518 1.06518],0.2304
5900,[-0.47141 -0.47141],[0.06107 0.06107],0.2292
6000,[-1.79187 -1.79187],[3.75256 3.75256],0.22799999999999998
6100,[-4.82431 -4.82431],[7.57429 7.57429],0.2268
6200,[-2.27745 -2.27745],[4.57833 4.57833],0.2256
6300,[-4.03888 -4.03888],[11.46312 11.46312],0.2244
6400,[-1.19871 -1.19871],[0.83620 0.83620],0.22319999999999998
6500,[-1.64179 -1.64179],[1.95845 1.95845],0.222
6600,[-1.85913 -1.85913],[2.80365 2.80365],0.2208
6700,[-1.00937 -1.00937],[1.56792 1.56792],0.2196
6800,[-4.86146 -4.86146],[12.74411 12.74411],0.21839999999999998
6900,[-1.35800 -1.35800],[1.10813 1.10813],0.21719999999999998
7000,[-1.92028 -1.92028],[7.96061 7.96061],0.216
7100,[-3.29903 -3.29903],[8.55899 8.55899],0.2148
7200,[-1.30964 -1.30964],[1.02084 1.02084],0.21359999999999998
7300,[-1.83230 -1.83230],[7.17227 7.17227],0.21239999999999998
7400,[-1.81880 -1.81880],[2.88815 2.88815],0.21119999999999997
7500,[-1.72349 -1.72349],[2.38586 2.38586],0.21
7600,[-2.31981 -2.31981],[11.26929 11.26929],0.20879999999999999
7700,[-6.07353 -6.07353],[18.07350 18.07350],0.20759999999999998
7800,[-2.11019 -2.11019],[5.36287 5.36287],0.20639999999999997
7900,[-2.15450 -2.15450],[4.41244 4.41244],0.20520000000000002
8000,[-2.41428 -2.41428],[8.44532 8.44532],0.20400000000000001
8100,[-2.78985 -2.78985],[10.12363 10.12363],0.2028
8200,[-1.63030 -1.63030],[2.78897 2.78897],0.2016
8300,[-4.10014 -4.10014],[3.38829 3.38829],0.2004
8400,[-3.54798 -3.54798],[14.43814 14.43814],0.19920000000000002
8500,[-2.78009 -2.78009],[4.73179 4.73179],0.198
8600,[-0.39820 -0.39820],[0.01933 0.01933],0.1968
8700,[-2.68647 -2.68647],[1.95346 1.95346],0.1956
8800,[-1.83278 -1.83278],[2.20538 2.20538],0.1944
8900,[-1.86811 -1.86811],[1.27225 1.27225],0.1932
9000,[-2.57364 -2.57364],[4.60646 4.60646],0.192
9100,[-0.67566 -0.67566],[0.09542 0.09542],0.1908
9200,[-2.54385 -2.54385],[6.68069 6.68069],0.1896
9300,[-0.52324 -0.52324],[0.05266 0.05266],0.18839999999999998
9400,[-1.45632 -1.45632],[2.96741 2.96741],0.1872
9500,[-2.35137 -2.35137],[7.34875 7.34875],0.186
9600,[-1.82679 -1.82679],[1.37426 1.37426],0.1848
9700,[-1.90944 -1.90944],[5.30577 5.30577],0.18359999999999999
9800,[-1.90596 -1.90596],[7.83669 7.83669],0.18239999999999998
9900,[-2.81946 -2.81946],[4.45847 4.45847],0.1812
10000,[-2.84808 -2.84808],[4.52817 4.52817],0.18
10100,[-2.95441 -2.95441],[6.10145 6.10145],0.1788
10200,[-0.58194 -0.58194],[0.08489 0.08489],0.17759999999999998
10300,[-4.45791 -4.45791],[13.17381 13.17381],0.17639999999999997
10400,[-2.09621 -2.09621],[3.24695 3.24695],0.1752
10500,[-1.14562 -1.14562],[1.75692 1.75692],0.174
10600,[-3.99245 -3.99245],[4.88899 4.88899],0.17279999999999998
10700,[-4.60580 -4.60580],[16.89740 16.89740],0.17159999999999997
10800,[-2.76244 -2.76244],[4.62786 4.62786],0.17039999999999997
10900,[-1.82917 -1.82917],[2.39081 2.39081],0.1692
11000,[-3.12104 -3.12104],[11.60706 11.60706],0.168
11100,[-4.74853 -4.74853],[16.08123 16.08123],0.1668
11200,[-7.05573 -7.05573],[8.11579 8.11579],0.1656
11300,[-1.62062 -1.62062],[1.50115 1.50115],0.16440000000000002
11400,[-2.70287 -2.70287],[6.56144 6.56144],0.1632
11500,[-0.28108 -0.28108],[0.00457 0.00457],0.162
11600,[-1.62011 -1.62011],[2.75631 2.75631],0.1608
