iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss
0,100,-0.13013,0.82147,-0.14205,0.78918
1,200,-0.12728,0.59831,-0.11936,0.58947
2,300,-0.10456,0.50977,-0.09947,0.51826
3,400,-0.15111,0.48333,-0.15708,0.48032
4,500,-0.24424,0.47804,-0.22743,0.46076
5,600,-0.28286,0.48490,-0.25465,0.45159
6,700,-0.31750,0.48522,-0.30259,0.46150
7,800,-0.36331,0.47755,-0.34148,0.47417
8,900,-0.42381,0.48726,-0.36632,0.47191
9,1000,-0.44213,0.51172,-0.40403,0.49936
10,1100,-0.47566,0.50992,-0.44930,0.51528
11,1200,-0.51346,0.50685,-0.48195,0.48571
12,1300,-0.57581,0.52085,-0.53851,0.51543
13,1400,-0.56996,0.56845,-0.54647,0.53828
14,1500,-0.59803,0.56779,-0.55385,0.57042
15,1600,-0.65632,0.59089,-0.58148,0.58232
16,1700,-0.67881,0.56631,-0.66102,0.55362
17,1800,-0.71505,0.59084,-0.66058,0.58998
18,1900,-0.69776,0.61428,-0.69303,0.56691
19,2000,-0.72612,0.62930,-0.69307,0.63342
20,2100,-0.73006,0.62185,-0.69477,0.64262
21,2200,-0.73749,0.66950,-0.78555,0.61750
22,2300,-0.77591,0.66299,-0.83874,0.63499
23,2400,-0.80285,0.65665,-0.85408,0.64789
24,2500,-0.82277,0.68621,-0.83087,0.66435
25,2600,-0.86793,0.70401,-0.89826,0.67265
26,2700,-0.88508,0.72392,-0.88613,0.69261
27,2800,-0.94297,0.70505,-0.93719,0.73622
28,2900,-0.94264,0.74973,-0.93995,0.78787
29,3000,-0.91176,0.79228,-0.94041,0.80293
30,3100,-0.94251,0.84388,-0.95485,0.75936
31,3200,-0.97418,0.83384,-1.01542,0.77362
32,3300,-0.94494,0.81798,-1.08502,0.75431
33,3400,-1.04433,0.86075,-1.06533,0.79902
34,3500,-1.05707,0.90100,-1.10478,0.88721
35,3600,-1.07992,0.87941,-1.18732,0.84355
36,3700,-1.04670,0.94757,-1.19911,0.84957
37,3800,-1.12741,0.89264,-1.23020,0.89756
38,3900,-1.07802,0.93472,-1.25835,0.88250
39,4000,-1.05574,0.95558,-1.24045,0.85885
40,4100,-1.09431,0.97518,-1.26140,0.87842
41,4200,-1.13238,0.98483,-1.29269,0.91498
42,4300,-1.15646,0.98485,-1.24249,0.98254
43,4400,-1.12688,1.03286,-1.29274,1.01624
44,4500,-1.20803,1.06107,-1.30270,1.02003
45,4600,-1.15506,1.03024,-1.29661,0.95932
46,4700,-1.09848,1.11219,-1.27725,1.03721
47,4800,-1.14961,1.07487,-1.35288,1.02585
48,4900,-1.13870,1.07818,-1.33331,1.03489
49,5000,-1.17580,1.10431,-1.38378,0.98393
50,5100,-1.15273,1.11582,-1.34400,1.03839
51,5200,-1.23231,1.12959,-1.34968,1.07243
52,5300,-1.12937,1.06226,-1.33300,1.14115
53,5400,-1.13159,1.15732,-1.36346,1.11991
54,5500,-1.18570,1.13712,-1.35438,1.15717
55,5600,-1.14407,1.16501,-1.40142,1.20325
56,5700,-1.18949,1.15159,-1.43978,1.24380
57,5800,-1.21545,1.28282,-1.47444,1.12775
58,5900,-1.21032,1.16810,-1.41535,1.24837
59,6000,-1.20465,1.25499,-1.44635,1.22202
