number,rewards,variances,exploration_value
0,[-1.86548 -1.86548],[1.83459 1.83459],0.3
100,[-2.59602 -2.59602],[2.65754 2.65754],0.2988
200,[-11.16458 -11.16458],[73.80455 73.80455],0.2976
300,[-3.16949 -3.16949],[1.67331 1.67331],0.2964
400,[-3.35583 -3.35583],[12.76141 12.76141],0.29519999999999996
500,[-2.43341 -2.43341],[2.26679 2.26679],0.294
600,[-2.10956 -2.10956],[7.35554 7.35554],0.2928
700,[-3.20603 -3.20603],[0.60655 0.60655],0.29159999999999997
800,[-2.99814 -2.99814],[0.70780 0.70780],0.2904
900,[-4.33154 -4.33154],[18.15528 18.15528],0.28919999999999996
1000,[-1.82426 -1.82426],[2.56007 2.56007],0.288
1100,[-2.21344 -2.21344],[3.64085 3.64085],0.2868
1200,[-3.78101 -3.78101],[3.81153 3.81153],0.28559999999999997
1300,[-1.77474 -1.77474],[0.42777 0.42777],0.2844
1400,[-3.84018 -3.84018],[2.27326 2.27326],0.28319999999999995
1500,[-2.60460 -2.60460],[3.96286 3.96286],0.282
1600,[-1.95802 -1.95802],[1.89797 1.89797],0.2808
1700,[-0.94565 -0.94565],[1.63098 1.63098],0.2796
1800,[-1.59027 -1.59027],[4.73645 4.73645],0.2784
1900,[-1.86406 -1.86406],[4.05371 4.05371],0.2772
2000,[-2.09073 -2.09073],[9.11474 9.11474],0.276
2100,[-3.51281 -3.51281],[8.15560 8.15560],0.2748
2200,[-2.84889 -2.84889],[11.86063 11.86063],0.2736
2300,[-1.61563 -1.61563],[0.89358 0.89358],0.2724
2400,[-0.98245 -0.98245],[2.02781 2.02781],0.2712
2500,[-1.77498 -1.77498],[1.23147 1.23147],0.27
2600,[-1.93364 -1.93364],[2.05091 2.05091],0.2688
2700,[-2.13855 -2.13855],[2.14931 2.14931],0.2676
2800,[-2.23092 -2.23092],[6.18409 6.18409],0.26639999999999997
2900,[-1.78915 -1.78915],[2.67359 2.67359],0.2652
3000,[-2.08005 -2.08005],[5.95242 5.95242],0.264
3100,[-0.56372 -0.56372],[0.15111 0.15111],0.2628
3200,[-2.11326 -2.11326],[4.12991 4.12991],0.2616
3300,[-2.03786 -2.03786],[6.73811 6.73811],0.26039999999999996
3400,[-3.30123 -3.30123],[6.46875 6.46875],0.2592
3500,[-2.93883 -2.93883],[2.03637 2.03637],0.258
3600,[-4.26541 -4.26541],[4.75043 4.75043],0.2568
3700,[-5.80594 -5.80594],[21.43334 21.43334],0.2556
3800,[-1.90025 -1.90025],[7.40649 7.40649],0.25439999999999996
3900,[-4.28086 -4.28086],[3.36328 3.36328],0.2532
4000,[-4.97499 -4.97499],[44.81057 44.81057],0.252
4100,[-2.39463 -2.39463],[3.60955 3.60955],0.25079999999999997
4200,[-5.12969 -5.12969],[15.75604 15.75604],0.2496
4300,[-2.49753 -2.49753],[5.91749 5.91749],0.24839999999999998
4400,[-2.69348 -2.69348],[11.78808 11.78808],0.24719999999999998
4500,[-3.97978 -3.97978],[9.01433 9.01433],0.24599999999999997
4600,[-0.58305 -0.58305],[0.14142 0.14142],0.24479999999999996
4700,[-1.32902 -1.32902],[2.09089 2.09089],0.2436
4800,[-1.68395 -1.68395],[3.80994 3.80994],0.2424
4900,[-2.88049 -2.88049],[9.03873 9.03873],0.2412
5000,[-1.79173 -1.79173],[1.99380 1.99380],0.24
5100,[-2.57150 -2.57150],[5.43039 5.43039],0.2388
5200,[-4.41102 -4.41102],[41.04367 41.04367],0.2376
5300,[-2.51781 -2.51781],[4.88863 4.88863],0.2364
5400,[-3.39566 -3.39566],[10.96003 10.96003],0.2352
5500,[-0.97851 -0.97851],[0.77031 0.77031],0.23399999999999999
5600,[-3.46508 -3.46508],[1.14543 1.14543],0.2328
5700,[-2.13231 -2.13231],[2.76086 2.76086],0.2316
