iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value
0,100,-1.82369,3.40440,0.39856,-1.80667,2.51408,0.35773
1,200,-1.84026,1.56297,0.25896,-1.79203,1.46884,0.25158
2,300,-1.95807,1.56128,0.22598,-1.97811,1.41131,0.21986
3,400,-2.12506,1.46076,0.21215,-2.06890,1.43535,0.20959
4,500,-2.21537,1.44263,0.20294,-2.25211,1.40328,0.20087
5,600,-2.48930,1.37097,0.19878,-2.55145,1.32107,0.19933
6,700,-2.74193,1.36143,0.19722,-2.78689,1.30287,0.19855
7,800,-2.91035,1.38168,0.18939,-2.98105,1.27219,0.18645
8,900,-3.09048,1.27224,0.18109,-3.17714,1.25669,0.18007
9,1000,-3.26131,1.24798,0.17640,-3.37116,1.27599,0.17639
10,1100,-3.43362,1.26205,0.17257,-3.44748,1.37721,0.17172
11,1200,-3.63541,1.33201,0.17222,-3.73783,1.34750,0.17291
12,1300,-3.79219,1.36660,0.17390,-3.90867,1.37724,0.17210
13,1400,-4.06202,1.40096,0.17412,-4.10853,1.46818,0.17163
14,1500,-4.26297,1.45165,0.17254,-4.31025,1.40053,0.17297
15,1600,-4.45610,1.48362,0.17043,-4.55378,1.49552,0.17280
16,1700,-4.64563,1.57455,0.17047,-4.67519,1.47276,0.16959
17,1800,-4.81675,1.45810,0.17015,-4.88273,1.46231,0.16747
18,1900,-4.98038,1.51458,0.16893,-5.08719,1.55704,0.17026
19,2000,-5.20425,1.59246,0.16901,-5.21728,1.48760,0.16811
20,2100,-5.33630,1.61336,0.16955,-5.42922,1.58603,0.17084
21,2200,-5.53933,1.67559,0.16942,-5.58675,1.56372,0.17064
22,2300,-5.69582,1.73112,0.16893,-5.80793,1.59874,0.16800
23,2400,-5.85459,1.73771,0.16635,-5.89279,1.61466,0.16702
24,2500,-6.05574,1.75005,0.16878,-6.12057,1.71738,0.16619
25,2600,-6.14274,1.75385,0.16490,-6.20071,1.78486,0.16449
26,2700,-6.31483,1.83663,0.16516,-6.36370,1.74026,0.16413
27,2800,-6.49648,1.88990,0.16555,-6.46322,1.77321,0.16448
28,2900,-6.60987,1.93772,0.16428,-6.60116,1.82506,0.16517
29,3000,-6.70208,2.00175,0.16454,-6.69462,1.75893,0.16017
30,3100,-6.80673,2.00521,0.16209,-6.83106,1.96114,0.16392
31,3200,-6.93906,2.23059,0.16359,-6.92328,2.00472,0.16405
32,3300,-6.96468,2.13471,0.16314,-7.14307,2.09106,0.16644
33,3400,-7.19784,2.24287,0.16295,-7.25789,2.13278,0.16720
34,3500,-7.38332,2.26803,0.16360,-7.38214,2.21029,0.16494
35,3600,-7.58193,2.21896,0.16406,-7.57495,2.16877,0.16419
36,3700,-7.82431,2.33706,0.16601,-7.80828,2.20015,0.16645
37,3800,-7.92604,2.47525,0.16605,-8.01248,2.31174,0.16611
38,3900,-7.94116,2.21129,0.16308,-8.05582,2.18230,0.16337
39,4000,-8.12426,2.27521,0.16306,-8.24005,2.66264,0.16302
