number,rewards,variances,exploration_value
0,[-1.86548 -1.86548],[1.83459 1.83459],0.3
100,[-6.30680 -6.30680],[41.23638 41.23638],0.2988
200,[-10.64211 -10.64211],[28.71567 28.71567],0.2976
300,[-2.19098 -2.19098],[3.42568 3.42568],0.2964
400,[-1.36540 -1.36540],[2.27075 2.27075],0.29519999999999996
500,[-2.98701 -2.98701],[6.03452 6.03452],0.294
600,[-7.58128 -7.58128],[8.33862 8.33862],0.2928
700,[-4.16639 -4.16639],[4.79877 4.79877],0.29159999999999997
800,[-2.20886 -2.20886],[1.62571 1.62571],0.2904
900,[-3.88283 -3.88283],[3.55083 3.55083],0.28919999999999996
1000,[-1.93661 -1.93661],[1.60279 1.60279],0.288
1100,[-4.86551 -4.86551],[4.83979 4.83979],0.2868
1200,[-7.84693 -7.84693],[19.07145 19.07145],0.28559999999999997
1300,[-2.04696 -2.04696],[1.99165 1.99165],0.2844
1400,[-5.38293 -5.38293],[5.96703 5.96703],0.28319999999999995
1500,[-2.20961 -2.20961],[5.59364 5.59364],0.282
1600,[-2.39374 -2.39374],[3.09139 3.09139],0.2808
1700,[-2.34414 -2.34414],[4.98889 4.98889],0.2796
1800,[-2.51892 -2.51892],[3.89978 3.89978],0.2784
1900,[-4.05390 -4.05390],[15.83695 15.83695],0.2772
2000,[-2.81399 -2.81399],[2.13024 2.13024],0.276
2100,[-3.93483 -3.93483],[12.63529 12.63529],0.2748
2200,[-2.22640 -2.22640],[2.21044 2.21044],0.2736
2300,[-2.63867 -2.63867],[3.77234 3.77234],0.2724
2400,[-1.30459 -1.30459],[1.56563 1.56563],0.2712
2500,[-2.78416 -2.78416],[3.43721 3.43721],0.27
2600,[-3.86374 -3.86374],[3.06910 3.06910],0.2688
2700,[-2.27238 -2.27238],[1.42763 1.42763],0.2676
2800,[-6.19746 -6.19746],[12.60729 12.60729],0.26639999999999997
2900,[-2.22848 -2.22848],[0.62443 0.62443],0.2652
3000,[-1.82399 -1.82399],[3.01397 3.01397],0.264
3100,[-1.64827 -1.64827],[0.54734 0.54734],0.2628
3200,[-2.41185 -2.41185],[3.62873 3.62873],0.2616
3300,[-2.63085 -2.63085],[6.62665 6.62665],0.26039999999999996
3400,[-2.45832 -2.45832],[2.79605 2.79605],0.2592
3500,[-4.13731 -4.13731],[6.20426 6.20426],0.258
3600,[-3.31748 -3.31748],[2.79674 2.79674],0.2568
3700,[-4.26080 -4.26080],[4.70110 4.70110],0.2556
3800,[-1.99309 -1.99309],[0.65605 0.65605],0.25439999999999996
3900,[-4.49565 -4.49565],[2.32356 2.32356],0.2532
4000,[-3.75908 -3.75908],[11.71536 11.71536],0.252
4100,[-4.26828 -4.26828],[13.33449 13.33449],0.25079999999999997
4200,[-3.75309 -3.75309],[2.24789 2.24789],0.2496
4300,[-1.73960 -1.73960],[2.05928 2.05928],0.24839999999999998
4400,[-1.40536 -1.40536],[0.72302 0.72302],0.24719999999999998
4500,[-4.36071 -4.36071],[2.01159 2.01159],0.24599999999999997
4600,[-0.82147 -0.82147],[0.40139 0.40139],0.24479999999999996
4700,[-1.91453 -1.91453],[2.41126 2.41126],0.2436
4800,[-1.84516 -1.84516],[3.95579 3.95579],0.2424
4900,[-3.74756 -3.74756],[12.87054 12.87054],0.2412
5000,[-3.46146 -3.46146],[4.06940 4.06940],0.24
5100,[-2.41102 -2.41102],[3.11961 3.11961],0.2388
5200,[-1.78918 -1.78918],[1.97396 1.97396],0.2376
5300,[-2.30216 -2.30216],[2.73613 2.73613],0.2364
5400,[-2.66512 -2.66512],[1.23132 1.23132],0.2352
5500,[-1.31543 -1.31543],[4.13575 4.13575],0.23399999999999999
5600,[-2.08812 -2.08812],[4.07095 4.07095],0.2328
5700,[-2.76960 -2.76960],[5.31213 5.31213],0.2316
5800,[-2.76761 -2.76761],[2.80828 2.80828],0.2304
5900,[-1.53377 -1.53377],[1.80823 1.80823],0.2292
6000,[-2.42464 -2.42464],[0.26552 0.26552],0.22799999999999998
6100,[-2.29674 -2.29674],[1.80488 1.80488],0.2268
6200,[-2.42214 -2.42214],[1.93403 1.93403],0.2256
6300,[-4.29538 -4.29538],[19.09447 19.09447],0.2244
6400,[-1.91971 -1.91971],[2.04134 2.04134],0.22319999999999998
6500,[-2.27551 -2.27551],[3.88730 3.88730],0.222
