number,rewards,variances,exploration_value
0,[-1.86548 -1.86548],[1.83459 1.83459],0.3
100,[-8.58217 -8.58217],[30.63078 30.63078],0.2988
200,[-10.77207 -10.77207],[45.81975 45.81975],0.2976
300,[-7.01935 -7.01935],[45.91274 45.91274],0.2964
400,[-3.86430 -3.86430],[16.71545 16.71545],0.29519999999999996
500,[-5.63640 -5.63640],[5.71748 5.71748],0.294
600,[-10.20518 -10.20518],[22.76778 22.76778],0.2928
700,[-1.78166 -1.78166],[1.32583 1.32583],0.29159999999999997
800,[-5.43295 -5.43295],[17.69904 17.69904],0.2904
900,[-3.14409 -3.14409],[3.30476 3.30476],0.28919999999999996
1000,[-4.87244 -4.87244],[51.37963 51.37963],0.288
1100,[-2.68860 -2.68860],[4.86994 4.86994],0.2868
1200,[-4.66789 -4.66789],[4.44721 4.44721],0.28559999999999997
1300,[-2.41004 -2.41004],[1.34940 1.34940],0.2844
1400,[-3.90546 -3.90546],[1.86664 1.86664],0.28319999999999995
1500,[-1.92123 -1.92123],[2.00901 2.00901],0.282
1600,[-1.86376 -1.86376],[1.51213 1.51213],0.2808
1700,[-1.25926 -1.25926],[0.65532 0.65532],0.2796
1800,[-2.34357 -2.34357],[4.52024 4.52024],0.2784
1900,[-2.83970 -2.83970],[5.25458 5.25458],0.2772
2000,[-3.23065 -3.23065],[10.40139 10.40139],0.276
2100,[-3.50220 -3.50220],[7.49487 7.49487],0.2748
2200,[-3.30653 -3.30653],[4.86233 4.86233],0.2736
2300,[-2.94400 -2.94400],[0.38589 0.38589],0.2724
2400,[-1.37601 -1.37601],[1.82073 1.82073],0.2712
2500,[-2.28813 -2.28813],[0.96091 0.96091],0.27
2600,[-2.66116 -2.66116],[2.44967 2.44967],0.2688
2700,[-2.88630 -2.88630],[4.48025 4.48025],0.2676
2800,[-3.19341 -3.19341],[2.44907 2.44907],0.26639999999999997
2900,[-3.26254 -3.26254],[5.45685 5.45685],0.2652
3000,[-2.56975 -2.56975],[5.87642 5.87642],0.264
3100,[-1.21395 -1.21395],[0.45334 0.45334],0.2628
3200,[-2.34407 -2.34407],[4.70788 4.70788],0.2616
3300,[-2.80409 -2.80409],[4.39567 4.39567],0.26039999999999996
3400,[-2.31729 -2.31729],[2.07445 2.07445],0.2592
3500,[-5.68056 -5.68056],[14.84472 14.84472],0.258
3600,[-3.47884 -3.47884],[5.58126 5.58126],0.2568
3700,[-4.37961 -4.37961],[3.86949 3.86949],0.2556
3800,[-2.12600 -2.12600],[2.44331 2.44331],0.25439999999999996
3900,[-6.75995 -6.75995],[12.10088 12.10088],0.2532
4000,[-3.67243 -3.67243],[10.05748 10.05748],0.252
4100,[-2.97803 -2.97803],[4.14167 4.14167],0.25079999999999997
4200,[-3.58331 -3.58331],[3.43243 3.43243],0.2496
4300,[-3.12303 -3.12303],[6.27025 6.27025],0.24839999999999998
4400,[-3.00841 -3.00841],[8.27417 8.27417],0.24719999999999998
4500,[-3.61249 -3.61249],[6.71639 6.71639],0.24599999999999997
4600,[-1.81429 -1.81429],[2.18250 2.18250],0.24479999999999996
4700,[-1.37964 -1.37964],[1.24383 1.24383],0.2436
4800,[-2.61422 -2.61422],[5.29475 5.29475],0.2424
4900,[-2.21978 -2.21978],[5.09249 5.09249],0.2412
5000,[-3.63191 -3.63191],[4.42845 4.42845],0.24
5100,[-2.08172 -2.08172],[2.88678 2.88678],0.2388
5200,[-1.12631 -1.12631],[0.77344 0.77344],0.2376
5300,[-2.53648 -2.53648],[7.85865 7.85865],0.2364
5400,[-3.52984 -3.52984],[4.73848 4.73848],0.2352
5500,[-1.72908 -1.72908],[2.91047 2.91047],0.23399999999999999
5600,[-1.30946 -1.30946],[1.68235 1.68235],0.2328
5700,[-2.30920 -2.30920],[2.42858 2.42858],0.2316
5800,[-2.63436 -2.63436],[1.03355 1.03355],0.2304
5900,[-1.19064 -1.19064],[1.10316 1.10316],0.2292
6000,[-2.99775 -2.99775],[4.42220 4.42220],0.22799999999999998
6100,[-2.55831 -2.55831],[2.91336 2.91336],0.2268
6200,[-2.05383 -2.05383],[1.77931 1.77931],0.2256
