iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss
0,100,-4.83198,5.38609,0.92713,-4.85156,5.40800,0.92683
1,200,-5.74506,1.08231,0.93892,-5.55881,1.08912,0.93807
2,300,-6.34359,0.91597,0.94546,-6.35551,0.93462,0.94654
3,400,-7.41130,0.88286,0.94500,-7.31730,0.93751,0.94548
4,500,-8.23334,0.94091,0.94266,-8.06686,0.97471,0.94259
5,600,-8.94172,1.10902,0.93634,-8.75356,1.04063,0.93385
6,700,-9.71714,1.01924,0.93538,-9.55172,1.05460,0.93512
7,800,-10.40523,1.24864,0.93319,-10.39443,1.21159,0.93286
8,900,-11.27941,1.25493,0.92405,-10.89968,1.38322,0.92335
9,1000,-12.05161,1.12044,0.91045,-11.87751,1.22640,0.91071
10,1100,-12.66722,1.45764,0.89609,-12.39803,1.62075,0.89589
11,1200,-13.04459,1.43127,0.88616,-13.10596,1.58706,0.88679
12,1300,-13.49222,1.47047,0.87626,-13.51666,1.46971,0.87499
13,1400,-14.02742,1.59807,0.86626,-14.07061,1.40343,0.86488
14,1500,-14.75389,1.78460,0.85592,-14.62783,1.67263,0.85563
15,1600,-15.27380,2.27893,0.84807,-15.27469,2.24132,0.84945
16,1700,-15.05874,1.56722,0.84008,-15.46661,1.62838,0.84215
17,1800,-15.67253,1.99734,0.83116,-15.89209,1.85734,0.83076
18,1900,-16.21635,2.66268,0.81999,-16.67118,2.24989,0.82104
19,2000,-16.66386,1.54366,0.80983,-16.95315,1.42981,0.81049
20,2100,-17.31608,1.48162,0.80188,-17.43334,1.45954,0.80247
21,2200,-18.13852,1.37838,0.79507,-18.04710,1.30416,0.79425
22,2300,-18.23223,1.66529,0.78644,-18.22323,1.37545,0.78687
23,2400,-18.49192,2.33733,0.77888,-18.47734,1.91512,0.78093
24,2500,-18.68065,2.29795,0.77160,-18.85250,2.07784,0.77127
25,2600,-19.08502,1.90182,0.76551,-19.07703,1.65242,0.76450
26,2700,-19.35323,1.77392,0.75760,-19.44709,1.63614,0.75688
27,2800,-19.69264,1.66003,0.74956,-19.92802,1.65140,0.74990
28,2900,-19.85689,1.64560,0.74154,-19.96887,1.61761,0.74248
29,3000,-20.15678,1.83817,0.73238,-20.44252,1.70603,0.73396
30,3100,-20.32518,1.89570,0.72399,-20.61531,1.94597,0.72458
31,3200,-20.74036,2.27446,0.71751,-20.91776,2.61945,0.71723
32,3300,-21.37196,2.41883,0.71112,-21.51815,3.00732,0.71070
33,3400,-21.44975,1.95307,0.70277,-21.83533,2.39113,0.70180
34,3500,-21.84424,1.94328,0.69524,-22.15085,2.89793,0.69430
35,3600,-21.85257,2.21287,0.68789,-22.19973,3.31939,0.68676
36,3700,-22.05541,2.21295,0.68032,-22.42292,3.12056,0.67948
37,3800,-22.22509,2.26767,0.67312,-22.89012,2.77612,0.67195
38,3900,-22.42284,1.97686,0.66493,-22.81767,2.38988,0.66683
39,4000,-22.27548,2.15715,0.66092,-22.97721,2.34948,0.65905
40,4100,-22.06211,2.52158,0.65546,-22.86747,3.12012,0.65400
41,4200,-22.15807,2.42196,0.65112,-22.90799,3.04840,0.64992
42,4300,-22.14746,2.36493,0.64508,-23.02552,2.78015,0.64513
43,4400,-22.45844,2.50422,0.64023,-22.90971,2.81353,0.63942
44,4500,-22.53198,3.13562,0.63247,-23.07881,3.27618,0.63320
45,4600,-22.97055,2.70766,0.62627,-23.26799,2.77862,0.62619
46,4700,-22.84533,3.14429,0.61978,-23.39714,3.05079,0.61981
47,4800,-22.81997,3.28346,0.61368,-23.36308,2.79492,0.61212
48,4900,-22.91944,2.93221,0.60505,-23.87429,2.38509,0.60524
49,5000,-23.14946,3.04818,0.59933,-23.86002,2.37564,0.59962
50,5100,-23.01865,2.94974,0.59369,-23.95724,2.23270,0.59181
51,5200,-23.24861,3.15532,0.58728,-23.97179,2.11097,0.58655
52,5300,-23.17254,2.95642,0.58037,-23.99958,2.07561,0.58070
53,5400,-23.14077,3.22254,0.57411,-24.25227,2.50295,0.57375
54,5500,-23.32854,3.28493,0.56728,-24.27814,2.19624,0.56821
55,5600,-23.45112,3.34385,0.56111,-24.44025,2.30297,0.56002
56,5700,-23.54851,3.30740,0.55405,-24.69654,2.09930,0.55410
57,5800,-23.49041,2.96159,0.54749,-24.58538,1.94636,0.54793
58,5900,-23.55515,2.75607,0.54071,-24.66769,1.86341,0.54107
59,6000,-23.34450,2.93004,0.53595,-24.56186,1.82040,0.53466
60,6100,-23.46479,2.86858,0.52775,-24.54167,1.84468,0.52904
61,6200,-23.36685,2.39456,0.52219,-24.53869,1.87691,0.52240
62,6300,-23.45270,2.48847,0.51627,-24.43680,1.72483,0.51684
63,6400,-23.36889,2.24296,0.50963,-24.38524,1.66546,0.51098
64,6500,-23.11265,1.99337,0.50435,-24.44126,1.55625,0.50427
65,6600,-23.03233,1.93179,0.49861,-24.41814,1.59649,0.49752
66,6700,-22.74495,2.28856,0.49300,-24.24129,1.64413,0.49232
67,6800,-22.73213,1.93350,0.48500,-24.19473,1.52584,0.48643
68,6900,-22.54079,1.90194,0.47920,-24.10104,1.53596,0.47991
69,7000,-22.47894,2.06839,0.47437,-23.88917,1.45829,0.47378
70,7100,-22.26040,2.04151,0.46792,-23.85711,1.46274,0.46789
71,7200,-22.30552,2.11440,0.46283,-23.76906,1.49973,0.46187
72,7300,-22.06516,2.05181,0.45696,-23.59276,1.48029,0.45560
73,7400,-22.16159,2.08646,0.44874,-23.61935,1.55408,0.44878
74,7500,-22.09981,1.91701,0.44375,-23.58657,1.58180,0.44370
75,7600,-21.94721,2.08385,0.43740,-23.46371,1.59695,0.43845
76,7700,-21.74146,2.07431,0.43157,-23.42101,1.83637,0.43127
77,7800,-21.87210,1.90691,0.42506,-23.33705,1.64607,0.42585
78,7900,-21.70935,1.86094,0.41892,-23.30921,1.52831,0.41991
79,8000,-21.60406,1.91282,0.41357,-23.15525,1.51464,0.41334
80,8100,-21.47476,1.99352,0.40698,-23.12354,1.51259,0.40726
81,8200,-21.41484,1.72867,0.40154,-23.03141,1.45047,0.40081
82,8300,-21.62857,1.74998,0.39443,-23.09222,1.52543,0.39534
83,8400,-21.55606,1.61741,0.38953,-22.89198,2.11823,0.39019
84,8500,-21.11100,1.59268,0.38438,-22.71046,1.98666,0.38525
85,8600,-21.15552,1.88096,0.37900,-22.53659,1.80884,0.37917
86,8700,-21.02239,1.93264,0.37321,-22.29241,1.72043,0.37312
87,8800,-20.79172,2.12532,0.36792,-22.30353,1.76327,0.36685
88,8900,-20.70649,1.95352,0.36177,-22.26227,1.72504,0.36182
89,9000,-20.77436,2.26525,0.35656,-22.16827,1.89229,0.35629
90,9100,-20.57670,2.22037,0.35074,-21.97182,1.92863,0.35078
91,9200,-20.49027,2.18097,0.34578,-21.90558,1.96078,0.34568
92,9300,-20.26548,1.95797,0.34066,-21.70895,1.89194,0.34074
93,9400,-20.26871,1.81099,0.33554,-21.63933,1.90074,0.33535
94,9500,-20.15143,1.83843,0.33018,-21.46202,1.76065,0.32973
95,9600,-19.97173,1.94337,0.32469,-21.36194,1.68104,0.32430
96,9700,-19.78513,1.83711,0.31935,-21.25080,1.56689,0.31911
97,9800,-19.75107,1.66438,0.31425,-21.18643,1.50531,0.31429
98,9900,-19.60169,1.65333,0.30920,-20.93846,1.56112,0.30878
99,10000,-19.48550,1.65797,0.30368,-20.78417,1.56896,0.30341
100,10100,-19.33160,1.80244,0.29855,-20.70022,1.49487,0.29846
101,10200,-19.11760,1.73153,0.29365,-20.37932,1.60094,0.29337
102,10300,-18.87087,1.72857,0.28826,-20.22261,1.53445,0.28775
103,10400,-18.74655,1.56626,0.28363,-20.04197,1.52950,0.28266
104,10500,-18.63392,1.45825,0.27886,-19.84050,1.53464,0.27843
105,10600,-18.53443,1.63032,0.27397,-19.66928,1.54908,0.27360
106,10700,-18.45377,1.62488,0.26914,-19.60127,1.49602,0.26861
107,10800,-18.26051,1.53295,0.26441,-19.34940,1.49299,0.26331
108,10900,-18.13450,1.51632,0.25958,-19.22391,1.55539,0.25890
109,11000,-17.95042,1.53646,0.25438,-19.08264,1.54057,0.25438
110,11100,-17.91366,1.60944,0.25049,-18.97008,1.53508,0.25033
111,11200,-17.68398,1.52803,0.24569,-18.88142,1.52814,0.24570
112,11300,-17.54598,1.48732,0.24075,-18.60177,1.57983,0.24110
113,11400,-17.36169,1.46204,0.23706,-18.40672,1.53309,0.23691
114,11500,-17.35879,1.53106,0.23234,-18.34221,1.57387,0.23271
115,11600,-17.15650,1.53911,0.22896,-18.23721,1.46196,0.22785
116,11700,-17.01454,1.48292,0.22497,-18.18747,1.49920,0.22395
117,11800,-16.94419,1.47459,0.21998,-18.00986,1.52636,0.21980
118,11900,-16.81929,1.48395,0.21642,-17.92116,1.45796,0.21631
119,12000,-16.72460,1.44523,0.21160,-17.79657,1.46004,0.21234
120,12100,-16.68584,1.43265,0.20860,-17.67427,1.56367,0.20883
121,12200,-16.50653,1.39652,0.20485,-17.58882,1.46971,0.20447
122,12300,-16.43756,1.35306,0.20084,-17.37443,1.69075,0.20135
123,12400,-16.21546,1.38715,0.19645,-17.13021,1.65531,0.19719
124,12500,-16.14993,1.47627,0.19340,-17.05578,1.63114,0.19399
125,12600,-15.95715,1.24122,0.19024,-16.82369,1.53794,0.19001
126,12700,-15.81667,1.34319,0.18655,-16.61292,1.49398,0.18656
127,12800,-15.72614,1.37294,0.18316,-16.54468,1.59945,0.18320
128,12900,-15.55361,1.44432,0.17964,-16.39043,1.54257,0.17992
129,13000,-15.38440,1.33307,0.17696,-16.26622,1.54653,0.17638
130,13100,-15.26674,1.30315,0.17334,-16.10305,1.48533,0.17358
131,13200,-15.17300,1.28816,0.16999,-15.92982,1.52259,0.16975
132,13300,-14.97909,1.27900,0.16663,-15.85904,1.52381,0.16646
133,13400,-14.92306,1.27274,0.16335,-15.64866,1.53908,0.16368
134,13500,-14.81045,1.28633,0.16075,-15.45107,1.55291,0.16091
135,13600,-14.70805,1.29617,0.15755,-15.28982,1.48323,0.15760
136,13700,-14.50321,1.34479,0.15493,-15.16949,1.56884,0.15444
137,13800,-14.37452,1.34177,0.15179,-15.03871,1.46582,0.15216
138,13900,-14.20522,1.24857,0.14924,-14.94772,1.53501,0.14920
139,14000,-14.11682,1.23176,0.14664,-14.78650,1.55412,0.14628
140,14100,-13.95942,1.19449,0.14380,-14.57875,1.45673,0.14360
141,14200,-13.78521,1.27479,0.14040,-14.42653,1.50746,0.14060
142,14300,-13.66199,1.33042,0.13844,-14.24966,1.50160,0.13802
143,14400,-13.55172,1.33048,0.13550,-14.09137,1.59702,0.13516
144,14500,-13.43310,1.36237,0.13315,-13.97584,1.70984,0.13255
145,14600,-13.22627,1.26059,0.13059,-13.88526,1.54840,0.12997
146,14700,-13.17621,1.25355,0.12750,-13.73899,1.62094,0.12802
147,14800,-12.92204,1.34057,0.12462,-13.62431,1.52380,0.12506
148,14900,-12.87167,1.30533,0.12315,-13.46896,1.55701,0.12281
149,15000,-12.73820,1.37629,0.12017,-13.30265,1.51143,0.12044
150,15100,-12.54119,1.50189,0.11797,-13.19503,1.52925,0.11792
151,15200,-12.46441,1.37591,0.11556,-13.03407,1.58261,0.11532
152,15300,-12.30982,1.35639,0.11325,-12.89073,1.51354,0.11313
153,15400,-12.19938,1.38583,0.11104,-12.76111,1.52056,0.11098
154,15500,-12.12275,1.41582,0.10913,-12.61491,1.56540,0.10902
155,15600,-11.96701,1.34748,0.10650,-12.49445,1.39974,0.10642
156,15700,-11.82417,1.36050,0.10465,-12.32922,1.32309,0.10432
157,15800,-11.74010,1.33734,0.10232,-12.23007,1.38664,0.10211
158,15900,-11.59498,1.34718,0.10000,-12.13168,1.38080,0.10011
159,16000,-11.47889,1.32238,0.09829,-11.96245,1.42985,0.09844
160,16100,-11.30872,1.32228,0.09625,-11.85189,1.42586,0.09628
161,16200,-11.18160,1.41010,0.09472,-11.72141,1.42189,0.09381
162,16300,-11.07367,1.34401,0.09228,-11.58114,1.45962,0.09285
163,16400,-10.96385,1.35104,0.09072,-11.43613,1.45886,0.09100
164,16500,-10.80842,1.38827,0.08888,-11.30536,1.51521,0.08851
165,16600,-10.67827,1.36445,0.08703,-11.12004,1.45205,0.08729
166,16700,-10.55130,1.32508,0.08549,-11.06661,1.48050,0.08542
167,16800,-10.41276,1.32926,0.08366,-10.91690,1.36938,0.08382
168,16900,-10.33911,1.42076,0.08227,-10.90658,1.46805,0.08173
169,17000,-10.22549,1.38504,0.08075,-10.69429,1.37728,0.08066
170,17100,-10.09276,1.39454,0.07935,-10.59182,1.51557,0.07931
171,17200,-10.00828,1.35728,0.07769,-10.51221,1.42424,0.07808
172,17300,-9.87712,1.39376,0.07663,-10.33673,1.39656,0.07624
173,17400,-9.76482,1.34567,0.07521,-10.30470,1.46050,0.07539
174,17500,-9.67538,1.35890,0.07421,-10.18507,1.42651,0.07396
175,17600,-9.59151,1.37738,0.07303,-10.05551,1.40173,0.07316
176,17700,-9.51940,1.35085,0.07167,-9.92037,1.36518,0.07199
177,17800,-9.41876,1.42745,0.07076,-9.89514,1.44709,0.07048
178,17900,-9.23432,1.28999,0.06959,-9.76188,1.34742,0.06958
179,18000,-9.11403,1.37244,0.06826,-9.68973,1.36377,0.06843
180,18100,-9.04227,1.30464,0.06782,-9.55252,1.45509,0.06751
181,18200,-8.91175,1.28675,0.06683,-9.45803,1.43396,0.06675
182,18300,-8.78229,1.41264,0.06527,-9.33207,1.40632,0.06564
183,18400,-8.77199,1.37589,0.06490,-9.26995,1.43224,0.06471
184,18500,-8.58750,1.34614,0.06371,-9.19349,1.41952,0.06351
185,18600,-8.52029,1.33703,0.06292,-9.07946,1.44707,0.06276
186,18700,-8.41295,1.34932,0.06198,-8.97106,1.36529,0.06175
187,18800,-8.32330,1.38271,0.06108,-8.87279,1.35158,0.06116
188,18900,-8.24293,1.30142,0.06051,-8.78203,1.39037,0.06049
189,19000,-8.20504,1.29428,0.05951,-8.67770,1.35618,0.05958
190,19100,-8.07509,1.35387,0.05859,-8.58783,1.33980,0.05885
191,19200,-7.95351,1.33289,0.05789,-8.49649,1.41383,0.05833
192,19300,-7.89330,1.33008,0.05721,-8.43442,1.38767,0.05712
193,19400,-7.81082,1.38275,0.05666,-8.34549,1.39226,0.05649
194,19500,-7.73254,1.42142,0.05574,-8.24255,1.35300,0.05560
195,19600,-7.67492,1.33623,0.05519,-8.22569,1.48196,0.05528
196,19700,-7.56130,1.32371,0.05460,-8.09393,1.46731,0.05441
197,19800,-7.44375,1.29381,0.05401,-8.04367,1.45894,0.05410
198,19900,-7.38873,1.33985,0.05345,-7.96572,1.38334,0.05313
199,20000,-7.28997,1.24222,0.05270,-7.90931,1.35207,0.05247
200,20100,-7.23308,1.34271,0.05196,-7.79883,1.35551,0.05205
201,20200,-7.12458,1.32111,0.05142,-7.72909,1.36935,0.05149
202,20300,-7.03840,1.31090,0.05096,-7.62532,1.37920,0.05099
203,20400,-6.95857,1.33074,0.05044,-7.60776,1.44124,0.05027
204,20500,-6.87937,1.33200,0.04999,-7.43463,1.42424,0.04959
205,20600,-6.83105,1.27227,0.04948,-7.39362,1.37360,0.04919
206,20700,-6.77679,1.22384,0.04873,-7.34403,1.39078,0.04887
207,20800,-6.72080,1.29386,0.04809,-7.35564,1.36140,0.04816
208,20900,-6.62870,1.32170,0.04768,-7.21669,1.36227,0.04777
209,21000,-6.49618,1.31024,0.04725,-7.16448,1.35017,0.04737
210,21100,-6.51406,1.34626,0.04682,-7.02587,1.35586,0.04675
211,21200,-6.39865,1.31933,0.04660,-6.97427,1.41917,0.04666
212,21300,-6.29937,1.26312,0.04575,-6.94937,1.38690,0.04582
213,21400,-6.29015,1.31560,0.04542,-6.95837,1.34435,0.04537
214,21500,-6.24148,1.29421,0.04485,-6.78804,1.38963,0.04514
215,21600,-6.16552,1.40313,0.04452,-6.71046,1.36393,0.04445
216,21700,-6.09886,1.37596,0.04403,-6.70416,1.42383,0.04425
217,21800,-6.02358,1.42378,0.04369,-6.65746,1.33692,0.04359
218,21900,-5.97425,1.31915,0.04312,-6.50530,1.42699,0.04316
219,22000,-5.97234,1.36989,0.04293,-6.46865,1.29328,0.04288
220,22100,-5.85835,1.43366,0.04234,-6.45675,1.41205,0.04231
221,22200,-5.84038,1.44935,0.04192,-6.30425,1.34248,0.04207
222,22300,-5.74608,1.35866,0.04148,-6.29411,1.37951,0.04172
223,22400,-5.77633,1.39240,0.04137,-6.25658,1.38379,0.04130
224,22500,-5.64242,1.36552,0.04095,-6.17134,1.30950,0.04063
225,22600,-5.61644,1.34782,0.04050,-6.09916,1.40874,0.04037
226,22700,-5.57189,1.30370,0.04009,-6.05760,1.41831,0.04015
227,22800,-5.56799,1.41802,0.03966,-5.92480,1.43545,0.03983
228,22900,-5.48457,1.32895,0.03941,-5.91729,1.47389,0.03932
229,23000,-5.42416,1.35972,0.03900,-5.92788,1.37257,0.03884
230,23100,-5.34719,1.39851,0.03868,-5.82826,1.46014,0.03884
231,23200,-5.35075,1.40451,0.03835,-5.78602,1.39806,0.03843
232,23300,-5.26414,1.47507,0.03807,-5.71304,1.35935,0.03808
233,23400,-5.24427,1.46784,0.03767,-5.67019,1.44295,0.03794
234,23500,-5.19435,1.40488,0.03732,-5.68945,1.43387,0.03753
235,23600,-5.12492,1.36082,0.03699,-5.63990,1.41672,0.03695
236,23700,-5.10980,1.36900,0.03658,-5.61466,1.31951,0.03664
237,23800,-5.08548,1.35457,0.03629,-5.55239,1.46407,0.03650
238,23900,-4.96433,1.42757,0.03592,-5.54499,1.44965,0.03602
239,24000,-4.93011,1.30137,0.03562,-5.45700,1.30575,0.03561
240,24100,-4.85947,1.43739,0.03544,-5.46992,1.36204,0.03546
241,24200,-4.87217,1.37147,0.03511,-5.36901,1.37093,0.03505
242,24300,-4.84096,1.36645,0.03507,-5.35638,1.35740,0.03487
243,24400,-4.82643,1.43663,0.03430,-5.27533,1.34427,0.03458
