number,rewards,variances,exploration_value
0,[-13.17309 -13.17309],[33.99937 33.99937],0.3
100,[-3.85317 -3.85317],[2.11925 2.11925],0.2988
200,[-3.06126 -3.06126],[11.95118 11.95118],0.2976
300,[-6.85607 -6.85607],[54.81717 54.81717],0.2964
400,[-4.55664 -4.55664],[21.11829 21.11829],0.29519999999999996
500,[-6.22540 -6.22540],[23.09354 23.09354],0.294
600,[-2.04506 -2.04506],[1.82216 1.82216],0.2928
700,[-2.84742 -2.84742],[5.36864 5.36864],0.29159999999999997
800,[-14.11204 -14.11204],[69.70806 69.70806],0.2904
900,[-7.43315 -7.43315],[10.33951 10.33951],0.28919999999999996
1000,[-4.05592 -4.05592],[1.07896 1.07896],0.288
1100,[-4.33072 -4.33072],[4.95742 4.95742],0.2868
1200,[-10.96156 -10.96156],[103.59155 103.59155],0.28559999999999997
1300,[-10.86818 -10.86818],[40.79099 40.79099],0.2844
1400,[-9.15434 -9.15434],[104.45836 104.45836],0.28319999999999995
1500,[-7.43085 -7.43085],[33.70267 33.70267],0.282
1600,[-2.62814 -2.62814],[3.25897 3.25897],0.2808
1700,[-8.84376 -8.84376],[114.90455 114.90455],0.2796
1800,[-2.56660 -2.56660],[3.72195 3.72195],0.2784
1900,[-2.53966 -2.53966],[3.18776 3.18776],0.2772
2000,[-4.94479 -4.94479],[2.29317 2.29317],0.276
2100,[-3.20801 -3.20801],[4.62532 4.62532],0.2748
2200,[-7.87581 -7.87581],[47.19281 47.19281],0.2736
2300,[-4.60921 -4.60921],[14.50902 14.50902],0.2724
2400,[-1.85373 -1.85373],[2.48450 2.48450],0.2712
2500,[-5.10033 -5.10033],[5.72573 5.72573],0.27
2600,[-2.93196 -2.93196],[2.14777 2.14777],0.2688
2700,[-8.24943 -8.24943],[46.31433 46.31433],0.2676
2800,[-14.86967 -14.86967],[118.20396 118.20396],0.26639999999999997
2900,[-5.37946 -5.37946],[30.02423 30.02423],0.2652
3000,[-3.73512 -3.73512],[20.64181 20.64181],0.264
3100,[-2.69189 -2.69189],[4.82684 4.82684],0.2628
3200,[-3.87426 -3.87426],[4.80723 4.80723],0.2616
3300,[-3.23025 -3.23025],[2.53735 2.53735],0.26039999999999996
3400,[-3.88812 -3.88812],[8.62568 8.62568],0.2592
3500,[-9.18788 -9.18788],[38.58131 38.58131],0.258
3600,[-7.80327 -7.80327],[32.85583 32.85583],0.2568
3700,[-3.30893 -3.30893],[7.74647 7.74647],0.2556
3800,[-9.50313 -9.50313],[110.31632 110.31632],0.25439999999999996
3900,[-6.15824 -6.15824],[24.95173 24.95173],0.2532
4000,[-4.34847 -4.34847],[11.01516 11.01516],0.252
4100,[-6.89834 -6.89834],[23.27143 23.27143],0.25079999999999997
4200,[-8.17242 -8.17242],[31.03660 31.03660],0.2496
4300,[-12.47832 -12.47832],[15.12923 15.12923],0.24839999999999998
4400,[-6.68386 -6.68386],[6.11714 6.11714],0.24719999999999998
4500,[-8.56387 -8.56387],[18.38350 18.38350],0.24599999999999997
4600,[-15.52024 -15.52024],[64.44896 64.44896],0.24479999999999996
4700,[-12.92827 -12.92827],[6.51622 6.51622],0.2436
4800,[-20.66991 -20.66991],[33.30759 33.30759],0.2424
4900,[-20.24166 -20.24166],[15.07305 15.07305],0.2412
5000,[-20.83712 -20.83712],[33.45110 33.45110],0.24
5100,[-13.93797 -13.93797],[64.71772 64.71772],0.2388
5200,[-10.00592 -10.00592],[49.68815 49.68815],0.2376
5300,[-2.82496 -2.82496],[4.19809 4.19809],0.2364
