number,rewards,variances,exploration_value
0,[-22.57905 -22.57905 -22.57905],[4.22630 4.22630 4.22630],0.3
100,[-7.93294 -7.93294 -7.93294],[1.21007 1.21007 1.21007],0.2988
200,[-9.72284 -9.72284 -9.72284],[2.29120 2.29120 2.29120],0.2976
300,[-7.28223 -7.28223 -7.28223],[2.65466 2.65466 2.65466],0.2964
400,[-8.48754 -8.48754 -8.48754],[4.36898 4.36898 4.36898],0.29519999999999996
500,[-9.13719 -9.13719 -9.13719],[4.57658 4.57658 4.57658],0.294
600,[-8.66559 -8.66559 -8.66559],[3.07217 3.07217 3.07217],0.2928
700,[-7.69208 -7.69208 -7.69208],[4.32199 4.32199 4.32199],0.29159999999999997
800,[-8.74158 -8.74158 -8.74158],[1.42485 1.42485 1.42485],0.2904
900,[-7.70522 -7.70522 -7.70522],[1.64904 1.64904 1.64904],0.28919999999999996
1000,[-7.39814 -7.39814 -7.39814],[3.72842 3.72842 3.72842],0.288
1100,[-7.26238 -7.26238 -7.26238],[0.47407 0.47407 0.47407],0.2868
1200,[-8.45841 -8.45841 -8.45841],[3.66280 3.66280 3.66280],0.28559999999999997
1300,[-7.20516 -7.20516 -7.20516],[0.12901 0.12901 0.12901],0.2844
1400,[-9.34354 -9.34354 -9.34354],[5.19725 5.19725 5.19725],0.28319999999999995
1500,[-7.71188 -7.71188 -7.71188],[3.45483 3.45483 3.45483],0.282
1600,[-8.67960 -8.67960 -8.67960],[1.90638 1.90638 1.90638],0.2808
1700,[-7.38028 -7.38028 -7.38028],[1.75700 1.75700 1.75700],0.2796
1800,[-8.66302 -8.66302 -8.66302],[1.14293 1.14293 1.14293],0.2784
1900,[-8.62022 -8.62022 -8.62022],[0.80982 0.80982 0.80982],0.2772
2000,[-8.27770 -8.27770 -8.27770],[1.65264 1.65264 1.65264],0.276
2100,[-6.85150 -6.85150 -6.85150],[1.48343 1.48343 1.48343],0.2748
2200,[-8.31519 -8.31519 -8.31519],[4.31038 4.31038 4.31038],0.2736
2300,[-7.85564 -7.85564 -7.85564],[2.99641 2.99641 2.99641],0.2724
2400,[-7.44710 -7.44710 -7.44710],[1.71415 1.71415 1.71415],0.2712
2500,[-7.91002 -7.91002 -7.91002],[1.70513 1.70513 1.70513],0.27
2600,[-8.98504 -8.98504 -8.98504],[0.44826 0.44826 0.44826],0.2688
2700,[-6.65869 -6.65869 -6.65869],[1.84128 1.84128 1.84128],0.2676
2800,[-8.21933 -8.21933 -8.21933],[3.55484 3.55484 3.55484],0.26639999999999997
2900,[-8.00992 -8.00992 -8.00992],[1.71242 1.71242 1.71242],0.2652
3000,[-7.76690 -7.76690 -7.76690],[2.35464 2.35464 2.35464],0.264
3100,[-6.88105 -6.88105 -6.88105],[1.22923 1.22923 1.22923],0.2628
3200,[-8.97430 -8.97430 -8.97430],[5.03025 5.03025 5.03025],0.2616
3300,[-8.16123 -8.16123 -8.16123],[4.50240 4.50240 4.50240],0.26039999999999996
3400,[-7.05747 -7.05747 -7.05747],[0.94473 0.94473 0.94473],0.2592
3500,[-8.67468 -8.67468 -8.67468],[1.04313 1.04313 1.04313],0.258
3600,[-7.72411 -7.72411 -7.72411],[0.13048 0.13048 0.13048],0.2568
3700,[-8.03222 -8.03222 -8.03222],[2.04268 2.04268 2.04268],0.2556
3800,[-6.87598 -6.87598 -6.87598],[2.92976 2.92976 2.92976],0.25439999999999996
3900,[-9.09154 -9.09154 -9.09154],[2.95115 2.95115 2.95115],0.2532
4000,[-8.66527 -8.66527 -8.66527],[1.44199 1.44199 1.44199],0.252
4100,[-6.95534 -6.95534 -6.95534],[1.15888 1.15888 1.15888],0.25079999999999997
4200,[-6.88011 -6.88011 -6.88011],[1.04550 1.04550 1.04550],0.2496
4300,[-6.72161 -6.72161 -6.72161],[0.56062 0.56062 0.56062],0.24839999999999998
4400,[-6.81824 -6.81824 -6.81824],[2.37792 2.37792 2.37792],0.24719999999999998
4500,[-7.66225 -7.66225 -7.66225],[1.29473 1.29473 1.29473],0.24599999999999997
4600,[-7.83840 -7.83840 -7.83840],[1.22686 1.22686 1.22686],0.24479999999999996
4700,[-7.22468 -7.22468 -7.22468],[1.28628 1.28628 1.28628],0.2436
4800,[-6.66783 -6.66783 -6.66783],[2.15454 2.15454 2.15454],0.2424
4900,[-7.62535 -7.62535 -7.62535],[0.92816 0.92816 0.92816],0.2412
5000,[-6.61994 -6.61994 -6.61994],[1.10944 1.10944 1.10944],0.24
5100,[-5.94116 -5.94116 -5.94116],[0.46234 0.46234 0.46234],0.2388
5200,[-7.56843 -7.56843 -7.56843],[1.79129 1.79129 1.79129],0.2376
5300,[-7.00040 -7.00040 -7.00040],[2.71643 2.71643 2.71643],0.2364
5400,[-8.76855 -8.76855 -8.76855],[0.65931 0.65931 0.65931],0.2352
5500,[-7.24793 -7.24793 -7.24793],[0.56505 0.56505 0.56505],0.23399999999999999
5600,[-9.17469 -9.17469 -9.17469],[3.42811 3.42811 3.42811],0.2328
5700,[-7.54294 -7.54294 -7.54294],[2.66296 2.66296 2.66296],0.2316
5800,[-9.01478 -9.01478 -9.01478],[1.85590 1.85590 1.85590],0.2304
5900,[-7.08776 -7.08776 -7.08776],[0.89420 0.89420 0.89420],0.2292
6000,[-7.29623 -7.29623 -7.29623],[2.35694 2.35694 2.35694],0.22799999999999998
6100,[-7.48453 -7.48453 -7.48453],[2.86478 2.86478 2.86478],0.2268
6200,[-8.09238 -8.09238 -8.09238],[1.58391 1.58391 1.58391],0.2256
6300,[-7.53156 -7.53156 -7.53156],[0.61795 0.61795 0.61795],0.2244
6400,[-6.87009 -6.87009 -6.87009],[4.03312 4.03312 4.03312],0.22319999999999998
6500,[-8.70127 -8.70127 -8.70127],[2.37414 2.37414 2.37414],0.222
6600,[-6.47477 -6.47477 -6.47477],[0.59695 0.59695 0.59695],0.2208
6700,[-7.73404 -7.73404 -7.73404],[0.99208 0.99208 0.99208],0.2196
6800,[-7.41085 -7.41085 -7.41085],[2.65888 2.65888 2.65888],0.21839999999999998
6900,[-6.87671 -6.87671 -6.87671],[0.39498 0.39498 0.39498],0.21719999999999998
7000,[-6.63433 -6.63433 -6.63433],[3.74812 3.74812 3.74812],0.216
7100,[-6.13701 -6.13701 -6.13701],[1.70492 1.70492 1.70492],0.2148
7200,[-8.28980 -8.28980 -8.28980],[3.30190 3.30190 3.30190],0.21359999999999998
7300,[-7.03172 -7.03172 -7.03172],[1.46407 1.46407 1.46407],0.21239999999999998
7400,[-6.92259 -6.92259 -6.92259],[0.49103 0.49103 0.49103],0.21119999999999997
7500,[-8.28145 -8.28145 -8.28145],[1.18815 1.18815 1.18815],0.21
7600,[-8.03080 -8.03080 -8.03080],[3.36190 3.36190 3.36190],0.20879999999999999
7700,[-8.29792 -8.29792 -8.29792],[1.93153 1.93153 1.93153],0.20759999999999998
7800,[-6.68067 -6.68067 -6.68067],[0.91786 0.91786 0.91786],0.20639999999999997
7900,[-7.25041 -7.25041 -7.25041],[0.50521 0.50521 0.50521],0.20520000000000002
8000,[-7.30915 -7.30915 -7.30915],[1.63188 1.63188 1.63188],0.20400000000000001
8100,[-8.63730 -8.63730 -8.63730],[1.08643 1.08643 1.08643],0.2028
8200,[-7.94871 -7.94871 -7.94871],[2.06489 2.06489 2.06489],0.2016
8300,[-8.21322 -8.21322 -8.21322],[1.38662 1.38662 1.38662],0.2004
8400,[-6.59430 -6.59430 -6.59430],[0.31305 0.31305 0.31305],0.19920000000000002
8500,[-8.21745 -8.21745 -8.21745],[2.19284 2.19284 2.19284],0.198
8600,[-8.33280 -8.33280 -8.33280],[1.07889 1.07889 1.07889],0.1968
8700,[-7.32598 -7.32598 -7.32598],[2.19306 2.19306 2.19306],0.1956
8800,[-8.48736 -8.48736 -8.48736],[4.34255 4.34255 4.34255],0.1944
8900,[-6.32147 -6.32147 -6.32147],[0.78549 0.78549 0.78549],0.1932
9000,[-6.46810 -6.46810 -6.46810],[2.17031 2.17031 2.17031],0.192
9100,[-6.88394 -6.88394 -6.88394],[1.57473 1.57473 1.57473],0.1908
9200,[-7.21640 -7.21640 -7.21640],[3.71086 3.71086 3.71086],0.1896
9300,[-8.18791 -8.18791 -8.18791],[2.16821 2.16821 2.16821],0.18839999999999998
9400,[-7.67754 -7.67754 -7.67754],[1.09863 1.09863 1.09863],0.1872
9500,[-8.35292 -8.35292 -8.35292],[0.94124 0.94124 0.94124],0.186
9600,[-7.03706 -7.03706 -7.03706],[2.54883 2.54883 2.54883],0.1848
9700,[-6.31296 -6.31296 -6.31296],[2.00431 2.00431 2.00431],0.18359999999999999
9800,[-6.91111 -6.91111 -6.91111],[0.31231 0.31231 0.31231],0.18239999999999998
9900,[-5.84400 -5.84400 -5.84400],[0.65049 0.65049 0.65049],0.1812
10000,[-8.55951 -8.55951 -8.55951],[2.60675 2.60675 2.60675],0.18
10100,[-6.28210 -6.28210 -6.28210],[1.30173 1.30173 1.30173],0.1788
10200,[-8.61225 -8.61225 -8.61225],[0.67465 0.67465 0.67465],0.17759999999999998
10300,[-6.62064 -6.62064 -6.62064],[1.24062 1.24062 1.24062],0.17639999999999997
10400,[-6.91140 -6.91140 -6.91140],[0.80464 0.80464 0.80464],0.1752
10500,[-6.89058 -6.89058 -6.89058],[1.09412 1.09412 1.09412],0.174
10600,[-7.51368 -7.51368 -7.51368],[1.66644 1.66644 1.66644],0.17279999999999998
10700,[-7.21802 -7.21802 -7.21802],[2.72105 2.72105 2.72105],0.17159999999999997
10800,[-7.35574 -7.35574 -7.35574],[4.33466 4.33466 4.33466],0.17039999999999997
10900,[-7.99152 -7.99152 -7.99152],[2.91819 2.91819 2.91819],0.1692
11000,[-6.79611 -6.79611 -6.79611],[1.67046 1.67046 1.67046],0.168
11100,[-6.32454 -6.32454 -6.32454],[0.92174 0.92174 0.92174],0.1668
11200,[-6.31809 -6.31809 -6.31809],[4.18303 4.18303 4.18303],0.1656
11300,[-6.62339 -6.62339 -6.62339],[1.01850 1.01850 1.01850],0.16440000000000002
11400,[-6.65301 -6.65301 -6.65301],[0.52475 0.52475 0.52475],0.1632
11500,[-8.02324 -8.02324 -8.02324],[4.70852 4.70852 4.70852],0.162
11600,[-6.22337 -6.22337 -6.22337],[1.02175 1.02175 1.02175],0.1608
11700,[-8.51691 -8.51691 -8.51691],[3.25297 3.25297 3.25297],0.1596
11800,[-6.87955 -6.87955 -6.87955],[2.41602 2.41602 2.41602],0.1584
11900,[-7.80685 -7.80685 -7.80685],[4.12802 4.12802 4.12802],0.1572
12000,[-7.20803 -7.20803 -7.20803],[4.66554 4.66554 4.66554],0.156
12100,[-7.50516 -7.50516 -7.50516],[3.37168 3.37168 3.37168],0.1548
12200,[-6.71726 -6.71726 -6.71726],[1.33852 1.33852 1.33852],0.1536
12300,[-7.33934 -7.33934 -7.33934],[2.30909 2.30909 2.30909],0.1524
12400,[-6.81311 -6.81311 -6.81311],[1.24572 1.24572 1.24572],0.1512
12500,[-6.99806 -6.99806 -6.99806],[1.21592 1.21592 1.21592],0.15
12600,[-7.46192 -7.46192 -7.46192],[2.61212 2.61212 2.61212],0.1488
12700,[-5.85460 -5.85460 -5.85460],[0.30224 0.30224 0.30224],0.14759999999999998
12800,[-7.19432 -7.19432 -7.19432],[1.00026 1.00026 1.00026],0.1464
12900,[-7.24712 -7.24712 -7.24712],[1.55996 1.55996 1.55996],0.1452
13000,[-6.67421 -6.67421 -6.67421],[1.80864 1.80864 1.80864],0.144
13100,[-7.21566 -7.21566 -7.21566],[3.14417 3.14417 3.14417],0.14279999999999998
13200,[-7.60250 -7.60250 -7.60250],[0.65239 0.65239 0.65239],0.14159999999999998
13300,[-7.07192 -7.07192 -7.07192],[1.26528 1.26528 1.26528],0.1404
13400,[-7.25367 -7.25367 -7.25367],[1.35033 1.35033 1.35033],0.1392
13500,[-7.88589 -7.88589 -7.88589],[1.00215 1.00215 1.00215],0.138
13600,[-7.27431 -7.27431 -7.27431],[0.83289 0.83289 0.83289],0.1368
13700,[-7.39473 -7.39473 -7.39473],[2.79191 2.79191 2.79191],0.1356
13800,[-6.84758 -6.84758 -6.84758],[1.66928 1.66928 1.66928],0.1344
