number,rewards,variances,exploration_value
0,[-22.57905 -22.57905 -22.57905],[4.22630 4.22630 4.22630],0.3
100,[-8.44531 -8.44531 -8.44531],[2.46084 2.46084 2.46084],0.2988
200,[-9.67256 -9.67256 -9.67256],[1.97252 1.97252 1.97252],0.2976
300,[-8.52323 -8.52323 -8.52323],[0.91351 0.91351 0.91351],0.2964
400,[-7.78177 -7.78177 -7.78177],[0.49133 0.49133 0.49133],0.29519999999999996
500,[-9.11379 -9.11379 -9.11379],[0.93656 0.93656 0.93656],0.294
600,[-8.57728 -8.57728 -8.57728],[0.78079 0.78079 0.78079],0.2928
700,[-7.50566 -7.50566 -7.50566],[2.38566 2.38566 2.38566],0.29159999999999997
800,[-8.07854 -8.07854 -8.07854],[1.92868 1.92868 1.92868],0.2904
900,[-7.50805 -7.50805 -7.50805],[2.13012 2.13012 2.13012],0.28919999999999996
1000,[-7.86038 -7.86038 -7.86038],[0.29496 0.29496 0.29496],0.288
1100,[-8.47248 -8.47248 -8.47248],[0.76483 0.76483 0.76483],0.2868
1200,[-7.75992 -7.75992 -7.75992],[2.93003 2.93003 2.93003],0.28559999999999997
1300,[-7.92762 -7.92762 -7.92762],[0.27820 0.27820 0.27820],0.2844
1400,[-8.39289 -8.39289 -8.39289],[0.87026 0.87026 0.87026],0.28319999999999995
1500,[-7.99765 -7.99765 -7.99765],[1.37454 1.37454 1.37454],0.282
1600,[-7.59631 -7.59631 -7.59631],[0.60447 0.60447 0.60447],0.2808
1700,[-6.81401 -6.81401 -6.81401],[1.22352 1.22352 1.22352],0.2796
1800,[-7.97033 -7.97033 -7.97033],[1.75354 1.75354 1.75354],0.2784
1900,[-8.30340 -8.30340 -8.30340],[0.93422 0.93422 0.93422],0.2772
2000,[-7.81980 -7.81980 -7.81980],[1.61893 1.61893 1.61893],0.276
2100,[-7.75862 -7.75862 -7.75862],[1.68529 1.68529 1.68529],0.2748
2200,[-8.09867 -8.09867 -8.09867],[2.77045 2.77045 2.77045],0.2736
2300,[-6.48452 -6.48452 -6.48452],[0.65803 0.65803 0.65803],0.2724
2400,[-7.66080 -7.66080 -7.66080],[1.84423 1.84423 1.84423],0.2712
2500,[-8.44755 -8.44755 -8.44755],[3.32793 3.32793 3.32793],0.27
2600,[-8.26156 -8.26156 -8.26156],[0.13539 0.13539 0.13539],0.2688
2700,[-6.77445 -6.77445 -6.77445],[1.28827 1.28827 1.28827],0.2676
2800,[-8.07821 -8.07821 -8.07821],[2.93589 2.93589 2.93589],0.26639999999999997
2900,[-8.05185 -8.05185 -8.05185],[1.92156 1.92156 1.92156],0.2652
3000,[-7.21888 -7.21888 -7.21888],[1.83884 1.83884 1.83884],0.264
3100,[-6.53701 -6.53701 -6.53701],[0.76281 0.76281 0.76281],0.2628
3200,[-8.17101 -8.17101 -8.17101],[2.33394 2.33394 2.33394],0.2616
3300,[-8.69457 -8.69457 -8.69457],[2.56328 2.56328 2.56328],0.26039999999999996
3400,[-7.44669 -7.44669 -7.44669],[1.75207 1.75207 1.75207],0.2592
3500,[-8.74597 -8.74597 -8.74597],[1.19098 1.19098 1.19098],0.258
3600,[-8.15736 -8.15736 -8.15736],[0.15536 0.15536 0.15536],0.2568
3700,[-7.80238 -7.80238 -7.80238],[2.86107 2.86107 2.86107],0.2556
3800,[-7.69302 -7.69302 -7.69302],[0.93712 0.93712 0.93712],0.25439999999999996
3900,[-9.02532 -9.02532 -9.02532],[2.09123 2.09123 2.09123],0.2532
4000,[-7.54812 -7.54812 -7.54812],[1.84357 1.84357 1.84357],0.252
4100,[-7.09876 -7.09876 -7.09876],[0.87486 0.87486 0.87486],0.25079999999999997
4200,[-8.39677 -8.39677 -8.39677],[1.96471 1.96471 1.96471],0.2496
4300,[-7.01492 -7.01492 -7.01492],[0.81979 0.81979 0.81979],0.24839999999999998
4400,[-7.71619 -7.71619 -7.71619],[1.94635 1.94635 1.94635],0.24719999999999998
4500,[-7.94963 -7.94963 -7.94963],[1.22349 1.22349 1.22349],0.24599999999999997
4600,[-7.57257 -7.57257 -7.57257],[1.79998 1.79998 1.79998],0.24479999999999996
4700,[-7.80488 -7.80488 -7.80488],[2.81856 2.81856 2.81856],0.2436
4800,[-6.99627 -6.99627 -6.99627],[0.12534 0.12534 0.12534],0.2424
4900,[-7.78302 -7.78302 -7.78302],[1.74715 1.74715 1.74715],0.2412
5000,[-7.52842 -7.52842 -7.52842],[0.55050 0.55050 0.55050],0.24
5100,[-7.32009 -7.32009 -7.32009],[2.23543 2.23543 2.23543],0.2388
5200,[-7.73445 -7.73445 -7.73445],[0.84193 0.84193 0.84193],0.2376
5300,[-7.92708 -7.92708 -7.92708],[3.27276 3.27276 3.27276],0.2364
5400,[-7.91289 -7.91289 -7.91289],[0.79845 0.79845 0.79845],0.2352
5500,[-8.74784 -8.74784 -8.74784],[2.31540 2.31540 2.31540],0.23399999999999999
5600,[-9.05764 -9.05764 -9.05764],[3.45218 3.45218 3.45218],0.2328
5700,[-7.02129 -7.02129 -7.02129],[0.48476 0.48476 0.48476],0.2316
5800,[-8.87635 -8.87635 -8.87635],[1.29168 1.29168 1.29168],0.2304
5900,[-7.20058 -7.20058 -7.20058],[0.73718 0.73718 0.73718],0.2292
6000,[-7.63225 -7.63225 -7.63225],[0.95804 0.95804 0.95804],0.22799999999999998
6100,[-7.30232 -7.30232 -7.30232],[2.95987 2.95987 2.95987],0.2268
6200,[-7.36754 -7.36754 -7.36754],[1.20399 1.20399 1.20399],0.2256
6300,[-8.16956 -8.16956 -8.16956],[0.29479 0.29479 0.29479],0.2244
6400,[-7.34214 -7.34214 -7.34214],[7.44928 7.44928 7.44928],0.22319999999999998
6500,[-7.94676 -7.94676 -7.94676],[4.94922 4.94922 4.94922],0.222
6600,[-6.00392 -6.00392 -6.00392],[0.50191 0.50191 0.50191],0.2208
6700,[-8.08685 -8.08685 -8.08685],[4.73783 4.73783 4.73783],0.2196
6800,[-7.10749 -7.10749 -7.10749],[0.67073 0.67073 0.67073],0.21839999999999998
6900,[-7.11173 -7.11173 -7.11173],[1.11618 1.11618 1.11618],0.21719999999999998
7000,[-7.29564 -7.29564 -7.29564],[4.44435 4.44435 4.44435],0.216
7100,[-6.37567 -6.37567 -6.37567],[0.27092 0.27092 0.27092],0.2148
7200,[-8.43094 -8.43094 -8.43094],[2.51092 2.51092 2.51092],0.21359999999999998
7300,[-7.77297 -7.77297 -7.77297],[1.42560 1.42560 1.42560],0.21239999999999998
7400,[-6.91953 -6.91953 -6.91953],[0.11903 0.11903 0.11903],0.21119999999999997
7500,[-7.33202 -7.33202 -7.33202],[1.30486 1.30486 1.30486],0.21
7600,[-7.43929 -7.43929 -7.43929],[2.43953 2.43953 2.43953],0.20879999999999999
7700,[-7.83792 -7.83792 -7.83792],[1.09824 1.09824 1.09824],0.20759999999999998
7800,[-6.25360 -6.25360 -6.25360],[1.17738 1.17738 1.17738],0.20639999999999997
7900,[-6.92123 -6.92123 -6.92123],[0.73179 0.73179 0.73179],0.20520000000000002
8000,[-7.13599 -7.13599 -7.13599],[1.56743 1.56743 1.56743],0.20400000000000001
8100,[-8.00672 -8.00672 -8.00672],[0.73826 0.73826 0.73826],0.2028
8200,[-8.02226 -8.02226 -8.02226],[2.42738 2.42738 2.42738],0.2016
8300,[-7.03281 -7.03281 -7.03281],[0.31548 0.31548 0.31548],0.2004
8400,[-7.29195 -7.29195 -7.29195],[1.57673 1.57673 1.57673],0.19920000000000002
8500,[-7.59458 -7.59458 -7.59458],[1.21401 1.21401 1.21401],0.198
8600,[-7.13191 -7.13191 -7.13191],[0.53814 0.53814 0.53814],0.1968
8700,[-8.55004 -8.55004 -8.55004],[4.88449 4.88449 4.88449],0.1956
8800,[-8.56947 -8.56947 -8.56947],[1.24361 1.24361 1.24361],0.1944
8900,[-6.50092 -6.50092 -6.50092],[0.69991 0.69991 0.69991],0.1932
9000,[-6.53218 -6.53218 -6.53218],[0.65472 0.65472 0.65472],0.192
9100,[-6.75446 -6.75446 -6.75446],[0.35978 0.35978 0.35978],0.1908
9200,[-7.31714 -7.31714 -7.31714],[2.71342 2.71342 2.71342],0.1896
9300,[-6.60680 -6.60680 -6.60680],[1.11241 1.11241 1.11241],0.18839999999999998
9400,[-8.06630 -8.06630 -8.06630],[4.41493 4.41493 4.41493],0.1872
9500,[-7.66532 -7.66532 -7.66532],[1.10606 1.10606 1.10606],0.186
9600,[-6.57337 -6.57337 -6.57337],[1.90863 1.90863 1.90863],0.1848
9700,[-6.40468 -6.40468 -6.40468],[0.95408 0.95408 0.95408],0.18359999999999999
9800,[-7.25879 -7.25879 -7.25879],[0.82720 0.82720 0.82720],0.18239999999999998
9900,[-7.10670 -7.10670 -7.10670],[2.43395 2.43395 2.43395],0.1812
10000,[-8.69245 -8.69245 -8.69245],[4.74719 4.74719 4.74719],0.18
10100,[-6.96197 -6.96197 -6.96197],[2.06177 2.06177 2.06177],0.1788
10200,[-8.42194 -8.42194 -8.42194],[3.39703 3.39703 3.39703],0.17759999999999998
10300,[-8.30054 -8.30054 -8.30054],[2.51978 2.51978 2.51978],0.17639999999999997
10400,[-7.64297 -7.64297 -7.64297],[1.34199 1.34199 1.34199],0.1752
10500,[-6.43969 -6.43969 -6.43969],[1.07393 1.07393 1.07393],0.174
10600,[-7.96169 -7.96169 -7.96169],[0.95505 0.95505 0.95505],0.17279999999999998
10700,[-7.22154 -7.22154 -7.22154],[1.89259 1.89259 1.89259],0.17159999999999997
10800,[-7.38982 -7.38982 -7.38982],[5.45198 5.45198 5.45198],0.17039999999999997
10900,[-8.17112 -8.17112 -8.17112],[4.37068 4.37068 4.37068],0.1692
11000,[-6.61505 -6.61505 -6.61505],[0.48308 0.48308 0.48308],0.168
11100,[-6.44924 -6.44924 -6.44924],[0.80832 0.80832 0.80832],0.1668
11200,[-6.24098 -6.24098 -6.24098],[2.56738 2.56738 2.56738],0.1656
11300,[-7.45261 -7.45261 -7.45261],[1.45941 1.45941 1.45941],0.16440000000000002
11400,[-7.13597 -7.13597 -7.13597],[1.37364 1.37364 1.37364],0.1632
11500,[-7.45720 -7.45720 -7.45720],[2.16654 2.16654 2.16654],0.162
11600,[-5.89332 -5.89332 -5.89332],[0.39445 0.39445 0.39445],0.1608
11700,[-8.67799 -8.67799 -8.67799],[5.56880 5.56880 5.56880],0.1596
11800,[-6.85168 -6.85168 -6.85168],[2.46370 2.46370 2.46370],0.1584
11900,[-7.00464 -7.00464 -7.00464],[2.38917 2.38917 2.38917],0.1572
