iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,3_maddpg_actor_loss,3_maddpg_critic_loss
0,100,-0.09833,0.56446,-0.11377,0.58260,-0.11096,0.59389
1,200,-0.21059,0.33470,-0.18151,0.33186,-0.19733,0.30052
2,300,-0.26068,0.22487,-0.23288,0.21674,-0.23053,0.20346
3,400,-0.31181,0.19037,-0.30375,0.19395,-0.29688,0.17935
4,500,-0.35294,0.17873,-0.33394,0.18195,-0.32378,0.16691
5,600,-0.40729,0.18042,-0.37174,0.18119,-0.38623,0.16956
6,700,-0.42127,0.19945,-0.41726,0.19381,-0.42942,0.18295
7,800,-0.48127,0.19310,-0.46576,0.17345,-0.47010,0.17903
8,900,-0.54224,0.18765,-0.51585,0.19172,-0.52689,0.17667
9,1000,-0.61504,0.22831,-0.57425,0.19916,-0.57371,0.17925
10,1100,-0.63655,0.20275,-0.59863,0.21240,-0.58235,0.21355
11,1200,-0.67810,0.19064,-0.64394,0.20534,-0.64177,0.20406
12,1300,-0.74197,0.20497,-0.72568,0.23912,-0.70559,0.23455
13,1400,-0.83259,0.21370,-0.71582,0.25606,-0.77876,0.23258
14,1500,-0.86398,0.22050,-0.82830,0.23538,-0.81056,0.22389
15,1600,-0.92800,0.26148,-0.86476,0.22078,-0.89961,0.23930
16,1700,-0.96992,0.24946,-0.92040,0.25944,-0.95747,0.26286
17,1800,-1.02987,0.26244,-0.99856,0.24543,-1.00003,0.25882
18,1900,-1.08730,0.24408,-1.04154,0.23835,-1.07465,0.25114
19,2000,-1.16752,0.24977,-1.11141,0.31897,-1.12353,0.26768
20,2100,-1.24083,0.26288,-1.19960,0.24490,-1.18852,0.27542
21,2200,-1.29450,0.27125,-1.27174,0.24610,-1.32996,0.32162
22,2300,-1.37102,0.27257,-1.32588,0.26854,-1.35831,0.25784
23,2400,-1.42942,0.26056,-1.42763,0.30532,-1.42321,0.25746
24,2500,-1.52236,0.26004,-1.47418,0.32131,-1.51731,0.27058
25,2600,-1.59462,0.31197,-1.52541,0.28645,-1.57738,0.43850
26,2700,-1.61154,0.38427,-1.58781,0.31256,-1.65609,0.31710
27,2800,-1.71984,0.36558,-1.70906,0.29514,-1.74785,0.29827
28,2900,-1.81952,0.31358,-1.78195,0.27801,-1.77044,0.36361
29,3000,-1.88844,0.30940,-1.82790,0.27934,-1.87699,0.34647
30,3100,-1.96713,0.34970,-1.89761,0.30292,-1.96581,0.33228
31,3200,-2.05078,0.30665,-1.94687,0.31382,-1.99323,0.33355
32,3300,-2.07103,0.29854,-2.03127,0.30678,-2.05686,0.33239
33,3400,-2.19570,0.29758,-2.13520,0.29795,-2.18780,0.34038
34,3500,-2.21782,0.30215,-2.17260,0.33005,-2.25378,0.33630
35,3600,-2.32368,0.33641,-2.25093,0.32927,-2.32945,0.34095
36,3700,-2.42603,0.36505,-2.41530,0.35877,-2.40390,0.35273
37,3800,-2.48264,0.36017,-2.44260,0.37369,-2.52890,0.35558
38,3900,-2.58918,0.35640,-2.49629,0.41299,-2.61036,0.35082
39,4000,-2.65976,0.34704,-2.61306,0.47116,-2.64219,0.38386
40,4100,-2.75281,0.36896,-2.65044,0.47197,-2.72716,0.38644
41,4200,-2.82186,0.35680,-2.72933,0.42671,-2.83934,0.38823
42,4300,-2.90423,0.37127,-2.79036,0.44618,-2.92082,0.50722
43,4400,-2.97014,0.49282,-2.89172,0.38706,-2.91871,0.56089
44,4500,-3.03830,0.44445,-2.92750,0.43481,-3.06443,0.50268
45,4600,-3.13149,0.45183,-3.01109,0.45372,-3.12335,0.42549
46,4700,-3.25931,0.36214,-3.09510,0.44162,-3.19828,0.44115
47,4800,-3.29177,0.38121,-3.15414,0.39576,-3.28682,0.42087
48,4900,-3.35511,0.41352,-3.25333,0.42646,-3.37536,0.40793
49,5000,-3.43967,0.59565,-3.31362,0.44768,-3.44272,0.55009
50,5100,-3.48444,0.55397,-3.38110,0.41375,-3.45845,0.48822
51,5200,-3.57948,0.55653,-3.44873,0.41169,-3.55066,0.47623
52,5300,-3.60724,0.51645,-3.51412,0.43031,-3.63657,0.49828
53,5400,-3.67190,0.52603,-3.60410,0.40398,-3.73363,0.57689
54,5500,-3.69885,0.54464,-3.67269,0.48267,-3.72995,0.57649
55,5600,-3.79648,0.52461,-3.71672,0.49391,-3.80338,0.64996
56,5700,-3.92038,0.53051,-3.80110,0.55833,-3.84473,0.50322
57,5800,-3.91784,0.52817,-3.82865,0.44395,-3.94355,0.43870
58,5900,-3.91138,0.53501,-3.90380,0.38875,-4.03635,0.39576
59,6000,-3.99706,0.56417,-3.99276,0.44990,-4.06442,0.39098
60,6100,-4.08519,0.58689,-4.03735,0.49255,-4.09797,0.41502
61,6200,-4.14571,0.57461,-4.05936,0.43037,-4.24797,0.40008
62,6300,-4.24085,0.59583,-4.16600,0.40033,-4.24208,0.39689
63,6400,-4.25501,0.58354,-4.20628,0.41727,-4.27771,0.40283
64,6500,-4.27662,0.54611,-4.28647,0.48492,-4.35726,0.51786
65,6600,-4.32730,0.55630,-4.29360,0.49430,-4.38409,0.77506
66,6700,-4.36544,0.57448,-4.37089,0.54717,-4.46818,0.65721
67,6800,-4.42627,0.56795,-4.42296,0.67447,-4.48041,0.77497
68,6900,-4.50201,0.58916,-4.46477,0.54735,-4.56991,0.63553
69,7000,-4.48538,0.58814,-4.52615,0.47610,-4.58995,0.56372
70,7100,-4.54190,0.57944,-4.59062,0.47877,-4.62412,0.55650
71,7200,-4.57034,0.57780,-4.60943,0.46990,-4.74098,0.54835
72,7300,-4.69177,0.55627,-4.65838,0.50215,-4.74977,0.56291
73,7400,-4.71425,0.58376,-4.71072,0.52898,-4.74113,0.55893
74,7500,-4.76604,0.59782,-4.76367,0.46447,-4.78725,0.55319
75,7600,-4.77082,0.67003,-4.82378,0.44310,-4.85658,0.55806
76,7700,-4.86000,0.56760,-4.89716,0.46889,-4.85238,0.58858
77,7800,-4.87596,0.53990,-4.90200,0.48477,-4.95978,0.60631
78,7900,-4.90013,0.52812,-4.94970,0.50653,-5.00066,0.58173
79,8000,-4.98402,0.57488,-4.97342,0.49278,-5.09129,0.61080
80,8100,-5.04642,0.68316,-5.05240,0.50238,-4.99851,0.58980
81,8200,-5.09503,0.60249,-5.08312,0.51938,-5.08064,0.58811
82,8300,-5.14356,0.56831,-5.12622,0.46867,-5.04254,0.59900
83,8400,-5.12056,0.53861,-5.15391,0.44718,-5.21821,0.58649
84,8500,-5.14434,0.63823,-5.17526,0.46639,-5.21739,0.59630
85,8600,-5.21309,0.57072,-5.24375,0.59429,-5.27475,0.60526
86,8700,-5.24049,0.49828,-5.25185,0.50924,-5.21046,0.59111
87,8800,-5.26045,0.60963,-5.27022,0.51724,-5.26708,0.58721
88,8900,-5.33750,0.59225,-5.26014,0.53528,-5.31503,0.59824
89,9000,-5.31289,0.66016,-5.35665,0.53778,-5.39876,0.58653
90,9100,-5.38929,0.61156,-5.39913,0.48173,-5.38170,0.59267
91,9200,-5.39355,0.51645,-5.40207,0.46718,-5.43641,0.65175
92,9300,-5.43137,0.46527,-5.47950,0.47836,-5.47002,0.65076
93,9400,-5.42973,0.44628,-5.54330,0.52832,-5.45538,0.66244
94,9500,-5.42832,0.47338,-5.54877,0.55691,-5.50614,0.61638
95,9600,-5.52288,0.57125,-5.58601,0.55491,-5.56325,0.68660
96,9700,-5.52640,0.58187,-5.54274,0.63235,-5.51048,0.81986
97,9800,-5.57692,0.57166,-5.54057,0.72223,-5.62014,1.00969
98,9900,-5.48630,0.51815,-5.62741,0.64843,-5.60129,0.75833
99,10000,-5.56908,0.54991,-5.67108,0.58945,-5.69748,0.57049
100,10100,-5.63448,0.65748,-5.72311,0.60352,-5.68554,0.51036
101,10200,-5.65293,0.50167,-5.72057,0.58582,-5.72983,0.49827
102,10300,-5.68141,0.50576,-5.68720,0.54240,-5.72977,0.53427
103,10400,-5.68501,0.58835,-5.74848,0.55118,-5.72555,0.63978
104,10500,-5.67951,0.57316,-5.72321,0.57420,-5.74822,0.65578
105,10600,-5.75087,0.54472,-5.79301,0.55271,-5.86175,0.63362
