number,rewards,variances,exploration_value
0,[-22.33128 -22.33128 -22.33128],[5.26181 5.26181 5.26181],0.3
100,[-8.38246 -8.38246 -8.38246],[0.81957 0.81957 0.81957],0.2988
200,[-8.77922 -8.77922 -8.77922],[2.04717 2.04717 2.04717],0.2976
300,[-7.86449 -7.86449 -7.86449],[1.07171 1.07171 1.07171],0.2964
400,[-7.92144 -7.92144 -7.92144],[0.67712 0.67712 0.67712],0.29519999999999996
500,[-9.08377 -9.08377 -9.08377],[1.93468 1.93468 1.93468],0.294
600,[-8.02652 -8.02652 -8.02652],[1.33719 1.33719 1.33719],0.2928
700,[-7.12347 -7.12347 -7.12347],[0.94037 0.94037 0.94037],0.29159999999999997
800,[-7.25424 -7.25424 -7.25424],[1.90308 1.90308 1.90308],0.2904
900,[-7.77114 -7.77114 -7.77114],[0.97126 0.97126 0.97126],0.28919999999999996
1000,[-7.46498 -7.46498 -7.46498],[1.65334 1.65334 1.65334],0.288
1100,[-6.97044 -6.97044 -6.97044],[0.91283 0.91283 0.91283],0.2868
1200,[-8.02733 -8.02733 -8.02733],[8.29416 8.29416 8.29416],0.28559999999999997
1300,[-6.84799 -6.84799 -6.84799],[0.37562 0.37562 0.37562],0.2844
1400,[-7.05046 -7.05046 -7.05046],[1.44794 1.44794 1.44794],0.28319999999999995
1500,[-7.17746 -7.17746 -7.17746],[1.78722 1.78722 1.78722],0.282
1600,[-7.47070 -7.47070 -7.47070],[1.13423 1.13423 1.13423],0.2808
1700,[-6.90627 -6.90627 -6.90627],[0.51435 0.51435 0.51435],0.2796
1800,[-7.84578 -7.84578 -7.84578],[1.85882 1.85882 1.85882],0.2784
1900,[-7.92813 -7.92813 -7.92813],[0.88396 0.88396 0.88396],0.2772
2000,[-6.92702 -6.92702 -6.92702],[0.75653 0.75653 0.75653],0.276
2100,[-7.67357 -7.67357 -7.67357],[2.61864 2.61864 2.61864],0.2748
2200,[-7.29930 -7.29930 -7.29930],[2.99274 2.99274 2.99274],0.2736
2300,[-6.79451 -6.79451 -6.79451],[0.40642 0.40642 0.40642],0.2724
2400,[-6.52838 -6.52838 -6.52838],[2.54286 2.54286 2.54286],0.2712
2500,[-7.22773 -7.22773 -7.22773],[0.65291 0.65291 0.65291],0.27
2600,[-7.20899 -7.20899 -7.20899],[0.56138 0.56138 0.56138],0.2688
2700,[-6.98056 -6.98056 -6.98056],[0.85715 0.85715 0.85715],0.2676
2800,[-7.45139 -7.45139 -7.45139],[0.59889 0.59889 0.59889],0.26639999999999997
2900,[-7.86886 -7.86886 -7.86886],[2.20362 2.20362 2.20362],0.2652
3000,[-7.49390 -7.49390 -7.49390],[1.62260 1.62260 1.62260],0.264
3100,[-5.97260 -5.97260 -5.97260],[0.82527 0.82527 0.82527],0.2628
3200,[-6.79117 -6.79117 -6.79117],[1.57732 1.57732 1.57732],0.2616
3300,[-7.81554 -7.81554 -7.81554],[1.13035 1.13035 1.13035],0.26039999999999996
3400,[-7.03966 -7.03966 -7.03966],[3.32620 3.32620 3.32620],0.2592
3500,[-8.46151 -8.46151 -8.46151],[1.50536 1.50536 1.50536],0.258
3600,[-7.71762 -7.71762 -7.71762],[0.96026 0.96026 0.96026],0.2568
3700,[-7.49647 -7.49647 -7.49647],[0.09028 0.09028 0.09028],0.2556
3800,[-6.76176 -6.76176 -6.76176],[1.58773 1.58773 1.58773],0.25439999999999996
3900,[-7.25903 -7.25903 -7.25903],[0.33481 0.33481 0.33481],0.2532
4000,[-8.99202 -8.99202 -8.99202],[1.93383 1.93383 1.93383],0.252
4100,[-6.60357 -6.60357 -6.60357],[0.90256 0.90256 0.90256],0.25079999999999997
4200,[-6.69113 -6.69113 -6.69113],[0.19912 0.19912 0.19912],0.2496
4300,[-6.73629 -6.73629 -6.73629],[0.15292 0.15292 0.15292],0.24839999999999998
4400,[-6.77285 -6.77285 -6.77285],[0.50715 0.50715 0.50715],0.24719999999999998
4500,[-7.24022 -7.24022 -7.24022],[1.01878 1.01878 1.01878],0.24599999999999997
4600,[-7.66548 -7.66548 -7.66548],[1.03481 1.03481 1.03481],0.24479999999999996
4700,[-7.02288 -7.02288 -7.02288],[2.74628 2.74628 2.74628],0.2436
4800,[-6.27688 -6.27688 -6.27688],[0.43660 0.43660 0.43660],0.2424
4900,[-6.98952 -6.98952 -6.98952],[0.67848 0.67848 0.67848],0.2412
5000,[-7.01596 -7.01596 -7.01596],[0.45890 0.45890 0.45890],0.24
5100,[-6.78168 -6.78168 -6.78168],[0.93606 0.93606 0.93606],0.2388
5200,[-7.57900 -7.57900 -7.57900],[3.45494 3.45494 3.45494],0.2376
5300,[-7.36645 -7.36645 -7.36645],[1.36095 1.36095 1.36095],0.2364
5400,[-6.54645 -6.54645 -6.54645],[0.18662 0.18662 0.18662],0.2352
5500,[-6.95016 -6.95016 -6.95016],[1.35845 1.35845 1.35845],0.23399999999999999
5600,[-8.07043 -8.07043 -8.07043],[1.02057 1.02057 1.02057],0.2328
5700,[-7.14245 -7.14245 -7.14245],[0.36705 0.36705 0.36705],0.2316
5800,[-8.43496 -8.43496 -8.43496],[1.42079 1.42079 1.42079],0.2304
5900,[-7.04251 -7.04251 -7.04251],[0.36153 0.36153 0.36153],0.2292
6000,[-7.48032 -7.48032 -7.48032],[0.80830 0.80830 0.80830],0.22799999999999998
6100,[-6.56676 -6.56676 -6.56676],[1.12529 1.12529 1.12529],0.2268
6200,[-6.77462 -6.77462 -6.77462],[0.15322 0.15322 0.15322],0.2256
6300,[-7.47715 -7.47715 -7.47715],[0.92289 0.92289 0.92289],0.2244
6400,[-6.29205 -6.29205 -6.29205],[1.52246 1.52246 1.52246],0.22319999999999998
6500,[-7.46703 -7.46703 -7.46703],[0.31196 0.31196 0.31196],0.222
6600,[-6.11251 -6.11251 -6.11251],[0.62824 0.62824 0.62824],0.2208
6700,[-7.85460 -7.85460 -7.85460],[1.65009 1.65009 1.65009],0.2196
6800,[-6.66726 -6.66726 -6.66726],[0.64873 0.64873 0.64873],0.21839999999999998
6900,[-6.69383 -6.69383 -6.69383],[0.68563 0.68563 0.68563],0.21719999999999998
7000,[-6.25534 -6.25534 -6.25534],[1.24580 1.24580 1.24580],0.216
7100,[-5.87292 -5.87292 -5.87292],[0.28359 0.28359 0.28359],0.2148
7200,[-7.89014 -7.89014 -7.89014],[2.09563 2.09563 2.09563],0.21359999999999998
7300,[-7.69029 -7.69029 -7.69029],[2.04579 2.04579 2.04579],0.21239999999999998
7400,[-7.02042 -7.02042 -7.02042],[0.91459 0.91459 0.91459],0.21119999999999997
7500,[-7.34214 -7.34214 -7.34214],[1.01905 1.01905 1.01905],0.21
7600,[-6.75000 -6.75000 -6.75000],[2.26230 2.26230 2.26230],0.20879999999999999
7700,[-7.79669 -7.79669 -7.79669],[0.81230 0.81230 0.81230],0.20759999999999998
7800,[-6.58854 -6.58854 -6.58854],[1.00549 1.00549 1.00549],0.20639999999999997
7900,[-7.07943 -7.07943 -7.07943],[0.04222 0.04222 0.04222],0.20520000000000002
8000,[-6.80849 -6.80849 -6.80849],[1.35689 1.35689 1.35689],0.20400000000000001
8100,[-7.34167 -7.34167 -7.34167],[0.22515 0.22515 0.22515],0.2028
8200,[-7.29012 -7.29012 -7.29012],[0.58912 0.58912 0.58912],0.2016
8300,[-7.95455 -7.95455 -7.95455],[2.84201 2.84201 2.84201],0.2004
8400,[-6.36709 -6.36709 -6.36709],[0.31600 0.31600 0.31600],0.19920000000000002
8500,[-7.16780 -7.16780 -7.16780],[0.21515 0.21515 0.21515],0.198
8600,[-7.23405 -7.23405 -7.23405],[0.74951 0.74951 0.74951],0.1968
8700,[-6.75053 -6.75053 -6.75053],[2.71673 2.71673 2.71673],0.1956
8800,[-7.74407 -7.74407 -7.74407],[1.91846 1.91846 1.91846],0.1944
8900,[-6.47426 -6.47426 -6.47426],[0.68991 0.68991 0.68991],0.1932
9000,[-6.76074 -6.76074 -6.76074],[1.39813 1.39813 1.39813],0.192
9100,[-6.86346 -6.86346 -6.86346],[1.06181 1.06181 1.06181],0.1908
9200,[-6.96096 -6.96096 -6.96096],[0.78795 0.78795 0.78795],0.1896
9300,[-6.64225 -6.64225 -6.64225],[1.45578 1.45578 1.45578],0.18839999999999998
