number,rewards,variances,exploration_value
0,[-22.57905 -22.57905 -22.57905],[4.22630 4.22630 4.22630],0.3
100,[-8.85217 -8.85217 -8.85217],[0.18725 0.18725 0.18725],0.2988
200,[-9.94722 -9.94722 -9.94722],[5.22496 5.22496 5.22496],0.2976
300,[-8.01935 -8.01935 -8.01935],[2.07939 2.07939 2.07939],0.2964
400,[-8.55121 -8.55121 -8.55121],[2.38546 2.38546 2.38546],0.29519999999999996
500,[-9.43778 -9.43778 -9.43778],[2.39220 2.39220 2.39220],0.294
600,[-9.49131 -9.49131 -9.49131],[1.33297 1.33297 1.33297],0.2928
700,[-8.84626 -8.84626 -8.84626],[7.50189 7.50189 7.50189],0.29159999999999997
800,[-9.70045 -9.70045 -9.70045],[3.52353 3.52353 3.52353],0.2904
900,[-9.43032 -9.43032 -9.43032],[2.98855 2.98855 2.98855],0.28919999999999996
1000,[-7.37156 -7.37156 -7.37156],[1.45788 1.45788 1.45788],0.288
1100,[-8.86801 -8.86801 -8.86801],[1.07792 1.07792 1.07792],0.2868
1200,[-7.87594 -7.87594 -7.87594],[3.98649 3.98649 3.98649],0.28559999999999997
1300,[-7.90934 -7.90934 -7.90934],[0.79861 0.79861 0.79861],0.2844
1400,[-8.20715 -8.20715 -8.20715],[2.12381 2.12381 2.12381],0.28319999999999995
1500,[-7.52698 -7.52698 -7.52698],[0.94094 0.94094 0.94094],0.282
1600,[-8.54007 -8.54007 -8.54007],[1.33593 1.33593 1.33593],0.2808
1700,[-7.03027 -7.03027 -7.03027],[2.07539 2.07539 2.07539],0.2796
1800,[-9.43981 -9.43981 -9.43981],[5.13425 5.13425 5.13425],0.2784
1900,[-9.63859 -9.63859 -9.63859],[0.96942 0.96942 0.96942],0.2772
2000,[-9.05445 -9.05445 -9.05445],[0.70912 0.70912 0.70912],0.276
2100,[-7.84186 -7.84186 -7.84186],[2.67534 2.67534 2.67534],0.2748
2200,[-8.57819 -8.57819 -8.57819],[1.88419 1.88419 1.88419],0.2736
2300,[-7.32221 -7.32221 -7.32221],[0.47118 0.47118 0.47118],0.2724
2400,[-7.70292 -7.70292 -7.70292],[3.50625 3.50625 3.50625],0.2712
2500,[-9.20447 -9.20447 -9.20447],[4.73290 4.73290 4.73290],0.27
2600,[-9.34640 -9.34640 -9.34640],[1.81410 1.81410 1.81410],0.2688
2700,[-8.73274 -8.73274 -8.73274],[3.51888 3.51888 3.51888],0.2676
2800,[-8.84515 -8.84515 -8.84515],[0.62740 0.62740 0.62740],0.26639999999999997
2900,[-9.16557 -9.16557 -9.16557],[1.78601 1.78601 1.78601],0.2652
3000,[-8.99712 -8.99712 -8.99712],[1.51036 1.51036 1.51036],0.264
3100,[-7.57934 -7.57934 -7.57934],[1.73915 1.73915 1.73915],0.2628
3200,[-7.80896 -7.80896 -7.80896],[3.05983 3.05983 3.05983],0.2616
3300,[-8.05311 -8.05311 -8.05311],[0.73561 0.73561 0.73561],0.26039999999999996
3400,[-8.83143 -8.83143 -8.83143],[0.91316 0.91316 0.91316],0.2592
3500,[-8.49075 -8.49075 -8.49075],[0.82817 0.82817 0.82817],0.258
3600,[-8.81318 -8.81318 -8.81318],[1.36966 1.36966 1.36966],0.2568
3700,[-8.35497 -8.35497 -8.35497],[0.37127 0.37127 0.37127],0.2556
3800,[-8.28401 -8.28401 -8.28401],[8.12761 8.12761 8.12761],0.25439999999999996
3900,[-10.57433 -10.57433 -10.57433],[5.66486 5.66486 5.66486],0.2532
4000,[-8.87436 -8.87436 -8.87436],[4.87989 4.87989 4.87989],0.252
4100,[-7.87626 -7.87626 -7.87626],[1.25991 1.25991 1.25991],0.25079999999999997
