iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss
0,100,-4.90967,4.58524,0.95913,-5.05218,4.69359,0.96675,-5.14166,4.78491,1.00375
1,200,-5.88592,0.69209,0.97606,-5.80098,0.87927,0.95961,-6.21506,0.93649,1.02538
2,300,-6.59902,0.73694,0.96872,-6.50210,0.94105,0.96225,-6.72682,0.92520,1.01196
3,400,-7.24133,0.91145,0.96248,-7.23727,1.00366,0.96700,-7.54182,0.95220,1.00091
4,500,-7.90766,0.92756,0.95410,-7.95338,1.13544,0.96992,-8.24934,0.98521,0.99522
5,600,-8.75055,1.08457,0.94753,-8.72712,1.20141,0.96601,-8.95769,1.00414,0.98884
6,700,-9.53284,1.08290,0.94220,-9.52033,1.30988,0.96283,-9.78424,1.08900,0.98333
7,800,-10.18515,1.23203,0.93656,-10.24928,1.47210,0.96590,-10.54005,1.30047,0.97802
8,900,-10.94657,1.20272,0.93119,-11.02831,1.34455,0.96668,-11.22582,1.28334,0.97250
9,1000,-11.64282,1.31522,0.92662,-11.81555,1.42759,0.96204,-12.06671,1.39686,0.96665
10,1100,-12.53300,1.44914,0.92208,-12.67715,1.47063,0.95689,-12.89538,1.58117,0.96079
11,1200,-13.01719,1.70910,0.91927,-13.43059,1.70240,0.95128,-13.60637,1.46304,0.95605
12,1300,-13.83494,1.60191,0.91497,-14.14783,1.64691,0.94567,-14.24450,1.43951,0.95364
13,1400,-14.52747,1.58998,0.91153,-14.92120,1.94622,0.94101,-15.02348,1.56787,0.94977
14,1500,-15.17277,1.83380,0.90893,-15.50605,1.94082,0.93488,-15.70080,1.77924,0.94697
15,1600,-15.78959,1.84199,0.90627,-16.31138,1.91910,0.93172,-16.29161,1.76028,0.94373
16,1700,-16.46386,2.17577,0.90361,-16.86641,2.04921,0.93007,-17.01277,1.97761,0.94186
17,1800,-16.98388,2.61350,0.89937,-17.65612,2.39436,0.92664,-17.64046,2.18378,0.93769
18,1900,-17.67746,2.35259,0.89642,-18.22907,2.72105,0.92195,-18.24336,2.24692,0.93503
19,2000,-18.23429,2.33203,0.89276,-18.70542,2.69468,0.91467,-18.87698,2.18503,0.93004
20,2100,-18.84115,1.88790,0.88912,-19.33293,2.96206,0.90995,-19.48578,2.19768,0.92543
21,2200,-19.41505,3.11061,0.88528,-19.96696,2.40909,0.90737,-20.19842,3.31393,0.92259
22,2300,-19.87109,2.41676,0.88147,-20.55339,3.26666,0.90545,-20.46391,3.33738,0.91885
23,2400,-20.30905,2.10758,0.87764,-21.01260,2.93359,0.90026,-21.00711,3.35087,0.91440
24,2500,-20.96298,2.55130,0.87451,-21.71723,3.46123,0.89707,-21.54133,2.76662,0.91186
25,2600,-21.30695,2.40604,0.87079,-22.02469,3.22523,0.89385,-22.31468,4.49486,0.90801
26,2700,-22.14355,3.22819,0.86784,-22.64593,2.54654,0.88924,-22.77738,3.76865,0.90488
27,2800,-22.33015,2.08980,0.86447,-23.23934,2.62813,0.88681,-23.47242,4.43857,0.90111
