iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
0,100,-1.91334,3.24747,0.38396,-1.87466,2.29163,0.34398,-1.82824,1.88421,0.32082
1,200,-1.88570,1.37371,0.26781,-1.87378,1.28941,0.26093,-1.82999,1.17158,0.25499
2,300,-2.16721,1.37019,0.26008,-2.07698,1.27479,0.25410,-2.07027,1.23414,0.25040
3,400,-2.52968,1.25349,0.25732,-2.41666,1.24049,0.25754,-2.42203,1.21206,0.25375
4,500,-2.91241,1.20205,0.25779,-2.80106,1.08826,0.25587,-2.80432,1.07994,0.25374
5,600,-3.20477,1.21434,0.25983,-3.09027,1.12284,0.25668,-3.06467,1.13098,0.25567
6,700,-3.54423,1.19437,0.26002,-3.47185,1.16918,0.25832,-3.32975,1.20012,0.25432
7,800,-3.84399,1.25752,0.26151,-3.74133,1.10775,0.25734,-3.72178,1.25799,0.25564
8,900,-4.10118,1.26799,0.25969,-4.06068,1.32612,0.26049,-3.98512,1.19487,0.25791
9,1000,-4.40466,1.25155,0.26143,-4.36865,1.18863,0.25903,-4.35329,1.24270,0.25811
10,1100,-4.74673,1.28521,0.26072,-4.70530,1.17115,0.25944,-4.61762,1.21100,0.25834
11,1200,-5.05900,1.19896,0.26055,-5.04049,1.12369,0.25971,-5.01885,1.25951,0.25869
12,1300,-5.37339,1.20373,0.25967,-5.39048,1.37324,0.25837,-5.29588,1.24005,0.25917
13,1400,-5.71416,1.27827,0.25981,-5.60907,1.25709,0.25865,-5.61070,1.19181,0.25858
14,1500,-6.04755,1.39551,0.26026,-5.89063,1.23881,0.25916,-5.88564,1.18145,0.25794
15,1600,-6.33524,1.42904,0.25920,-6.24217,1.36512,0.25541,-6.26650,1.29083,0.26001
16,1700,-6.70511,1.43477,0.25947,-6.42201,1.31263,0.25805,-6.39446,1.44335,0.25655
17,1800,-6.88707,1.38437,0.25839,-6.79205,1.31263,0.25827,-6.67482,1.60453,0.25730
18,1900,-7.17699,1.37612,0.26035,-7.09396,1.40710,0.25836,-6.91140,1.42495,0.25835
19,2000,-7.44053,1.34995,0.25909,-7.30373,1.37715,0.25791,-7.14110,1.47011,0.25681
20,2100,-7.71481,1.42035,0.25645,-7.55642,1.42799,0.25474,-7.57057,1.38416,0.25808
21,2200,-7.96552,1.43713,0.26038,-7.82194,1.41284,0.25786,-7.76417,1.47181,0.25795
22,2300,-8.32519,1.51679,0.25821,-8.11357,1.38373,0.25913,-8.04723,1.49160,0.25590
23,2400,-8.53627,1.61692,0.25905,-8.37719,1.57139,0.25750,-8.30727,1.53864,0.25752
24,2500,-8.86719,1.64248,0.25903,-8.71279,1.57353,0.25870,-8.49708,1.67128,0.25675
25,2600,-9.05146,1.60951,0.25945,-8.93943,2.07392,0.25852,-8.83190,1.48514,0.25694
26,2700,-9.29174,1.67030,0.25786,-9.00749,2.18792,0.25802,-9.01331,1.62736,0.25777
27,2800,-9.46457,1.74191,0.25774,-9.41179,2.03312,0.25788,-9.27239,1.50305,0.25655
28,2900,-9.75531,1.48676,0.25863,-9.53864,1.72819,0.25803,-9.55821,1.86333,0.25620
29,3000,-9.99917,1.68455,0.25747,-9.79377,1.74096,0.25907,-9.80646,1.59019,0.25835
30,3100,-10.27700,1.65935,0.25987,-10.03837,1.68854,0.25960,-10.01179,1.64608,0.25973
31,3200,-10.50453,1.66310,0.25805,-10.31679,1.89817,0.26053,-10.24904,1.68200,0.25896
32,3300,-10.84154,2.03960,0.26145,-10.60161,1.67839,0.25889,-10.53040,1.63855,0.25818
33,3400,-10.94794,1.73757,0.25882,-10.84148,1.68904,0.25845,-10.86325,1.85214,0.25904
34,3500,-11.21790,1.88864,0.26036,-11.08457,1.74243,0.26114,-10.98800,1.90179,0.26022
35,3600,-11.47010,2.08381,0.26208,-11.43283,1.86316,0.26196,-11.54633,1.92684,0.26018
36,3700,-11.70244,2.25045,0.26163,-11.46502,1.74003,0.25962,-11.49656,1.85203,0.26018
37,3800,-11.94223,1.76974,0.26044,-11.77003,1.97893,0.25920,-11.74833,1.83687,0.26153
38,3900,-12.09324,1.82374,0.26148,-12.00099,1.81414,0.25942,-11.98894,1.69670,0.26126
39,4000,-12.32330,1.83391,0.26186,-12.26867,1.81018,0.26186,-12.14555,1.84655,0.26081
40,4100,-12.60667,2.05368,0.26119,-12.46585,1.74608,0.26210,-12.41542,1.88445,0.26211
41,4200,-12.80485,1.75359,0.26403,-12.65004,1.74378,0.26058,-12.66934,1.96395,0.26245
42,4300,-12.91755,1.74025,0.26337,-12.90218,1.71384,0.26294,-12.79099,2.26251,0.26184
43,4400,-13.24023,1.79864,0.26091,-13.14801,2.04322,0.26209,-13.03206,1.80017,0.26234
44,4500,-13.30186,1.69035,0.26265,-13.30877,2.09887,0.26302,-13.14552,1.75378,0.26309
45,4600,-13.50622,1.70283,0.26334,-13.59902,1.99519,0.26494,-13.34872,1.74736,0.26175
46,4700,-13.74226,1.69991,0.26391,-13.69128,1.99496,0.26382,-13.47519,1.80910,0.26183
47,4800,-13.92251,1.84764,0.26382,-13.88920,1.95503,0.26605,-13.76477,1.91464,0.26316
48,4900,-14.11078,1.95672,0.26271,-13.90459,2.00309,0.26277,-13.85014,2.03869,0.26362
49,5000,-14.32313,1.83437,0.26351,-14.16907,1.89655,0.26300,-14.03223,1.83374,0.26173
50,5100,-14.33419,1.73126,0.26082,-14.41543,2.05698,0.26423,-14.23456,2.00270,0.26501
51,5200,-14.59336,1.80370,0.26310,-14.51231,2.01637,0.26551,-14.41406,2.00941,0.26327
52,5300,-14.67579,1.72845,0.26614,-14.66885,2.03509,0.26475,-14.41079,2.10149,0.26395
53,5400,-14.79900,1.72799,0.26325,-14.88128,1.77388,0.26357,-14.61913,1.89779,0.26359
54,5500,-15.04979,1.91256,0.26263,-15.05620,2.17611,0.26387,-14.82233,1.82501,0.26275
55,5600,-15.16022,2.15516,0.26371,-15.18076,1.71875,0.26427,-14.99742,2.04895,0.26290
56,5700,-15.22184,2.13735,0.26425,-15.19620,2.25112,0.26394,-15.13511,1.73943,0.26417
57,5800,-15.42145,2.04719,0.26280,-15.45229,2.30173,0.26443,-15.22128,2.11030,0.26162
58,5900,-15.60836,1.86122,0.26547,-15.50461,2.11143,0.26237,-15.26116,2.05750,0.26548
59,6000,-15.76325,1.76751,0.26191,-15.73788,2.22187,0.26518,-15.38456,2.03399,0.26230
60,6100,-15.89924,1.75558,0.26423,-15.93262,1.82140,0.26516,-15.64407,1.94872,0.26190
61,6200,-15.87533,1.76964,0.26316,-16.08094,2.16087,0.26403,-15.71620,2.05724,0.26208
62,6300,-16.09303,1.79989,0.26349,-16.14271,1.95360,0.26357,-15.91243,1.89741,0.26400
63,6400,-16.17805,1.76510,0.26210,-16.29569,1.98212,0.26265,-16.01101,1.89322,0.26251
64,6500,-16.34757,1.80466,0.26474,-16.43447,2.23333,0.26099,-16.09369,2.21461,0.26282
65,6600,-16.46994,1.77337,0.26400,-16.56243,2.01376,0.26422,-16.24787,1.94522,0.26597
66,6700,-16.59065,1.79276,0.26138,-16.70270,1.94747,0.26109,-16.34669,1.79710,0.26323
67,6800,-16.58211,1.81698,0.26256,-16.78888,2.04529,0.26525,-16.46909,1.94694,0.26226
68,6900,-16.82150,1.87868,0.26309,-16.94802,2.12206,0.26319,-16.61313,2.14492,0.26252
69,7000,-16.88788,1.83792,0.26446,-17.11255,2.45030,0.26433,-16.64518,2.12763,0.26416
70,7100,-17.08404,1.81665,0.26236,-17.07126,2.31682,0.26286,-16.71221,1.86775,0.26273
71,7200,-17.18840,1.86293,0.26379,-17.26202,2.29229,0.26304,-16.89300,1.94148,0.26215
72,7300,-17.31302,1.84487,0.26445,-17.39943,2.09409,0.26011,-16.87961,1.86845,0.26180
73,7400,-17.31050,1.89431,0.26270,-17.51580,1.95990,0.26316,-17.02334,1.76490,0.26298
74,7500,-17.56985,1.97116,0.26220,-17.61928,2.12645,0.26247,-17.15494,1.75540,0.26240
75,7600,-17.69158,2.10243,0.26369,-17.79792,2.00392,0.26322,-17.21793,1.74452,0.26431
76,7700,-17.68724,2.25950,0.26079,-17.78643,2.05805,0.26143,-17.27834,1.74269,0.26365
77,7800,-17.93786,2.09644,0.26349,-17.74798,2.23481,0.26290,-17.37973,1.77418,0.26182
78,7900,-17.92262,1.94791,0.26171,-17.96645,1.93283,0.26266,-17.52481,1.95454,0.26265
79,8000,-18.02833,1.96595,0.26192,-18.07164,2.42179,0.26095,-17.87981,2.18065,0.26178
80,8100,-18.09216,1.95788,0.26143,-18.05633,2.01503,0.26396,-17.80860,2.01571,0.26205
