number,rewards,variances,exploration_value
0,[-12.42825 -12.42825 -12.42825],[7.11956 7.11956 7.11956],0.3
100,[-9.32407 -9.32407 -9.32407],[3.57854 3.57854 3.57854],0.2988
200,[-10.56579 -10.56579 -10.56579],[4.16631 4.16631 4.16631],0.2976
300,[-12.43783 -12.43783 -12.43783],[6.84712 6.84712 6.84712],0.2964
400,[-8.35124 -8.35124 -8.35124],[0.55688 0.55688 0.55688],0.29519999999999996
500,[-9.51934 -9.51934 -9.51934],[2.79561 2.79561 2.79561],0.294
600,[-10.06343 -10.06343 -10.06343],[4.72072 4.72072 4.72072],0.2928
700,[-8.66324 -8.66324 -8.66324],[0.84936 0.84936 0.84936],0.29159999999999997
800,[-9.53902 -9.53902 -9.53902],[0.72763 0.72763 0.72763],0.2904
900,[-8.25694 -8.25694 -8.25694],[1.81278 1.81278 1.81278],0.28919999999999996
1000,[-8.05951 -8.05951 -8.05951],[0.54137 0.54137 0.54137],0.288
1100,[-8.71496 -8.71496 -8.71496],[2.19407 2.19407 2.19407],0.2868
1200,[-9.08237 -9.08237 -9.08237],[2.42441 2.42441 2.42441],0.28559999999999997
1300,[-7.59409 -7.59409 -7.59409],[2.37801 2.37801 2.37801],0.2844
1400,[-8.16505 -8.16505 -8.16505],[1.56507 1.56507 1.56507],0.28319999999999995
1500,[-7.66545 -7.66545 -7.66545],[0.84143 0.84143 0.84143],0.282
1600,[-7.07626 -7.07626 -7.07626],[2.96475 2.96475 2.96475],0.2808
1700,[-8.16791 -8.16791 -8.16791],[0.57302 0.57302 0.57302],0.2796
1800,[-8.13972 -8.13972 -8.13972],[2.05499 2.05499 2.05499],0.2784
1900,[-7.57035 -7.57035 -7.57035],[2.86766 2.86766 2.86766],0.2772
2000,[-8.47324 -8.47324 -8.47324],[1.70063 1.70063 1.70063],0.276
2100,[-8.18899 -8.18899 -8.18899],[1.61171 1.61171 1.61171],0.2748
2200,[-8.61719 -8.61719 -8.61719],[4.57606 4.57606 4.57606],0.2736
2300,[-7.98231 -7.98231 -7.98231],[0.81262 0.81262 0.81262],0.2724
2400,[-7.85421 -7.85421 -7.85421],[0.91514 0.91514 0.91514],0.2712
2500,[-8.12451 -8.12451 -8.12451],[1.45052 1.45052 1.45052],0.27
2600,[-7.24982 -7.24982 -7.24982],[1.53640 1.53640 1.53640],0.2688
2700,[-7.64951 -7.64951 -7.64951],[0.22588 0.22588 0.22588],0.2676
2800,[-8.39483 -8.39483 -8.39483],[0.61289 0.61289 0.61289],0.26639999999999997
2900,[-7.69850 -7.69850 -7.69850],[0.55100 0.55100 0.55100],0.2652
3000,[-8.14773 -8.14773 -8.14773],[2.76095 2.76095 2.76095],0.264
3100,[-7.73369 -7.73369 -7.73369],[0.72897 0.72897 0.72897],0.2628
3200,[-9.26040 -9.26040 -9.26040],[5.08043 5.08043 5.08043],0.2616
3300,[-7.72971 -7.72971 -7.72971],[0.71134 0.71134 0.71134],0.26039999999999996
3400,[-7.14378 -7.14378 -7.14378],[0.53496 0.53496 0.53496],0.2592
3500,[-7.77054 -7.77054 -7.77054],[0.57027 0.57027 0.57027],0.258
3600,[-7.57344 -7.57344 -7.57344],[1.41047 1.41047 1.41047],0.2568
3700,[-7.61148 -7.61148 -7.61148],[1.50839 1.50839 1.50839],0.2556
3800,[-8.19130 -8.19130 -8.19130],[2.24810 2.24810 2.24810],0.25439999999999996
3900,[-8.15132 -8.15132 -8.15132],[1.27367 1.27367 1.27367],0.2532
4000,[-7.83927 -7.83927 -7.83927],[2.10105 2.10105 2.10105],0.252
4100,[-7.23566 -7.23566 -7.23566],[1.31735 1.31735 1.31735],0.25079999999999997
4200,[-8.24024 -8.24024 -8.24024],[0.42186 0.42186 0.42186],0.2496
4300,[-8.51099 -8.51099 -8.51099],[1.17502 1.17502 1.17502],0.24839999999999998
4400,[-8.31921 -8.31921 -8.31921],[2.27257 2.27257 2.27257],0.24719999999999998
4500,[-6.97662 -6.97662 -6.97662],[0.52357 0.52357 0.52357],0.24599999999999997
4600,[-7.89054 -7.89054 -7.89054],[1.34716 1.34716 1.34716],0.24479999999999996
4700,[-7.93908 -7.93908 -7.93908],[1.57729 1.57729 1.57729],0.2436
4800,[-7.59918 -7.59918 -7.59918],[1.74874 1.74874 1.74874],0.2424
4900,[-7.32623 -7.32623 -7.32623],[0.72180 0.72180 0.72180],0.2412
5000,[-8.43207 -8.43207 -8.43207],[0.73979 0.73979 0.73979],0.24
5100,[-7.54965 -7.54965 -7.54965],[0.32498 0.32498 0.32498],0.2388
5200,[-7.29222 -7.29222 -7.29222],[0.35775 0.35775 0.35775],0.2376
5300,[-7.94846 -7.94846 -7.94846],[1.62928 1.62928 1.62928],0.2364
5400,[-8.21575 -8.21575 -8.21575],[1.24156 1.24156 1.24156],0.2352
5500,[-8.31507 -8.31507 -8.31507],[0.97515 0.97515 0.97515],0.23399999999999999
5600,[-7.56061 -7.56061 -7.56061],[0.26404 0.26404 0.26404],0.2328
5700,[-8.62904 -8.62904 -8.62904],[1.11948 1.11948 1.11948],0.2316
5800,[-9.09273 -9.09273 -9.09273],[1.37094 1.37094 1.37094],0.2304
5900,[-8.25184 -8.25184 -8.25184],[1.10330 1.10330 1.10330],0.2292
6000,[-8.31614 -8.31614 -8.31614],[2.01190 2.01190 2.01190],0.22799999999999998
6100,[-7.99518 -7.99518 -7.99518],[0.46732 0.46732 0.46732],0.2268
6200,[-7.45918 -7.45918 -7.45918],[1.11154 1.11154 1.11154],0.2256
6300,[-8.22165 -8.22165 -8.22165],[1.42982 1.42982 1.42982],0.2244
6400,[-9.19121 -9.19121 -9.19121],[3.61538 3.61538 3.61538],0.22319999999999998
6500,[-7.66779 -7.66779 -7.66779],[0.25107 0.25107 0.25107],0.222
6600,[-8.02981 -8.02981 -8.02981],[0.84726 0.84726 0.84726],0.2208
6700,[-7.31699 -7.31699 -7.31699],[0.58606 0.58606 0.58606],0.2196
6800,[-8.37451 -8.37451 -8.37451],[0.87548 0.87548 0.87548],0.21839999999999998
6900,[-7.94881 -7.94881 -7.94881],[0.30578 0.30578 0.30578],0.21719999999999998
7000,[-8.44612 -8.44612 -8.44612],[1.21670 1.21670 1.21670],0.216
7100,[-6.91909 -6.91909 -6.91909],[1.05627 1.05627 1.05627],0.2148
7200,[-7.90227 -7.90227 -7.90227],[0.46921 0.46921 0.46921],0.21359999999999998
7300,[-7.39189 -7.39189 -7.39189],[2.05929 2.05929 2.05929],0.21239999999999998
7400,[-8.32499 -8.32499 -8.32499],[0.18053 0.18053 0.18053],0.21119999999999997
7500,[-7.98565 -7.98565 -7.98565],[0.87474 0.87474 0.87474],0.21
7600,[-8.45674 -8.45674 -8.45674],[0.25859 0.25859 0.25859],0.20879999999999999
7700,[-8.13208 -8.13208 -8.13208],[1.16443 1.16443 1.16443],0.20759999999999998
7800,[-7.91466 -7.91466 -7.91466],[2.08149 2.08149 2.08149],0.20639999999999997
7900,[-8.23223 -8.23223 -8.23223],[0.56950 0.56950 0.56950],0.20520000000000002
8000,[-8.08381 -8.08381 -8.08381],[2.35873 2.35873 2.35873],0.20400000000000001
8100,[-7.46229 -7.46229 -7.46229],[0.72814 0.72814 0.72814],0.2028
8200,[-8.62856 -8.62856 -8.62856],[0.91126 0.91126 0.91126],0.2016
8300,[-8.24014 -8.24014 -8.24014],[1.18376 1.18376 1.18376],0.2004
8400,[-7.61128 -7.61128 -7.61128],[1.08749 1.08749 1.08749],0.19920000000000002
8500,[-8.31539 -8.31539 -8.31539],[0.37931 0.37931 0.37931],0.198
8600,[-7.74076 -7.74076 -7.74076],[0.39467 0.39467 0.39467],0.1968
8700,[-8.22772 -8.22772 -8.22772],[1.23457 1.23457 1.23457],0.1956
8800,[-8.54108 -8.54108 -8.54108],[1.56236 1.56236 1.56236],0.1944
8900,[-7.46972 -7.46972 -7.46972],[0.88811 0.88811 0.88811],0.1932
9000,[-8.20472 -8.20472 -8.20472],[0.86403 0.86403 0.86403],0.192
9100,[-8.92763 -8.92763 -8.92763],[0.84282 0.84282 0.84282],0.1908
9200,[-8.92783 -8.92783 -8.92783],[0.55251 0.55251 0.55251],0.1896
9300,[-8.60997 -8.60997 -8.60997],[2.00310 2.00310 2.00310],0.18839999999999998
9400,[-8.99911 -8.99911 -8.99911],[3.56114 3.56114 3.56114],0.1872
9500,[-7.86910 -7.86910 -7.86910],[0.89520 0.89520 0.89520],0.186
9600,[-8.28825 -8.28825 -8.28825],[2.59035 2.59035 2.59035],0.1848
9700,[-9.19572 -9.19572 -9.19572],[0.40886 0.40886 0.40886],0.18359999999999999
9800,[-8.51244 -8.51244 -8.51244],[1.33886 1.33886 1.33886],0.18239999999999998
9900,[-7.75672 -7.75672 -7.75672],[0.33576 0.33576 0.33576],0.1812
10000,[-7.65250 -7.65250 -7.65250],[0.61391 0.61391 0.61391],0.18
10100,[-8.27285 -8.27285 -8.27285],[0.56651 0.56651 0.56651],0.1788
10200,[-8.49352 -8.49352 -8.49352],[0.78387 0.78387 0.78387],0.17759999999999998
10300,[-8.88334 -8.88334 -8.88334],[0.98803 0.98803 0.98803],0.17639999999999997
10400,[-8.56506 -8.56506 -8.56506],[2.06155 2.06155 2.06155],0.1752
10500,[-8.22735 -8.22735 -8.22735],[0.74395 0.74395 0.74395],0.174
10600,[-7.63833 -7.63833 -7.63833],[0.18695 0.18695 0.18695],0.17279999999999998
