iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value
0,100,-3.08796,6.57684,0.48119,-3.09664,6.77503,0.47915,-3.21186,6.81636,0.49685
1,200,-2.45344,1.70768,0.34963,-2.58063,1.74729,0.37022,-2.58564,1.72787,0.36512
2,300,-2.66820,1.50856,0.32151,-2.81054,1.73950,0.35492,-2.88075,1.55983,0.35520
3,400,-2.98174,1.57570,0.31673,-3.07359,1.71843,0.34528,-3.23823,1.64643,0.35653
4,500,-3.27590,1.56117,0.31603,-3.46793,1.68219,0.34391,-3.55506,1.65149,0.35296
5,600,-3.61001,1.55412,0.31075,-3.91701,1.67165,0.34649,-4.02645,1.72510,0.35594
6,700,-3.96267,1.58783,0.31197,-4.27544,1.66452,0.35233,-4.39993,1.70372,0.35438
7,800,-4.38881,1.64013,0.31800,-4.67188,1.69451,0.35149,-4.77357,1.78834,0.35910
8,900,-4.71901,1.77934,0.31693,-5.12368,1.63504,0.35346,-5.25041,1.71523,0.36538
9,1000,-5.12866,1.68878,0.32291,-5.49877,1.66842,0.35101,-5.74101,1.80640,0.37040
10,1100,-5.50608,1.67826,0.32338,-5.82886,1.67660,0.35560,-6.06670,1.82277,0.37097
11,1200,-5.79180,1.75487,0.32780,-6.18458,1.72102,0.35822,-6.41457,1.87070,0.37325
12,1300,-6.07113,1.76511,0.32804,-6.62554,1.77222,0.35800,-6.81795,1.79448,0.37564
13,1400,-6.50158,2.01376,0.33224,-6.87392,1.88418,0.36022,-7.19588,1.92068,0.37595
14,1500,-6.82925,1.90570,0.33358,-7.29362,1.92217,0.36482,-7.56909,1.87019,0.37569
15,1600,-7.14300,2.02037,0.33770,-7.66991,2.25360,0.36046,-7.91954,1.95107,0.37730
16,1700,-7.53023,2.01694,0.34038,-8.00892,2.08038,0.36444,-8.22491,1.90815,0.37300
17,1800,-7.78264,2.06686,0.33907,-8.33192,1.96522,0.36254,-8.52715,2.04189,0.37325
18,1900,-8.14439,2.04722,0.34141,-8.70345,1.92692,0.36428,-8.89786,2.11942,0.37268
19,2000,-8.53202,2.13500,0.34158,-9.04240,1.96443,0.36560,-9.31409,2.20032,0.37168
20,2100,-8.80006,2.13577,0.34189,-9.36878,1.97778,0.36375,-9.61104,2.06781,0.37319
21,2200,-9.20400,2.20728,0.34301,-9.68858,2.27842,0.36371,-9.92240,2.35006,0.36963
22,2300,-9.69600,2.21289,0.34380,-10.13714,2.25112,0.36712,-10.16085,2.21101,0.36626
23,2400,-9.86143,3.21076,0.34382,-10.49746,2.13991,0.36337,-10.57150,2.27190,0.36783
24,2500,-10.25380,2.19464,0.34498,-10.77848,2.20364,0.36443,-10.79927,2.31107,0.36352
25,2600,-10.59063,2.19120,0.34540,-11.15303,2.57624,0.36300,-11.25011,2.20559,0.36362
26,2700,-10.98410,2.42662,0.34087,-11.52324,2.26892,0.36419,-11.55747,2.61134,0.36431
27,2800,-11.23495,2.24979,0.34399,-11.73399,2.46712,0.36224,-11.86799,2.28356,0.36136
28,2900,-11.56923,2.49109,0.34447,-12.17876,2.54818,0.36186,-12.14247,2.18896,0.35821
29,3000,-11.88543,2.51168,0.34531,-12.46957,2.55958,0.36446,-12.48361,2.25815,0.36153
30,3100,-12.20631,2.31739,0.34744,-12.74190,2.27687,0.36261,-12.79249,2.19827,0.36439
31,3200,-12.47108,2.42508,0.34318,-13.07364,2.26718,0.36557,-13.19368,2.48475,0.36120
32,3300,-12.73289,2.77156,0.34875,-13.40495,2.38497,0.36261,-13.25185,2.37073,0.36074
33,3400,-13.05192,2.78064,0.34768,-13.74985,2.50344,0.36054,-13.60431,2.68600,0.35941
34,3500,-13.47432,2.31317,0.34838,-14.02919,2.43300,0.36319,-14.21803,3.17209,0.35939
35,3600,-13.72042,2.21681,0.35020,-14.36846,2.40173,0.36338,-14.07609,3.12674,0.35974
36,3700,-13.98939,2.68881,0.34850,-14.62485,2.18248,0.35998,-14.62429,2.53696,0.35918
37,3800,-14.22280,2.82752,0.34716,-14.84740,2.16977,0.35900,-14.81818,2.50640,0.36097
38,3900,-14.44599,2.37357,0.34984,-15.11620,2.18387,0.35802,-14.96131,2.42489,0.35827
39,4000,-14.72171,2.21898,0.35050,-15.42754,2.32037,0.36388,-15.21827,2.29855,0.35855
40,4100,-15.02292,2.32439,0.34915,-15.77344,2.55450,0.36115,-15.58337,2.42593,0.35723
41,4200,-15.40975,2.53107,0.35137,-16.08162,2.77621,0.35732,-15.65905,2.41736,0.35805
42,4300,-15.67955,2.69740,0.35201,-16.30867,3.04660,0.35866,-16.11547,2.34519,0.35906
43,4400,-15.78959,2.27862,0.34820,-16.52773,2.70899,0.35783,-16.29234,2.37373,0.35890
44,4500,-16.12198,2.26610,0.35003,-16.72271,3.13191,0.35907,-16.51836,2.65639,0.35694
45,4600,-16.22341,2.82204,0.34999,-17.07879,2.43802,0.35983,-16.50149,2.59892,0.35700
46,4700,-16.44479,2.60763,0.35090,-17.27309,2.36209,0.35751,-16.86818,2.56966,0.35488
47,4800,-16.76350,2.43007,0.34875,-17.57457,2.76931,0.35934,-17.21661,2.56681,0.35675
48,4900,-17.02928,2.37526,0.34941,-17.60580,3.21896,0.35578,-17.35935,2.39149,0.35694
49,5000,-17.20173,2.58195,0.34681,-17.82812,2.45695,0.35579,-17.58690,2.69939,0.35468
