number,rewards,variances,exploration_value
0,[-17.46596 -17.46596 -17.46596],[32.87232 32.87232 32.87232],0.3
100,[-10.28442 -10.28442 -10.28442],[8.54639 8.54639 8.54639],0.2988
200,[-8.73126 -8.73126 -8.73126],[2.48257 2.48257 2.48257],0.2976
300,[-10.83778 -10.83778 -10.83778],[2.62795 2.62795 2.62795],0.2964
400,[-7.93734 -7.93734 -7.93734],[3.65600 3.65600 3.65600],0.29519999999999996
500,[-8.96237 -8.96237 -8.96237],[0.68576 0.68576 0.68576],0.294
600,[-8.65234 -8.65234 -8.65234],[0.80780 0.80780 0.80780],0.2928
700,[-8.07112 -8.07112 -8.07112],[0.94373 0.94373 0.94373],0.29159999999999997
800,[-9.79675 -9.79675 -9.79675],[7.53707 7.53707 7.53707],0.2904
900,[-8.34037 -8.34037 -8.34037],[1.99379 1.99379 1.99379],0.28919999999999996
1000,[-8.32692 -8.32692 -8.32692],[1.70019 1.70019 1.70019],0.288
1100,[-9.06269 -9.06269 -9.06269],[2.16595 2.16595 2.16595],0.2868
1200,[-8.82014 -8.82014 -8.82014],[1.04575 1.04575 1.04575],0.28559999999999997
1300,[-8.76129 -8.76129 -8.76129],[5.35936 5.35936 5.35936],0.2844
1400,[-8.95269 -8.95269 -8.95269],[2.10046 2.10046 2.10046],0.28319999999999995
1500,[-8.25937 -8.25937 -8.25937],[0.26230 0.26230 0.26230],0.282
1600,[-8.60211 -8.60211 -8.60211],[4.42027 4.42027 4.42027],0.2808
1700,[-8.19568 -8.19568 -8.19568],[2.92075 2.92075 2.92075],0.2796
1800,[-8.64445 -8.64445 -8.64445],[4.57531 4.57531 4.57531],0.2784
1900,[-8.47526 -8.47526 -8.47526],[1.76150 1.76150 1.76150],0.2772
2000,[-8.70907 -8.70907 -8.70907],[0.57359 0.57359 0.57359],0.276
2100,[-7.81682 -7.81682 -7.81682],[1.23432 1.23432 1.23432],0.2748
2200,[-9.50478 -9.50478 -9.50478],[1.41765 1.41765 1.41765],0.2736
2300,[-8.14999 -8.14999 -8.14999],[6.10337 6.10337 6.10337],0.2724
2400,[-8.28368 -8.28368 -8.28368],[3.73765 3.73765 3.73765],0.2712
2500,[-9.69549 -9.69549 -9.69549],[6.23233 6.23233 6.23233],0.27
2600,[-10.42893 -10.42893 -10.42893],[7.66107 7.66107 7.66107],0.2688
2700,[-9.00838 -9.00838 -9.00838],[2.18537 2.18537 2.18537],0.2676
2800,[-8.38153 -8.38153 -8.38153],[1.22756 1.22756 1.22756],0.26639999999999997
2900,[-7.99464 -7.99464 -7.99464],[0.21639 0.21639 0.21639],0.2652
3000,[-8.93366 -8.93366 -8.93366],[3.64160 3.64160 3.64160],0.264
3100,[-8.65980 -8.65980 -8.65980],[1.47966 1.47966 1.47966],0.2628
3200,[-8.92889 -8.92889 -8.92889],[3.55216 3.55216 3.55216],0.2616
3300,[-10.76085 -10.76085 -10.76085],[4.95144 4.95144 4.95144],0.26039999999999996
3400,[-8.45695 -8.45695 -8.45695],[5.45358 5.45358 5.45358],0.2592
3500,[-8.79995 -8.79995 -8.79995],[3.72772 3.72772 3.72772],0.258
3600,[-9.31529 -9.31529 -9.31529],[3.07963 3.07963 3.07963],0.2568
3700,[-8.02417 -8.02417 -8.02417],[0.68203 0.68203 0.68203],0.2556
3800,[-8.64565 -8.64565 -8.64565],[6.91431 6.91431 6.91431],0.25439999999999996
3900,[-10.06578 -10.06578 -10.06578],[5.68627 5.68627 5.68627],0.2532
4000,[-8.91226 -8.91226 -8.91226],[2.51417 2.51417 2.51417],0.252
4100,[-8.50324 -8.50324 -8.50324],[10.24474 10.24474 10.24474],0.25079999999999997
4200,[-8.65119 -8.65119 -8.65119],[5.27126 5.27126 5.27126],0.2496
4300,[-9.45477 -9.45477 -9.45477],[1.83093 1.83093 1.83093],0.24839999999999998
4400,[-9.88278 -9.88278 -9.88278],[4.68584 4.68584 4.68584],0.24719999999999998
4500,[-7.85320 -7.85320 -7.85320],[1.85746 1.85746 1.85746],0.24599999999999997
4600,[-9.44068 -9.44068 -9.44068],[4.00542 4.00542 4.00542],0.24479999999999996
4700,[-7.40897 -7.40897 -7.40897],[3.03231 3.03231 3.03231],0.2436
4800,[-8.46971 -8.46971 -8.46971],[3.86638 3.86638 3.86638],0.2424
4900,[-8.27601 -8.27601 -8.27601],[4.63885 4.63885 4.63885],0.2412
5000,[-8.69833 -8.69833 -8.69833],[1.52543 1.52543 1.52543],0.24
5100,[-8.10484 -8.10484 -8.10484],[2.14748 2.14748 2.14748],0.2388
5200,[-10.77404 -10.77404 -10.77404],[10.05972 10.05972 10.05972],0.2376
5300,[-8.09902 -8.09902 -8.09902],[1.73122 1.73122 1.73122],0.2364
5400,[-7.99997 -7.99997 -7.99997],[3.86680 3.86680 3.86680],0.2352
5500,[-8.44402 -8.44402 -8.44402],[2.89211 2.89211 2.89211],0.23399999999999999
5600,[-7.84269 -7.84269 -7.84269],[0.25963 0.25963 0.25963],0.2328
5700,[-8.08620 -8.08620 -8.08620],[2.38797 2.38797 2.38797],0.2316
5800,[-9.49815 -9.49815 -9.49815],[17.33456 17.33456 17.33456],0.2304
5900,[-10.06999 -10.06999 -10.06999],[3.29814 3.29814 3.29814],0.2292
6000,[-7.02990 -7.02990 -7.02990],[0.89493 0.89493 0.89493],0.22799999999999998
6100,[-7.68606 -7.68606 -7.68606],[1.38401 1.38401 1.38401],0.2268
6200,[-7.48674 -7.48674 -7.48674],[0.18681 0.18681 0.18681],0.2256
6300,[-7.64456 -7.64456 -7.64456],[0.78381 0.78381 0.78381],0.2244
6400,[-6.68178 -6.68178 -6.68178],[1.59338 1.59338 1.59338],0.22319999999999998
6500,[-7.25658 -7.25658 -7.25658],[2.19550 2.19550 2.19550],0.222
6600,[-7.90465 -7.90465 -7.90465],[0.45274 0.45274 0.45274],0.2208
6700,[-8.27613 -8.27613 -8.27613],[0.18666 0.18666 0.18666],0.2196
6800,[-7.71490 -7.71490 -7.71490],[0.58253 0.58253 0.58253],0.21839999999999998
6900,[-8.97709 -8.97709 -8.97709],[2.82801 2.82801 2.82801],0.21719999999999998
7000,[-8.33639 -8.33639 -8.33639],[4.87650 4.87650 4.87650],0.216
7100,[-6.72572 -6.72572 -6.72572],[0.75697 0.75697 0.75697],0.2148
7200,[-7.90474 -7.90474 -7.90474],[3.83432 3.83432 3.83432],0.21359999999999998
7300,[-7.41467 -7.41467 -7.41467],[1.37975 1.37975 1.37975],0.21239999999999998
7400,[-7.94733 -7.94733 -7.94733],[0.62104 0.62104 0.62104],0.21119999999999997
7500,[-7.72025 -7.72025 -7.72025],[0.34252 0.34252 0.34252],0.21
7600,[-7.89266 -7.89266 -7.89266],[0.47256 0.47256 0.47256],0.20879999999999999
7700,[-7.73532 -7.73532 -7.73532],[0.54593 0.54593 0.54593],0.20759999999999998
7800,[-7.14776 -7.14776 -7.14776],[0.79609 0.79609 0.79609],0.20639999999999997
7900,[-8.46092 -8.46092 -8.46092],[0.79815 0.79815 0.79815],0.20520000000000002
8000,[-8.05891 -8.05891 -8.05891],[0.52871 0.52871 0.52871],0.20400000000000001
8100,[-7.89182 -7.89182 -7.89182],[1.61987 1.61987 1.61987],0.2028
8200,[-7.79231 -7.79231 -7.79231],[0.43940 0.43940 0.43940],0.2016
8300,[-7.98387 -7.98387 -7.98387],[4.10168 4.10168 4.10168],0.2004
8400,[-7.00169 -7.00169 -7.00169],[2.60617 2.60617 2.60617],0.19920000000000002
8500,[-8.16370 -8.16370 -8.16370],[1.47224 1.47224 1.47224],0.198
8600,[-7.43232 -7.43232 -7.43232],[0.29997 0.29997 0.29997],0.1968
8700,[-7.27154 -7.27154 -7.27154],[0.90611 0.90611 0.90611],0.1956
8800,[-8.30792 -8.30792 -8.30792],[1.57168 1.57168 1.57168],0.1944
8900,[-6.81348 -6.81348 -6.81348],[0.73686 0.73686 0.73686],0.1932
