number,rewards,variances,exploration_value
0,[-17.77715 -17.77715 -17.77715],[15.10400 15.10400 15.10400],0.3
100,[-9.76503 -9.76503 -9.76503],[2.43123 2.43123 2.43123],0.2988
200,[-11.31066 -11.31066 -11.31066],[2.88177 2.88177 2.88177],0.2976
300,[-8.99409 -8.99409 -8.99409],[0.82310 0.82310 0.82310],0.2964
400,[-8.27770 -8.27770 -8.27770],[0.41511 0.41511 0.41511],0.29519999999999996
500,[-7.83485 -7.83485 -7.83485],[2.09737 2.09737 2.09737],0.294
600,[-8.74612 -8.74612 -8.74612],[0.53557 0.53557 0.53557],0.2928
700,[-8.98875 -8.98875 -8.98875],[4.70037 4.70037 4.70037],0.29159999999999997
800,[-8.06992 -8.06992 -8.06992],[1.16257 1.16257 1.16257],0.2904
900,[-8.96934 -8.96934 -8.96934],[1.70471 1.70471 1.70471],0.28919999999999996
1000,[-9.10605 -9.10605 -9.10605],[4.07322 4.07322 4.07322],0.288
1100,[-9.52638 -9.52638 -9.52638],[2.41466 2.41466 2.41466],0.2868
1200,[-8.00232 -8.00232 -8.00232],[0.97626 0.97626 0.97626],0.28559999999999997
1300,[-6.76852 -6.76852 -6.76852],[1.00714 1.00714 1.00714],0.2844
1400,[-7.38423 -7.38423 -7.38423],[1.22909 1.22909 1.22909],0.28319999999999995
1500,[-9.98392 -9.98392 -9.98392],[3.12544 3.12544 3.12544],0.282
1600,[-9.11299 -9.11299 -9.11299],[3.37290 3.37290 3.37290],0.2808
1700,[-8.65286 -8.65286 -8.65286],[1.79964 1.79964 1.79964],0.2796
1800,[-7.61815 -7.61815 -7.61815],[0.46187 0.46187 0.46187],0.2784
1900,[-8.69124 -8.69124 -8.69124],[0.26662 0.26662 0.26662],0.2772
2000,[-7.99200 -7.99200 -7.99200],[0.59207 0.59207 0.59207],0.276
2100,[-7.38710 -7.38710 -7.38710],[0.81579 0.81579 0.81579],0.2748
2200,[-7.10478 -7.10478 -7.10478],[0.49831 0.49831 0.49831],0.2736
2300,[-9.14507 -9.14507 -9.14507],[0.23076 0.23076 0.23076],0.2724
2400,[-8.10428 -8.10428 -8.10428],[2.03488 2.03488 2.03488],0.2712
2500,[-7.17322 -7.17322 -7.17322],[1.07636 1.07636 1.07636],0.27
2600,[-7.87414 -7.87414 -7.87414],[1.33358 1.33358 1.33358],0.2688
2700,[-7.50331 -7.50331 -7.50331],[3.02293 3.02293 3.02293],0.2676
2800,[-7.78204 -7.78204 -7.78204],[0.85663 0.85663 0.85663],0.26639999999999997
2900,[-8.56963 -8.56963 -8.56963],[3.20526 3.20526 3.20526],0.2652
3000,[-7.31131 -7.31131 -7.31131],[1.31643 1.31643 1.31643],0.264
