iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,-2.34323,1.18269,0.42112,1.61011,-2.23333,1.22096,0.41612,1.62121,-2.32407,1.18697,0.41471,1.61521
1,200,-2.73218,0.66597,0.41752,1.59929,-2.78409,0.67242,0.42577,1.62683,-2.71065,0.64110,0.40856,1.61514
2,300,-3.00687,0.68774,0.40810,1.59867,-3.14096,0.63527,0.42638,1.63261,-3.01341,0.60559,0.40587,1.61628
3,400,-3.34338,0.69372,0.40048,1.59910,-3.39051,0.65426,0.42096,1.63435,-3.31788,0.67778,0.40275,1.61564
4,500,-3.54758,0.70054,0.39391,1.59574,-3.71554,0.66449,0.41642,1.63485,-3.63105,0.65919,0.39986,1.61496
5,600,-3.87530,0.70540,0.39035,1.59606,-4.04220,0.72138,0.41142,1.63325,-3.94147,0.63110,0.39752,1.61551
6,700,-4.15974,0.71934,0.38878,1.59901,-4.38611,0.71994,0.40769,1.63435,-4.19450,0.76014,0.39438,1.61544
7,800,-4.54756,0.74984,0.38544,1.60004,-4.70093,0.77480,0.40300,1.63365,-4.59663,0.79436,0.39097,1.61502
8,900,-4.85387,0.78975,0.38198,1.59983,-5.01332,0.77639,0.39842,1.63401,-4.85784,0.82245,0.38803,1.61362
9,1000,-5.15984,0.82123,0.37930,1.59991,-5.35240,0.80844,0.39456,1.63421,-5.16068,0.90603,0.38539,1.61238
10,1100,-5.45204,0.90489,0.37634,1.59987,-5.69113,0.91811,0.39119,1.63503,-5.45194,0.94488,0.38236,1.61110
11,1200,-5.76221,0.98554,0.37246,1.59890,-5.81144,1.19185,0.38732,1.63474,-5.69655,0.92084,0.37975,1.61182
12,1300,-5.94103,0.96052,0.36900,1.59748,-6.27863,1.03574,0.38388,1.63417,-6.02764,1.02606,0.37672,1.61137
13,1400,-6.25472,0.97926,0.36637,1.59818,-6.47477,1.04445,0.37991,1.63426,-6.28265,0.94216,0.37333,1.61049
14,1500,-6.55296,0.92628,0.36378,1.59689,-6.75551,1.03051,0.37703,1.63354,-6.54479,0.98156,0.37045,1.60989
15,1600,-6.74477,1.02966,0.36075,1.59698,-6.95176,1.13226,0.37377,1.63332,-6.90535,1.02421,0.36763,1.60862
16,1700,-7.06011,1.07973,0.35733,1.59584,-7.29573,1.22984,0.37067,1.63400,-7.11592,0.99804,0.36501,1.61010
17,1800,-7.20182,1.05219,0.35423,1.59464,-7.49877,1.06869,0.36719,1.63301,-7.37632,1.14872,0.36215,1.60999
18,1900,-7.51955,1.08326,0.35098,1.59329,-7.79523,1.16023,0.36355,1.63216,-7.55076,1.11494,0.35899,1.60852
19,2000,-7.77192,1.18180,0.34768,1.59278,-8.02917,1.14040,0.36085,1.63284,-7.66526,1.27306,0.35635,1.60883
20,2100,-7.97260,1.30628,0.34517,1.59242,-8.20445,1.25250,0.35765,1.63186,-8.02416,1.15821,0.35348,1.60804
21,2200,-8.20288,1.19206,0.34232,1.59210,-8.55218,1.21361,0.35463,1.63194,-8.21688,1.08680,0.35039,1.60825
22,2300,-8.42676,1.23849,0.33966,1.59204,-8.66008,1.20205,0.35143,1.63110,-8.48962,1.13767,0.34797,1.60870
23,2400,-8.70761,1.35986,0.33670,1.59155,-8.83512,1.22267,0.34849,1.63039,-8.68528,1.19187,0.34455,1.60694
24,2500,-8.79749,1.20747,0.33447,1.59197,-9.15414,1.28567,0.34525,1.63006,-8.86088,1.21120,0.34179,1.60710
25,2600,-9.09149,1.20547,0.33151,1.59182,-9.44924,1.38732,0.34309,1.63095,-9.10258,1.33446,0.33904,1.60671
26,2700,-9.27052,1.47349,0.32889,1.59215,-9.56892,1.55803,0.33970,1.62947,-9.18523,1.37996,0.33623,1.60597
27,2800,-9.43037,1.34197,0.32639,1.59245,-9.83375,1.48394,0.33648,1.62839,-9.45776,1.25741,0.33346,1.60531
28,2900,-9.65444,1.36057,0.32362,1.59243,-10.00841,1.49752,0.33358,1.62851,-9.77739,1.42470,0.33081,1.60531
29,3000,-9.85166,1.44804,0.32105,1.59321,-10.22855,1.61855,0.33119,1.62759,-9.87794,1.55517,0.32811,1.60577
30,3100,-9.99323,1.45136,0.31826,1.59226,-10.37680,1.78545,0.32801,1.62786,-9.95883,1.41374,0.32502,1.60457
31,3200,-10.09134,1.46605,0.31588,1.59325,-10.50342,1.61277,0.32523,1.62772,-10.18173,1.43394,0.32234,1.60403
32,3300,-10.23530,1.46480,0.31331,1.59390,-10.59649,1.69669,0.32247,1.62657,-10.50867,1.78510,0.31958,1.60441
33,3400,-10.46457,1.51748,0.31080,1.59413,-10.84672,1.63722,0.31984,1.62699,-10.52647,1.55429,0.31698,1.60406
34,3500,-10.56328,1.47970,0.30809,1.59415,-10.88363,1.61340,0.31718,1.62609,-10.72911,1.41919,0.31446,1.60460
35,3600,-10.77383,1.44520,0.30580,1.59416,-11.05790,1.61035,0.31430,1.62572,-10.84502,1.60025,0.31153,1.60359
36,3700,-10.85627,1.48716,0.30324,1.59420,-11.23393,1.63107,0.31144,1.62568,-11.01550,1.60864,0.30887,1.60430
37,3800,-11.00554,1.39683,0.30098,1.59522,-11.38413,1.67132,0.30908,1.62591,-11.10663,1.64569,0.30611,1.60310
38,3900,-11.11892,1.59361,0.29826,1.59385,-11.45801,1.69739,0.30639,1.62521,-11.28856,1.68167,0.30358,1.60281
39,4000,-11.20126,1.69840,0.29590,1.59495,-11.58882,1.72295,0.30369,1.62512,-11.41464,1.72981,0.30129,1.60371
40,4100,-11.37178,1.73124,0.29374,1.59591,-11.75737,2.01305,0.30103,1.62414,-11.53052,1.87924,0.29850,1.60316
41,4200,-11.42734,1.70882,0.29109,1.59535,-11.89205,1.97251,0.29844,1.62403,-11.63239,1.94466,0.29590,1.60266
42,4300,-11.64999,1.92558,0.28875,1.59606,-12.00565,1.85173,0.29573,1.62291,-11.72448,2.03380,0.29344,1.60248
43,4400,-11.65072,1.71681,0.28611,1.59558,-12.13826,2.03823,0.29320,1.62260,-11.99050,2.11345,0.29089,1.60196
44,4500,-11.84570,1.80997,0.28393,1.59549,-12.29904,2.10045,0.29068,1.62283,-11.82920,2.05022,0.28830,1.60191
45,4600,-11.83678,1.61977,0.28134,1.59557,-12.26940,1.97087,0.28815,1.62217,-11.88809,2.16876,0.28589,1.60268
