number,rewards,variances,exploration_value
0,[-17.26485 -17.26485 -17.26485],[29.28729 29.28729 29.28729],0.3
100,[-9.10591 -9.10591 -9.10591],[2.96373 2.96373 2.96373],0.2988
200,[-9.59553 -9.59553 -9.59553],[2.59345 2.59345 2.59345],0.2976
300,[-7.97249 -7.97249 -7.97249],[2.00813 2.00813 2.00813],0.2964
400,[-9.04229 -9.04229 -9.04229],[0.35351 0.35351 0.35351],0.29519999999999996
500,[-7.74788 -7.74788 -7.74788],[4.22850 4.22850 4.22850],0.294
600,[-9.15274 -9.15274 -9.15274],[1.25203 1.25203 1.25203],0.2928
700,[-7.97822 -7.97822 -7.97822],[2.33217 2.33217 2.33217],0.29159999999999997
800,[-7.58133 -7.58133 -7.58133],[1.01088 1.01088 1.01088],0.2904
900,[-9.06209 -9.06209 -9.06209],[1.03403 1.03403 1.03403],0.28919999999999996
1000,[-7.23311 -7.23311 -7.23311],[0.69098 0.69098 0.69098],0.288
1100,[-7.68595 -7.68595 -7.68595],[0.69556 0.69556 0.69556],0.2868
1200,[-7.15437 -7.15437 -7.15437],[1.73379 1.73379 1.73379],0.28559999999999997
1300,[-7.22198 -7.22198 -7.22198],[1.87717 1.87717 1.87717],0.2844
1400,[-7.65194 -7.65194 -7.65194],[1.67276 1.67276 1.67276],0.28319999999999995
1500,[-7.93145 -7.93145 -7.93145],[1.92019 1.92019 1.92019],0.282
1600,[-8.52878 -8.52878 -8.52878],[1.61329 1.61329 1.61329],0.2808
1700,[-7.41846 -7.41846 -7.41846],[2.14581 2.14581 2.14581],0.2796
1800,[-7.32807 -7.32807 -7.32807],[1.47090 1.47090 1.47090],0.2784
1900,[-7.77302 -7.77302 -7.77302],[0.29491 0.29491 0.29491],0.2772
2000,[-6.69049 -6.69049 -6.69049],[0.14265 0.14265 0.14265],0.276
2100,[-7.01514 -7.01514 -7.01514],[1.51958 1.51958 1.51958],0.2748
2200,[-7.56984 -7.56984 -7.56984],[1.61083 1.61083 1.61083],0.2736
2300,[-8.15460 -8.15460 -8.15460],[0.97724 0.97724 0.97724],0.2724
2400,[-7.65952 -7.65952 -7.65952],[1.72054 1.72054 1.72054],0.2712
2500,[-6.73918 -6.73918 -6.73918],[2.15000 2.15000 2.15000],0.27
2600,[-6.02248 -6.02248 -6.02248],[0.11554 0.11554 0.11554],0.2688
2700,[-6.35889 -6.35889 -6.35889],[0.42031 0.42031 0.42031],0.2676
2800,[-6.45798 -6.45798 -6.45798],[0.52854 0.52854 0.52854],0.26639999999999997
2900,[-7.09289 -7.09289 -7.09289],[1.41603 1.41603 1.41603],0.2652
3000,[-6.30347 -6.30347 -6.30347],[0.60723 0.60723 0.60723],0.264
3100,[-7.74664 -7.74664 -7.74664],[1.74384 1.74384 1.74384],0.2628
3200,[-7.23103 -7.23103 -7.23103],[2.11163 2.11163 2.11163],0.2616
3300,[-6.73110 -6.73110 -6.73110],[0.51814 0.51814 0.51814],0.26039999999999996
3400,[-6.32951 -6.32951 -6.32951],[0.42271 0.42271 0.42271],0.2592
3500,[-6.87812 -6.87812 -6.87812],[0.40014 0.40014 0.40014],0.258
3600,[-5.86116 -5.86116 -5.86116],[0.44025 0.44025 0.44025],0.2568
3700,[-7.61894 -7.61894 -7.61894],[1.02642 1.02642 1.02642],0.2556
3800,[-6.33559 -6.33559 -6.33559],[0.04962 0.04962 0.04962],0.25439999999999996
3900,[-6.16838 -6.16838 -6.16838],[0.25080 0.25080 0.25080],0.2532
4000,[-6.59857 -6.59857 -6.59857],[0.12955 0.12955 0.12955],0.252
4100,[-5.70820 -5.70820 -5.70820],[0.18165 0.18165 0.18165],0.25079999999999997
4200,[-7.57989 -7.57989 -7.57989],[3.23629 3.23629 3.23629],0.2496
4300,[-6.60894 -6.60894 -6.60894],[1.09300 1.09300 1.09300],0.24839999999999998
4400,[-5.65102 -5.65102 -5.65102],[0.18733 0.18733 0.18733],0.24719999999999998
4500,[-5.96462 -5.96462 -5.96462],[0.52333 0.52333 0.52333],0.24599999999999997
4600,[-6.70057 -6.70057 -6.70057],[0.85434 0.85434 0.85434],0.24479999999999996
4700,[-7.62269 -7.62269 -7.62269],[2.19852 2.19852 2.19852],0.2436
4800,[-5.88993 -5.88993 -5.88993],[0.31056 0.31056 0.31056],0.2424
4900,[-6.75206 -6.75206 -6.75206],[1.32271 1.32271 1.32271],0.2412
5000,[-6.02802 -6.02802 -6.02802],[0.66380 0.66380 0.66380],0.24
5100,[-6.03530 -6.03530 -6.03530],[0.46254 0.46254 0.46254],0.2388
5200,[-6.47688 -6.47688 -6.47688],[0.72776 0.72776 0.72776],0.2376
5300,[-6.15216 -6.15216 -6.15216],[0.77796 0.77796 0.77796],0.2364
5400,[-6.43463 -6.43463 -6.43463],[1.92737 1.92737 1.92737],0.2352
5500,[-6.64494 -6.64494 -6.64494],[1.18288 1.18288 1.18288],0.23399999999999999
5600,[-6.23798 -6.23798 -6.23798],[0.83431 0.83431 0.83431],0.2328
5700,[-6.58082 -6.58082 -6.58082],[0.56846 0.56846 0.56846],0.2316
5800,[-6.50883 -6.50883 -6.50883],[0.87507 0.87507 0.87507],0.2304
5900,[-6.00315 -6.00315 -6.00315],[0.71942 0.71942 0.71942],0.2292
6000,[-5.90179 -5.90179 -5.90179],[0.14267 0.14267 0.14267],0.22799999999999998
6100,[-6.86001 -6.86001 -6.86001],[0.95570 0.95570 0.95570],0.2268
6200,[-7.13332 -7.13332 -7.13332],[3.51500 3.51500 3.51500],0.2256
6300,[-6.32768 -6.32768 -6.32768],[0.90529 0.90529 0.90529],0.2244
6400,[-6.95125 -6.95125 -6.95125],[0.85260 0.85260 0.85260],0.22319999999999998
6500,[-5.97013 -5.97013 -5.97013],[0.19218 0.19218 0.19218],0.222
6600,[-6.10649 -6.10649 -6.10649],[0.83403 0.83403 0.83403],0.2208
6700,[-5.96752 -5.96752 -5.96752],[0.09652 0.09652 0.09652],0.2196
6800,[-6.39519 -6.39519 -6.39519],[1.38388 1.38388 1.38388],0.21839999999999998
6900,[-6.91052 -6.91052 -6.91052],[0.46977 0.46977 0.46977],0.21719999999999998
7000,[-6.66291 -6.66291 -6.66291],[0.27760 0.27760 0.27760],0.216
7100,[-6.13584 -6.13584 -6.13584],[0.18021 0.18021 0.18021],0.2148
7200,[-6.05760 -6.05760 -6.05760],[0.40895 0.40895 0.40895],0.21359999999999998
7300,[-6.40723 -6.40723 -6.40723],[0.31457 0.31457 0.31457],0.21239999999999998
7400,[-6.16943 -6.16943 -6.16943],[0.16171 0.16171 0.16171],0.21119999999999997
7500,[-7.14690 -7.14690 -7.14690],[0.70513 0.70513 0.70513],0.21
7600,[-5.83201 -5.83201 -5.83201],[0.78209 0.78209 0.78209],0.20879999999999999
7700,[-5.30597 -5.30597 -5.30597],[0.12540 0.12540 0.12540],0.20759999999999998
7800,[-5.92301 -5.92301 -5.92301],[0.73379 0.73379 0.73379],0.20639999999999997
7900,[-5.80088 -5.80088 -5.80088],[0.34926 0.34926 0.34926],0.20520000000000002
8000,[-5.87694 -5.87694 -5.87694],[0.33225 0.33225 0.33225],0.20400000000000001
8100,[-5.80825 -5.80825 -5.80825],[0.73051 0.73051 0.73051],0.2028
8200,[-5.81094 -5.81094 -5.81094],[0.07992 0.07992 0.07992],0.2016
8300,[-6.82871 -6.82871 -6.82871],[1.89433 1.89433 1.89433],0.2004
8400,[-6.36924 -6.36924 -6.36924],[1.73896 1.73896 1.73896],0.19920000000000002
8500,[-6.94931 -6.94931 -6.94931],[0.89290 0.89290 0.89290],0.198
8600,[-5.91089 -5.91089 -5.91089],[0.88116 0.88116 0.88116],0.1968
8700,[-6.06680 -6.06680 -6.06680],[1.13858 1.13858 1.13858],0.1956
8800,[-6.05443 -6.05443 -6.05443],[0.81371 0.81371 0.81371],0.1944
8900,[-6.26204 -6.26204 -6.26204],[0.31620 0.31620 0.31620],0.1932
9000,[-6.13966 -6.13966 -6.13966],[0.12969 0.12969 0.12969],0.192
9100,[-6.48747 -6.48747 -6.48747],[1.16010 1.16010 1.16010],0.1908
9200,[-5.87564 -5.87564 -5.87564],[0.98938 0.98938 0.98938],0.1896
9300,[-5.99554 -5.99554 -5.99554],[0.38861 0.38861 0.38861],0.18839999999999998
9400,[-6.33243 -6.33243 -6.33243],[0.40024 0.40024 0.40024],0.1872
9500,[-5.99703 -5.99703 -5.99703],[0.44563 0.44563 0.44563],0.186
9600,[-6.53101 -6.53101 -6.53101],[0.14013 0.14013 0.14013],0.1848
9700,[-6.02368 -6.02368 -6.02368],[0.49649 0.49649 0.49649],0.18359999999999999
9800,[-5.72246 -5.72246 -5.72246],[0.53209 0.53209 0.53209],0.18239999999999998
9900,[-5.99556 -5.99556 -5.99556],[0.10374 0.10374 0.10374],0.1812
10000,[-5.60674 -5.60674 -5.60674],[0.09612 0.09612 0.09612],0.18
10100,[-6.58218 -6.58218 -6.58218],[0.40625 0.40625 0.40625],0.1788
10200,[-5.44674 -5.44674 -5.44674],[0.33607 0.33607 0.33607],0.17759999999999998
10300,[-5.69973 -5.69973 -5.69973],[0.98319 0.98319 0.98319],0.17639999999999997
10400,[-5.37409 -5.37409 -5.37409],[0.33791 0.33791 0.33791],0.1752
10500,[-5.59662 -5.59662 -5.59662],[0.24272 0.24272 0.24272],0.174
10600,[-5.89785 -5.89785 -5.89785],[0.13517 0.13517 0.13517],0.17279999999999998
10700,[-5.72606 -5.72606 -5.72606],[0.24815 0.24815 0.24815],0.17159999999999997
10800,[-5.74664 -5.74664 -5.74664],[1.00706 1.00706 1.00706],0.17039999999999997
10900,[-6.63738 -6.63738 -6.63738],[1.96712 1.96712 1.96712],0.1692
11000,[-5.84042 -5.84042 -5.84042],[0.64190 0.64190 0.64190],0.168
11100,[-5.79183 -5.79183 -5.79183],[0.52142 0.52142 0.52142],0.1668
11200,[-5.63091 -5.63091 -5.63091],[0.39035 0.39035 0.39035],0.1656
11300,[-6.75553 -6.75553 -6.75553],[1.27125 1.27125 1.27125],0.16440000000000002
11400,[-5.95558 -5.95558 -5.95558],[0.21134 0.21134 0.21134],0.1632
