iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
0,100,-2.47659,3.57871,0.49547,-2.52481,3.67300,0.48370,-2.53347,3.55077,0.49482,-2.53544,3.56877,0.50136
1,200,-2.55594,1.93221,0.38859,-2.44337,1.84448,0.36759,-2.59315,1.86007,0.38306,-2.47158,1.77279,0.37435
2,300,-2.82466,1.81262,0.36357,-2.75137,1.89646,0.36291,-2.93274,1.77614,0.38255,-2.72866,1.66765,0.36380
3,400,-3.10341,1.88715,0.35077,-3.13201,1.86367,0.36567,-3.20503,1.89855,0.37423,-2.96303,1.60856,0.34969
4,500,-3.42981,1.90824,0.34637,-3.52411,2.01477,0.36546,-3.65374,2.01679,0.37674,-3.29957,1.44620,0.34224
5,600,-3.82974,1.91127,0.35068,-3.90293,1.97449,0.36945,-3.91960,1.99050,0.37677,-3.70498,1.46230,0.34393
6,700,-4.16874,2.02489,0.34819,-4.30996,2.14201,0.36807,-4.32752,1.93986,0.37430,-4.05202,1.56547,0.34568
7,800,-4.63245,2.05213,0.35144,-4.69885,2.04337,0.36521,-4.77516,1.95301,0.37264,-4.54172,1.59371,0.34681
8,900,-5.05060,2.05529,0.35268,-5.02080,2.01332,0.36500,-5.09012,2.10246,0.37146,-4.90773,1.65376,0.34998
9,1000,-5.40575,2.06467,0.35295,-5.40363,1.92028,0.36194,-5.45669,2.02775,0.36813,-5.24818,1.59600,0.34445
10,1100,-5.73003,2.09440,0.35246,-5.73674,2.03435,0.36305,-5.73782,2.16013,0.36752,-5.67256,1.67712,0.34893
11,1200,-6.10739,2.23006,0.35386,-6.22052,2.28557,0.36102,-6.02720,1.97312,0.36463,-5.99908,1.78033,0.35012
12,1300,-6.57212,2.12395,0.35667,-6.35112,2.12151,0.35740,-6.44428,2.09598,0.36303,-6.36013,1.74171,0.35284
13,1400,-6.88443,2.11218,0.35176,-6.71791,2.16242,0.35900,-6.78805,2.02497,0.36318,-6.74582,1.67826,0.34803
14,1500,-7.27483,2.21927,0.34960,-7.08455,2.09663,0.35591,-7.18341,2.10675,0.36299,-7.13405,1.81648,0.35247
15,1600,-7.62025,2.25465,0.35174,-7.46969,2.13239,0.35617,-7.55454,2.03018,0.36737,-7.51822,1.94479,0.35250
16,1700,-7.92234,2.38507,0.35602,-7.81928,2.19992,0.35642,-7.86593,2.42872,0.36783,-7.75823,2.29311,0.35540
17,1800,-8.25199,2.29138,0.35829,-8.12087,2.21377,0.35208,-8.32709,2.38760,0.37043,-8.19563,2.05137,0.35799
18,1900,-8.74706,2.32120,0.35440,-8.45565,2.29953,0.35301,-8.67252,2.22272,0.37091,-8.49946,2.02363,0.35712
19,2000,-8.98074,2.29777,0.35345,-8.83531,2.28129,0.35410,-8.82373,2.29494,0.36903,-8.88576,2.07476,0.35544
20,2100,-9.32353,2.31748,0.35954,-9.06099,2.45853,0.34935,-9.33596,2.39889,0.36975,-9.20176,1.96830,0.35594
21,2200,-9.61853,2.28083,0.35853,-9.48941,2.49252,0.35028,-9.64430,2.32756,0.36719,-9.53706,1.94247,0.35362
22,2300,-10.02956,2.29938,0.36071,-9.77170,2.28916,0.34954,-10.03802,2.37932,0.36855,-9.86132,2.00861,0.35527
23,2400,-10.32162,2.33018,0.36126,-10.13347,2.16170,0.34965,-10.20376,2.24414,0.36701,-10.22693,2.51190,0.35597
