iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
0,100,-2.32394,1.71644,0.43662,2.96739,-2.51492,1.87528,0.43660,2.96721,-2.41394,1.77109,0.43617,2.96724,-2.34854,1.70189,0.43567,2.96707
1,200,-2.77964,0.96610,0.42599,2.96942,-2.71108,1.02842,0.42533,2.96816,-2.74398,0.87404,0.42547,2.96934,-2.67851,0.87329,0.42494,2.96912
2,300,-2.99693,0.95863,0.41287,2.96647,-3.04780,0.93287,0.41220,2.96675,-3.02812,0.91610,0.41239,2.96705,-2.91433,0.80418,0.41218,2.96657
3,400,-3.31542,0.97214,0.39815,2.96636,-3.23874,0.91291,0.39718,2.96617,-3.25464,0.93691,0.39758,2.96694,-3.04804,0.88765,0.39686,2.96646
4,500,-3.54341,1.04487,0.38350,2.96531,-3.48670,0.98185,0.38280,2.96530,-3.46322,0.86536,0.38231,2.96546,-3.35277,0.79188,0.38288,2.96566
5,600,-3.83493,1.05120,0.36885,2.96489,-3.72181,1.06179,0.36862,2.96474,-3.66205,0.97212,0.36824,2.96538,-3.57892,0.82655,0.36850,2.96405
6,700,-4.01453,1.02451,0.35452,2.96446,-4.01619,1.01165,0.35462,2.96412,-3.86606,1.04390,0.35445,2.96334,-3.84822,0.83661,0.35388,2.96342
7,800,-4.20055,0.98210,0.34160,2.96266,-4.27302,1.00052,0.34177,2.96196,-4.16929,1.05681,0.34125,2.96151,-4.10088,0.84563,0.34105,2.96185
8,900,-4.50261,1.14265,0.32898,2.96021,-4.47428,1.06999,0.32872,2.96013,-4.39656,1.03825,0.32867,2.96060,-4.27082,0.91933,0.32859,2.96005
9,1000,-4.68601,1.05905,0.31635,2.95772,-4.71992,1.04787,0.31623,2.95775,-4.60346,1.14192,0.31614,2.95758,-4.53162,0.88019,0.31619,2.95923
10,1100,-4.82787,1.15741,0.30437,2.95604,-4.87128,1.09430,0.30418,2.95639,-4.81944,1.07998,0.30380,2.95641,-4.70893,0.94696,0.30361,2.95655
11,1200,-5.11828,1.11487,0.29215,2.95441,-5.06862,1.14408,0.29220,2.95404,-4.95490,1.11744,0.29170,2.95455,-4.85210,0.92582,0.29179,2.95423
12,1300,-5.15724,1.14372,0.28038,2.95240,-5.24635,1.10778,0.28046,2.95224,-5.14298,1.12198,0.28025,2.95226,-5.03382,0.91930,0.28029,2.95212
13,1400,-5.32792,1.14816,0.26928,2.95058,-5.28258,1.05916,0.26910,2.95004,-5.31777,1.13300,0.26905,2.94980,-5.22550,1.11772,0.26918,2.94909
14,1500,-5.43175,1.20262,0.25842,2.94788,-5.44075,1.16592,0.25815,2.94774,-5.45558,1.11588,0.25829,2.94797,-5.30794,1.03616,0.25805,2.94756
15,1600,-5.51852,1.18802,0.24787,2.94452,-5.61041,1.13155,0.24799,2.94508,-5.48929,1.14845,0.24786,2.94494,-5.39757,1.02906,0.24764,2.94547
16,1700,-5.60151,1.15731,0.23792,2.94187,-5.76363,1.17029,0.23818,2.94277,-5.60553,1.20697,0.23755,2.94301,-5.48196,0.95228,0.23765,2.94227
17,1800,-5.73497,1.28187,0.22833,2.93956,-5.78613,1.21033,0.22822,2.94058,-5.68522,1.13600,0.22809,2.93999,-5.58104,1.06826,0.22806,2.94009
18,1900,-5.78692,1.25476,0.21890,2.93746,-5.85559,1.18687,0.21877,2.93710,-5.73177,1.06779,0.21909,2.93842,-5.66293,1.05243,0.21868,2.93798
19,2000,-5.88219,1.27970,0.21015,2.93484,-5.89251,1.24165,0.20974,2.93466,-5.78922,1.12448,0.21037,2.93470,-5.72832,1.10817,0.20975,2.93396
20,2100,-5.94193,1.16123,0.20131,2.93112,-6.02291,1.21941,0.20126,2.93108,-5.86247,1.21427,0.20125,2.93046,-5.78255,0.99312,0.20125,2.93135
21,2200,-5.96039,1.13961,0.19301,2.92827,-5.98348,1.39950,0.19310,2.92758,-5.84849,1.13679,0.19300,2.92834,-5.81853,1.02388,0.19283,2.92816
22,2300,-6.03920,1.09626,0.18484,2.92481,-6.13729,1.38255,0.18526,2.92464,-5.87778,1.26850,0.18467,2.92374,-5.84938,1.04335,0.18509,2.92492
23,2400,-6.08116,1.26532,0.17732,2.92094,-6.12612,1.18962,0.17697,2.92138,-5.92474,1.17353,0.17714,2.92051,-5.90800,1.08235,0.17700,2.91961
24,2500,-6.05328,1.15764,0.16986,2.91715,-6.16478,1.20262,0.16985,2.91639,-5.91989,1.11361,0.16954,2.91696,-5.97495,1.06765,0.16967,2.91750
25,2600,-6.13402,1.23636,0.16279,2.91386,-6.18195,1.18201,0.16265,2.91394,-5.85937,1.15334,0.16263,2.91371,-5.95220,0.98090,0.16256,2.91442
26,2700,-6.11236,1.13155,0.15608,2.91050,-6.22895,1.16794,0.15579,2.91064,-6.00699,1.18596,0.15596,2.91018,-5.98696,0.98611,0.15593,2.91052
