iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
0,100,-5.11446,5.61917,0.91497,-5.14561,5.55924,0.91418,-5.16793,5.66015,0.91449,-5.13614,5.37122,0.91387
1,200,-5.44077,1.07122,0.90884,-5.50249,1.00978,0.90884,-5.48397,1.13223,0.90875,-5.39569,0.83120,0.90849
2,300,-6.09313,1.09086,0.89912,-6.05841,0.98447,0.89883,-6.07737,1.00787,0.89813,-5.96965,0.81352,0.89906
3,400,-6.70778,1.06949,0.88871,-6.72062,1.20527,0.88876,-6.70350,1.09478,0.88875,-6.56069,0.86099,0.88810
4,500,-7.32695,1.07974,0.87902,-7.35646,1.17048,0.87897,-7.34076,0.96594,0.87902,-7.19725,0.98638,0.87919
5,600,-7.94580,1.10642,0.87013,-8.08284,1.09015,0.87011,-7.99628,1.12418,0.86978,-7.80606,1.11031,0.86901
6,700,-8.72783,1.37865,0.85808,-8.71341,1.17368,0.85782,-8.60844,1.31310,0.85777,-8.43441,1.12895,0.85647
7,800,-9.28195,1.36317,0.84969,-9.33211,1.45464,0.84826,-9.25637,1.18186,0.84922,-9.14896,1.08620,0.84908
8,900,-9.92643,1.31788,0.83876,-9.96601,1.19273,0.83942,-9.82125,1.41924,0.83946,-9.77103,1.30107,0.83865
9,1000,-10.56990,1.52266,0.83024,-10.44637,1.60111,0.82963,-10.50467,1.32025,0.82855,-10.36280,1.39676,0.82915
10,1100,-11.16812,1.45823,0.81895,-11.09459,1.43538,0.81831,-11.15456,1.51218,0.81927,-10.99639,1.36047,0.81867
11,1200,-11.70425,1.38144,0.80644,-11.80286,1.75552,0.80672,-11.71367,1.83574,0.80673,-11.60601,1.49583,0.80630
12,1300,-12.19388,1.37227,0.79479,-12.23977,1.77721,0.79489,-12.22073,1.43040,0.79473,-12.04131,1.46868,0.79374
13,1400,-12.79805,1.67981,0.78327,-12.87307,1.79019,0.78365,-12.72349,1.80810,0.78401,-12.72106,1.40243,0.78365
14,1500,-13.34282,1.69523,0.77340,-13.23087,1.67097,0.77315,-13.15831,1.46075,0.77297,-13.09054,1.74412,0.77332
15,1600,-13.83527,1.54211,0.76307,-13.80593,1.83018,0.76285,-13.74298,1.94871,0.76303,-13.67227,1.48578,0.76283
16,1700,-14.34238,1.75594,0.75290,-14.25391,1.81230,0.75283,-14.15533,2.02829,0.75322,-14.23163,1.52272,0.75271
17,1800,-14.73910,1.78352,0.74389,-14.83461,1.71657,0.74410,-14.53599,1.67182,0.74406,-14.62856,1.29409,0.74308
18,1900,-15.25077,1.89347,0.73446,-15.11390,1.53898,0.73323,-15.20119,1.67463,0.73368,-15.08400,1.42788,0.73386
19,2000,-15.68097,2.19508,0.72403,-15.55283,1.71128,0.72408,-15.57640,2.43067,0.72427,-15.56486,2.12237,0.72328
20,2100,-16.18908,1.99738,0.71357,-16.06186,2.11798,0.71227,-15.92915,2.27391,0.71305,-15.74053,2.47669,0.71326
21,2200,-16.53553,1.57951,0.70231,-16.34690,1.88632,0.70180,-16.28026,1.97759,0.70200,-16.25918,1.84459,0.70200
22,2300,-16.93383,1.95817,0.69245,-16.68252,1.91245,0.69131,-16.63141,1.62957,0.69180,-16.61198,1.90180,0.69159
23,2400,-17.07984,2.26497,0.68084,-16.93644,1.82503,0.68100,-16.92594,1.78207,0.68114,-17.04367,1.53993,0.68056
24,2500,-17.71902,2.57448,0.67084,-17.23751,2.29379,0.66974,-17.16008,2.31567,0.67071,-17.21075,1.83116,0.66990
25,2600,-17.84037,2.12928,0.65980,-17.67430,2.50197,0.66006,-17.50607,2.62470,0.65999,-17.79575,2.96466,0.65927
26,2700,-18.12172,2.07966,0.64888,-18.05256,2.66605,0.64835,-17.77579,2.10543,0.64825,-18.00321,1.83541,0.64800
27,2800,-18.45091,2.69529,0.63826,-18.11407,2.43555,0.63782,-18.09539,2.33212,0.63696,-18.32883,2.59660,0.63726
28,2900,-18.49775,2.36320,0.62651,-18.40829,1.89037,0.62768,-18.16117,2.66994,0.62674,-18.48246,2.34740,0.62716
29,3000,-18.86690,2.20713,0.61585,-18.53343,2.67895,0.61494,-18.74209,2.63080,0.61509,-18.67604,2.14935,0.61477
30,3100,-18.96971,2.37515,0.60477,-18.88775,2.11735,0.60462,-18.78265,1.97990,0.60383,-18.76248,2.04859,0.60386
31,3200,-19.05946,2.22592,0.59355,-18.93323,2.04694,0.59414,-18.95930,2.92474,0.59410,-19.21662,2.87763,0.59339
32,3300,-19.19139,2.25462,0.58319,-19.34321,2.32444,0.58344,-19.01537,2.29841,0.58329,-19.04650,2.20165,0.58338
33,3400,-19.52749,2.65925,0.57257,-19.32886,2.66162,0.57216,-19.42467,1.91927,0.57200,-19.74994,1.79589,0.57154
34,3500,-19.76968,2.83255,0.56222,-19.42431,2.70412,0.56236,-19.50156,1.65234,0.56108,-19.66290,2.09884,0.56163
35,3600,-19.73900,3.42336,0.55074,-19.38348,2.12472,0.55128,-19.73215,3.49392,0.55103,-19.74755,1.98010,0.55035
36,3700,-20.05810,3.27752,0.54048,-19.70779,1.69752,0.53963,-19.88752,3.60897,0.54032,-19.97185,2.24699,0.53989
37,3800,-19.90557,2.70333,0.53054,-19.85039,1.62325,0.53009,-19.82361,2.49127,0.53066,-20.15693,2.45530,0.53007
38,3900,-20.31377,1.99754,0.51982,-19.88873,1.61517,0.51946,-19.88804,2.51218,0.51940,-20.16970,2.11913,0.51926
39,4000,-20.40251,2.06758,0.50914,-20.12331,1.80058,0.50974,-19.98811,2.05702,0.50891,-20.21474,1.77731,0.50942
40,4100,-20.05781,2.80067,0.49880,-20.21301,1.55123,0.49822,-19.92501,1.82800,0.49858,-20.08895,2.44508,0.49836
41,4200,-20.36731,1.98508,0.48711,-20.05317,1.44821,0.48781,-19.98818,2.16366,0.48761,-20.67416,2.56427,0.48685
42,4300,-20.29659,1.56556,0.47683,-20.03523,1.37000,0.47669,-20.01574,1.95064,0.47664,-20.43809,1.94481,0.47689
43,4400,-20.31177,1.51772,0.46646,-20.15083,2.29536,0.46611,-20.21667,1.98186,0.46582,-20.57387,1.32951,0.46573
44,4500,-20.17467,1.56037,0.45570,-20.09398,1.64946,0.45596,-19.99940,2.05128,0.45578,-20.21668,1.93778,0.45508
45,4600,-20.29355,1.48901,0.44604,-20.17093,1.81744,0.44517,-19.93230,1.69482,0.44532,-20.44412,1.27343,0.44507
46,4700,-20.19718,1.58450,0.43638,-20.21382,1.49286,0.43513,-20.09707,1.47087,0.43514,-20.39257,1.63098,0.43491
47,4800,-20.22323,1.48382,0.42571,-19.90932,2.22543,0.42541,-19.98478,1.87451,0.42527,-20.37110,1.82598,0.42488
48,4900,-20.20268,1.59738,0.41433,-19.84682,1.83639,0.41412,-20.09775,1.75351,0.41514,-20.29155,3.04197,0.41444
49,5000,-20.31863,1.68861,0.40515,-19.85856,1.63265,0.40442,-19.82340,1.81916,0.40415,-20.04716,1.33310,0.40519
50,5100,-20.05323,2.21664,0.39522,-19.86156,1.23958,0.39448,-20.30545,3.02008,0.39454,-20.18515,1.30100,0.39415
51,5200,-20.16686,3.00947,0.38547,-19.73644,1.30066,0.38542,-19.64352,2.00402,0.38456,-20.15913,1.70791,0.38520
52,5300,-19.78720,2.23603,0.37522,-19.64595,1.36956,0.37482,-19.58147,1.82670,0.37553,-20.09523,1.33915,0.37514
53,5400,-20.04479,1.76092,0.36634,-19.53663,2.04633,0.36599,-19.81652,2.15909,0.36514,-19.93415,1.33924,0.36553
54,5500,-19.72249,1.53351,0.35689,-19.50122,1.93384,0.35620,-19.49781,1.68098,0.35631,-19.80485,1.26240,0.35640
55,5600,-19.51951,2.27505,0.34725,-19.13202,1.48307,0.34660,-19.27317,1.69641,0.34674,-19.67000,1.05940,0.34694
56,5700,-19.59230,1.71082,0.33869,-19.09264,1.36371,0.33769,-19.21505,1.94603,0.33826,-19.56940,1.21361,0.33892
57,5800,-19.51394,1.57696,0.32935,-19.06757,1.88479,0.32934,-18.92757,1.53053,0.32905,-19.27444,1.26661,0.32934
58,5900,-19.41830,1.77847,0.32095,-18.74947,1.86534,0.31961,-18.86932,1.67656,0.32051,-19.31536,2.25762,0.32079
59,6000,-19.02305,1.69335,0.31261,-18.69357,2.97048,0.31184,-18.74831,1.44026,0.31228,-19.13222,1.43410,0.31209
60,6100,-18.90729,1.78998,0.30399,-18.21445,1.36993,0.30374,-18.49497,1.23823,0.30383,-18.96358,1.70824,0.30253
61,6200,-19.03319,2.05821,0.29544,-18.22345,1.28323,0.29529,-18.19939,1.88161,0.29565,-18.87381,1.80114,0.29542
62,6300,-18.79302,1.40815,0.28713,-17.97782,1.52359,0.28692,-18.34582,1.74154,0.28700,-18.77407,1.42871,0.28672
63,6400,-18.56998,2.08943,0.27812,-17.74864,2.21087,0.27904,-18.05788,1.76810,0.27849,-18.56900,1.64221,0.27881
64,6500,-18.44352,1.94155,0.27156,-17.83247,1.48822,0.27134,-17.90984,1.54326,0.27145,-18.17197,1.55420,0.27038
65,6600,-18.27181,1.64013,0.26276,-17.60281,1.42041,0.26274,-17.64703,1.29182,0.26233,-18.18948,1.78741,0.26266
66,6700,-18.12832,1.78137,0.25505,-17.49444,1.23940,0.25518,-17.50038,1.48823,0.25491,-17.97200,2.20680,0.25576
67,6800,-17.70394,1.53489,0.24748,-17.19523,1.10419,0.24704,-17.19966,1.50569,0.24736,-17.47904,1.61593,0.24750
68,6900,-17.61829,1.36935,0.24065,-16.96048,1.15776,0.23993,-17.19983,1.38199,0.24040,-17.56958,1.34855,0.24029
69,7000,-17.32072,1.57764,0.23208,-16.81639,1.34805,0.23332,-17.05051,1.29850,0.23369,-17.28560,1.18850,0.23242
70,7100,-17.37345,1.87462,0.22615,-16.55153,1.46319,0.22612,-16.80496,1.21061,0.22577,-16.93099,1.22390,0.22578
71,7200,-16.99702,1.69363,0.21920,-16.32023,1.44933,0.21891,-16.46723,1.28255,0.21856,-16.71651,1.61467,0.21865
72,7300,-16.70971,1.68983,0.21180,-16.22111,1.64760,0.21197,-16.39885,1.18840,0.21177,-16.56233,1.55834,0.21150
73,7400,-16.54333,1.86062,0.20539,-16.16585,1.19278,0.20552,-16.06494,1.54805,0.20521,-16.45805,1.39659,0.20555
74,7500,-16.27275,1.22457,0.19873,-15.84893,1.25285,0.19895,-15.96016,1.27624,0.19918,-16.16231,1.25759,0.19828
75,7600,-16.22047,1.69671,0.19261,-15.50242,1.20594,0.19315,-15.62224,1.22884,0.19253,-15.88604,1.18320,0.19299
76,7700,-16.07127,1.87320,0.18677,-15.34076,1.54864,0.18670,-15.51932,1.43189,0.18623,-15.65208,1.15105,0.18645
77,7800,-15.52007,1.75818,0.18075,-15.12027,1.36627,0.18060,-15.44120,1.31267,0.18029,-15.56504,1.36342,0.18090
78,7900,-15.48469,1.23403,0.17521,-14.94104,1.27432,0.17521,-15.19758,1.12624,0.17473,-15.29127,1.30211,0.17463
79,8000,-15.15707,1.59273,0.16908,-14.67278,1.19433,0.16912,-14.81711,1.12628,0.16875,-15.10825,1.13988,0.16933
80,8100,-14.76469,1.50742,0.16402,-14.28835,1.22905,0.16474,-14.66538,1.24017,0.16343,-14.96541,1.51223,0.16365
81,8200,-14.67919,1.32227,0.15917,-14.16077,1.01671,0.15886,-14.49706,1.14459,0.15937,-14.71141,1.19417,0.15914
82,8300,-14.40649,1.28403,0.15384,-14.08045,1.25025,0.15430,-14.08747,1.13769,0.15400,-14.54033,1.14346,0.15426
83,8400,-14.04253,1.05450,0.14917,-13.88224,1.05855,0.14919,-14.06042,1.04304,0.14931,-14.20734,1.05035,0.14896
84,8500,-13.76895,1.03670,0.14436,-13.69261,1.21941,0.14498,-13.90111,1.28047,0.14472,-14.22858,1.00537,0.14442
85,8600,-13.66711,1.16442,0.14044,-13.54198,1.11670,0.13999,-13.60270,1.23786,0.14002,-14.01172,0.85380,0.14038
86,8700,-13.53086,1.07233,0.13579,-13.22098,1.09849,0.13599,-13.32808,1.14704,0.13611,-13.82687,0.79888,0.13566
87,8800,-13.32335,1.09879,0.13166,-13.04780,1.14483,0.13145,-13.12606,1.01400,0.13185,-13.72986,0.98172,0.13154
88,8900,-13.00068,1.20330,0.12748,-12.83141,1.08572,0.12743,-12.94776,1.14000,0.12803,-13.64798,1.32947,0.12785
89,9000,-12.89248,1.55003,0.12410,-12.60187,1.21549,0.12364,-12.85991,1.42670,0.12377,-13.46399,1.02308,0.12399
90,9100,-12.56528,1.89494,0.12028,-12.44669,1.28453,0.12016,-12.38333,1.30702,0.12053,-13.31605,1.15246,0.12035
91,9200,-12.44439,1.36775,0.11711,-12.22061,1.13235,0.11701,-12.37904,1.21068,0.11707,-13.02406,1.35919,0.11645
92,9300,-12.17330,1.31724,0.11365,-12.03489,1.22892,0.11356,-12.15033,1.15554,0.11377,-12.89726,1.06060,0.11386
93,9400,-11.93709,1.05377,0.11029,-11.85999,1.20947,0.11087,-11.91792,1.13991,0.11049,-12.82102,0.73127,0.10990
94,9500,-11.78894,1.08473,0.10705,-11.55921,1.23249,0.10748,-11.63003,1.33906,0.10718,-12.59844,0.96056,0.10706
95,9600,-11.57713,1.14923,0.10462,-11.30056,1.13264,0.10495,-11.49281,1.18856,0.10460,-12.59507,0.65912,0.10445
96,9700,-11.43387,1.09527,0.10212,-11.18433,1.14896,0.10212,-11.16917,1.20492,0.10174,-12.32564,0.83223,0.10164
97,9800,-11.20169,1.04778,0.09943,-10.90575,1.08812,0.09951,-10.96713,1.29594,0.09920,-12.28434,0.76548,0.09923
98,9900,-11.08490,1.04690,0.09714,-10.64264,1.19161,0.09676,-10.85536,1.18123,0.09694,-12.13684,0.80759,0.09709
99,10000,-10.75567,1.25509,0.09511,-10.54558,1.09743,0.09526,-10.71050,1.14265,0.09516,-11.98756,0.91288,0.09511
100,10100,-10.60484,1.05357,0.09275,-10.42468,1.06874,0.09341,-10.39853,1.10881,0.09318,-11.85370,0.77629,0.09291
101,10200,-10.43911,1.08068,0.09147,-10.14216,1.02627,0.09113,-10.23507,1.08474,0.09082,-11.82894,0.64487,0.09123
102,10300,-10.21348,1.00244,0.08917,-10.04242,1.09810,0.08929,-10.09976,1.02526,0.08881,-11.63780,0.68422,0.08942
103,10400,-10.10062,1.11881,0.08775,-9.91621,1.06492,0.08735,-9.86256,1.09020,0.08724,-11.52344,0.69612,0.08721
104,10500,-9.89848,1.02849,0.08577,-9.70522,0.92662,0.08544,-9.73186,1.14350,0.08587,-11.48702,0.67534,0.08582
105,10600,-9.71332,1.07809,0.08393,-9.57591,1.12645,0.08397,-9.65509,1.06810,0.08387,-11.33728,0.68038,0.08420
106,10700,-9.57983,1.14636,0.08258,-9.42860,1.10338,0.08305,-9.45455,1.07248,0.08254,-11.16928,0.84222,0.08239
107,10800,-9.38528,1.05631,0.08113,-9.23541,1.05981,0.08074,-9.33562,1.05397,0.08100,-10.95691,0.65608,0.08109
108,10900,-9.35647,1.05267,0.07980,-9.11999,1.04481,0.07961,-9.17113,1.02962,0.07969,-10.89803,1.02198,0.07962
109,11000,-9.02625,1.11082,0.07823,-8.94677,1.06592,0.07844,-8.98764,1.06023,0.07854,-10.96483,1.11567,0.07842
110,11100,-9.04232,1.11596,0.07683,-8.80709,1.05404,0.07706,-8.84486,1.10824,0.07721,-10.65190,0.93599,0.07677
111,11200,-8.84478,1.08326,0.07578,-8.71031,0.96697,0.07580,-8.71362,1.18479,0.07565,-10.58105,0.75029,0.07533
112,11300,-8.66286,1.06626,0.07422,-8.50332,1.02041,0.07446,-8.54176,1.03822,0.07478,-10.39942,0.60361,0.07485
113,11400,-8.50090,1.00700,0.07390,-8.43465,1.11713,0.07328,-8.40411,1.07117,0.07352,-10.36520,0.93759,0.07365
114,11500,-8.38978,1.14240,0.07238,-8.21123,0.99144,0.07192,-8.27266,1.05543,0.07237,-10.19731,0.72957,0.07185
115,11600,-8.26798,1.08391,0.07136,-8.20971,1.23862,0.07122,-8.17710,1.14314,0.07102,-10.18328,0.55147,0.07147
116,11700,-8.05324,1.00132,0.07048,-7.99358,1.01706,0.07033,-8.01354,1.04641,0.06979,-9.94620,0.61005,0.07005
117,11800,-7.95087,1.03867,0.06958,-7.88331,1.18454,0.06907,-7.95984,1.03226,0.06919,-9.89870,0.62874,0.06899
118,11900,-7.84749,1.11490,0.06840,-7.69680,1.19506,0.06829,-7.80652,1.15915,0.06816,-9.77550,0.70612,0.06801
119,12000,-7.71968,1.08547,0.06770,-7.61177,1.16543,0.06733,-7.51172,1.10093,0.06716,-9.71915,0.45763,0.06704
120,12100,-7.59297,1.04144,0.06671,-7.52230,1.02356,0.06648,-7.45626,1.24185,0.06618,-9.61360,0.65830,0.06681
121,12200,-7.47730,1.11190,0.06566,-7.35018,1.10120,0.06523,-7.34833,1.15770,0.06551,-9.56641,0.56792,0.06579
122,12300,-7.30497,1.02105,0.06454,-7.17738,1.00325,0.06444,-7.20272,0.99040,0.06434,-9.43622,0.53165,0.06457
