number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -4.99971],[0.00000 0.00000 0.00000 1.75011],0.3
100,[0.00000 0.00000 0.00000 -2.26418],[0.00000 0.00000 0.00000 10.92554],0.2988
200,[0.24000 0.24000 0.24000 -0.30205],[0.23040 0.23040 0.23040 0.21602],0.2976
300,[0.00000 0.00000 0.00000 -0.10406],[0.00000 0.00000 0.00000 0.02295],0.2964
400,[0.24000 0.24000 0.24000 -0.88507],[0.10240 0.10240 0.10240 0.92604],0.29519999999999996
500,[0.08000 0.08000 0.08000 -0.30408],[0.02560 0.02560 0.02560 0.14319],0.294
600,[0.32000 0.32000 0.32000 -0.45259],[0.15360 0.15360 0.15360 0.27217],0.2928
700,[0.16000 0.16000 0.16000 -0.23547],[0.10240 0.10240 0.10240 0.10103],0.29159999999999997
800,[0.32000 0.32000 0.32000 -0.32075],[0.40960 0.40960 0.40960 0.40912],0.2904
900,[0.32000 0.32000 0.32000 -0.32000],[0.21760 0.21760 0.21760 0.21760],0.28919999999999996
1000,[0.96000 0.96000 0.96000 -1.18079],[0.29440 0.29440 0.29440 0.94864],0.288
1100,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.2868
1200,[0.96000 0.96000 0.96000 -0.96000],[1.06240 1.06240 1.06240 1.06240],0.28559999999999997
1300,[0.64000 0.64000 0.64000 -0.64000],[0.42240 0.42240 0.42240 0.42240],0.2844
1400,[0.88000 0.88000 0.88000 -0.88000],[0.47360 0.47360 0.47360 0.47360],0.28319999999999995
1500,[0.64000 0.64000 0.64000 -0.64000],[0.16640 0.16640 0.16640 0.16640],0.282
1600,[0.40000 0.40000 0.40000 -0.40211],[0.64000 0.64000 0.64000 0.63833],0.2808
1700,[0.80000 0.80000 0.80000 -0.80000],[1.08800 1.08800 1.08800 1.08800],0.2796
1800,[1.76000 1.76000 1.76000 -1.76160],[2.21440 2.21440 2.21440 2.22288],0.2784
1900,[0.24000 0.24000 0.24000 -0.42742],[0.10240 0.10240 0.10240 0.06552],0.2772
2000,[0.88000 0.88000 0.88000 -0.99419],[0.66560 0.66560 0.66560 0.69949],0.276
2100,[1.60000 1.60000 1.60000 -1.68224],[3.71200 3.71200 3.71200 3.49905],0.2748
2200,[0.56000 0.56000 0.56000 -1.25910],[0.61440 0.61440 0.61440 1.36183],0.2736
2300,[0.72000 0.72000 0.72000 -1.08481],[1.56160 1.56160 1.56160 1.71573],0.2724
2400,[2.16000 2.16000 2.16000 -2.27713],[2.85440 2.85440 2.85440 2.49698],0.2712
2500,[1.28000 1.28000 1.28000 -1.40772],[2.13760 2.13760 2.13760 1.90588],0.27
2600,[2.16000 2.16000 2.16000 -2.98628],[4.90240 4.90240 4.90240 3.81535],0.2688
2700,[1.68000 1.68000 1.68000 -1.73169],[2.20160 2.20160 2.20160 2.19102],0.2676
2800,[0.32000 0.32000 0.32000 -0.68025],[0.21760 0.21760 0.21760 0.38387],0.26639999999999997
2900,[0.72000 0.72000 0.72000 -1.69699],[0.92160 0.92160 0.92160 2.30373],0.2652
3000,[0.48000 0.48000 0.48000 -0.83918],[0.40960 0.40960 0.40960 0.51351],0.264
3100,[1.68000 1.68000 1.68000 -2.83637],[2.64960 2.64960 2.64960 1.58177],0.2628
3200,[1.76000 1.76000 1.76000 -2.61500],[4.39040 4.39040 4.39040 3.94776],0.2616
3300,[0.48000 0.48000 0.48000 -1.51196],[0.21760 0.21760 0.21760 0.65529],0.26039999999999996
3400,[0.48000 0.48000 0.48000 -1.46734],[0.60160 0.60160 0.60160 1.47531],0.2592
3500,[2.40000 2.40000 2.40000 -2.93829],[2.56000 2.56000 2.56000 2.02919],0.258
3600,[0.08000 0.08000 0.08000 -0.87306],[0.02560 0.02560 0.02560 0.31357],0.2568
