iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_count_value,2_maddpg_actor_loss,2_maddpg_critic_loss,2_count_value,3_maddpg_actor_loss,3_maddpg_critic_loss,3_count_value,4_maddpg_actor_loss,4_maddpg_critic_loss,4_count_value
0,100,-1.97741,4.06620,0.35192,-1.92992,3.07717,0.31986,-1.92669,2.71302,0.29784,-1.93033,2.26975,0.28143
1,200,-1.79324,1.60264,0.24159,-1.75682,1.47158,0.23544,-1.72996,1.43212,0.23086,-1.68606,1.22233,0.22505
2,300,-1.96521,1.53342,0.23101,-1.93506,1.49478,0.22765,-1.91377,1.55272,0.22381,-1.94950,1.20116,0.22197
3,400,-2.17854,1.57923,0.22753,-2.14742,1.52230,0.22642,-2.09723,1.50875,0.22547,-2.13719,0.94250,0.22168
4,500,-2.41350,1.51417,0.22551,-2.41421,1.53868,0.22584,-2.34037,1.45569,0.22381,-2.37287,0.99826,0.22232
5,600,-2.70575,1.58916,0.22699,-2.76048,1.53651,0.22649,-2.60004,1.55028,0.22292,-2.65451,1.04843,0.22161
6,700,-2.98534,1.48638,0.22642,-2.96362,1.56908,0.22507,-2.86880,1.47158,0.22475,-2.95825,1.02679,0.22402
7,800,-3.24450,1.52534,0.22701,-3.24734,1.59695,0.22508,-3.17271,1.55448,0.22526,-3.24111,1.08652,0.22412
8,900,-3.62696,1.73426,0.22827,-3.52851,1.61211,0.22783,-3.44520,1.63071,0.22536,-3.48531,1.08841,0.22516
9,1000,-3.86005,1.58986,0.23070,-3.86211,1.67795,0.22803,-3.73144,1.61023,0.22630,-3.71079,1.21739,0.22683
10,1100,-4.08811,1.56385,0.22996,-4.04820,1.52980,0.22973,-4.01401,1.66888,0.23080,-3.95586,1.23333,0.22783
11,1200,-4.37145,1.61498,0.23092,-4.35037,1.59022,0.22921,-4.21389,1.54625,0.22740,-4.24797,1.23902,0.22841
12,1300,-4.66449,1.58637,0.23136,-4.62824,1.56809,0.23101,-4.49861,1.60331,0.23048,-4.51493,1.39553,0.23006
13,1400,-4.92631,1.59248,0.22975,-4.86592,1.51418,0.23028,-4.77080,1.58014,0.22978,-4.76123,1.35918,0.22914
14,1500,-5.23253,1.69378,0.23138,-5.24199,1.64983,0.23039,-5.03703,1.64137,0.23019,-4.98940,1.35144,0.23210
15,1600,-5.44987,1.69824,0.23205,-5.50486,1.51401,0.23032,-5.27244,1.74201,0.23113,-5.30871,1.33281,0.22901
16,1700,-5.66647,1.53913,0.23269,-5.75047,1.61080,0.23130,-5.53482,1.66846,0.23027,-5.42803,1.38214,0.23223
17,1800,-5.93314,1.69505,0.23142,-6.01365,1.56518,0.23260,-5.71295,1.67947,0.23028,-5.68218,1.40055,0.23122
18,1900,-6.17627,1.64567,0.23356,-6.23299,1.54081,0.23206,-5.97180,1.72981,0.23055,-5.92545,1.45382,0.23047
19,2000,-6.38502,1.64270,0.23014,-6.57079,1.67611,0.23250,-6.27190,1.70305,0.23092,-6.08910,1.52746,0.23104
20,2100,-6.76662,1.78666,0.23062,-6.75441,1.59475,0.23164,-6.52339,1.64509,0.23059,-6.25402,1.54847,0.23232
21,2200,-6.89804,1.72918,0.23451,-6.94918,1.72393,0.23202,-6.71890,1.68943,0.22843,-6.49863,1.44694,0.22970
22,2300,-7.09767,1.74282,0.22982,-7.15580,1.64578,0.23161,-6.88648,1.68772,0.23031,-6.65120,1.55026,0.23075
23,2400,-7.32925,1.77732,0.23009,-7.40187,1.74460,0.23107,-7.10534,1.61380,0.23013,-6.88526,1.44508,0.22864
24,2500,-7.59156,1.69057,0.23108,-7.54206,1.66540,0.23146,-7.39716,1.67059,0.23073,-7.07795,1.48273,0.22928
25,2600,-7.76204,1.71714,0.23111,-7.81539,1.78557,0.23184,-7.60416,1.79053,0.23286,-7.21703,1.62173,0.23254
26,2700,-7.98977,1.76412,0.23053,-7.98584,1.76663,0.22954,-7.81414,1.80764,0.22915,-7.39771,1.61318,0.22970
27,2800,-8.17311,1.79635,0.23187,-8.24738,1.73756,0.23096,-8.02648,1.65215,0.23135,-7.54711,1.59759,0.22841
28,2900,-8.35520,1.86234,0.23158,-8.41159,1.79734,0.22855,-8.17596,1.75711,0.22947,-7.73014,1.57102,0.23032
29,3000,-8.58827,1.78170,0.23155,-8.70940,2.00549,0.23052,-8.49052,2.00719,0.22958,-7.96348,1.46526,0.22881
30,3100,-8.80142,1.71494,0.23034,-8.82614,1.72498,0.22973,-8.62505,1.75945,0.23160,-8.20702,1.62644,0.22951
31,3200,-9.18372,1.97279,0.23044,-9.08043,1.72436,0.22885,-8.88774,1.79670,0.23013,-8.32640,1.54333,0.23167
32,3300,-9.28245,1.95853,0.22930,-9.26513,1.81346,0.23035,-9.14934,1.74652,0.22956,-8.50302,1.56531,0.22851
33,3400,-9.40450,2.04534,0.22889,-9.44337,1.78131,0.22955,-9.38907,1.84175,0.22892,-8.68266,1.57057,0.22937
34,3500,-9.60131,1.83238,0.22808,-9.61303,1.79336,0.23016,-9.48597,1.89606,0.22900,-8.72493,1.70710,0.22833
35,3600,-9.88084,1.81293,0.22894,-9.81914,1.75468,0.22863,-9.69925,2.01144,0.23043,-8.95337,1.52391,0.22810
36,3700,-9.98427,1.86424,0.22866,-10.00905,1.92998,0.22867,-9.87147,2.07520,0.22851,-9.08983,1.51320,0.22884
37,3800,-10.30202,1.88793,0.22881,-10.21906,1.87622,0.22944,-10.08716,1.79781,0.22797,-9.22748,1.73089,0.23068
38,3900,-10.43012,1.99423,0.22770,-10.34606,1.77933,0.22856,-10.23921,2.19560,0.22841,-9.41637,1.57336,0.22911
39,4000,-10.58491,2.03544,0.22882,-10.50406,1.76957,0.22873,-10.55191,2.10064,0.22939,-9.51965,1.66018,0.22879
40,4100,-10.74597,1.99269,0.22864,-10.66177,1.86917,0.23102,-10.62007,1.99827,0.22992,-9.63474,1.69504,0.22764
41,4200,-10.94020,2.17447,0.22808,-10.89818,1.88430,0.22751,-10.81703,2.06563,0.22785,-9.77718,1.55601,0.22772
42,4300,-11.05566,2.07262,0.22672,-11.04018,1.96057,0.22921,-10.97560,2.05877,0.22839,-9.96854,1.56949,0.22728
43,4400,-11.26900,2.26274,0.22887,-11.21228,2.76109,0.22982,-11.12447,2.16179,0.22794,-10.12313,1.74840,0.22923
