number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -4.99971],[0.00000 0.00000 0.00000 1.75011],0.3
100,[0.08000 0.08000 0.08000 -2.35768],[0.02560 0.02560 0.02560 4.48005],0.2988
200,[0.40000 0.40000 0.40000 -0.42636],[0.12800 0.12800 0.12800 0.11446],0.2976
300,[0.48000 0.48000 0.48000 -0.49522],[0.08960 0.08960 0.08960 0.08809],0.2964
400,[0.00000 0.00000 0.00000 -0.42637],[0.00000 0.00000 0.00000 0.42382],0.29519999999999996
500,[0.16000 0.16000 0.16000 -0.33699],[0.10240 0.10240 0.10240 0.13805],0.294
600,[0.32000 0.32000 0.32000 -0.41603],[0.21760 0.21760 0.21760 0.26104],0.2928
700,[0.24000 0.24000 0.24000 -0.40759],[0.10240 0.10240 0.10240 0.16919],0.29159999999999997
800,[0.56000 0.56000 0.56000 -1.18294],[1.25440 1.25440 1.25440 1.14708],0.2904
900,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.28919999999999996
1000,[0.00000 0.00000 0.00000 -0.00948],[0.00000 0.00000 0.00000 0.00028],0.288
1100,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.2868
1200,[0.40000 0.40000 0.40000 -0.45205],[0.64000 0.64000 0.64000 0.81740],0.28559999999999997
1300,[0.00000 0.00000 0.00000 -0.44346],[0.00000 0.00000 0.00000 0.78662],0.2844
1400,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.28319999999999995
1500,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.282
1600,[0.00000 0.00000 0.00000 -0.14236],[0.00000 0.00000 0.00000 0.04827],0.2808
1700,[0.00000 0.00000 0.00000 -0.07679],[0.00000 0.00000 0.00000 0.00441],0.2796
1800,[0.00000 0.00000 0.00000 -0.00768],[0.00000 0.00000 0.00000 0.00014],0.2784
1900,[0.16000 0.16000 0.16000 -0.39771],[0.10240 0.10240 0.10240 0.17433],0.2772
2000,[0.00000 0.00000 0.00000 -0.04245],[0.00000 0.00000 0.00000 0.00721],0.276
2100,[0.00000 0.00000 0.00000 -0.01753],[0.00000 0.00000 0.00000 0.00079],0.2748
2200,[0.08000 0.08000 0.08000 -0.95632],[0.02560 0.02560 0.02560 1.23415],0.2736
2300,[0.00000 0.00000 0.00000 -0.23249],[0.00000 0.00000 0.00000 0.20979],0.2724
2400,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.2712
2500,[0.16000 0.16000 0.16000 -0.33462],[0.03840 0.03840 0.03840 0.10049],0.27
2600,[0.16000 0.16000 0.16000 -0.35757],[0.10240 0.10240 0.10240 0.19531],0.2688
2700,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.2676
2800,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.26639999999999997
2900,[0.40000 0.40000 0.40000 -0.52700],[0.64000 0.64000 0.64000 0.59697],0.2652
3000,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.264
3100,[0.32000 0.32000 0.32000 -0.32898],[0.08960 0.08960 0.08960 0.09136],0.2628
3200,[0.08000 0.08000 0.08000 -0.20681],[0.02560 0.02560 0.02560 0.11926],0.2616
3300,[0.00000 0.00000 0.00000 -0.06398],[0.00000 0.00000 0.00000 0.01637],0.26039999999999996
3400,[0.24000 0.24000 0.24000 -0.33428],[0.10240 0.10240 0.10240 0.08883],0.2592
3500,[0.08000 0.08000 0.08000 -0.16421],[0.02560 0.02560 0.02560 0.02745],0.258
3600,[0.08000 0.08000 0.08000 -0.36288],[0.02560 0.02560 0.02560 0.10814],0.2568
3700,[0.24000 0.24000 0.24000 -0.24124],[0.23040 0.23040 0.23040 0.22981],0.2556
3800,[0.16000 0.16000 0.16000 -0.22377],[0.10240 0.10240 0.10240 0.09543],0.25439999999999996
3900,[0.24000 0.24000 0.24000 -0.25679],[0.10240 0.10240 0.10240 0.10135],0.2532
4000,[0.16000 0.16000 0.16000 -0.30404],[0.10240 0.10240 0.10240 0.13586],0.252
4100,[0.00000 0.00000 0.00000 -0.00414],[0.00000 0.00000 0.00000 0.00007],0.25079999999999997
4200,[0.00000 0.00000 0.00000 -0.37474],[0.00000 0.00000 0.00000 0.55864],0.2496
4300,[0.08000 0.08000 0.08000 -0.11286],[0.02560 0.02560 0.02560 0.03013],0.24839999999999998
4400,[0.16000 0.16000 0.16000 -1.82199],[0.10240 0.10240 0.10240 2.75692],0.24719999999999998
4500,[0.00000 0.00000 0.00000 -0.54450],[0.00000 0.00000 0.00000 1.16797],0.24599999999999997
4600,[0.08000 0.08000 0.08000 -0.31504],[0.02560 0.02560 0.02560 0.20896],0.24479999999999996
4700,[0.00000 0.00000 0.00000 -0.57060],[0.00000 0.00000 0.00000 1.30235],0.2436
4800,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.2424
4900,[0.24000 0.24000 0.24000 -0.31880],[0.23040 0.23040 0.23040 0.40654],0.2412
5000,[0.00000 0.00000 0.00000 -0.17448],[0.00000 0.00000 0.00000 0.10041],0.24
5100,[0.32000 0.32000 0.32000 -0.38988],[0.21760 0.21760 0.21760 0.19978],0.2388
5200,[0.72000 0.72000 0.72000 -0.81896],[2.07360 2.07360 2.07360 1.95299],0.2376
5300,[0.00000 0.00000 0.00000 -0.28210],[0.00000 0.00000 0.00000 0.31833],0.2364
5400,[0.16000 0.16000 0.16000 -0.18851],[0.10240 0.10240 0.10240 0.09653],0.2352
5500,[0.16000 0.16000 0.16000 -0.48281],[0.03840 0.03840 0.03840 0.33226],0.23399999999999999
5600,[0.00000 0.00000 0.00000 -0.02718],[0.00000 0.00000 0.00000 0.00295],0.2328
5700,[0.08000 0.08000 0.08000 -0.34307],[0.02560 0.02560 0.02560 0.25415],0.2316
5800,[0.16000 0.16000 0.16000 -0.22814],[0.10240 0.10240 0.10240 0.09917],0.2304
5900,[0.16000 0.16000 0.16000 -0.16255],[0.03840 0.03840 0.03840 0.03761],0.2292
6000,[0.40000 0.40000 0.40000 -0.41366],[0.38400 0.38400 0.38400 0.37403],0.22799999999999998
6100,[0.00000 0.00000 0.00000 -0.03216],[0.00000 0.00000 0.00000 0.00414],0.2268
6200,[0.16000 0.16000 0.16000 -0.23275],[0.10240 0.10240 0.10240 0.10029],0.2256
6300,[0.00000 0.00000 0.00000 -0.00925],[0.00000 0.00000 0.00000 0.00013],0.2244
6400,[0.00000 0.00000 0.00000 -0.00428],[0.00000 0.00000 0.00000 0.00007],0.22319999999999998
6500,[0.00000 0.00000 0.00000 -0.04368],[0.00000 0.00000 0.00000 0.00763],0.222
6600,[0.00000 0.00000 0.00000 -0.21532],[0.00000 0.00000 0.00000 0.06955],0.2208
6700,[0.32000 0.32000 0.32000 -0.67777],[0.21760 0.21760 0.21760 0.33989],0.2196
6800,[0.00000 0.00000 0.00000 -0.67132],[0.00000 0.00000 0.00000 0.19018],0.21839999999999998
6900,[0.00000 0.00000 0.00000 -0.04763],[0.00000 0.00000 0.00000 0.00341],0.21719999999999998
7000,[0.48000 0.48000 0.48000 -0.86445],[0.21760 0.21760 0.21760 0.53883],0.216
7100,[0.16000 0.16000 0.16000 -0.16429],[0.10240 0.10240 0.10240 0.10110],0.2148
7200,[0.00000 0.00000 0.00000 -0.11321],[0.00000 0.00000 0.00000 0.02439],0.21359999999999998
7300,[0.24000 0.24000 0.24000 -0.44157],[0.10240 0.10240 0.10240 0.29412],0.21239999999999998
7400,[0.16000 0.16000 0.16000 -0.28550],[0.10240 0.10240 0.10240 0.31628],0.21119999999999997
7500,[0.32000 0.32000 0.32000 -0.66351],[0.15360 0.15360 0.15360 0.90059],0.21
7600,[0.00000 0.00000 0.00000 -0.07386],[0.00000 0.00000 0.00000 0.00774],0.20879999999999999
7700,[0.16000 0.16000 0.16000 -0.23568],[0.10240 0.10240 0.10240 0.16214],0.20759999999999998
7800,[0.00000 0.00000 0.00000 -0.00231],[0.00000 0.00000 0.00000 0.00002],0.20639999999999997
7900,[0.08000 0.08000 0.08000 -0.18466],[0.02560 0.02560 0.02560 0.04433],0.20520000000000002
8000,[0.16000 0.16000 0.16000 -0.20445],[0.10240 0.10240 0.10240 0.09582],0.20400000000000001
8100,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.2028
8200,[0.64000 0.64000 0.64000 -0.81111],[0.87040 0.87040 0.87040 0.95575],0.2016
8300,[0.00000 0.00000 0.00000 -0.25736],[0.00000 0.00000 0.00000 0.09938],0.2004
8400,[0.00000 0.00000 0.00000 -1.05174],[0.00000 0.00000 0.00000 4.42460],0.19920000000000002
8500,[0.16000 0.16000 0.16000 -0.22422],[0.10240 0.10240 0.10240 0.09260],0.198
8600,[0.00000 0.00000 0.00000 -0.19427],[0.00000 0.00000 0.00000 0.06034],0.1968
