number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -1.57969],[0.00000 0.00000 0.00000 1.86242],0.3
100,[0.00000 0.00000 0.00000 -0.90393],[0.00000 0.00000 0.00000 0.88881],0.2988
200,[0.64000 0.64000 0.64000 -0.78641],[0.29440 0.29440 0.29440 0.30994],0.2976
300,[0.40000 0.40000 0.40000 -1.64756],[0.12800 0.12800 0.12800 0.68591],0.2964
400,[0.00000 0.00000 0.00000 -0.36611],[0.00000 0.00000 0.00000 0.09422],0.29519999999999996
500,[0.16000 0.16000 0.16000 -0.64528],[0.10240 0.10240 0.10240 0.45129],0.294
600,[0.00000 0.00000 0.00000 -0.43422],[0.00000 0.00000 0.00000 0.06333],0.2928
700,[0.08000 0.08000 0.08000 -0.41954],[0.02560 0.02560 0.02560 0.09487],0.29159999999999997
800,[0.40000 0.40000 0.40000 -0.68226],[0.38400 0.38400 0.38400 0.29375],0.2904
900,[0.16000 0.16000 0.16000 -0.76616],[0.10240 0.10240 0.10240 0.49835],0.28919999999999996
1000,[0.32000 0.32000 0.32000 -0.69681],[0.15360 0.15360 0.15360 0.28350],0.288
1100,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.2868
1200,[0.40000 0.40000 0.40000 -0.40000],[0.25600 0.25600 0.25600 0.25600],0.28559999999999997
1300,[0.24000 0.24000 0.24000 -0.45002],[0.10240 0.10240 0.10240 0.17647],0.2844
1400,[0.00000 0.00000 0.00000 -0.19254],[0.00000 0.00000 0.00000 0.06390],0.28319999999999995
1500,[0.16000 0.16000 0.16000 -0.30208],[0.10240 0.10240 0.10240 0.09431],0.282
1600,[0.00000 0.00000 0.00000 -0.38469],[0.00000 0.00000 0.00000 0.29792],0.2808
1700,[0.00000 0.00000 0.00000 -0.18482],[0.00000 0.00000 0.00000 0.06250],0.2796
1800,[0.00000 0.00000 0.00000 -0.05909],[0.00000 0.00000 0.00000 0.00525],0.2784
1900,[0.24000 0.24000 0.24000 -0.33202],[0.23040 0.23040 0.23040 0.22566],0.2772
2000,[0.24000 0.24000 0.24000 -0.24327],[0.10240 0.10240 0.10240 0.10086],0.276
2100,[0.24000 0.24000 0.24000 -0.55197],[0.10240 0.10240 0.10240 0.17847],0.2748
