number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -4.99971],[0.00000 0.00000 0.00000 1.75011],0.3
100,[0.08000 0.08000 0.08000 -3.70088],[0.02560 0.02560 0.02560 6.44854],0.2988
200,[0.24000 0.24000 0.24000 -1.04908],[0.23040 0.23040 0.23040 1.95344],0.2976
300,[0.32000 0.32000 0.32000 -0.40901],[0.08960 0.08960 0.08960 0.06253],0.2964
400,[0.08000 0.08000 0.08000 -0.36940],[0.02560 0.02560 0.02560 0.13457],0.29519999999999996
500,[0.40000 0.40000 0.40000 -0.42120],[0.38400 0.38400 0.38400 0.36884],0.294
600,[0.24000 0.24000 0.24000 -0.25370],[0.23040 0.23040 0.23040 0.22430],0.2928
700,[0.24000 0.24000 0.24000 -0.28893],[0.10240 0.10240 0.10240 0.15885],0.29159999999999997
800,[0.40000 0.40000 0.40000 -0.51333],[0.06400 0.06400 0.06400 0.07362],0.2904
900,[0.08000 0.08000 0.08000 -0.12461],[0.02560 0.02560 0.02560 0.02642],0.28919999999999996
1000,[0.56000 0.56000 0.56000 -0.72357],[1.25440 1.25440 1.25440 1.94110],0.288
1100,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.2868
1200,[0.72000 0.72000 0.72000 -0.72000],[0.79360 0.79360 0.79360 0.79360],0.28559999999999997
1300,[0.08000 0.08000 0.08000 -0.22708],[0.02560 0.02560 0.02560 0.20626],0.2844
1400,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.28319999999999995
1500,[0.00000 0.00000 0.00000 -0.02744],[0.00000 0.00000 0.00000 0.00301],0.282
1600,[0.00000 0.00000 0.00000 -0.04990],[0.00000 0.00000 0.00000 0.00996],0.2808
1700,[0.88000 0.88000 0.88000 -0.88000],[2.45760 2.45760 2.45760 2.45760],0.2796
1800,[0.64000 0.64000 0.64000 -0.80242],[0.42240 0.42240 0.42240 0.44996],0.2784
1900,[0.56000 0.56000 0.56000 -0.70223],[0.48640 0.48640 0.48640 0.43150],0.2772
2000,[0.16000 0.16000 0.16000 -0.36145],[0.03840 0.03840 0.03840 0.10551],0.276
2100,[0.00000 0.00000 0.00000 -0.19565],[0.00000 0.00000 0.00000 0.14754],0.2748
2200,[0.16000 0.16000 0.16000 -0.24653],[0.10240 0.10240 0.10240 0.09809],0.2736
2300,[0.16000 0.16000 0.16000 -0.25515],[0.10240 0.10240 0.10240 0.10559],0.2724
2400,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.2712
2500,[0.56000 0.56000 0.56000 -0.56000],[0.35840 0.35840 0.35840 0.35840],0.27
2600,[0.00000 0.00000 0.00000 -0.15898],[0.00000 0.00000 0.00000 0.10109],0.2688
2700,[0.40000 0.40000 0.40000 -0.40000],[0.38400 0.38400 0.38400 0.38400],0.2676
2800,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.26639999999999997
2900,[0.24000 0.24000 0.24000 -0.34177],[0.10240 0.10240 0.10240 0.09728],0.2652
3000,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.264
3100,[0.24000 0.24000 0.24000 -0.25474],[0.10240 0.10240 0.10240 0.10799],0.2628
3200,[0.32000 0.32000 0.32000 -0.32327],[0.08960 0.08960 0.08960 0.09017],0.2616
3300,[0.00000 0.00000 0.00000 -0.00373],[0.00000 0.00000 0.00000 0.00006],0.26039999999999996
3400,[0.08000 0.08000 0.08000 -0.13744],[0.02560 0.02560 0.02560 0.02272],0.2592
3500,[0.16000 0.16000 0.16000 -0.18327],[0.10240 0.10240 0.10240 0.09712],0.258
3600,[0.00000 0.00000 0.00000 -0.11681],[0.00000 0.00000 0.00000 0.05458],0.2568
3700,[0.56000 0.56000 0.56000 -0.76106],[0.61440 0.61440 0.61440 0.87262],0.2556
3800,[0.16000 0.16000 0.16000 -0.17222],[0.03840 0.03840 0.03840 0.04483],0.25439999999999996
3900,[0.08000 0.08000 0.08000 -0.23882],[0.02560 0.02560 0.02560 0.10108],0.2532
4000,[0.16000 0.16000 0.16000 -0.19818],[0.10240 0.10240 0.10240 0.09601],0.252
4100,[0.24000 0.24000 0.24000 -0.25149],[0.23040 0.23040 0.23040 0.22541],0.25079999999999997
4200,[0.00000 0.00000 0.00000 -0.06334],[0.00000 0.00000 0.00000 0.01553],0.2496
4300,[0.16000 0.16000 0.16000 -0.60597],[0.10240 0.10240 0.10240 0.58323],0.24839999999999998
4400,[0.24000 0.24000 0.24000 -0.29160],[0.10240 0.10240 0.10240 0.12411],0.24719999999999998
4500,[0.08000 0.08000 0.08000 -0.08332],[0.02560 0.02560 0.02560 0.02511],0.24599999999999997
4600,[0.16000 0.16000 0.16000 -0.20000],[0.10240 0.10240 0.10240 0.09375],0.24479999999999996
4700,[0.00000 0.00000 0.00000 -0.37928],[0.00000 0.00000 0.00000 0.11502],0.2436
4800,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.2424
4900,[0.24000 0.24000 0.24000 -0.38929],[0.23040 0.23040 0.23040 0.24789],0.2412
5000,[0.00000 0.00000 0.00000 -0.02605],[0.00000 0.00000 0.00000 0.00104],0.24
5100,[0.00000 0.00000 0.00000 -0.41905],[0.00000 0.00000 0.00000 0.46805],0.2388
5200,[0.32000 0.32000 0.32000 -0.65038],[0.40960 0.40960 0.40960 0.42344],0.2376
5300,[0.24000 0.24000 0.24000 -0.36353],[0.03840 0.03840 0.03840 0.10191],0.2364
5400,[0.16000 0.16000 0.16000 -0.32198],[0.10240 0.10240 0.10240 0.13763],0.2352
5500,[0.40000 0.40000 0.40000 -0.63882],[0.64000 0.64000 0.64000 0.51930],0.23399999999999999
5600,[0.00000 0.00000 0.00000 -0.08566],[0.00000 0.00000 0.00000 0.02801],0.2328
5700,[0.00000 0.00000 0.00000 -0.39631],[0.00000 0.00000 0.00000 0.13791],0.2316
5800,[0.00000 0.00000 0.00000 -0.26792],[0.00000 0.00000 0.00000 0.07249],0.2304
5900,[0.48000 0.48000 0.48000 -0.55840],[0.60160 0.60160 0.60160 0.57803],0.2292
6000,[0.08000 0.08000 0.08000 -0.31560],[0.02560 0.02560 0.02560 0.10956],0.22799999999999998
6100,[0.16000 0.16000 0.16000 -0.24196],[0.03840 0.03840 0.03840 0.08105],0.2268
6200,[0.24000 0.24000 0.24000 -0.49133],[0.10240 0.10240 0.10240 0.10171],0.2256
6300,[0.32000 0.32000 0.32000 -0.49151],[0.15360 0.15360 0.15360 0.11197],0.2244
6400,[0.40000 0.40000 0.40000 -0.51310],[0.38400 0.38400 0.38400 0.61348],0.22319999999999998
6500,[0.16000 0.16000 0.16000 -0.34212],[0.10240 0.10240 0.10240 0.38445],0.222
6600,[0.24000 0.24000 0.24000 -0.24248],[0.10240 0.10240 0.10240 0.10200],0.2208
6700,[0.08000 0.08000 0.08000 -0.27663],[0.02560 0.02560 0.02560 0.14879],0.2196
6800,[0.24000 0.24000 0.24000 -0.41114],[0.10240 0.10240 0.10240 0.30044],0.21839999999999998
6900,[0.16000 0.16000 0.16000 -0.34790],[0.03840 0.03840 0.03840 0.04102],0.21719999999999998
7000,[0.56000 0.56000 0.56000 -0.78730],[0.10240 0.10240 0.10240 0.18240],0.216
7100,[0.00000 0.00000 0.00000 -0.52453],[0.00000 0.00000 0.00000 0.13206],0.2148
7200,[0.00000 0.00000 0.00000 -0.04428],[0.00000 0.00000 0.00000 0.00719],0.21359999999999998
7300,[0.48000 0.48000 0.48000 -0.48185],[0.21760 0.21760 0.21760 0.21995],0.21239999999999998
7400,[0.00000 0.00000 0.00000 -0.68010],[0.00000 0.00000 0.00000 0.09009],0.21119999999999997
7500,[0.00000 0.00000 0.00000 -0.51329],[0.00000 0.00000 0.00000 0.23006],0.21
7600,[0.00000 0.00000 0.00000 -0.64862],[0.00000 0.00000 0.00000 0.28238],0.20879999999999999
7700,[0.08000 0.08000 0.08000 -0.49565],[0.02560 0.02560 0.02560 0.25596],0.20759999999999998
7800,[0.16000 0.16000 0.16000 -0.65618],[0.10240 0.10240 0.10240 0.15001],0.20639999999999997
7900,[0.08000 0.08000 0.08000 -0.41334],[0.02560 0.02560 0.02560 0.05417],0.20520000000000002
8000,[0.08000 0.08000 0.08000 -0.39003],[0.02560 0.02560 0.02560 0.12812],0.20400000000000001
8100,[0.16000 0.16000 0.16000 -0.54443],[0.10240 0.10240 0.10240 0.19379],0.2028
8200,[0.00000 0.00000 0.00000 -0.48318],[0.00000 0.00000 0.00000 0.07049],0.2016
8300,[0.08000 0.08000 0.08000 -0.15092],[0.02560 0.02560 0.02560 0.04887],0.2004
8400,[0.16000 0.16000 0.16000 -0.46721],[0.10240 0.10240 0.10240 0.22998],0.19920000000000002
8500,[0.00000 0.00000 0.00000 -0.02570],[0.00000 0.00000 0.00000 0.00264],0.198
8600,[0.08000 0.08000 0.08000 -0.29427],[0.02560 0.02560 0.02560 0.05718],0.1968
8700,[0.00000 0.00000 0.00000 -0.28256],[0.00000 0.00000 0.00000 0.05336],0.1956
8800,[0.16000 0.16000 0.16000 -0.52727],[0.10240 0.10240 0.10240 0.19837],0.1944
8900,[0.00000 0.00000 0.00000 -0.36355],[0.00000 0.00000 0.00000 0.04883],0.1932
9000,[0.48000 0.48000 0.48000 -0.83328],[0.92160 0.92160 0.92160 0.75132],0.192
9100,[0.00000 0.00000 0.00000 -0.18821],[0.00000 0.00000 0.00000 0.05152],0.1908
9200,[0.08000 0.08000 0.08000 -0.37838],[0.02560 0.02560 0.02560 0.05906],0.1896
9300,[0.00000 0.00000 0.00000 -0.11097],[0.00000 0.00000 0.00000 0.01688],0.18839999999999998
9400,[0.16000 0.16000 0.16000 -0.53245],[0.10240 0.10240 0.10240 0.41840],0.1872
9500,[0.48000 0.48000 0.48000 -0.62000],[0.21760 0.21760 0.21760 0.18951],0.186
9600,[0.00000 0.00000 0.00000 -0.24305],[0.00000 0.00000 0.00000 0.03984],0.1848
9700,[0.16000 0.16000 0.16000 -0.52851],[0.10240 0.10240 0.10240 0.05590],0.18359999999999999
9800,[0.00000 0.00000 0.00000 -0.23813],[0.00000 0.00000 0.00000 0.04314],0.18239999999999998
9900,[0.08000 0.08000 0.08000 -0.54193],[0.02560 0.02560 0.02560 0.31774],0.1812
10000,[0.08000 0.08000 0.08000 -0.25014],[0.02560 0.02560 0.02560 0.07458],0.18
10100,[0.00000 0.00000 0.00000 -0.05377],[0.00000 0.00000 0.00000 0.00741],0.1788
10200,[0.56000 0.56000 0.56000 -0.60701],[0.10240 0.10240 0.10240 0.13380],0.17759999999999998
10300,[0.16000 0.16000 0.16000 -0.30297],[0.10240 0.10240 0.10240 0.08744],0.17639999999999997
10400,[0.00000 0.00000 0.00000 -0.68102],[0.00000 0.00000 0.00000 0.17141],0.1752
10500,[0.32000 0.32000 0.32000 -0.76697],[0.08960 0.08960 0.08960 0.55004],0.174
10600,[0.16000 0.16000 0.16000 -0.43478],[0.10240 0.10240 0.10240 0.07045],0.17279999999999998
10700,[0.24000 0.24000 0.24000 -0.30886],[0.23040 0.23040 0.23040 0.22468],0.17159999999999997
10800,[0.00000 0.00000 0.00000 -0.23303],[0.00000 0.00000 0.00000 0.08666],0.17039999999999997
10900,[0.16000 0.16000 0.16000 -0.28881],[0.10240 0.10240 0.10240 0.17398],0.1692
11000,[0.00000 0.00000 0.00000 -0.57936],[0.00000 0.00000 0.00000 0.05585],0.168
11100,[0.32000 0.32000 0.32000 -1.00466],[0.15360 0.15360 0.15360 0.47992],0.1668
11200,[0.00000 0.00000 0.00000 -1.09102],[0.00000 0.00000 0.00000 0.79835],0.1656
11300,[0.08000 0.08000 0.08000 -0.92776],[0.02560 0.02560 0.02560 0.09195],0.16440000000000002
11400,[0.32000 0.32000 0.32000 -0.46980],[0.21760 0.21760 0.21760 0.32872],0.1632
11500,[0.00000 0.00000 0.00000 -0.07865],[0.00000 0.00000 0.00000 0.02467],0.162
11600,[0.40000 0.40000 0.40000 -0.75736],[0.64000 0.64000 0.64000 1.43173],0.1608
11700,[0.40000 0.40000 0.40000 -0.88934],[0.38400 0.38400 0.38400 0.51458],0.1596
11800,[0.08000 0.08000 0.08000 -0.59593],[0.02560 0.02560 0.02560 0.16237],0.1584
11900,[0.40000 0.40000 0.40000 -0.58369],[0.38400 0.38400 0.38400 0.29407],0.1572
12000,[0.00000 0.00000 0.00000 -0.15756],[0.00000 0.00000 0.00000 0.04500],0.156
12100,[0.24000 0.24000 0.24000 -0.49637],[0.23040 0.23040 0.23040 0.48703],0.1548
12200,[0.24000 0.24000 0.24000 -0.94747],[0.23040 0.23040 0.23040 0.54924],0.1536
12300,[0.00000 0.00000 0.00000 -0.07539],[0.00000 0.00000 0.00000 0.02273],0.1524
12400,[0.00000 0.00000 0.00000 -0.02773],[0.00000 0.00000 0.00000 0.00116],0.1512
12500,[0.16000 0.16000 0.16000 -0.51138],[0.10240 0.10240 0.10240 0.65588],0.15
12600,[0.08000 0.08000 0.08000 -0.19599],[0.02560 0.02560 0.02560 0.07839],0.1488
12700,[0.00000 0.00000 0.00000 -0.38757],[0.00000 0.00000 0.00000 0.11987],0.14759999999999998
12800,[0.08000 0.08000 0.08000 -0.45936],[0.02560 0.02560 0.02560 0.23090],0.1464
12900,[0.00000 0.00000 0.00000 -0.68956],[0.00000 0.00000 0.00000 0.19644],0.1452
13000,[0.56000 0.56000 0.56000 -0.78694],[0.61440 0.61440 0.61440 0.50337],0.144
13100,[0.00000 0.00000 0.00000 -0.44089],[0.00000 0.00000 0.00000 0.30118],0.14279999999999998
13200,[0.16000 0.16000 0.16000 -0.37898],[0.10240 0.10240 0.10240 0.07120],0.14159999999999998
13300,[0.56000 0.56000 0.56000 -0.59187],[0.48640 0.48640 0.48640 0.45186],0.1404
13400,[0.00000 0.00000 0.00000 -0.25977],[0.00000 0.00000 0.00000 0.08959],0.1392
13500,[0.24000 0.24000 0.24000 -0.24918],[0.10240 0.10240 0.10240 0.10072],0.138
13600,[0.40000 0.40000 0.40000 -0.79452],[0.06400 0.06400 0.06400 0.27821],0.1368
13700,[0.08000 0.08000 0.08000 -0.08000],[0.02560 0.02560 0.02560 0.02560],0.1356
13800,[0.00000 0.00000 0.00000 0.00000],[0.00000 0.00000 0.00000 0.00000],0.1344
13900,[0.00000 0.00000 0.00000 -0.00301],[0.00000 0.00000 0.00000 0.00001],0.13319999999999999
14000,[0.08000 0.08000 0.08000 -0.78001],[0.02560 0.02560 0.02560 0.26994],0.132
14100,[0.00000 0.00000 0.00000 -0.18661],[0.00000 0.00000 0.00000 0.07487],0.1308
14200,[0.72000 0.72000 0.72000 -1.03417],[0.53760 0.53760 0.53760 1.41730],0.1296
14300,[0.00000 0.00000 0.00000 -0.20807],[0.00000 0.00000 0.00000 0.10595],0.1284
14400,[0.16000 0.16000 0.16000 -0.64471],[0.03840 0.03840 0.03840 0.05910],0.12719999999999998
14500,[0.00000 0.00000 0.00000 -0.40051],[0.00000 0.00000 0.00000 0.11388],0.126
14600,[0.00000 0.00000 0.00000 -0.55296],[0.00000 0.00000 0.00000 0.54259],0.1248
