number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -2.67230],[0.00000 0.00000 0.00000 3.45187],0.3
100,[0.32000 0.32000 0.32000 -3.25014],[0.15360 0.15360 0.15360 3.82360],0.2988
200,[0.00000 0.00000 0.00000 -0.05756],[0.00000 0.00000 0.00000 0.01325],0.2976
300,[0.08000 0.08000 0.08000 -0.36600],[0.02560 0.02560 0.02560 0.19080],0.2964
400,[0.00000 0.00000 0.00000 -0.00187],[0.00000 0.00000 0.00000 0.00001],0.29519999999999996
500,[0.08000 0.08000 0.08000 -0.68605],[0.02560 0.02560 0.02560 0.19571],0.294
600,[0.00000 0.00000 0.00000 -0.98939],[0.00000 0.00000 0.00000 0.57098],0.2928
700,[0.00000 0.00000 0.00000 -0.70458],[0.00000 0.00000 0.00000 0.85448],0.29159999999999997
800,[0.08000 0.08000 0.08000 -0.55681],[0.02560 0.02560 0.02560 0.62268],0.2904
900,[0.00000 0.00000 0.00000 -1.91356],[0.00000 0.00000 0.00000 3.74917],0.28919999999999996
1000,[0.00000 0.00000 0.00000 -0.92356],[0.00000 0.00000 0.00000 1.20666],0.288
1100,[0.00000 0.00000 0.00000 -4.50958],[0.00000 0.00000 0.00000 8.25904],0.2868
1200,[0.08000 0.08000 0.08000 -4.57542],[0.02560 0.02560 0.02560 4.32012],0.28559999999999997
1300,[0.00000 0.00000 0.00000 -2.41487],[0.00000 0.00000 0.00000 4.52313],0.2844
1400,[0.16000 0.16000 0.16000 -2.12454],[0.10240 0.10240 0.10240 1.68450],0.28319999999999995
1500,[0.40000 0.40000 0.40000 -1.60375],[0.25600 0.25600 0.25600 1.45016],0.282
1600,[0.16000 0.16000 0.16000 -1.86690],[0.03840 0.03840 0.03840 2.88394],0.2808
1700,[0.08000 0.08000 0.08000 -2.92961],[0.02560 0.02560 0.02560 4.03570],0.2796
1800,[0.00000 0.00000 0.00000 -2.10401],[0.00000 0.00000 0.00000 4.20555],0.2784
1900,[0.08000 0.08000 0.08000 -0.55072],[0.02560 0.02560 0.02560 0.39198],0.2772
2000,[0.16000 0.16000 0.16000 -3.06723],[0.10240 0.10240 0.10240 8.64911],0.276
2100,[0.00000 0.00000 0.00000 -1.70711],[0.00000 0.00000 0.00000 8.19540],0.2748
2200,[0.24000 0.24000 0.24000 -2.97133],[0.23040 0.23040 0.23040 2.52049],0.2736
2300,[0.32000 0.32000 0.32000 -0.52953],[0.21760 0.21760 0.21760 0.66354],0.2724
2400,[0.40000 0.40000 0.40000 -1.01667],[0.25600 0.25600 0.25600 1.28380],0.2712
2500,[0.40000 0.40000 0.40000 -0.95862],[0.38400 0.38400 0.38400 1.18533],0.27
2600,[0.00000 0.00000 0.00000 -1.07090],[0.00000 0.00000 0.00000 0.60502],0.2688
2700,[0.16000 0.16000 0.16000 -1.15771],[0.10240 0.10240 0.10240 0.80542],0.2676
2800,[0.24000 0.24000 0.24000 -1.13927],[0.10240 0.10240 0.10240 0.47396],0.26639999999999997
2900,[0.00000 0.00000 0.00000 -1.22672],[0.00000 0.00000 0.00000 0.67185],0.2652
3000,[0.24000 0.24000 0.24000 -1.46113],[0.10240 0.10240 0.10240 0.67946],0.264
3100,[0.64000 0.64000 0.64000 -1.75085],[1.63840 1.63840 1.63840 1.34205],0.2628
3200,[0.24000 0.24000 0.24000 -1.04357],[0.23040 0.23040 0.23040 0.63842],0.2616
3300,[0.16000 0.16000 0.16000 -1.18517],[0.10240 0.10240 0.10240 0.29009],0.26039999999999996
3400,[0.00000 0.00000 0.00000 -1.15651],[0.00000 0.00000 0.00000 0.19637],0.2592
3500,[0.32000 0.32000 0.32000 -1.11081],[0.15360 0.15360 0.15360 0.11639],0.258
3600,[0.24000 0.24000 0.24000 -0.92696],[0.23040 0.23040 0.23040 0.21271],0.2568
3700,[0.00000 0.00000 0.00000 -1.04351],[0.00000 0.00000 0.00000 0.53574],0.2556
3800,[0.00000 0.00000 0.00000 -1.17879],[0.00000 0.00000 0.00000 0.21533],0.25439999999999996
3900,[0.00000 0.00000 0.00000 -1.40333],[0.00000 0.00000 0.00000 0.90164],0.2532
4000,[0.00000 0.00000 0.00000 -2.36595],[0.00000 0.00000 0.00000 0.31103],0.252
4100,[0.00000 0.00000 0.00000 -1.03937],[0.00000 0.00000 0.00000 0.43674],0.25079999999999997
4200,[0.16000 0.16000 0.16000 -1.56755],[0.10240 0.10240 0.10240 1.60504],0.2496
4300,[0.08000 0.08000 0.08000 -3.06049],[0.02560 0.02560 0.02560 2.78251],0.24839999999999998
4400,[0.24000 0.24000 0.24000 -0.50417],[0.10240 0.10240 0.10240 0.14882],0.24719999999999998
4500,[0.08000 0.08000 0.08000 -2.85302],[0.02560 0.02560 0.02560 10.71460],0.24599999999999997
4600,[0.32000 0.32000 0.32000 -1.24294],[0.21760 0.21760 0.21760 2.89241],0.24479999999999996
4700,[0.16000 0.16000 0.16000 -0.16000],[0.03840 0.03840 0.03840 0.03840],0.2436
4800,[0.64000 0.64000 0.64000 -0.80272],[0.42240 0.42240 0.42240 0.27742],0.2424
4900,[0.32000 0.32000 0.32000 -0.51088],[0.08960 0.08960 0.08960 0.15599],0.2412
5000,[0.16000 0.16000 0.16000 -0.33834],[0.10240 0.10240 0.10240 0.29891],0.24
5100,[0.16000 0.16000 0.16000 -0.70044],[0.10240 0.10240 0.10240 0.14777],0.2388
5200,[0.24000 0.24000 0.24000 -1.06478],[0.10240 0.10240 0.10240 0.37890],0.2376
5300,[0.00000 0.00000 0.00000 -0.88100],[0.00000 0.00000 0.00000 0.04458],0.2364
5400,[0.08000 0.08000 0.08000 -1.01637],[0.02560 0.02560 0.02560 0.13768],0.2352
5500,[0.48000 0.48000 0.48000 -1.01284],[0.60160 0.60160 0.60160 0.31837],0.23399999999999999
5600,[0.08000 0.08000 0.08000 -0.98577],[0.02560 0.02560 0.02560 0.10128],0.2328
5700,[0.00000 0.00000 0.00000 -0.74135],[0.00000 0.00000 0.00000 0.42057],0.2316
5800,[0.08000 0.08000 0.08000 -0.68695],[0.02560 0.02560 0.02560 0.33503],0.2304
5900,[0.32000 0.32000 0.32000 -1.04925],[0.40960 0.40960 0.40960 0.14659],0.2292
6000,[0.08000 0.08000 0.08000 -1.08540],[0.02560 0.02560 0.02560 0.07733],0.22799999999999998
6100,[0.16000 0.16000 0.16000 -0.93547],[0.03840 0.03840 0.03840 0.08098],0.2268
6200,[0.16000 0.16000 0.16000 -0.89693],[0.10240 0.10240 0.10240 0.02528],0.2256
