iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_icm_forward_loss,1_icm_inverse_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_icm_forward_loss,2_icm_inverse_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_icm_forward_loss,3_icm_inverse_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_icm_forward_loss,4_icm_inverse_loss
0,100,-2.58546,1.77191,0.47920,1.61769,-2.62702,1.73177,0.47767,1.61391,-2.62401,1.75060,0.48126,1.62271,-2.61581,1.78832,0.46765,1.61603
1,200,-3.11948,0.89544,0.47997,1.61236,-3.08512,0.84668,0.47372,1.60825,-3.09535,1.00019,0.47748,1.62005,-3.01820,0.60222,0.47122,1.61636
2,300,-3.46357,0.97316,0.47469,1.60660,-3.41879,0.92088,0.47098,1.60725,-3.47205,0.97967,0.47015,1.61410,-3.32137,0.56290,0.45973,1.62140
3,400,-3.78097,0.93022,0.46907,1.60540,-3.76012,0.93276,0.46668,1.60530,-3.77424,0.98846,0.46791,1.61469,-3.62551,0.58074,0.45358,1.62373
4,500,-4.18192,0.97677,0.46516,1.60684,-4.16322,0.92158,0.46290,1.60395,-4.12979,1.00867,0.46397,1.61913,-4.00682,0.60917,0.44658,1.62453
5,600,-4.59568,0.99233,0.46118,1.60632,-4.55504,0.96508,0.45822,1.60296,-4.52223,1.02443,0.46089,1.62144,-4.32805,0.58199,0.44054,1.62614
6,700,-5.01653,1.01252,0.45709,1.60754,-4.97473,1.00251,0.45426,1.60180,-4.89294,1.08013,0.45777,1.62442,-4.60075,0.81984,0.43558,1.62660
7,800,-5.35433,1.03073,0.45351,1.60818,-5.31681,1.04315,0.44974,1.60070,-5.34456,1.05120,0.45444,1.62677,-4.97483,0.72975,0.43078,1.62572
8,900,-5.75167,1.13626,0.44956,1.60900,-5.68225,1.06096,0.44558,1.60086,-5.63986,1.06405,0.45072,1.62711,-5.27923,0.72823,0.42675,1.62626
9,1000,-6.08940,1.14106,0.44548,1.60803,-6.00029,1.11528,0.44196,1.59983,-5.96043,1.12275,0.44788,1.62754,-5.62420,0.71179,0.42495,1.62645
10,1100,-6.44665,1.31717,0.44250,1.60806,-6.37722,1.15970,0.43782,1.60164,-6.25214,1.13258,0.44496,1.62921,-5.93631,0.67440,0.42371,1.62694
11,1200,-6.71338,1.21821,0.43859,1.60894,-6.66450,1.33871,0.43428,1.60161,-6.67771,1.18358,0.44195,1.62873,-6.26022,0.75057,0.42318,1.62743
12,1300,-7.00960,1.22223,0.43525,1.60984,-7.04838,1.27331,0.43063,1.60200,-6.94059,1.14686,0.43752,1.62926,-6.60780,0.71954,0.42121,1.62718
13,1400,-7.36004,1.28254,0.43145,1.61025,-7.39496,1.32769,0.42653,1.60135,-7.27594,1.20680,0.43347,1.62948,-6.86403,0.70674,0.41885,1.62604
14,1500,-7.69190,1.35178,0.42752,1.60918,-7.62956,1.30733,0.42348,1.60180,-7.57658,1.27896,0.42955,1.63036,-7.14067,0.71310,0.41559,1.62589
