number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -1.70798],[0.00000 0.00000 0.00000 0.82038],0.3
100,[0.48000 0.48000 0.48000 -0.91437],[0.92160 0.92160 0.92160 0.66964],0.2988
200,[0.16000 0.16000 0.16000 -1.64258],[0.10240 0.10240 0.10240 5.63974],0.2976
300,[0.16000 0.16000 0.16000 -0.40766],[0.10240 0.10240 0.10240 0.07735],0.2964
400,[0.08000 0.08000 0.08000 -0.27753],[0.02560 0.02560 0.02560 0.10575],0.29519999999999996
500,[0.00000 0.00000 0.00000 -0.69180],[0.00000 0.00000 0.00000 0.27655],0.294
600,[0.16000 0.16000 0.16000 -0.66153],[0.03840 0.03840 0.03840 0.04148],0.2928
700,[0.00000 0.00000 0.00000 -1.24635],[0.00000 0.00000 0.00000 0.74986],0.29159999999999997
800,[0.00000 0.00000 0.00000 -0.34801],[0.00000 0.00000 0.00000 0.07117],0.2904
900,[0.08000 0.08000 0.08000 -0.28733],[0.02560 0.02560 0.02560 0.09124],0.28919999999999996
1000,[0.64000 0.64000 0.64000 -0.79628],[0.35840 0.35840 0.35840 0.29997],0.288
1100,[0.16000 0.16000 0.16000 -0.94411],[0.03840 0.03840 0.03840 0.07266],0.2868
1200,[0.00000 0.00000 0.00000 -0.43733],[0.00000 0.00000 0.00000 0.26821],0.28559999999999997
1300,[0.16000 0.16000 0.16000 -0.32344],[0.03840 0.03840 0.03840 0.08290],0.2844
1400,[0.00000 0.00000 0.00000 -0.16753],[0.00000 0.00000 0.00000 0.04826],0.28319999999999995
1500,[0.00000 0.00000 0.00000 -0.22175],[0.00000 0.00000 0.00000 0.06597],0.282
1600,[0.80000 0.80000 0.80000 -1.04094],[0.70400 0.70400 0.70400 1.18971],0.2808
1700,[0.32000 0.32000 0.32000 -0.40029],[0.15360 0.15360 0.15360 0.24052],0.2796
1800,[0.00000 0.00000 0.00000 -0.11749],[0.00000 0.00000 0.00000 0.01745],0.2784
1900,[0.32000 0.32000 0.32000 -0.53991],[0.40960 0.40960 0.40960 0.43288],0.2772
2000,[0.08000 0.08000 0.08000 -0.36038],[0.02560 0.02560 0.02560 0.07954],0.276
2100,[0.08000 0.08000 0.08000 -0.37112],[0.02560 0.02560 0.02560 0.14443],0.2748
2200,[0.08000 0.08000 0.08000 -0.35616],[0.02560 0.02560 0.02560 0.07199],0.2736
2300,[0.32000 0.32000 0.32000 -0.42661],[0.21760 0.21760 0.21760 0.28048],0.2724
2400,[0.16000 0.16000 0.16000 -0.24185],[0.10240 0.10240 0.10240 0.12541],0.2712
2500,[0.32000 0.32000 0.32000 -0.62676],[0.15360 0.15360 0.15360 0.08954],0.27
2600,[0.00000 0.00000 0.00000 -0.39697],[0.00000 0.00000 0.00000 0.08356],0.2688
2700,[0.00000 0.00000 0.00000 -0.21118],[0.00000 0.00000 0.00000 0.02614],0.2676
2800,[0.08000 0.08000 0.08000 -0.16537],[0.02560 0.02560 0.02560 0.02713],0.26639999999999997
2900,[0.08000 0.08000 0.08000 -0.20249],[0.02560 0.02560 0.02560 0.01482],0.2652
3000,[0.08000 0.08000 0.08000 -0.38576],[0.02560 0.02560 0.02560 0.06856],0.264
3100,[0.24000 0.24000 0.24000 -0.29860],[0.23040 0.23040 0.23040 0.22062],0.2628
3200,[0.24000 0.24000 0.24000 -0.64882],[0.10240 0.10240 0.10240 0.19436],0.2616
3300,[0.08000 0.08000 0.08000 -0.20623],[0.02560 0.02560 0.02560 0.03111],0.26039999999999996
3400,[0.24000 0.24000 0.24000 -0.33140],[0.10240 0.10240 0.10240 0.08159],0.2592
3500,[0.08000 0.08000 0.08000 -0.29332],[0.02560 0.02560 0.02560 0.04912],0.258
3600,[0.16000 0.16000 0.16000 -0.63737],[0.10240 0.10240 0.10240 0.23185],0.2568
3700,[0.00000 0.00000 0.00000 -0.48778],[0.00000 0.00000 0.00000 0.01751],0.2556
3800,[0.16000 0.16000 0.16000 -0.49580],[0.10240 0.10240 0.10240 0.17108],0.25439999999999996
3900,[0.00000 0.00000 0.00000 -0.25405],[0.00000 0.00000 0.00000 0.02721],0.2532
4000,[0.08000 0.08000 0.08000 -0.14934],[0.02560 0.02560 0.02560 0.02361],0.252
4100,[0.40000 0.40000 0.40000 -0.55832],[0.25600 0.25600 0.25600 0.22438],0.25079999999999997
4200,[0.40000 0.40000 0.40000 -0.64652],[0.12800 0.12800 0.12800 0.44074],0.2496
4300,[0.16000 0.16000 0.16000 -0.36944],[0.10240 0.10240 0.10240 0.08426],0.24839999999999998
4400,[0.16000 0.16000 0.16000 -0.28332],[0.10240 0.10240 0.10240 0.08247],0.24719999999999998
4500,[0.16000 0.16000 0.16000 -0.38612],[0.03840 0.03840 0.03840 0.06773],0.24599999999999997
4600,[0.24000 0.24000 0.24000 -0.28357],[0.10240 0.10240 0.10240 0.08878],0.24479999999999996
