number,rewards,variances,exploration_value
0,[0.00000 0.00000 0.00000 -2.67230],[0.00000 0.00000 0.00000 3.45187],0.3
100,[0.16000 0.16000 0.16000 -3.31264],[0.10240 0.10240 0.10240 8.25217],0.2988
200,[0.00000 0.00000 0.00000 -1.17791],[0.00000 0.00000 0.00000 1.44769],0.2976
300,[0.24000 0.24000 0.24000 -0.33402],[0.03840 0.03840 0.03840 0.05028],0.2964
400,[0.00000 0.00000 0.00000 -0.00187],[0.00000 0.00000 0.00000 0.00001],0.29519999999999996
500,[0.16000 0.16000 0.16000 -0.59583],[0.10240 0.10240 0.10240 0.25450],0.294
600,[0.16000 0.16000 0.16000 -0.34853],[0.10240 0.10240 0.10240 0.19387],0.2928
700,[0.00000 0.00000 0.00000 -0.77458],[0.00000 0.00000 0.00000 1.39810],0.29159999999999997
800,[0.24000 0.24000 0.24000 -0.24000],[0.10240 0.10240 0.10240 0.10240],0.2904
900,[0.00000 0.00000 0.00000 -0.39993],[0.00000 0.00000 0.00000 0.15865],0.28919999999999996
1000,[0.00000 0.00000 0.00000 -0.30224],[0.00000 0.00000 0.00000 0.10610],0.288
1100,[0.00000 0.00000 0.00000 -0.36562],[0.00000 0.00000 0.00000 0.15023],0.2868
1200,[0.08000 0.08000 0.08000 -0.42943],[0.02560 0.02560 0.02560 0.06920],0.28559999999999997
1300,[0.00000 0.00000 0.00000 -0.21338],[0.00000 0.00000 0.00000 0.07844],0.2844
1400,[0.00000 0.00000 0.00000 -0.45124],[0.00000 0.00000 0.00000 0.05302],0.28319999999999995
1500,[0.00000 0.00000 0.00000 -0.53553],[0.00000 0.00000 0.00000 0.50967],0.282
1600,[0.16000 0.16000 0.16000 -0.45490],[0.10240 0.10240 0.10240 0.13173],0.2808
1700,[0.00000 0.00000 0.00000 -0.00465],[0.00000 0.00000 0.00000 0.00005],0.2796
1800,[0.00000 0.00000 0.00000 -0.48870],[0.00000 0.00000 0.00000 0.11274],0.2784
1900,[0.00000 0.00000 0.00000 -0.55510],[0.00000 0.00000 0.00000 0.00558],0.2772
2000,[0.00000 0.00000 0.00000 -0.44452],[0.00000 0.00000 0.00000 0.14576],0.276
2100,[0.00000 0.00000 0.00000 -0.64316],[0.00000 0.00000 0.00000 0.12604],0.2748
2200,[0.00000 0.00000 0.00000 -0.56333],[0.00000 0.00000 0.00000 0.07036],0.2736
2300,[0.08000 0.08000 0.08000 -0.61856],[0.02560 0.02560 0.02560 0.22054],0.2724
2400,[0.00000 0.00000 0.00000 -0.40091],[0.00000 0.00000 0.00000 0.24939],0.2712
2500,[0.00000 0.00000 0.00000 -0.13781],[0.00000 0.00000 0.00000 0.02955],0.27
2600,[0.16000 0.16000 0.16000 -0.84719],[0.10240 0.10240 0.10240 0.05718],0.2688
2700,[0.00000 0.00000 0.00000 -0.51182],[0.00000 0.00000 0.00000 0.21359],0.2676
2800,[0.00000 0.00000 0.00000 -0.59259],[0.00000 0.00000 0.00000 0.15960],0.26639999999999997
2900,[0.16000 0.16000 0.16000 -0.41841],[0.10240 0.10240 0.10240 0.16118],0.2652
3000,[0.16000 0.16000 0.16000 -0.97098],[0.10240 0.10240 0.10240 0.28159],0.264
3100,[0.00000 0.00000 0.00000 -0.18829],[0.00000 0.00000 0.00000 0.04305],0.2628
3200,[0.40000 0.40000 0.40000 -0.70031],[0.38400 0.38400 0.38400 0.29324],0.2616
3300,[0.08000 0.08000 0.08000 -0.23497],[0.02560 0.02560 0.02560 0.04745],0.26039999999999996
3400,[0.00000 0.00000 0.00000 -0.47107],[0.00000 0.00000 0.00000 0.08939],0.2592
3500,[0.08000 0.08000 0.08000 -0.50605],[0.02560 0.02560 0.02560 0.01676],0.258
3600,[0.08000 0.08000 0.08000 -0.67010],[0.02560 0.02560 0.02560 0.32965],0.2568
3700,[0.24000 0.24000 0.24000 -0.31952],[0.10240 0.10240 0.10240 0.09846],0.2556
3800,[0.24000 0.24000 0.24000 -0.52963],[0.10240 0.10240 0.10240 0.34023],0.25439999999999996
3900,[0.32000 0.32000 0.32000 -0.93574],[0.08960 0.08960 0.08960 0.21462],0.2532
4000,[0.00000 0.00000 0.00000 -0.60306],[0.00000 0.00000 0.00000 0.04010],0.252
4100,[0.00000 0.00000 0.00000 -0.27860],[0.00000 0.00000 0.00000 0.05103],0.25079999999999997
4200,[0.16000 0.16000 0.16000 -0.64429],[0.10240 0.10240 0.10240 0.08372],0.2496
4300,[0.00000 0.00000 0.00000 -0.94190],[0.00000 0.00000 0.00000 0.09398],0.24839999999999998
4400,[0.08000 0.08000 0.08000 -0.48072],[0.02560 0.02560 0.02560 0.06178],0.24719999999999998
4500,[0.40000 0.40000 0.40000 -0.60861],[0.38400 0.38400 0.38400 0.39873],0.24599999999999997
4600,[0.00000 0.00000 0.00000 -0.42024],[0.00000 0.00000 0.00000 0.06423],0.24479999999999996
4700,[0.32000 0.32000 0.32000 -0.39748],[0.15360 0.15360 0.15360 0.11349],0.2436
4800,[0.40000 0.40000 0.40000 -0.57323],[0.38400 0.38400 0.38400 0.44746],0.2424
4900,[0.00000 0.00000 0.00000 -0.31753],[0.00000 0.00000 0.00000 0.04905],0.2412
5000,[0.08000 0.08000 0.08000 -0.18643],[0.02560 0.02560 0.02560 0.04175],0.24
5100,[0.24000 0.24000 0.24000 -0.46633],[0.10240 0.10240 0.10240 0.05490],0.2388
5200,[0.16000 0.16000 0.16000 -0.51045],[0.03840 0.03840 0.03840 0.05292],0.2376
5300,[0.32000 0.32000 0.32000 -0.46162],[0.40960 0.40960 0.40960 0.33432],0.2364
5400,[0.00000 0.00000 0.00000 -0.16019],[0.00000 0.00000 0.00000 0.01163],0.2352
5500,[0.16000 0.16000 0.16000 -0.33556],[0.03840 0.03840 0.03840 0.09375],0.23399999999999999
5600,[0.48000 0.48000 0.48000 -0.64667],[0.21760 0.21760 0.21760 0.17922],0.2328
5700,[0.64000 0.64000 0.64000 -0.71878],[0.42240 0.42240 0.42240 0.33950],0.2316
5800,[0.56000 0.56000 0.56000 -0.56397],[0.23040 0.23040 0.23040 0.22767],0.2304
5900,[0.40000 0.40000 0.40000 -0.64708],[0.25600 0.25600 0.25600 0.20429],0.2292
6000,[0.00000 0.00000 0.00000 -0.24817],[0.00000 0.00000 0.00000 0.03864],0.22799999999999998
6100,[0.32000 0.32000 0.32000 -0.66837],[0.40960 0.40960 0.40960 0.27925],0.2268
6200,[0.00000 0.00000 0.00000 -0.13956],[0.00000 0.00000 0.00000 0.01630],0.2256
6300,[0.00000 0.00000 0.00000 -0.23077],[0.00000 0.00000 0.00000 0.03409],0.2244
6400,[0.16000 0.16000 0.16000 -0.25139],[0.10240 0.10240 0.10240 0.09348],0.22319999999999998
6500,[0.24000 0.24000 0.24000 -0.35602],[0.10240 0.10240 0.10240 0.12203],0.222
6600,[0.00000 0.00000 0.00000 -0.06132],[0.00000 0.00000 0.00000 0.00531],0.2208
6700,[0.00000 0.00000 0.00000 -0.13413],[0.00000 0.00000 0.00000 0.01953],0.2196
6800,[0.00000 0.00000 0.00000 -0.03662],[0.00000 0.00000 0.00000 0.00048],0.21839999999999998
6900,[0.16000 0.16000 0.16000 -0.22476],[0.10240 0.10240 0.10240 0.09303],0.21719999999999998
7000,[0.48000 0.48000 0.48000 -0.60593],[0.92160 0.92160 0.92160 0.80824],0.216
7100,[0.64000 0.64000 0.64000 -0.84813],[0.35840 0.35840 0.35840 0.24246],0.2148
7200,[0.16000 0.16000 0.16000 -0.23838],[0.10240 0.10240 0.10240 0.08694],0.21359999999999998
7300,[0.00000 0.00000 0.00000 -0.23007],[0.00000 0.00000 0.00000 0.00892],0.21239999999999998
7400,[0.08000 0.08000 0.08000 -0.33234],[0.02560 0.02560 0.02560 0.06380],0.21119999999999997
7500,[0.56000 0.56000 0.56000 -0.61701],[0.23040 0.23040 0.23040 0.22899],0.21
7600,[0.16000 0.16000 0.16000 -0.53099],[0.10240 0.10240 0.10240 0.15115],0.20879999999999999
7700,[0.00000 0.00000 0.00000 -0.24127],[0.00000 0.00000 0.00000 0.02408],0.20759999999999998
7800,[0.24000 0.24000 0.24000 -0.41113],[0.23040 0.23040 0.23040 0.21779],0.20639999999999997
7900,[0.24000 0.24000 0.24000 -0.70162],[0.23040 0.23040 0.23040 0.09207],0.20520000000000002
8000,[0.00000 0.00000 0.00000 -0.39079],[0.00000 0.00000 0.00000 0.09776],0.20400000000000001
8100,[0.00000 0.00000 0.00000 -0.11029],[0.00000 0.00000 0.00000 0.00242],0.2028
8200,[0.00000 0.00000 0.00000 -0.23526],[0.00000 0.00000 0.00000 0.01663],0.2016
8300,[0.08000 0.08000 0.08000 -0.51764],[0.02560 0.02560 0.02560 0.02122],0.2004
8400,[0.48000 0.48000 0.48000 -0.91114],[0.15360 0.15360 0.15360 0.12139],0.19920000000000002
8500,[0.00000 0.00000 0.00000 -0.12172],[0.00000 0.00000 0.00000 0.03896],0.198
8600,[0.00000 0.00000 0.00000 -0.21635],[0.00000 0.00000 0.00000 0.00762],0.1968
8700,[0.00000 0.00000 0.00000 -0.73523],[0.00000 0.00000 0.00000 0.39579],0.1956
8800,[0.00000 0.00000 0.00000 -0.27629],[0.00000 0.00000 0.00000 0.08371],0.1944
8900,[0.80000 0.80000 0.80000 -1.11611],[1.21600 1.21600 1.21600 0.99991],0.1932
9000,[0.00000 0.00000 0.00000 -0.37356],[0.00000 0.00000 0.00000 0.03439],0.192
9100,[0.00000 0.00000 0.00000 -0.53627],[0.00000 0.00000 0.00000 0.11751],0.1908
9200,[0.24000 0.24000 0.24000 -0.77445],[0.23040 0.23040 0.23040 0.30197],0.1896
9300,[0.00000 0.00000 0.00000 -0.23442],[0.00000 0.00000 0.00000 0.02156],0.18839999999999998
9400,[0.16000 0.16000 0.16000 -0.25772],[0.10240 0.10240 0.10240 0.09886],0.1872
9500,[0.08000 0.08000 0.08000 -0.32866],[0.02560 0.02560 0.02560 0.17322],0.186
9600,[0.00000 0.00000 0.00000 -0.29077],[0.00000 0.00000 0.00000 0.00459],0.1848
9700,[0.16000 0.16000 0.16000 -0.26677],[0.10240 0.10240 0.10240 0.09853],0.18359999999999999
9800,[0.08000 0.08000 0.08000 -0.39747],[0.02560 0.02560 0.02560 0.00974],0.18239999999999998
9900,[0.00000 0.00000 0.00000 -0.22431],[0.00000 0.00000 0.00000 0.02195],0.1812
10000,[0.24000 0.24000 0.24000 -0.48439],[0.23040 0.23040 0.23040 0.42603],0.18
10100,[0.00000 0.00000 0.00000 -0.20215],[0.00000 0.00000 0.00000 0.02647],0.1788
10200,[0.16000 0.16000 0.16000 -0.20502],[0.10240 0.10240 0.10240 0.11260],0.17759999999999998
10300,[0.16000 0.16000 0.16000 -0.30347],[0.10240 0.10240 0.10240 0.10197],0.17639999999999997
10400,[0.00000 0.00000 0.00000 -0.45686],[0.00000 0.00000 0.00000 0.30211],0.1752
10500,[0.08000 0.08000 0.08000 -0.32994],[0.02560 0.02560 0.02560 0.03992],0.174
10600,[0.40000 0.40000 0.40000 -0.50155],[0.25600 0.25600 0.25600 0.24706],0.17279999999999998
10700,[0.16000 0.16000 0.16000 -0.74019],[0.10240 0.10240 0.10240 0.35804],0.17159999999999997
10800,[0.24000 0.24000 0.24000 -0.40856],[0.10240 0.10240 0.10240 0.07524],0.17039999999999997
10900,[0.00000 0.00000 0.00000 -0.09224],[0.00000 0.00000 0.00000 0.00173],0.1692
11000,[0.00000 0.00000 0.00000 -0.12648],[0.00000 0.00000 0.00000 0.00238],0.168
11100,[0.32000 0.32000 0.32000 -0.39410],[0.40960 0.40960 0.40960 0.45230],0.1668
