iteration,episode,1_maddpg_actor_loss,1_maddpg_critic_loss,1_rnd_forward_loss,2_maddpg_actor_loss,2_maddpg_critic_loss,2_rnd_forward_loss,3_maddpg_actor_loss,3_maddpg_critic_loss,3_rnd_forward_loss,4_maddpg_actor_loss,4_maddpg_critic_loss,4_rnd_forward_loss
0,100,-4.48448,5.50359,0.74199,-4.49934,5.45021,0.74746,-4.46726,5.39298,0.74197,-4.93225,5.87081,0.86901
1,200,-4.61165,1.02568,0.74193,-4.65563,1.06156,0.75339,-4.64237,1.02503,0.74155,-5.50736,0.88549,0.91964
2,300,-5.20807,1.01161,0.73657,-5.26731,1.01616,0.74756,-5.22000,0.96001,0.73353,-6.05771,0.81095,0.88703
3,400,-5.72056,0.94328,0.73116,-5.82966,0.91861,0.73941,-5.70774,0.93114,0.72985,-6.62539,0.87166,0.87143
4,500,-6.24802,0.98565,0.73090,-6.40491,0.94885,0.73314,-6.22981,0.98964,0.73070,-7.33341,0.83862,0.86551
5,600,-6.81147,1.08200,0.72998,-7.05791,1.09722,0.72749,-6.81002,1.16936,0.73062,-7.93986,0.80422,0.86009
6,700,-7.41392,1.04232,0.73046,-7.61927,1.13720,0.72231,-7.43567,1.25264,0.72843,-8.58954,0.86551,0.85738
7,800,-7.96931,1.20267,0.72923,-8.16591,1.16291,0.71725,-8.00076,1.19286,0.72697,-9.21515,0.79667,0.85764
8,900,-8.59131,1.30109,0.72839,-8.72665,1.24138,0.71236,-8.58695,1.38324,0.72371,-9.91195,0.73917,0.86383
9,1000,-9.12387,1.41639,0.72512,-9.22591,1.30136,0.70800,-9.11137,1.46597,0.72252,-10.59568,1.02676,0.87187
10,1100,-9.64559,1.45578,0.72007,-9.72949,1.35568,0.70208,-9.69707,1.50067,0.72138,-11.25718,1.33382,0.87829
11,1200,-10.15527,1.35864,0.71514,-10.18332,1.43756,0.69752,-10.19070,1.54165,0.71672,-11.90599,1.05349,0.87907
12,1300,-10.73932,1.40463,0.71221,-10.71617,1.74258,0.69377,-10.70600,1.56725,0.71222,-12.69933,1.12678,0.88243
13,1400,-11.29462,1.48193,0.70887,-11.19233,1.94560,0.69041,-11.17997,1.54167,0.70863,-13.31772,1.12211,0.88590
14,1500,-11.85080,1.46305,0.70521,-11.74916,1.59511,0.68655,-11.84890,1.75029,0.70477,-13.89511,1.18342,0.88669
15,1600,-12.35037,1.77866,0.70151,-12.22921,1.75160,0.68321,-12.25354,1.51557,0.70214,-14.75593,1.18395,0.88344
16,1700,-12.91324,1.67228,0.69725,-12.62476,1.75150,0.67894,-12.63361,1.56664,0.69813,-15.26062,1.75883,0.88221
17,1800,-13.40074,1.69027,0.69370,-13.03594,1.56012,0.67573,-13.11001,1.56419,0.69601,-15.87604,1.25005,0.87627
18,1900,-13.84375,1.45239,0.69041,-13.59226,1.65481,0.67276,-13.72095,1.95127,0.69284,-16.66913,1.29483,0.87053
19,2000,-14.23011,1.54577,0.68615,-14.13154,1.79502,0.66922,-14.11679,1.67432,0.68918,-17.07038,1.18750,0.86653
20,2100,-14.67180,1.46155,0.68266,-14.43050,1.80497,0.66655,-14.54620,1.68360,0.68632,-17.82357,1.58459,0.85721
21,2200,-15.14354,1.57591,0.67945,-14.75336,1.77159,0.66301,-14.93359,2.16917,0.68272,-18.34763,1.50031,0.85316
22,2300,-15.55424,1.65190,0.67650,-15.13790,1.74482,0.66037,-15.49512,2.08767,0.67930,-18.73715,2.56440,0.84941
23,2400,-15.79968,2.18800,0.67322,-15.62590,2.05539,0.65731,-15.72332,2.00375,0.67656,-19.28079,1.70106,0.84493
24,2500,-16.35931,2.28319,0.66925,-15.95043,1.83741,0.65439,-16.24378,2.30319,0.67261,-19.85502,1.65126,0.84012
25,2600,-16.65465,1.88495,0.66622,-16.29060,1.91996,0.65104,-16.63691,1.86960,0.66946,-20.20139,1.58184,0.83522
26,2700,-17.02005,2.30874,0.66229,-16.66520,1.79014,0.64833,-16.91481,1.85373,0.66568,-20.80551,1.59020,0.83005
27,2800,-17.35065,2.35415,0.65903,-16.76179,2.09095,0.64528,-17.21343,2.17807,0.66267,-21.14606,1.45193,0.82709
28,2900,-17.64304,2.50136,0.65531,-17.37218,3.39525,0.64275,-17.56574,1.87702,0.65916,-21.74728,1.77946,0.82257
29,3000,-18.07505,2.31184,0.65132,-17.69943,2.60457,0.64077,-17.83218,1.91938,0.65451,-22.19666,1.87060,0.81784
30,3100,-18.42612,2.20299,0.64778,-17.88070,2.60589,0.63715,-18.18532,2.02715,0.65100,-22.59282,2.44865,0.81405
31,3200,-18.70468,2.71443,0.64510,-18.23131,2.10406,0.63428,-18.51433,1.88643,0.64823,-23.19954,2.89766,0.80831
32,3300,-18.94600,2.25809,0.64197,-18.30379,2.30677,0.63172,-18.84058,1.98725,0.64552,-23.41074,2.53628,0.80419
33,3400,-19.25394,2.19008,0.63847,-18.97623,2.41411,0.62802,-19.22489,2.08880,0.64149,-23.81203,1.73201,0.79913
34,3500,-19.50259,1.70627,0.63614,-19.13070,2.12010,0.62483,-19.48824,1.87278,0.63806,-24.28329,1.56354,0.79457
35,3600,-19.82772,1.70846,0.63297,-19.41586,2.10040,0.62202,-19.75264,1.68966,0.63529,-24.49941,1.52449,0.79068
36,3700,-19.94504,2.38553,0.62894,-19.87356,3.05884,0.61899,-20.01154,1.78271,0.63136,-24.83005,2.08602,0.78619
37,3800,-20.29255,1.85395,0.62579,-20.01637,2.45807,0.61573,-20.31607,1.79747,0.62854,-25.34720,1.80546,0.78199
38,3900,-20.58065,2.28083,0.62259,-20.26769,1.97744,0.61235,-20.51010,1.78357,0.62465,-25.85920,1.48835,0.77798
39,4000,-20.80558,1.97619,0.62024,-20.36766,2.16345,0.60956,-20.75897,1.76125,0.62113,-26.06053,1.67450,0.77397
40,4100,-20.90150,2.12348,0.61698,-20.55400,2.07823,0.60665,-20.93032,1.77994,0.61751,-26.14161,1.45675,0.76972
41,4200,-21.21217,2.82802,0.61362,-20.96637,2.83164,0.60405,-21.14327,1.79872,0.61384,-26.55299,1.29445,0.76618
42,4300,-21.41914,2.32464,0.61086,-21.16972,2.05140,0.60056,-21.36556,1.82737,0.61185,-26.95381,1.41708,0.76161
43,4400,-21.54284,1.90028,0.60739,-21.24765,1.89218,0.59805,-21.69957,2.50680,0.60788,-27.30903,1.61849,0.75824
44,4500,-21.73714,2.00448,0.60514,-21.51261,2.29681,0.59491,-21.74251,2.94568,0.60433,-27.78564,3.16621,0.75417
45,4600,-22.02069,1.54276,0.60185,-21.70714,2.32252,0.59206,-21.98192,2.78991,0.60169,-27.90786,1.57948,0.74931
46,4700,-22.12919,1.80874,0.59900,-21.72409,2.73876,0.58988,-22.16205,1.92502,0.59840,-28.22507,1.75774,0.74610
47,4800,-22.12619,1.99336,0.59624,-21.89402,1.96020,0.58666,-22.30375,1.94541,0.59364,-28.24120,1.40520,0.74173
48,4900,-22.31171,2.11076,0.59325,-22.10862,1.91462,0.58385,-22.53008,1.82444,0.59090,-28.54936,1.34595,0.73900
49,5000,-22.56031,1.71372,0.59019,-22.20539,1.98094,0.58149,-22.51684,1.68866,0.58743,-28.74429,1.49805,0.73500
50,5100,-22.52742,1.50598,0.58735,-22.38499,2.12744,0.57914,-22.67277,1.73891,0.58427,-28.69591,2.76401,0.73056
51,5200,-22.68951,1.71088,0.58455,-22.45191,2.01815,0.57636,-23.05070,1.65899,0.58122,-29.06565,1.40836,0.72709
52,5300,-22.86257,2.14113,0.58162,-22.62533,2.37640,0.57334,-23.02222,1.64119,0.57752,-29.04344,2.77261,0.72312
53,5400,-23.17811,1.66501,0.57909,-22.81620,1.82234,0.57060,-23.10689,1.71037,0.57441,-29.14932,1.49584,0.72007
54,5500,-23.19638,1.50040,0.57606,-22.84238,1.66759,0.56733,-23.41122,2.01664,0.57185,-29.45625,1.71436,0.71656
55,5600,-23.13797,2.17203,0.57368,-22.98119,1.94573,0.56468,-23.35275,2.02265,0.56959,-29.47586,0.94729,0.71300
56,5700,-23.42520,2.12653,0.57051,-22.82940,2.31866,0.56273,-23.51434,2.66719,0.56630,-29.64629,1.39699,0.70887
57,5800,-23.38140,1.49096,0.56716,-22.98021,1.86699,0.55941,-23.86835,3.50616,0.56324,-29.68831,0.85878,0.70579
58,5900,-23.41219,2.22046,0.56427,-23.07464,2.04448,0.55737,-23.52781,2.36828,0.56080,-29.93264,1.23677,0.70242
59,6000,-23.65358,1.43229,0.56163,-23.19147,1.52559,0.55384,-23.74759,2.73495,0.55738,-29.80927,1.00077,0.69861
60,6100,-23.67695,1.43423,0.55914,-23.20416,1.42227,0.55212,-23.89172,1.99247,0.55410,-30.02757,1.15152,0.69507
61,6200,-23.57372,2.01720,0.55634,-23.40617,1.44762,0.54928,-23.88704,2.11627,0.55213,-29.77029,2.35795,0.69102
62,6300,-23.74339,1.59520,0.55387,-23.25652,1.35565,0.54651,-23.88311,1.64467,0.54981,-30.88637,4.14634,0.68804
