iteration,episode,1_iql_loss,1_count_value,2_iql_loss,2_count_value,3_iql_loss,3_count_value
0,100,2.96753,0.24029,2.44786,0.21478,2.11841,0.19904
1,200,1.74680,0.17791,1.58448,0.17130,1.48581,0.16640
2,300,1.67737,0.17302,1.59522,0.16850,1.61960,0.16545
3,400,1.59615,0.17206,1.51612,0.16878,1.51290,0.16693
4,500,1.67745,0.16836,1.47768,0.16472,1.46694,0.16536
5,600,1.56957,0.16853,1.53748,0.16624,1.51387,0.16512
6,700,1.48835,0.16544,1.54724,0.16663,1.54852,0.16280
7,800,1.60060,0.16624,1.47546,0.16465,1.47984,0.16187
8,900,1.52469,0.16353,1.59743,0.16427,1.54550,0.16379
9,1000,1.40546,0.16453,1.50192,0.16391,1.49086,0.16359
10,1100,1.57144,0.16517,1.49718,0.16339,1.55927,0.16149
11,1200,1.33684,0.16331,1.51260,0.16270,1.44256,0.16078
12,1300,1.42776,0.16351,1.50987,0.16299,1.55608,0.16129
13,1400,1.47946,0.16231,1.49723,0.16178,1.44315,0.16065
14,1500,1.53725,0.16261,1.48749,0.16312,1.51093,0.16326
15,1600,1.42866,0.16189,1.50672,0.16184,1.51056,0.15971
16,1700,1.42014,0.15995,1.50182,0.16068,1.51631,0.16097
17,1800,1.54743,0.16095,1.53204,0.15992,1.52907,0.15797
18,1900,1.50322,0.15983,1.48121,0.15892,1.51251,0.15825
19,2000,1.55042,0.16023,1.59165,0.15925,1.58988,0.15922
20,2100,1.45083,0.16147,1.54715,0.15769,1.55602,0.15948
21,2200,1.46523,0.15944,1.59582,0.15859,1.47228,0.15896
22,2300,1.58991,0.15885,1.51295,0.15883,1.46003,0.15926
23,2400,1.47489,0.15884,1.50797,0.15845,1.46080,0.15906
24,2500,1.40699,0.15792,1.53387,0.15915,1.48259,0.15523
25,2600,1.47029,0.15656,1.42862,0.15526,1.54930,0.15641
26,2700,1.47286,0.15605,1.43999,0.15503,1.52928,0.15619
27,2800,1.49447,0.15400,1.46514,0.15406,1.51060,0.15254
28,2900,1.44348,0.15553,1.52444,0.15368,1.34357,0.15246
29,3000,1.45969,0.15417,1.37064,0.15318,1.44741,0.15217
30,3100,1.45158,0.15368,1.42478,0.15073,1.56399,0.15468
31,3200,1.53834,0.15365,1.58505,0.15143,1.47604,0.15022
32,3300,1.41538,0.15159,1.50460,0.15298,1.40756,0.15211
33,3400,1.44671,0.15184,1.47814,0.15122,1.46670,0.15214
34,3500,1.37131,0.15200,1.46184,0.15297,1.51581,0.15235
35,3600,1.50150,0.15249,1.47597,0.15317,1.49502,0.15220
36,3700,1.42977,0.15399,1.44888,0.15031,1.42991,0.15249
37,3800,1.39515,0.15189,1.53929,0.15136,1.47358,0.15073
38,3900,1.43519,0.15105,1.47063,0.15011,1.45376,0.15193
39,4000,1.52235,0.15106,1.38988,0.14900,1.51259,0.15000
40,4100,1.54310,0.15247,1.40125,0.14924,1.48626,0.14992
41,4200,1.35600,0.14972,1.45503,0.14967,1.47831,0.14822
42,4300,1.34317,0.15058,1.56981,0.14882,1.46721,0.15025
43,4400,1.34434,0.14831,1.50164,0.14992,1.43177,0.15028
44,4500,1.53959,0.14864,1.50408,0.14931,1.45140,0.14769
45,4600,1.38148,0.14894,1.45505,0.14805,1.43276,0.14715
46,4700,1.53037,0.14709,1.43300,0.14808,1.51684,0.14739
47,4800,1.43478,0.14526,1.39837,0.14680,1.35757,0.14751
48,4900,1.36567,0.14771,1.43772,0.14743,1.43152,0.14523
49,5000,1.47262,0.14655,1.41296,0.14573,1.52449,0.14710
50,5100,1.44021,0.14547,1.38313,0.14695,1.42595,0.14579
51,5200,1.45660,0.14657,1.44623,0.14454,1.44237,0.14516
52,5300,1.33832,0.14428,1.39935,0.14398,1.44401,0.14480
53,5400,1.40204,0.14441,1.50616,0.14438,1.39283,0.14516
54,5500,1.37560,0.14379,1.44717,0.14303,1.45960,0.14428
55,5600,1.41057,0.14285,1.43677,0.14316,1.41462,0.14394
56,5700,1.40842,0.14281,1.48880,0.14268,1.40834,0.14293
57,5800,1.45249,0.14274,1.46620,0.14257,1.35810,0.14199
58,5900,1.35654,0.14241,1.52755,0.14331,1.46680,0.14255
59,6000,1.43677,0.14111,1.36253,0.14176,1.44056,0.14174
60,6100,1.43111,0.14175,1.45912,0.13977,1.47619,0.14308
61,6200,1.33461,0.14154,1.42992,0.14251,1.44130,0.14033
62,6300,1.37889,0.14193,1.48313,0.14207,1.40839,0.14167
63,6400,1.36328,0.13903,1.44916,0.14081,1.42183,0.13765
64,6500,1.43045,0.13998,1.37282,0.14124,1.36954,0.13866
65,6600,1.45434,0.13820,1.39433,0.14093,1.45072,0.13805
66,6700,1.47842,0.13965,1.35752,0.13927,1.36715,0.13833
67,6800,1.41233,0.13871,1.39870,0.13758,1.43226,0.13947
68,6900,1.32290,0.13749,1.45469,0.13859,1.38639,0.13901
69,7000,1.42861,0.13644,1.36252,0.13624,1.41518,0.13630
70,7100,1.36744,0.13877,1.29401,0.13574,1.46449,0.13805
71,7200,1.45603,0.13545,1.38425,0.13538,1.33312,0.13762
72,7300,1.33227,0.13554,1.42405,0.13633,1.38777,0.13654
73,7400,1.41810,0.13641,1.35429,0.13408,1.45324,0.13471
74,7500,1.29763,0.13499,1.38171,0.13481,1.45547,0.13583
75,7600,1.39780,0.13458,1.39630,0.13244,1.30771,0.13407
76,7700,1.41835,0.13350,1.39202,0.13457,1.39086,0.13486
77,7800,1.33335,0.13358,1.39145,0.13271,1.39427,0.13382
78,7900,1.33087,0.13229,1.44413,0.13433,1.37596,0.13121
79,8000,1.41814,0.13147,1.34384,0.13337,1.36026,0.13129
80,8100,1.31001,0.13296,1.40456,0.13073,1.34182,0.13144
81,8200,1.29286,0.13024,1.45103,0.13160,1.32541,0.13054
82,8300,1.33286,0.13095,1.29427,0.13081,1.32374,0.12959
83,8400,1.52061,0.13048,1.44468,0.13162,1.37782,0.13038
84,8500,1.32377,0.13002,1.37608,0.12924,1.40756,0.12985
85,8600,1.54395,0.12936,1.32774,0.12927,1.43487,0.13130
86,8700,1.36954,0.13008,1.42351,0.13029,1.35769,0.12915
87,8800,1.39505,0.12807,1.42307,0.12981,1.33186,0.12934
88,8900,1.34822,0.12845,1.31688,0.12880,1.32511,0.12771
89,9000,1.49011,0.12756,1.38947,0.12768,1.38262,0.12786
90,9100,1.41930,0.12832,1.32303,0.12886,1.29226,0.12727
91,9200,1.41591,0.12902,1.30225,0.12697,1.48467,0.12717
92,9300,1.46722,0.12697,1.42532,0.12811,1.34783,0.12889
93,9400,1.46380,0.12769,1.41001,0.12756,1.37017,0.12807
94,9500,1.33455,0.12683,1.45823,0.12761,1.36482,0.12717
95,9600,1.36288,0.12507,1.44119,0.12618,1.27281,0.12648
96,9700,1.36565,0.12678,1.44223,0.12621,1.45386,0.12506
97,9800,1.44287,0.12584,1.39177,0.12696,1.44340,0.12566
98,9900,1.44985,0.12660,1.42950,0.12673,1.28396,0.12592
99,10000,1.39968,0.12659,1.31698,0.12711,1.35918,0.12749
100,10100,1.35880,0.12622,1.32918,0.12630,1.36461,0.12756
101,10200,1.37401,0.12542,1.34583,0.12571,1.34498,0.12499
102,10300,1.56936,0.12568,1.37218,0.12532,1.41540,0.12614
103,10400,1.29627,0.12551,1.30724,0.12630,1.34936,0.12657
104,10500,1.44789,0.12560,1.34046,0.12446,1.36241,0.12675
105,10600,1.41412,0.12677,1.32644,0.12569,1.32438,0.12545
106,10700,1.34533,0.12568,1.34108,0.12658,1.38056,0.12608
107,10800,1.43228,0.12597,1.41887,0.12590,1.35034,0.12456
108,10900,1.57994,0.12630,1.34259,0.12552,1.42169,0.12376
109,11000,1.37326,0.12511,1.42137,0.12652,1.35923,0.12631
110,11100,1.35115,0.12546,1.37264,0.12450,1.42458,0.12616
111,11200,1.40717,0.12590,1.32594,0.12645,1.43424,0.12491
112,11300,1.36471,0.12551,1.40430,0.12576,1.45816,0.12301
113,11400,1.39080,0.12596,1.38771,0.12527,1.42127,0.12619
114,11500,1.37196,0.12491,1.36483,0.12648,1.36817,0.12478
115,11600,1.49339,0.12433,1.40410,0.12469,1.42538,0.12421
116,11700,1.31909,0.12610,1.36801,0.12564,1.41512,0.12518
117,11800,1.50676,0.12543,1.38733,0.12479,1.46664,0.12630
118,11900,1.33103,0.12594,1.33459,0.12632,1.33084,0.12514
119,12000,1.38639,0.12532,1.40795,0.12457,1.45363,0.12501
120,12100,1.49555,0.12645,1.41602,0.12609,1.44202,0.12705
121,12200,1.44374,0.12509,1.37262,0.12529,1.29798,0.12523
122,12300,1.45463,0.12440,1.34389,0.12557,1.30927,0.12562
123,12400,1.31047,0.12516,1.43547,0.12546,1.39288,0.12514
124,12500,1.41938,0.12566,1.33122,0.12477,1.38223,0.12414
125,12600,1.41073,0.12581,1.46572,0.12563,1.45516,0.12426
126,12700,1.40630,0.12541,1.38143,0.12481,1.35302,0.12557
127,12800,1.32990,0.12411,1.37108,0.12672,1.27851,0.12427
128,12900,1.40532,0.12527,1.37001,0.12574,1.39590,0.12491
129,13000,1.51909,0.12634,1.36246,0.12620,1.43025,0.12528
130,13100,1.56155,0.12644,1.36951,0.12611,1.34677,0.12498
131,13200,1.40364,0.12590,1.36338,0.12550,1.44464,0.12612
132,13300,1.41786,0.12458,1.43088,0.12444,1.38681,0.12726
133,13400,1.36863,0.12473,1.41266,0.12642,1.36163,0.12508
134,13500,1.44588,0.12590,1.36988,0.12472,1.34620,0.12583
