number,rewards,variances,exploration_value
0,[-3.66912 0.31763 0.31763],[2.27897 0.58827 0.58827],0.9988953697090716
100,[-2.44250 0.41520 0.41520],[2.53068 0.03241 0.03241],0.9797606658876263
200,[-1.82927 0.03260 0.03260],[1.60703 0.05451 0.05451],0.9609925038496699
300,[-2.00467 0.27416 0.27416],[1.03814 0.51699 0.51699],0.9425838621706605
400,[-2.74759 0.34369 0.34369],[5.33051 0.74855 0.74855],0.9245278539275122
500,[-0.62387 0.04217 0.04217],[0.09565 0.04850 0.04850],0.9068177241220878
600,[-1.25814 0.16528 0.16528],[0.27516 0.19098 0.19098],0.889446847154093
700,[-1.07553 0.21380 0.21380],[2.22183 0.45760 0.45760],0.8724087243423219
800,[-0.78577 0.11589 0.11589],[0.21723 0.46960 0.46960],0.8556969814934174
900,[-0.75030 0.06939 0.06939],[0.42172 0.08182 0.08182],0.8393053665172148
1000,[-0.46546 0.08978 0.08978],[0.12644 0.13761 0.13761],0.8232277470877281
1100,[-0.39892 -0.12865 -0.12865],[0.03241 0.18677 0.18677],0.8074581083489812
1200,[-0.70318 0.23717 0.23717],[0.13032 0.02270 0.02270],0.7919905506647517
1300,[-0.62190 0.15961 0.15961],[0.21356 0.10137 0.10137],0.7768192874114557
1400,[-0.28343 -0.06096 -0.06096],[0.05215 0.03560 0.03560],0.7619386428132808
1500,[-0.68958 0.14353 0.14353],[0.33422 0.06193 0.06193],0.7473430498187978
1600,[-0.56685 0.24667 0.24667],[0.28405 0.05910 0.05910],0.7330270480182665
1700,[-0.41332 0.20969 0.20969],[0.02284 0.01512 0.01512],0.7189852816008054
1800,[-0.61920 0.26220 0.26220],[0.03277 0.06425 0.06425],0.705212497350724
1900,[-0.53884 0.32153 0.32153],[0.05781 0.05672 0.05672],0.6917035426822101
2000,[-0.70749 0.32231 0.32231],[0.59903 0.07717 0.07717],0.6784533637116886
2100,[-0.52845 0.30424 0.30424],[0.01039 0.05108 0.05108],0.6654570033670938
2200,[-0.57472 0.32980 0.32980],[0.10908 0.05285 0.05285],0.6527095995333525
2300,[-0.26198 0.20464 0.20464],[0.01484 0.02844 0.02844],0.6402063832334086
2400,[-0.53947 0.30987 0.30987],[0.06562 0.04470 0.04470],0.6279426768440843
2500,[-0.57244 0.40591 0.40591],[0.13670 0.03757 0.03757],0.6159138923461105
2600,[-0.63269 0.40156 0.40156],[0.07674 0.00371 0.00371],0.6041155296076918
2700,[-0.52485 0.38541 0.38541],[0.03804 0.02095 0.02095],0.5925431747009424
2800,[-0.39392 0.24150 0.24150],[0.14508 0.01948 0.01948],0.5811924982505915
2900,[-0.33409 0.31698 0.31698],[0.01927 0.01472 0.01472],0.5700592538142826
3000,[-0.49391 0.20625 0.20625],[0.04953 0.06343 0.06343],0.5591392762939287
3100,[-0.49188 0.36859 0.36859],[0.04849 0.01022 0.01022],0.5484284803774964
3200,[-0.67221 0.40875 0.40875],[0.13975 0.05475 0.05475],0.5379228590106419
3300,[-0.57179 0.48580 0.48580],[0.06075 0.00632 0.00632],0.5276184818975981
3400,[-0.34220 0.20901 0.20901],[0.00884 0.03880 0.03880],0.5175114940308205
3500,[-0.31534 0.27705 0.27705],[0.01120 0.01357 0.01357],0.5075981142487541
3600,[-0.51355 0.44394 0.44394],[0.04778 0.01825 0.01825],0.4978746338212661
