number,rewards,variances,exploration_value
0,[-3.66912 0.31763 0.31763],[2.27897 0.58827 0.58827],0.9988953697090716
100,[-0.57235 -1.08368 -1.08368],[0.19054 0.45702 0.45702],0.9797606658876263
200,[-1.16381 -0.92631 -0.92631],[0.71097 0.44807 0.44807],0.9609925038496699
300,[-6.62714 0.10743 0.10743],[25.58143 0.78271 0.78271],0.9425838621706605
400,[-8.61474 1.16060 1.16060],[4.95064 1.65488 1.65488],0.9245278539275122
500,[-3.81071 -0.38071 -0.38071],[10.81049 0.35041 0.35041],0.9068177241220878
600,[-7.35015 0.61383 0.61383],[16.83326 1.82121 1.82121],0.889446847154093
700,[-8.23214 0.99069 0.99069],[15.29688 0.90184 0.90184],0.8724087243423219
800,[-7.26330 1.19643 1.19643],[18.46573 0.33806 0.33806],0.8556969814934174
900,[-1.94559 0.28223 0.28223],[1.10176 0.56288 0.56288],0.8393053665172148
1000,[-5.78849 1.18202 1.18202],[18.84648 2.87198 2.87198],0.8232277470877281
1100,[-1.98954 -1.55558 -1.55558],[2.54251 0.37094 0.37094],0.8074581083489812
1200,[-5.02984 0.02960 0.02960],[8.50356 0.58551 0.58551],0.7919905506647517
1300,[-4.93108 -0.66577 -0.66577],[20.59185 2.09346 2.09346],0.7768192874114557
1400,[-5.51149 -0.25562 -0.25562],[1.49829 0.64157 0.64157],0.7619386428132808
1500,[-3.09092 0.40682 0.40682],[4.45248 0.72501 0.72501],0.7473430498187978
1600,[-7.55746 0.29332 0.29332],[4.84982 0.19925 0.19925],0.7330270480182665
1700,[-3.50078 0.77698 0.77698],[2.88967 0.32507 0.32507],0.7189852816008054
1800,[-5.97681 1.04442 1.04442],[4.77807 1.07579 1.07579],0.705212497350724
1900,[-7.62202 0.35765 0.35765],[5.71096 0.96216 0.96216],0.6917035426822101
2000,[-6.09020 -0.12126 -0.12126],[19.40857 0.61618 0.61618],0.6784533637116886
2100,[-5.90575 -0.12706 -0.12706],[4.24075 0.72647 0.72647],0.6654570033670938
2200,[-5.63546 0.84764 0.84764],[7.49437 0.65186 0.65186],0.6527095995333525
2300,[-2.67811 -0.86382 -0.86382],[3.88352 0.66027 0.66027],0.6402063832334086
2400,[-3.38224 -0.86220 -0.86220],[6.13596 0.24761 0.24761],0.6279426768440843
2500,[-6.13302 0.68130 0.68130],[5.97119 0.59858 0.59858],0.6159138923461105
2600,[-4.16659 -0.29045 -0.29045],[4.62043 0.88516 0.88516],0.6041155296076918
2700,[-6.67980 0.95915 0.95915],[6.12516 0.39537 0.39537],0.5925431747009424
2800,[-2.62830 0.43436 0.43436],[2.48102 0.67179 0.67179],0.5811924982505915
2900,[-3.21431 0.01673 0.01673],[2.38175 0.40056 0.40056],0.5700592538142826
3000,[-4.63110 0.28753 0.28753],[18.46243 2.30884 2.30884],0.5591392762939287
3100,[-8.98487 1.75048 1.75048],[1.72907 0.28237 0.28237],0.5484284803774964
3200,[-4.06888 -0.24609 -0.24609],[3.01131 0.22984 0.22984],0.5379228590106419
3300,[-7.13029 1.20706 1.20706],[9.35094 0.52963 0.52963],0.5276184818975981
3400,[-4.88838 -0.55411 -0.55411],[12.68686 0.92655 0.92655],0.5175114940308205
3500,[-7.33859 0.25283 0.25283],[9.78812 0.68920 0.68920],0.5075981142487541
3600,[-9.25047 1.75355 1.75355],[13.63545 0.66721 0.66721],0.4978746338212661
3700,[-4.27474 0.96532 0.96532],[5.22652 0.32242 0.32242],0.48833741506215295
3800,[-1.20734 -1.27109 -1.27109],[1.19511 0.10201 0.10201],0.47898288996823385
