iteration,episode,1_iql_loss,1_icm_forward_loss,1_icm_inverse_loss,2_iql_loss,2_icm_forward_loss,2_icm_inverse_loss,3_iql_loss,3_icm_forward_loss,3_icm_inverse_loss
0,100,13.88877,0.76933,2.70646,13.56947,0.77010,2.70702,13.67812,0.76948,2.70573
1,200,3.90833,0.74247,2.70774,3.52306,0.74071,2.70778,3.48995,0.74043,2.70685
2,300,1.67412,0.71260,2.70749,1.44149,0.70976,2.70726,1.48424,0.71266,2.70760
3,400,1.31437,0.68171,2.70582,1.01428,0.67768,2.70685,1.14608,0.68022,2.70667
4,500,1.12744,0.65732,2.70601,0.98699,0.65961,2.70483,0.94656,0.65602,2.70570
5,600,1.11485,0.63970,2.70463,0.96941,0.63964,2.70441,0.89060,0.63789,2.70481
6,700,0.91422,0.62264,2.70268,0.95957,0.62279,2.70218,0.99111,0.62294,2.70289
7,800,1.04838,0.60463,2.70098,1.04452,0.60462,2.70111,1.00208,0.60378,2.70004
8,900,1.06207,0.59034,2.70008,0.99351,0.58917,2.70043,1.04413,0.58957,2.70092
9,1000,0.95219,0.57249,2.69955,1.01822,0.57305,2.69956,0.99600,0.57140,2.69897
10,1100,1.00751,0.55425,2.69874,0.94227,0.55408,2.69875,0.92388,0.55685,2.69845
11,1200,0.89441,0.54168,2.69715,1.05237,0.54070,2.69714,1.02047,0.54019,2.69716
12,1300,1.01651,0.52868,2.69611,1.04339,0.52751,2.69616,0.91532,0.52687,2.69592
13,1400,0.97596,0.51562,2.69544,0.96406,0.51697,2.69498,1.02892,0.51571,2.69480
14,1500,1.05693,0.50210,2.69354,1.00058,0.50359,2.69344,1.00315,0.50403,2.69409
15,1600,1.01425,0.48949,2.69289,0.95333,0.48914,2.69313,1.04801,0.48917,2.69271
16,1700,1.04032,0.47552,2.69198,0.98609,0.47640,2.69197,0.96387,0.47477,2.69184
17,1800,0.88660,0.46540,2.68996,0.92482,0.46278,2.69094,1.09343,0.46173,2.69169
18,1900,0.91874,0.45262,2.68818,0.96807,0.45180,2.68935,0.92317,0.44927,2.68915
19,2000,1.00978,0.43721,2.68905,1.05916,0.43881,2.68914,0.97771,0.43922,2.68777
20,2100,0.98876,0.42649,2.68699,0.99381,0.42434,2.68711,0.90572,0.42722,2.68644
21,2200,0.92583,0.41393,2.68530,0.99140,0.41442,2.68652,0.94032,0.41274,2.68562
22,2300,1.04867,0.40336,2.68626,1.01156,0.40375,2.68407,0.85576,0.40288,2.68403
23,2400,0.98628,0.39287,2.68365,1.14572,0.39240,2.68277,1.02394,0.39143,2.68272
24,2500,1.09187,0.38156,2.68148,0.93473,0.38152,2.68085,0.99051,0.38196,2.68079
25,2600,0.89012,0.37116,2.68035,0.97572,0.37202,2.68047,1.00015,0.37195,2.67990
26,2700,0.93748,0.36111,2.67966,0.96325,0.36077,2.67936,0.95270,0.36160,2.67892
27,2800,0.89684,0.35103,2.67806,0.96724,0.35165,2.67791,0.95943,0.35143,2.67781
28,2900,0.88524,0.34150,2.67589,1.03606,0.34074,2.67604,0.94241,0.34118,2.67612
