number,rewards,variances,exploration_value
0,[-5.14220 0.26834 0.26834],[6.00040 0.97594 0.97594],0.9988953697090716
100,[-5.88071 -0.00684 -0.00684],[14.06597 1.41003 1.41003],0.9797606658876263
200,[-5.07770 1.02052 1.02052],[28.85364 1.31221 1.31221],0.9609925038496699
300,[-2.70817 -0.27372 -0.27372],[3.69249 0.38929 0.38929],0.9425838621706605
400,[-2.83441 -0.04803 -0.04803],[3.95654 0.40760 0.40760],0.9245278539275122
500,[-2.95850 0.04464 0.04464],[3.19227 0.91795 0.91795],0.9068177241220878
600,[-5.64120 1.31627 1.31627],[7.32736 0.60321 0.60321],0.889446847154093
700,[-8.85949 1.19859 1.19859],[23.68336 0.58999 0.58999],0.8724087243423219
800,[-3.51462 0.12611 0.12611],[7.03762 0.75095 0.75095],0.8556969814934174
900,[-5.97858 1.28282 1.28282],[10.49614 0.34237 0.34237],0.8393053665172148
1000,[-4.87147 0.67898 0.67898],[3.16202 0.45658 0.45658],0.8232277470877281
1100,[-4.13182 -0.02218 -0.02218],[18.37781 2.32637 2.32637],0.8074581083489812
1200,[-4.11956 0.31144 0.31144],[16.09625 0.41401 0.41401],0.7919905506647517
1300,[-3.30161 -0.12898 -0.12898],[4.16707 1.07549 1.07549],0.7768192874114557
1400,[-7.44469 1.26791 1.26791],[12.54556 0.86964 0.86964],0.7619386428132808
1500,[-3.94926 0.48707 0.48707],[3.53081 0.23781 0.23781],0.7473430498187978
1600,[-2.24076 0.29985 0.29985],[0.57836 0.04464 0.04464],0.7330270480182665
1700,[-3.26075 0.06190 0.06190],[4.38984 0.06294 0.06294],0.7189852816008054
1800,[-3.39606 0.59572 0.59572],[3.02556 0.39279 0.39279],0.705212497350724
1900,[-3.82528 -0.48887 -0.48887],[8.14022 0.12699 0.12699],0.6917035426822101
2000,[-2.72124 -0.05946 -0.05946],[3.00920 0.64352 0.64352],0.6784533637116886
2100,[-3.05471 -0.12586 -0.12586],[3.19207 0.32922 0.32922],0.6654570033670938
2200,[-4.58610 0.79348 0.79348],[9.15089 0.84675 0.84675],0.6527095995333525
2300,[-2.37356 0.15956 0.15956],[2.22688 0.65885 0.65885],0.6402063832334086
2400,[-3.78030 0.38650 0.38650],[4.73538 0.44343 0.44343],0.6279426768440843
2500,[-3.93345 0.49983 0.49983],[2.96362 0.18803 0.18803],0.6159138923461105
2600,[-2.56142 0.70151 0.70151],[1.64436 0.09519 0.09519],0.6041155296076918
2700,[-1.41709 0.13860 0.13860],[0.62857 0.21183 0.21183],0.5925431747009424
2800,[-2.53352 0.17216 0.17216],[2.07855 0.63874 0.63874],0.5811924982505915
2900,[-3.94257 0.79697 0.79697],[5.49767 0.03609 0.03609],0.5700592538142826
3000,[-2.30232 0.22507 0.22507],[2.53097 0.35620 0.35620],0.5591392762939287
3100,[-2.50413 -0.24820 -0.24820],[1.56028 0.16370 0.16370],0.5484284803774964
3200,[-3.45855 -0.07529 -0.07529],[0.94346 0.11493 0.11493],0.5379228590106419
3300,[-3.68273 0.05829 0.05829],[1.31253 0.30805 0.30805],0.5276184818975981
3400,[-2.75951 -0.04477 -0.04477],[1.11817 0.39404 0.39404],0.5175114940308205
3500,[-4.24147 0.80006 0.80006],[8.46545 0.31993 0.31993],0.5075981142487541
3600,[-2.77461 -0.32182 -0.32182],[0.57741 0.52326 0.52326],0.4978746338212661
3700,[-1.47787 -0.10366 -0.10366],[1.08237 0.30401 0.30401],0.48833741506215295
3800,[-3.59507 0.28353 0.28353],[0.34076 0.26486 0.26486],0.47898288996823385
3900,[-2.77214 0.38084 0.38084],[1.59302 0.21604 0.21604],0.46980755888450715
4000,[-0.70576 -0.89181 -0.89181],[0.24821 0.17469 0.17469],0.4608079891948918
4100,[-1.11969 -0.52690 -0.52690],[0.46760 0.19476 0.19476],0.45198081403803075
4200,[-1.44431 0.08385 0.08385],[1.04143 0.15677 0.15677],0.4433227310477052
4300,[-1.13704 -0.51608 -0.51608],[0.79569 0.95537 0.95537],0.43483050111737453
4400,[-1.52265 0.14650 0.14650],[0.85804 0.44345 0.44345],0.42650094718838294
4500,[-2.01630 -0.44811 -0.44811],[0.43655 0.09109 0.09109],0.4183309530613763
4600,[-1.32583 -0.24363 -0.24363],[0.56678 0.16611 0.16611],0.41031746223049576
4700,[-2.41147 -0.50024 -0.50024],[1.86552 0.27607 0.27607],0.4024574767398885
4800,[-1.39156 -0.38593 -0.38593],[0.54350 0.25855 0.25855],0.39474805606213775
4900,[-1.86734 -0.25510 -0.25510],[1.60420 0.24284 0.24284],0.3871863159981707
5000,[-1.72678 0.21789 0.21789],[0.43632 0.30025 0.30025],0.37976942759823823
5100,[-1.69041 -0.57615 -0.57615],[2.89227 0.66678 0.66678],0.37249461610356654
5200,[-1.33686 -0.40027 -0.40027],[1.68847 0.46460 0.46460],0.36535915990828843
5300,[-0.95942 -0.45282 -0.45282],[0.81682 0.25947 0.25947],0.3583603895412437
5400,[-1.92463 0.00583 0.00583],[0.96104 0.47711 0.47711],0.35149568666730197
5500,[-1.46621 -0.39951 -0.39951],[0.72747 0.18083 0.18083],0.34476248310780105
5600,[-2.08704 0.21154 0.21154],[1.40548 0.24005 0.24005],0.33815825987976045
5700,[-0.62619 -0.54247 -0.54247],[0.06424 0.10410 0.10410],0.33168054625349885
5800,[-1.03895 -0.40639 -0.40639],[0.38587 0.49764 0.49764],0.32532691882829134
5900,[-2.04743 -0.16933 -0.16933],[1.16826 0.33341 0.33341],0.3190950006257518
6000,[-0.78434 -0.40536 -0.40536],[0.12920 0.31095 0.31095],0.312982460200566
6100,[-1.10305 -0.61799 -0.61799],[0.37923 0.33007 0.33007],0.3069870107682693
6200,[-5.22803 0.57108 0.57108],[5.14177 0.38275 0.38275],0.30110640934973165
6300,[-1.50089 0.39482 0.39482],[0.50395 0.36833 0.36833],0.29533845593202374
6400,[-1.62977 -0.14724 -0.14724],[1.98381 0.75411 0.75411],0.2896809926453638
6500,[-1.25972 -0.49245 -0.49245],[0.34458 0.43513 0.43513],0.2841319029558341
6600,[-1.22977 -0.30352 -0.30352],[0.43474 0.14064 0.14064],0.27868911087355025
6700,[-1.04095 -0.07209 -0.07209],[0.95930 0.54109 0.54109],0.27335058017600533
6800,[-0.64959 -0.35959 -0.35959],[0.14556 0.14281 0.14281],0.26811431364629784
